<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BDB,20100728,12.4,12.4,12.4,12.4,100
BDB,20100727,12,12,12,12,600
BDB,20100726,11.7,11.7,11.7,11.7,300
BDB,20100723,11.9,12.2,11.9,12.2,1100
BDB,20100722,12.1,12.1,12,12.1,1000
BDB,20100721,12.3,12.4,12.3,12.3,900
BDB,20100720,12.1,12.7,12.1,12.3,8600
BDB,20100719,11.8,12.1,11.5,11.9,5400
BDB,20100716,12,12,12,12,2300
BDB,20100715,12,12,12,12,3000
BDB,20100714,12,12,12,12,2200
BDB,20100713,10.8,12,10.8,11.6,1000
BDB,20100712,11.2,11.5,11.2,11.4,1300
BDB,20100709,11,11.7,11,11.1,500
BDB,20100706,11.4,11.4,11.4,11.4,500
BDB,20100705,11.5,11.7,11.5,11.7,5900
BDB,20100702,11,11.2,11,11,700
BDB,20100701,10.6,10.6,10.6,10.6,300
BDB,20100629,11,11,11,11,1100
BDB,20100628,10.8,10.8,10.8,10.8,1000
BDB,20100625,12,12,11.3,11.5,1500
BDB,20100624,12.1,12.1,11.9,11.9,1300
BDB,20100623,11.5,11.5,11,11.4,700
BDB,20100622,11.6,11.6,11.3,11.4,1000
BDB,20100621,11.6,11.6,11,11.1,4800
BDB,20100618,11.3,11.3,11.3,11.3,500
BDB,20100616,10.8,10.8,10.8,10.8,800
BDB,20100615,11.6,11.6,11.3,11.5,1100
BDB,20100614,11.1,11.1,11.1,11.1,100
BDB,20100610,10.3,11,10,10.6,2700
BDB,20100609,10.5,11,10.5,10.6,400
BDB,20100608,10.6,10.6,10.3,10.4,5200
BDB,20100607,11,11,11,11,2400
BDB,20100604,12.5,12.5,11.2,11.7,300
BDB,20100603,13.4,13.4,11.8,12,2400
BDB,20100602,13.4,13.4,12.5,12.6,700
BDB,20100601,13,13,12.6,12.6,1100
BDB,20100531,12,12.3,12,12.2,5200
BDB,20100528,11.9,11.9,11.5,11.5,3800
BDB,20100527,11.2,11.3,11.2,11.2,3200
BDB,20100524,12,12,12,12,100
BDB,20100521,11.5,11.8,11.5,11.6,5500
BDB,20100520,12.2,12.3,12.2,12.3,4100
BDB,20100519,11.5,11.5,11.5,11.5,500
BDB,20100518,10.8,11,10.8,10.8,1900
BDB,20100517,11.3,12,11.3,11.5,2800
BDB,20100514,12,12,12,12,5000
BDB,20100513,13,13,12.9,12.9,4600
BDB,20100512,14.2,14.2,12.5,13.8,21900
BDB,20100511,13.3,13.3,13.3,13.3,5600
BDB,20100510,12.5,12.5,12.5,12.5,6200
BDB,20100507,11.7,11.7,11.7,11.7,12300
BDB,20100506,11,11,10.9,11,8200
BDB,20100505,10.3,10.3,10.3,10.3,2000
BDB,20100504,10.4,10.4,10,10.3,13800
BDB,20100429,9.8,9.8,9.8,9.8,100
BDB,20100428,10.2,10.2,10,10.1,2700
BDB,20100427,11.2,11.2,10.2,10.5,7200
BDB,20100426,10,11.2,10,10.8,300
BDB,20100422,11.6,11.6,10.2,10.5,6500
BDB,20100421,10.9,10.9,10.9,10.9,21000
BDB,20100420,10.4,10.4,10,10.2,13000
BDB,20100419,9.8,9.8,9.8,9.8,5300
BDB,20100416,9.1,9.2,9.1,9.2,6000
BDB,20100415,9.1,9.2,9.1,9.1,4000
BDB,20100414,9.4,9.4,9.1,9.3,3100
BDB,20100413,9.5,9.5,9.5,9.5,400
BDB,20100412,10,10,9.4,9.5,1100
BDB,20100408,10,10,10,10,500
BDB,20100406,10.5,10.5,10,10.1,400
BDB,20100405,9.9,9.9,9.9,9.9,1000
BDB,20100402,9.3,9.3,9.3,9.3,200
BDB,20100401,10,10,10,10,500
BDB,20100331,10,10,10,10,1500
BDB,20100329,9.4,9.4,9.4,9.4,2000
BDB,20100324,10.1,10.1,10.1,10.1,100
BDB,20100318,10.1,10.1,10.1,10.1,400
BDB,20100317,10.1,10.1,10.1,10.1,300
BDB,20100316,10,10,10,10,1600
BDB,20100315,9.9,9.9,9.9,9.9,1500
BDB,20100311,9.6,9.6,9.6,9.6,2000
BDB,20100309,9.3,9.9,8.9,9,2200
BDB,20100308,9.3,9.3,9.3,9.3,100
BDB,20100303,9.3,9.3,9.3,9.3,300
BDB,20100302,10,10,10,10,200
BDB,20100301,10.5,10.5,10.5,10.5,100
BDB,20100224,11,11,11,11,100
BDB,20100211,11.8,11.8,11.8,11.8,300
BDB,20100208,11.2,11.2,11.2,11.2,300
BDB,20100204,12,12,12,12,1000
BDB,20100203,12,12,12,12,1000
BDB,20100202,11.8,11.8,11.8,11.8,700
BDB,20100201,11.9,11.9,10.8,11.1,700
BDB,20100129,15,15,11,11.3,5300
