<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BTP,20100729,12.6,12.8,12.3,12.4,149200
BTP,20100728,12.7,12.8,12.4,12.4,157000
BTP,20100727,13,13,12.7,12.7,151720
BTP,20100726,13.2,13.2,12.9,13,144880
BTP,20100723,13.2,13.3,13.1,13.1,84940
BTP,20100722,13.5,13.5,13.1,13.1,94060
BTP,20100721,14,14,13.5,13.5,549400
BTP,20100720,13,13.4,12.9,13.4,451160
BTP,20100719,12.8,12.9,12.7,12.8,98280
BTP,20100716,12.9,12.9,12.7,12.8,98610
BTP,20100715,12.9,12.9,12.8,12.9,84710
BTP,20100714,13.2,13.3,12.9,12.9,93220
BTP,20100713,13,13.3,12.9,13.2,89300
BTP,20100712,12.8,12.8,12.7,12.8,88650
BTP,20100709,12.7,12.9,12.7,12.8,80940
BTP,20100708,12.9,13.1,12.8,12.8,125260
BTP,20100707,13.3,13.3,12.9,12.9,110100
BTP,20100706,13.2,13.2,12.9,13,135310
BTP,20100705,13.2,13.4,13.1,13.1,72150
BTP,20100702,13.2,13.4,13,13.2,117540
BTP,20100701,13,13.1,12.9,13,131920
BTP,20100630,13.1,13.2,12.9,12.9,173530
BTP,20100629,13.7,13.7,13.1,13.3,201240
BTP,20100628,13,13.6,13,13.3,287250
BTP,20100625,13.2,13.5,13,13,292090
BTP,20100624,14,14,13.5,13.5,190320
BTP,20100623,13.5,13.7,13.4,13.5,190010
BTP,20100622,14.2,14.3,13.7,13.7,310590
BTP,20100621,14.7,14.7,14.3,14.3,280430
BTP,20100618,14,14.2,13.8,14.1,674390
BTP,20100617,14,14,13.4,13.6,381610
BTP,20100616,14.1,14.1,13.9,14,1369230
BTP,20100615,13.5,13.5,13.5,13.5,148580
BTP,20100614,12.9,12.9,12.9,12.9,130620
BTP,20100611,12.4,12.4,12.2,12.3,175750
BTP,20100610,12.1,12.2,11.9,12.2,113550
BTP,20100609,12.3,12.3,12,12,82730
BTP,20100608,11.8,12.1,11.8,12.1,212800
BTP,20100607,12,12.2,12,12,332080
BTP,20100604,12.8,12.8,12.3,12.6,107770
BTP,20100603,13.4,13.4,12.8,12.8,85520
BTP,20100602,12.8,13,12.5,13,166480
BTP,20100601,12.5,12.8,12.4,12.8,158550
BTP,20100531,13.3,13.3,12.9,12.9,293280
BTP,20100528,13.5,13.5,13,13.4,514990
BTP,20100527,13.3,13.3,12.6,12.9,203890
BTP,20100526,12.8,12.8,12.7,12.8,572060
BTP,20100525,12.2,12.2,12,12.2,575420
BTP,20100524,11.5,11.9,11.4,11.7,318570
BTP,20100521,12,12,12,12,85990
BTP,20100520,12,12.6,11.9,12.6,398290
BTP,20100519,12.5,12.6,12.5,12.5,155790
BTP,20100518,13.2,13.7,13.1,13.1,242220
BTP,20100517,14,14.2,13.5,13.7,136860
BTP,20100514,13.9,14.2,13.9,14.2,440840
BTP,20100513,13.3,13.7,13.3,13.6,400200
BTP,20100512,13.7,14,13.7,13.7,452600
BTP,20100511,14.9,15,14.4,14.4,694740
BTP,20100510,16.5,16.5,15.1,15.1,405790
BTP,20100507,15.8,15.8,15.6,15.8,1015800
BTP,20100506,15.1,15.1,15.1,15.1,544600
BTP,20100505,14.4,14.4,14.2,14.4,1552670
BTP,20100504,13.8,13.8,13.8,13.8,430860
BTP,20100429,13.2,13.2,13.2,13.2,989320
BTP,20100428,12.5,12.6,12.5,12.6,433450
BTP,20100427,12,12,11.8,12,21290
BTP,20100426,12.1,12.3,11.9,11.9,39350
BTP,20100422,12,12,11.9,11.9,39350
BTP,20100421,11.9,12,11.9,11.9,16330
BTP,20100420,11.7,12,11.7,11.8,9180
BTP,20100419,11.7,12,11.7,12,29420
BTP,20100416,11.6,11.8,11.5,11.8,23230
BTP,20100415,11.7,11.9,11.5,11.8,19170
BTP,20100414,11.8,11.8,11.5,11.5,21720
BTP,20100413,12,12.3,11.8,11.8,13330
BTP,20100412,12.5,12.6,12.1,12.1,26920
BTP,20100409,12.4,12.7,12.4,12.7,98040
BTP,20100408,12.1,12.1,12,12.1,69700
BTP,20100407,11.2,11.6,11.2,11.6,36940
BTP,20100406,11.1,11.2,11.1,11.1,16140
BTP,20100405,11.2,11.3,11.1,11.1,16420
BTP,20100402,11.2,11.4,11.2,11.2,14740
BTP,20100401,11.5,11.5,11.3,11.3,2810
BTP,20100331,11.4,11.5,11.3,11.5,2820
BTP,20100330,11.4,11.4,11.2,11.2,8320
BTP,20100329,11.2,11.5,11.2,11.3,4050
BTP,20100326,11.5,11.6,11.5,11.5,6800
BTP,20100325,11.6,11.8,11.4,11.7,10200
BTP,20100324,11.4,11.7,11.2,11.7,11150
BTP,20100323,11.5,11.5,11.2,11.4,6530
BTP,20100322,11.5,11.5,11.4,11.4,6890
BTP,20100319,11.5,11.6,11.5,11.5,13820
BTP,20100318,11.5,11.6,11.5,11.6,8910
BTP,20100317,11.7,11.7,11.4,11.5,24450
