<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CAP,20100729,20.9,21.1,20.9,21,12800
CAP,20100728,22.5,22.5,22.4,22.4,4200
CAP,20100727,24.2,24.2,24,24,10800
CAP,20100726,26.5,26.5,24.5,25.7,27300
CAP,20100723,24.8,24.8,24.8,24.8,42100
CAP,20100722,23.2,23.2,23.2,23.2,10200
CAP,20100721,21.7,21.8,21.7,21.7,3300
CAP,20100720,19.6,20.9,19.6,20.4,11400
CAP,20100719,19.8,19.8,19.2,19.6,4100
CAP,20100716,19.5,19.5,19.5,19.5,2100
CAP,20100715,19.2,19.8,19.2,19.5,1600
CAP,20100714,20,20.2,20,20.1,1000
CAP,20100713,19.7,19.8,19.5,19.7,2000
CAP,20100712,19.9,19.9,19,19.2,1200
CAP,20100709,19.9,19.9,19.9,19.9,13500
CAP,20100708,19.5,19.5,19.5,19.5,3300
CAP,20100707,19.5,19.8,19.5,19.8,2000
CAP,20100706,19.3,20.3,19.2,19.4,2300
CAP,20100705,20.5,20.5,19,19.4,3700
CAP,20100702,20.1,20.1,20.1,20.1,100
CAP,20100701,20.1,20.1,18.8,19.3,6300
CAP,20100630,19.2,20,19.2,19.6,1000
CAP,20100629,19.2,19.5,19,19.4,19600
CAP,20100628,19.6,19.6,19.6,19.6,100
CAP,20100625,18.4,18.5,18.4,18.5,600
CAP,20100624,18.5,18.6,18.5,18.5,800
CAP,20100623,18,19.5,18,18.3,600
CAP,20100622,19,19,19,19,500
CAP,20100621,18.8,19.5,18.8,19.1,5500
CAP,20100618,18.3,18.3,18.3,18.3,1200
CAP,20100617,18,18.5,18,18.3,500
CAP,20100616,17.9,18.8,17.9,18.3,4700
CAP,20100615,18,18,17.5,17.9,500
CAP,20100614,17.8,18.5,17.8,18.4,1200
CAP,20100611,18.8,18.8,18,18.5,5100
CAP,20100610,18.8,18.8,18.8,18.8,200
CAP,20100609,19,19,18.5,18.6,2300
CAP,20100608,18.8,18.8,18.8,18.8,4000
CAP,20100607,18.8,18.8,18.8,18.8,1500
CAP,20100604,18.9,19,18.9,18.9,4800
CAP,20100602,18.9,19,18.9,18.9,2300
CAP,20100601,18.9,18.9,18.8,18.9,200
CAP,20100531,17.8,17.8,17.6,17.7,2000
CAP,20100528,18.9,18.9,18.9,18.9,3600
CAP,20100527,17.8,17.8,17.7,17.7,900
CAP,20100526,18.9,18.9,18.9,18.9,600
CAP,20100525,19.4,19.4,17.9,18.1,2000
CAP,20100524,18.9,18.9,18.5,18.8,2000
CAP,20100521,18,18,17.5,17.7,8300
CAP,20100520,18.8,18.8,18.8,18.8,100
CAP,20100519,18.9,18.9,17.4,17.8,6300
CAP,20100518,20,20,18,18.5,500
CAP,20100517,20.5,20.5,18.6,18.7,7600
CAP,20100514,19.8,19.8,19.8,19.8,1400
CAP,20100513,18.5,18.8,18.5,18.7,12100
CAP,20100512,19.8,19.8,19.8,19.8,2000
CAP,20100511,21.2,21.2,21.2,21.2,1000
CAP,20100510,22.7,22.7,22.6,22.7,1000
CAP,20100507,22,22,22,22,100
CAP,20100506,21,21.1,19.8,20.8,19700
CAP,20100505,19.4,20.5,19.2,19.8,27000
CAP,20100504,19.5,19.5,19.1,19.2,2100
CAP,20100429,19.6,19.6,19.4,19.4,1100
CAP,20100428,18.8,19.5,18.1,18.5,7900
CAP,20100426,19.5,19.5,18.6,18.8,1500
CAP,20100422,20.1,20.1,19.3,19.9,400
CAP,20100421,18.1,19.3,18.1,18.8,16900
CAP,20100420,18.1,18.1,18.1,18.1,3400
CAP,20100416,18,18.3,17.8,18,5500
CAP,20100415,17.8,17.8,17.8,17.8,1500
CAP,20100414,17.2,17.2,17.2,17.2,3000
CAP,20100413,17.2,17.2,17.2,17.2,2000
CAP,20100412,17.2,17.2,17.2,17.2,2500
CAP,20100409,17.5,17.7,17.5,17.6,200
CAP,20100407,17.1,17.1,17.1,17.1,300
CAP,20100402,18.1,18.1,17,17.1,1400
CAP,20100401,17,17,17,17,100
CAP,20100331,18.1,18.1,18.1,18.1,200
CAP,20100326,17,17,17,17,200
CAP,20100324,17,18,17,17.7,6200
CAP,20100323,18.4,18.4,17.5,17.5,3600
CAP,20100322,18,18,18,18,5200
CAP,20100318,18.6,18.6,18.6,18.6,7700
CAP,20100317,19,19,18.5,18.6,1200
CAP,20100316,20.2,20.2,18.5,18.5,9300
CAP,20100315,18.9,19.1,18.8,18.9,2200
CAP,20100312,18,19,18,18.9,1100
CAP,20100311,19.1,19.1,18.7,18.7,1200
CAP,20100310,18.2,19.4,18.2,18.7,3400
CAP,20100309,18.1,19.3,18.1,18.5,5200
CAP,20100308,17.8,19,17.3,18.6,18800
CAP,20100305,17.2,18,17.2,17.8,6300
CAP,20100304,18.4,18.4,18.4,18.4,100
CAP,20100303,17.4,17.4,17.4,17.4,100
CAP,20100302,16.5,16.5,16.5,16.5,100
CAP,20100301,16.5,16.5,16.5,16.5,500
CAP,20100226,16.4,16.5,16.4,16.5,500
CAP,20100225,16.4,16.4,16.4,16.4,500
CAP,20100224,16.6,16.7,16.6,16.6,1000
CAP,20100223,16.5,16.5,16.5,16.5,200
CAP,20100212,17.5,17.5,17.5,17.5,100
CAP,20100211,16.9,16.9,16.2,16.7,300
CAP,20100210,17.1,17.1,17.1,17.1,200
CAP,20100208,15.6,16,15.6,16,2100
CAP,20100205,16.2,16.2,16.2,16.2,1400
CAP,20100204,16.6,16.6,16.6,16.6,500
CAP,20100203,16.3,16.3,16,16.2,3300
CAP,20100202,16.9,16.9,16.3,16.3,5200
CAP,20100129,16.7,16.7,16.7,16.7,1000
CAP,20100128,19.5,19.5,17.7,17.9,1100
CAP,20100126,18.9,19.1,18.9,19,600
CAP,20100125,17.9,18.2,17.5,17.9,3000
CAP,20100122,18.6,18.6,17.1,17.2,1400
CAP,20100121,17.2,17.6,17.2,17.4,3200
CAP,20100120,18.4,18.4,18.4,18.4,100
CAP,20100119,17.2,17.2,17.2,17.2,1500
CAP,20100118,17,17,17,17,1900
CAP,20100115,17.6,17.6,17.5,17.5,1400
CAP,20100114,18,18,18,18,100
CAP,20100113,17.2,17.2,17.2,17.2,1300
CAP,20100112,17.5,17.5,17.2,17.2,1100
CAP,20100111,18.7,18.7,17.9,18.4,1200
CAP,20100108,19.2,19.2,18.5,18.7,5300
CAP,20100106,19,19.7,18.5,19.2,5600
CAP,20100105,19.3,20,19,19.7,6200
CAP,20100104,18.9,19.2,18.5,18.7,700
CAP,20091231,18.4,18.4,18.4,18.4,200
CAP,20091230,17.9,17.9,17.7,17.8,900
CAP,20091229,17.7,17.9,17.7,17.9,800
CAP,20091228,17.9,17.9,17.5,17.7,4100
CAP,20091225,17,17,17,17,200
CAP,20091224,15.9,15.9,15.9,15.9,300
CAP,20091223,14.8,15,14.8,14.9,400
CAP,20091222,15.6,15.6,15.5,15.6,1000
CAP,20091221,16.5,16.5,16.5,16.5,2000
CAP,20091218,15.5,15.5,15.5,15.5,1000
CAP,20091217,15.1,15.9,15,15,3800
CAP,20091216,16,16,16,16,1000
CAP,20091214,16.9,16.9,16,16.6,13000
CAP,20091211,16,16,15.8,15.8,6000
CAP,20091210,16.6,17,16,16.4,16400
CAP,20091209,17,17.3,16.8,17,4300
CAP,20091208,16.9,16.9,16.9,16.9,1000
CAP,20091207,17.6,17.6,17.6,17.6,500
CAP,20091204,18.1,18.1,17,17.1,2100
CAP,20091203,17.1,17.1,17,17.1,3000
CAP,20091202,18,18,18,18,2000
CAP,20091201,18.8,19.1,18.8,19,3800
CAP,20091127,17.8,17.8,17.8,17.8,100
CAP,20091126,17,17,16.8,16.8,2100
CAP,20091125,19.3,20.6,17.9,18.1,13600
CAP,20091124,19,19.5,19,19.3,5200
CAP,20091123,19.4,19.5,19.4,19.5,3000
CAP,20091120,20.6,20.6,19.8,20.2,2600
CAP,20091119,20.4,21.1,20.1,20.4,4600
CAP,20091118,20.5,20.5,19.6,19.7,2000
CAP,20091117,19.6,20,19.6,19.6,17300
CAP,20091116,19.4,19.5,19.3,19.4,13300
CAP,20091113,20.7,22,19.2,20.2,10900
CAP,20091112,20.8,21,20,20.7,11200
CAP,20091111,18.5,20.4,18.5,19.6,1300
CAP,20091110,19.4,19.6,19,19.1,17500
CAP,20091109,20.5,20.5,20.5,20.5,4200
CAP,20091106,23,23,21.6,22.1,7400
CAP,20091105,21.4,21.5,21.4,21.5,7400
CAP,20091104,19.2,20.7,19.2,20.1,3000
CAP,20091103,21,21.1,20.5,20.7,16500
CAP,20091102,23.3,23.3,21.9,22.1,17000
CAP,20091030,23,24,23,23.6,5300
CAP,20091029,25.4,25.4,22,22.6,13000
CAP,20091028,23,23.8,23,23.7,26700
CAP,20091027,23,23.2,21.1,22.2,3000
CAP,20091026,22.9,22.9,21.1,22,7200
CAP,20091023,22.5,23.6,21.8,22.1,15900
CAP,20091022,24.6,24.6,23.1,23.5,3500
CAP,20091021,25.7,25.7,24,24.6,17200
CAP,20091020,24.1,24.1,23.5,24,61300
CAP,20091019,22.5,22.5,22.5,22.5,44900
CAP,20091016,21,21,21,21,20800
CAP,20091015,19.6,19.6,19.6,19.6,4100
CAP,20091014,17.5,18.4,17.5,18.3,12400
CAP,20091013,16.8,17.5,16.8,17.2,2600
CAP,20091012,18.5,18.5,16.6,17,5300
CAP,20091009,16.7,17.5,16.7,17.3,1600
CAP,20091008,16.6,16.6,16.6,16.6,800
CAP,20091007,17.9,17.9,17.6,17.6,1100
CAP,20091005,16.7,16.7,16.7,16.7,500
CAP,20091002,18,18,18,18,100
CAP,20091001,17.6,17.6,17.2,17.4,5600
CAP,20090930,18.5,18.5,18.5,18.5,100
CAP,20090929,17.5,17.8,17.5,17.6,300
CAP,20090928,17,17.3,17,17.1,1800
CAP,20090925,18,18,18,18,100
CAP,20090924,18,18,17,17.8,6600
CAP,20090923,18,18,17.2,17.6,9700
CAP,20090922,17,17,17,17,2700
CAP,20090921,18.5,18.5,18,18,5100
CAP,20090918,19,19,17,17.6,5100
CAP,20090917,19,19,17,17.7,1400
CAP,20090916,18,18,18,18,100
CAP,20090915,16.8,16.8,16.8,16.8,2900
CAP,20090914,16.1,16.5,16.1,16.4,4300
CAP,20090911,16,16.7,16,16.3,3600
CAP,20090910,15.8,15.8,15.8,15.8,200
CAP,20090909,15.8,15.8,15.6,15.7,4800
CAP,20090908,15,16.2,15,16,5100
CAP,20090907,15.1,15.1,15,15.1,2100
CAP,20090904,16.1,16.3,16.1,16.2,4500
CAP,20090903,16.7,17.9,16.7,17.1,1700
CAP,20090901,17,18.1,17,17.9,1400
CAP,20090831,17.4,17.4,17,17.4,3900
CAP,20090828,15.5,16.9,15.5,16.2,9400
CAP,20090827,15.1,16,15.1,15.8,500
