<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CDC,20100729,40.1,41,40,41,104500
CDC,20100728,42,42.2,40.7,41.2,97700
CDC,20100727,42,43.2,41.7,42.2,125400
CDC,20100726,43,43,40.5,41.8,142300
CDC,20100723,44,44.2,42.3,42.8,114500
CDC,20100722,39.5,43.4,39.5,42.3,439100
CDC,20100721,42,42,39.9,40.6,161500
CDC,20100720,40.4,42.3,40.4,41.2,199000
CDC,20100719,40.9,41,40.1,40.4,120500
CDC,20100716,41,41,40,40.4,149900
CDC,20100715,41,43,40.5,41.7,133700
CDC,20100714,46.1,46.1,41.3,42.6,171300
CDC,20100713,42.9,43.2,42.7,43.1,156700
CDC,20100712,39.5,41.4,39,40.4,516900
CDC,20100709,37.5,39.1,37.5,38.7,179300
CDC,20100708,39,39,37.2,37.7,64600
CDC,20100707,39,39.8,37.5,38.1,74000
CDC,20100706,37.6,39.6,37.2,38.1,165300
CDC,20100705,36.9,37.5,36.9,37.2,106300
CDC,20100702,37,37.2,36.7,36.9,77400
CDC,20100701,37,37,36.2,36.7,44900
CDC,20100630,37.5,37.5,36.5,37,63600
CDC,20100629,38,38.5,37.8,38.1,126200
CDC,20100628,38,38.7,37.7,38,74700
CDC,20100625,38,38.8,38,38.4,40800
CDC,20100624,38.5,39.5,38.5,38.8,77000
CDC,20100623,37.8,38.6,37.7,38.2,68500
CDC,20100622,38.5,39,38,38.2,108200
CDC,20100621,39.8,39.8,38.8,39,46300
CDC,20100618,39.2,39.3,38.6,39,60200
CDC,20100617,41.3,41.3,38.5,39.2,67200
CDC,20100616,40.5,41.4,39.7,40.2,188200
CDC,20100615,39,40.5,38.6,39.1,210900
CDC,20100614,38.6,38.9,38.1,38.6,139400
CDC,20100611,39.5,39.5,38.3,38.8,100200
CDC,20100610,39,39,37.5,38,39800
CDC,20100609,39.4,39.4,37.5,38.1,72300
CDC,20100608,37.5,38.8,36.6,38.1,134500
CDC,20100607,38.3,39,38.3,38.4,153400
CDC,20100604,39.8,42.9,39.8,41.1,215000
CDC,20100603,41,41.1,39.4,40.1,68000
CDC,20100602,38.4,39.7,38.4,39.2,95000
CDC,20100601,39.7,40.1,37.5,39.1,157900
CDC,20100531,38,40,38,39,121900
CDC,20100528,37.5,38,36.5,37.9,273200
CDC,20100527,36.2,36.2,34.4,35.5,111700
CDC,20100526,31.9,36.6,31.9,35.4,97300
CDC,20100525,35.9,35.9,33.5,34.3,119900
CDC,20100524,33,34.2,32.2,33.5,132400
CDC,20100521,34.7,34.7,32.3,32.5,223800
CDC,20100520,33,36.3,32.7,34.8,172100
CDC,20100519,37.6,37.6,34.9,35.1,301700
CDC,20100518,37.9,38.5,36.9,37.6,157100
CDC,20100517,39.6,39.7,37.5,38,119600
CDC,20100514,38.9,39.8,38.3,39.1,86700
CDC,20100513,39,40,37,38.3,217200
CDC,20100512,41.5,41.5,39.3,39.6,398700
CDC,20100511,44.2,44.5,41.7,42.3,232700
CDC,20100510,44,44,41.5,42.5,222500
CDC,20100507,45.5,48,43.3,44.5,286400
CDC,20100506,42,45.8,42,45.4,639700
CDC,20100505,46,46,42.5,42.8,178200
CDC,20100504,45,45.5,43.7,44.3,235000
CDC,20100429,44.3,46,44,45,266200
CDC,20100428,42,44.8,42,43.9,248300
CDC,20100427,42,44,42,43.1,194600
CDC,20100426,43,43.9,41.3,42.5,307100
CDC,20100422,46,46.7,42.5,44.2,426000
CDC,20100421,43.4,46,42.5,43.8,364300
CDC,20100420,45,45,42,43.4,345800
CDC,20100419,41,43.6,41,43.5,806000
CDC,20100416,40.5,41.3,39.5,40.7,602300
CDC,20100415,37.8,39.5,37.1,38.6,425400
CDC,20100414,37.9,37.9,36.5,36.9,187800
CDC,20100413,37,38.9,37,37.6,305000
CDC,20100412,38,39.9,36.5,37.3,150700
CDC,20100409,39,39.5,37,37.7,253100
CDC,20100408,38.2,39.9,38,39.5,729800
CDC,20100407,35.4,37.9,35.4,37.3,335500
CDC,20100406,36,36.1,35.1,35.4,68900
CDC,20100405,34.5,36,34.5,35.3,138100
CDC,20100402,34.3,34.5,34.1,34.2,49500
CDC,20100401,34,35,33.7,34.3,47100
CDC,20100331,34.1,35,33.7,34.1,34400
CDC,20100330,35.1,35.1,34,34.1,61700
CDC,20100329,35,35.5,34.9,35.1,102000
CDC,20100326,34.4,34.7,33.8,34.2,87400
CDC,20100325,35.1,35.5,33.9,34.2,84200
CDC,20100324,37.5,37.5,36,36.4,59700
CDC,20100323,36.5,36.5,35.2,35.8,75900
CDC,20100322,37,37.5,35.9,36.5,52300
CDC,20100319,38,38,36,36.9,138000
CDC,20100318,35.7,37.5,35.3,36.2,127500
CDC,20100317,37.4,37.5,34.9,35.7,172400
CDC,20100316,37,40,36.8,37.5,212200
CDC,20100315,39.5,39.7,39,39.6,341600
CDC,20100312,35.9,37.9,35.6,37.1,228800
CDC,20100311,34.5,36.2,34.5,35.4,147700
CDC,20100310,34.5,34.8,33.8,34.1,63600
CDC,20100309,35.6,35.6,33.2,34.7,60000
CDC,20100308,35.5,36.1,35,35.7,115100
CDC,20100305,35,35.5,33.5,34.8,104000
CDC,20100304,35.9,36,34,35,57700
CDC,20100303,33.5,36,33.5,34.8,109600
CDC,20100302,33.9,34,33.1,33.7,213600
CDC,20100301,30.6,32,30.6,31.8,129200
CDC,20100226,29.9,30.5,29.7,29.9,56200
CDC,20100225,30,30.4,29.5,29.8,25000
CDC,20100224,29,30,28.6,29.2,35100
CDC,20100223,30.5,30.5,29.5,29.9,31500
CDC,20100222,32.3,32.3,30.6,31.1,25100
CDC,20100212,30.8,31.3,30.5,31,16500
CDC,20100211,30,30.7,29.9,30.3,28700
CDC,20100210,29.4,30,29.4,29.8,20500
CDC,20100209,30,30.2,28.7,29.2,55300
CDC,20100208,32.8,32.8,30,30.7,12200
CDC,20100205,32.4,32.5,30.5,31.1,54200
CDC,20100204,31.5,33,31.5,32.4,72100
CDC,20100203,31.2,31.5,30.7,31.2,36600
CDC,20100202,33,33,30.7,31.2,44900
CDC,20100201,31.3,32.1,30.9,31.5,51600
CDC,20100129,31,31.6,30.6,31.2,50300
CDC,20100128,30.8,32,30.8,31,51000
CDC,20100127,35.5,35.5,31.5,33,63600
CDC,20100126,32,33.4,31.5,33.3,242100
CDC,20100125,31.5,31.8,30.4,31.2,28500
CDC,20100122,30.3,32,30.3,30.8,101400
CDC,20100121,34,34.5,32.2,32.6,93100
CDC,20100120,36,36,33.5,34.6,68000
CDC,20100119,36,37,34.3,35.5,90700
CDC,20100118,41.5,41.5,36.1,36.9,58100
CDC,20100115,38.8,38.8,38.6,38.8,321700
CDC,20100114,34.3,36.4,34.3,36.2,295400
CDC,20100113,34.1,37.9,33.3,34.3,308100
CDC,20100112,37.4,37.8,34.9,35.6,179100
CDC,20100111,39.8,39.8,37.2,37.4,180000
CDC,20100108,40.8,41.6,38.4,39.8,239800
CDC,20100107,41.4,42.8,39,41.1,222000
CDC,20100106,41.6,41.6,39.1,41.3,379700
CDC,20100105,39.1,39.1,39,39.1,288000
CDC,20100104,36.5,36.7,36.5,36.7,51900
CDC,20091231,33.1,34.5,33.1,34.4,117100
CDC,20091230,31.5,33.5,31.5,32.4,136600
CDC,20091229,32,32.3,30.1,31.6,106000
CDC,20091228,32.4,32.4,30.6,32.2,236200
CDC,20091225,30.3,30.4,29.9,30.4,64700
CDC,20091224,27.8,29.5,27.6,28.6,123500
CDC,20091223,26.8,28.9,26.8,27.8,79000
CDC,20091222,27.8,29,27.3,28,112700
CDC,20091221,27.1,27.3,26.5,27.3,45000
CDC,20091218,25.5,25.8,25.5,25.7,57600
CDC,20091217,24.3,25.6,24.1,24.3,79000
CDC,20091216,27.2,27.6,25.6,25.7,33100
CDC,20091215,27.9,28.4,26.5,27.3,50100
CDC,20091214,27.1,28.7,26.5,27.6,63500
CDC,20091211,28.1,28.1,27.2,27.3,93900
CDC,20091210,30.8,31,28.8,29.1,82300
CDC,20091209,31.5,31.5,30.8,30.8,91500
CDC,20091208,33.4,33.4,32,32.9,44800
CDC,20091207,33.1,33.8,32.8,33.4,37900
CDC,20091204,33.4,33.9,32.9,33.3,59900
CDC,20091203,32.8,34,32.3,32.9,90300
CDC,20091202,38.4,38.4,34.1,34.6,81600
CDC,20091201,36.2,36.9,35.3,36.5,72400
CDC,20091130,34,35.2,33.7,34.7,63300
CDC,20091127,31.8,36.2,31.8,33.6,251600
CDC,20091126,34,34.4,34,34,236500
CDC,20091125,38.1,38.1,36.3,36.4,103400
CDC,20091124,39.3,40.2,38.1,38.8,187900
CDC,20091123,42.7,42.7,39.6,40.1,150900
CDC,20091120,41.2,43.1,41.2,42.4,82800
CDC,20091119,44,44,42.4,43.1,88700
CDC,20091118,41.5,44,39.9,42.1,205200
CDC,20091117,43.1,43.1,40.9,41.7,164300
CDC,20091116,42.8,44,42.8,43.8,175100
CDC,20091113,40.9,42,39.6,41.3,139800
CDC,20091112,40,40,37.8,39.4,218600
CDC,20091111,38.1,39.3,36.9,37.6,238100
CDC,20091110,42.1,42.1,39.3,39.5,201800
CDC,20091109,43.4,43.4,41.9,42.1,37000
CDC,20091106,45.6,45.6,42.8,44.9,183600
CDC,20091105,41.6,43.6,40.9,42.8,198400
CDC,20091104,40.6,43.4,40.6,40.9,214600
CDC,20091103,45.3,45.3,43.3,43.5,85600
CDC,20091102,46.4,49,46.4,46.4,35700
CDC,20091030,49,51.1,47.9,49.7,153900
CDC,20091029,49,49,47.7,47.9,122500
CDC,20091028,48.4,51.6,48.4,51.1,222700
CDC,20091027,49,50.3,48.3,48.4,176200
CDC,20091026,50.9,54.5,50.6,51.7,273700
CDC,20091023,55.3,56.2,51.8,54.3,334400
CDC,20091022,58.1,58.1,52.2,55.5,322500
CDC,20091021,54.5,54.5,54.1,54.5,259400
CDC,20091020,51.1,51.1,51.1,51.1,202700
CDC,20091019,45.9,48,45.9,47.9,113900
CDC,20091016,44.9,45.8,43.1,45,208500
CDC,20091015,42.1,43.7,42.1,42.9,155800
CDC,20091014,40,42.8,40,41.6,139600
CDC,20091013,44,44,40.6,41.8,99700
CDC,20091012,42.5,42.5,42.1,42.5,115800
CDC,20091009,39.3,40,39,39.9,254800
CDC,20091008,36.8,38.4,36.2,37.6,142400
CDC,20091007,36.5,36.5,35.4,36.1,35900
CDC,20091006,36.5,36.5,34.6,35.4,12700
CDC,20091005,34,35.3,33.2,34.5,76500
CDC,20091002,33.3,36.5,32.6,33.2,123400
CDC,20091001,35.9,36.4,33.8,34.9,183600
CDC,20090930,37.1,37.1,35.3,36.1,93900
CDC,20090929,38.2,38.4,36.5,37.3,92600
CDC,20090928,36.4,38.2,35.9,37,166800
CDC,20090925,35.9,37.4,34.3,35.9,125600
CDC,20090924,34.9,36.5,34.9,35.8,204300
CDC,20090923,35.6,37.3,34.9,36.2,310800
CDC,20090922,36.4,36.5,34,35,318700
CDC,20090921,34,34.7,33.4,34.5,56600
CDC,20090918,31.8,32.8,30.9,32.6,172100
CDC,20090917,30.6,31.5,29.8,30.8,240800
CDC,20090916,31.2,31.2,29.6,30.6,503900
CDC,20090915,32.8,32.8,30.3,31,280400
CDC,20090914,29.9,31.8,28.4,31.3,294200
CDC,20090911,30,30,29.1,29.9,426200
CDC,20090910,28.6,28.6,27.1,28.2,465700
CDC,20090909,26.8,27.6,26.2,26.9,496700
CDC,20090908,25.6,26.4,25.4,26,77700
CDC,20090907,24.8,25.5,24.8,25.1,104400
CDC,20090904,25.1,25.3,24.6,24.9,123200
CDC,20090903,25.3,25.3,24.8,25.1,95000
CDC,20090901,26.2,26.2,25.4,25.6,201900
CDC,20090831,25.9,26.2,25.6,25.9,104300
CDC,20090828,25.4,25.9,25.3,25.5,86100
CDC,20090827,25.3,25.5,24.9,25.2,97700
CDC,20090826,24.6,25.6,24.6,25.3,114000
CDC,20090825,25.9,26,24.9,25.4,73900
CDC,20090824,28.1,28.1,25.9,26.4,34000
CDC,20090821,27.3,27.3,26.3,27.3,218400
CDC,20090820,25,26.1,24.8,25.7,321600
CDC,20090819,24.8,25.2,24.3,24.5,56600
CDC,20090818,24.1,24.6,24,24.4,46200
CDC,20090817,24.6,24.7,24,24.6,59700
CDC,20090814,24.4,24.9,24.4,24.7,95600
CDC,20090813,25.3,25.9,24.6,24.8,97200
CDC,20090812,24.6,25.3,24.3,24.7,69900
CDC,20090811,24.3,25.3,23.4,24.7,95200
CDC,20090810,23.3,24.4,23.1,24.2,154600
CDC,20090807,22.8,23.4,22.8,23,128200
CDC,20090806,22.1,23.2,22.1,22.9,139600
CDC,20090805,20.9,22.3,20.9,21.8,110500
CDC,20090804,20.9,21.4,20.8,21.1,40400
CDC,20090803,20.8,20.9,20.5,20.8,22100
CDC,20090731,21,21.1,20.3,20.9,54000
CDC,20090730,19.9,20.3,19.6,19.9,32400
CDC,20090729,21.5,21.5,20.4,20.6,80400
CDC,20090728,21.8,22.2,21.4,21.8,50500
CDC,20090727,23.6,23.6,22.3,22.9,72100
CDC,20090724,21.9,22.3,21.8,22.2,54000
CDC,20090723,20,21.3,20,20.9,93900
CDC,20090722,20.4,20.5,19.8,20,50900
CDC,20090721,20.3,20.6,19.6,19.9,25400
CDC,20090720,19.8,19.9,19.6,19.6,78000
CDC,20090717,21.1,21.2,20.6,20.8,73300
CDC,20090716,21.5,21.8,20.6,21.2,45400
CDC,20090715,20.7,20.9,20.2,20.6,39900
CDC,20090714,20.9,20.9,19.5,20.1,59700
CDC,20090713,20.9,21,20.2,20.4,51700
CDC,20090710,21.5,21.6,21.1,21.3,51300
CDC,20090709,22.1,22.7,21.8,22.3,29900
CDC,20090708,22.4,22.8,21.8,22.3,19200
CDC,20090707,23.3,23.3,21.9,22.8,113500
CDC,20090706,21.8,21.9,21.8,21.9,67000
CDC,20090703,19.6,21.3,19.6,20.7,69600
CDC,20090702,21.6,21.6,20.5,20.9,115500
CDC,20090701,20.7,20.7,20.4,20.5,82200
CDC,20090630,24.2,24.2,21.3,21.8,80500
CDC,20090629,21.9,23.1,21.9,22.8,108200
CDC,20090626,22.6,22.6,21.3,21.8,98500
CDC,20090625,24.6,24.9,22.1,22.6,104900
CDC,20090624,22.2,24.6,22.2,23.5,139000
CDC,20090623,23.7,23.7,23.7,23.7,13200
CDC,20090622,27.1,27.1,25,25.3,69200
CDC,20090619,27.2,27.2,25.6,26.7,236600
CDC,20090618,24.6,25.6,24.6,25.6,223400
CDC,20090617,23.7,25.6,23.7,24.1,299500
CDC,20090616,25.3,25.4,25.2,25.3,63200
CDC,20090615,28.7,29,26.9,26.9,163500
CDC,20090612,30.3,30.3,27.1,28.7,201400
CDC,20090611,27.1,29.1,27.1,28.6,183500
CDC,20090610,30.1,30.1,26.5,27.3,276700
CDC,20090609,30.8,30.8,27.6,28.3,210800
CDC,20090608,29.4,29.4,29.1,29.4,581300
CDC,20090605,27.7,27.7,27.7,27.7,177600
CDC,20090604,26.1,26.1,26.1,26.1,16000
CDC,20090603,24.5,24.5,24.5,24.5,304000
CDC,20090602,23.1,23.1,23.1,23.1,10600
CDC,20090601,21.2,21.9,21.2,21.8,69200
CDC,20090529,20.9,21.4,20.1,20.7,67300
CDC,20090528,21,21.7,20.9,21.1,96400
CDC,20090527,24.2,24.3,21.5,22.3,134500
CDC,20090526,23.5,23.5,22.1,22.9,126500
CDC,20090525,20.9,22.3,20.9,22.1,134500
CDC,20090522,21.8,21.8,20.9,20.9,95300
CDC,20090521,22.1,22.8,21.4,22.3,128300
CDC,20090520,22.8,22.8,20.9,22.3,133700
CDC,20090519,21.9,21.9,20.9,21.5,176200
CDC,20090518,20.8,20.8,20,20.7,222700
CDC,20090515,19.6,19.6,19.6,19.6,125800
CDC,20090514,17.5,18.6,17.5,18.4,143000
CDC,20090513,17.1,17.9,17,17.5,71600
CDC,20090512,16.3,17.4,16.1,16.9,55800
CDC,20090511,17.7,17.7,16.6,16.9,53800
CDC,20090508,16.8,17.6,16.6,17.1,27000
CDC,20090507,17.1,18.1,17.1,17.6,34400
CDC,20090506,18.1,18.1,16.9,17.2,39000
CDC,20090505,18,18,17.1,17.9,171700
CDC,20090504,17,17,17,17,11700
CDC,20090429,15.9,16.4,15.8,16.1,22600
CDC,20090428,15.9,16.1,15.4,15.7,15000
CDC,20090427,15.6,15.6,15.1,15.4,29100
CDC,20090424,15,15,14.4,14.7,19700
CDC,20090423,15.3,15.4,15.1,15.3,33900
CDC,20090422,15.6,16.1,15.6,15.9,23900
CDC,20090421,15.3,15.4,15.3,15.3,88200
CDC,20090420,16.2,16.2,16.2,16.2,2500
CDC,20090417,18.4,18.4,17.1,17.2,24400
CDC,20090416,18.2,19.1,17.8,18.2,38900
CDC,20090415,18.6,18.6,18.1,18.1,34100
CDC,20090414,19.6,19.9,18.8,19.3,50500
CDC,20090413,18.8,18.9,18.5,18.8,40300
CDC,20090410,17.4,17.9,17.4,17.8,132800
CDC,20090409,16.9,16.9,16.3,16.9,44500
CDC,20090408,17.9,17.9,16.4,16.9,63700
CDC,20090407,17.3,17.5,16.5,17.3,57100
CDC,20090403,16.5,16.5,16.4,16.5,46700
CDC,20090402,15.5,15.7,15.3,15.6,52200
CDC,20090401,14.6,14.9,14.3,14.8,32700
CDC,20090331,14,14.3,14,14.1,30200
CDC,20090330,13.6,14.2,13.6,14.1,34100
CDC,20090327,14.3,14.4,14,14.3,110300
CDC,20090326,14.3,14.4,14,14.2,18900
CDC,20090325,13.9,14.3,13.9,14.1,25900
CDC,20090324,13.9,14,13.7,13.9,51900
CDC,20090323,13.1,13.6,13.1,13.3,17100
CDC,20090320,13.7,14.3,13.6,13.8,26800
CDC,20090319,14.8,14.8,13.4,14.1,30500
CDC,20090318,13.9,14.1,13.7,14,40900
CDC,20090317,12.9,13.4,12.9,13.3,45800
CDC,20090316,12.8,12.8,12.5,12.7,82600
CDC,20090313,12.8,12.9,12.7,12.8,23000
CDC,20090312,12.6,13,12.5,12.8,21100
CDC,20090311,13.3,13.3,13.1,13.2,30200
CDC,20090310,12.4,12.7,12.4,12.6,25900
CDC,20090309,12.3,12.6,12.3,12.4,15500
CDC,20090306,11.9,12.4,11.9,12.3,29000
CDC,20090305,12.4,12.5,12.1,12.3,13100
CDC,20090304,11.8,12.1,11.8,11.9,34700
CDC,20090303,11.8,11.9,11.5,11.7,273900
CDC,20090302,11.3,11.9,11.1,11.8,44100
CDC,20090227,10.9,11.4,10.9,11.3,20400
CDC,20090226,11.1,11.4,11,11.2,41100
CDC,20090225,11.4,11.4,11.3,11.4,11400
CDC,20090224,10.9,10.9,10.6,10.8,6700
CDC,20090223,11.7,11.7,11.1,11.2,15400
CDC,20090220,11.8,11.8,11.8,11.8,18400
