<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CPC,20100729,23.5,24,23.1,24,41200
CPC,20100728,23.8,24,22.8,23.3,216500
CPC,20100727,23.5,25,23.5,23.9,219000
CPC,20100726,25.2,26,24.4,24.9,180400
CPC,20100723,27.5,27.8,25.7,26.2,60500
CPC,20100722,27,28.3,26.8,27.2,143000
CPC,20100721,29.8,29.9,28,28.8,186800
CPC,20100720,28,28,27.5,28,379500
CPC,20100719,24.7,26.4,24.7,26.2,321500
CPC,20100716,24.6,25.3,24.2,24.7,119700
CPC,20100715,24.8,26,24.8,25.4,81900
CPC,20100714,27.4,27.4,24.5,25,78600
CPC,20100713,25.7,25.7,25.5,25.7,175800
CPC,20100712,23,24.2,23,24.1,309900
CPC,20100709,22.6,23,22.5,22.7,32200
CPC,20100708,22.5,22.5,22.5,22.5,7100
CPC,20100707,22.3,23.3,22.3,22.5,27200
CPC,20100706,22.6,22.6,21.9,22.2,21700
CPC,20100705,22.5,22.7,22.5,22.6,8300
CPC,20100702,22.7,22.8,22.6,22.7,37100
CPC,20100701,22.5,22.8,22.4,22.6,33100
CPC,20100630,22.5,22.9,22.4,22.6,37600
CPC,20100629,23,23.4,22.7,22.9,18700
CPC,20100628,23,23.2,22.6,23,20900
CPC,20100625,23.5,23.5,23,23.2,22500
CPC,20100624,24,24.3,24,24.1,15000
CPC,20100623,23.5,24.2,23.5,24,9300
CPC,20100622,23.4,24.8,23.4,24.3,117100
CPC,20100621,23.2,23.6,23,23.2,73700
CPC,20100618,23.3,23.3,22.3,22.4,51700
CPC,20100617,22.7,23.2,22.6,22.8,24400
CPC,20100616,22.8,23.1,22.5,22.8,25300
CPC,20100615,23,23.3,22.7,23,22000
CPC,20100614,23,23.3,23,23,9300
CPC,20100611,23.9,24.1,22.8,23.4,23200
CPC,20100610,21.2,23.4,21.2,22.7,16100
CPC,20100609,24,24,22.4,22.6,700
CPC,20100608,22.5,22.5,22.5,22.5,15000
CPC,20100607,23,23,22.3,22.7,10800
CPC,20100604,23.2,23.2,23,23.1,5900
CPC,20100603,24,24.3,23.6,24.1,42400
CPC,20100602,23.4,23.4,22,22.8,14400
CPC,20100601,23,23.1,22.3,22.7,11500
