<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CSC,20100729,35.4,35.6,35.4,35.6,1800
CSC,20100728,35.5,35.5,33,33.1,2600
CSC,20100727,34.5,34.5,34.3,34.4,4200
CSC,20100726,34.7,35.1,34,34.3,11300
CSC,20100723,35.4,35.6,35,35.2,9700
CSC,20100722,35.8,35.9,35,35.6,8700
CSC,20100721,36.1,36.5,35.5,35.8,25300
CSC,20100720,38.3,38.3,36,37.2,20100
CSC,20100719,38.9,38.9,38,38.5,11900
CSC,20100716,36,38.7,36,37.3,40100
CSC,20100715,38.1,38.1,38,38.1,56600
CSC,20100714,40.6,40.8,38.5,40.6,23900
CSC,20100713,38.6,38.7,37.2,38.2,11000
CSC,20100712,35,37,35,36.2,47000
CSC,20100709,38.8,38.8,36,37.5,17700
CSC,20100708,36.3,38.4,36.1,37,22700
CSC,20100707,38.8,38.8,38.8,38.8,17300
CSC,20100706,40,43.5,39.8,41.7,9300
CSC,20100705,43.1,43.3,40.5,42.7,35500
CSC,20100702,40.6,40.6,39,40.5,118300
CSC,20100701,38.1,38.1,37.5,38,72500
CSC,20100630,34.5,36.1,34.5,35.7,36700
CSC,20100629,33.6,34.9,33.5,33.8,17900
CSC,20100628,34.2,34.3,33.2,33.6,25800
CSC,20100625,33.1,34,32.7,33.2,12000
CSC,20100624,35.7,35.7,33,35.1,3500
CSC,20100623,34.7,34.7,34.6,34.7,200
CSC,20100622,35.2,35.5,32.9,34.2,4500
CSC,20100621,36.9,36.9,35,35.2,4900
CSC,20100618,36.3,36.3,34.5,35.5,24900
CSC,20100617,35,35,33.5,34.2,33200
CSC,20100616,34.8,35.6,34.8,35.2,4100
CSC,20100615,36.5,36.8,34.7,35.3,11800
CSC,20100614,38.4,38.4,35.6,37.3,14200
CSC,20100611,39.5,39.6,36,37.8,11300
CSC,20100610,38.9,38.9,36,38,11000
CSC,20100609,38,38.5,36.7,38.3,17000
CSC,20100608,36,36,36,36,5600
CSC,20100607,36.2,36.2,34,36.2,59300
CSC,20100604,32.8,34.9,32.7,33.9,20100
CSC,20100603,34.4,34.4,32.5,32.7,2900
CSC,20100602,33.8,33.8,32.6,33,5300
CSC,20100601,32,33.4,32,32.6,5600
CSC,20100531,38.3,38.3,33.5,34.3,5300
CSC,20100528,36,36,36,36,1300
CSC,20100527,35.4,35.4,33.8,34.6,1000
CSC,20100526,32.9,34.4,32.9,33.9,4800
CSC,20100525,37,37,33.1,33.6,7600
CSC,20100524,35.5,35.5,35.5,35.5,1000
CSC,20100521,33.3,33.3,33.3,33.3,3000
CSC,20100520,35.2,36.9,34,35.8,5500
CSC,20100519,37.6,37.6,34.8,35.3,1200
CSC,20100518,37.3,37.3,37.3,37.3,500
CSC,20100517,35.1,35.2,35,35,28700
CSC,20100514,37.8,37.8,36.6,37.6,6200
CSC,20100513,36.9,36.9,36,36.7,6100
CSC,20100512,39.6,39.6,34.7,34.9,20400
CSC,20100511,39,39,37.2,37.3,21000
CSC,20100510,40.3,40.3,37.7,39.9,6100
CSC,20100507,39.9,39.9,36.4,37.7,20600
CSC,20100506,39.9,40,37.9,39,25700
CSC,20100505,38.1,38.1,37.6,37.8,18600
CSC,20100504,40.4,43.1,40.2,40.4,7000
CSC,20100429,41.2,44.6,40.9,43.1,26500
CSC,20100428,45.1,45.1,43,43.9,15800
CSC,20100427,43.7,46.7,43.7,46.1,41900
CSC,20100426,43.7,43.8,43.7,43.7,51000
CSC,20100422,50,50.2,44,46.9,26300
CSC,20100421,47.2,47.2,44.2,47,195300
CSC,20100420,44.2,44.2,44.2,44.2,59200
CSC,20100419,41.4,41.4,41.4,41.4,21200
CSC,20100416,38.7,38.7,38.7,38.7,2000
CSC,20100415,36.1,36.2,36.1,36.2,7300
CSC,20100414,33.7,36,33.5,33.9,68400
CSC,20100413,33.8,33.8,32.5,33.7,14700
CSC,20100412,33.8,33.9,33.5,33.6,11300
CSC,20100409,33.4,33.9,33.4,33.6,24400
CSC,20100408,34.5,34.5,33,33.4,29000
CSC,20100407,33,33,32.8,33,7500
CSC,20100406,34,34,32.6,32.7,12000
CSC,20100405,32.3,32.3,32,32.2,14400
CSC,20100402,32.2,32.3,32.2,32.2,8200
CSC,20100401,31.8,32.5,31.8,32.2,3600
CSC,20100331,33,33,31.6,31.9,6900
CSC,20100330,33.5,34,33.5,33.6,12900
CSC,20100329,32.5,32.7,32.5,32.7,24400
CSC,20100326,30,31.1,30,30.6,32300
CSC,20100325,29.3,29.5,28.5,29.1,12400
CSC,20100324,29,30,29,29.3,9900
CSC,20100323,29,29.8,29,29.1,10000
CSC,20100322,29,29.2,29,29,17900
CSC,20100319,30.4,30.4,29.8,30.1,14600
CSC,20100318,28.5,28.5,28.5,28.5,15300
CSC,20100317,27.3,28,27.3,27.5,6300
CSC,20100316,28.8,28.8,27.6,28.5,11500
CSC,20100315,28.8,29.9,28.8,28.9,20800
CSC,20100312,29.1,29.3,28.8,29,21300
CSC,20100311,29.5,29.5,28.8,29.1,7500
CSC,20100310,30.3,30.6,28.8,29.7,10500
CSC,20100309,29.5,29.5,27.2,28.9,13800
CSC,20100308,28.4,29.5,27.6,28.8,22300
CSC,20100305,27.5,28.2,27.2,27.9,14200
CSC,20100304,29.2,29.2,28.4,28.8,10100
CSC,20100303,28.8,28.8,27.6,28.3,3200
CSC,20100302,29.5,29.5,28,28.7,2700
CSC,20100301,28.3,28.3,28.2,28.2,25800
CSC,20100226,29.9,30.1,29.9,30,4500
CSC,20100225,30.1,30.2,30.1,30.1,3200
CSC,20100224,29.5,30.2,29.2,30.1,6900
CSC,20100222,31.1,31.1,30.7,30.8,1200
CSC,20100212,30.7,30.7,30.7,30.7,2100
CSC,20100211,29.1,31,29.1,30.5,3000
CSC,20100209,30.7,31.1,29.9,30.9,1500
CSC,20100208,30,30,30,30,200
CSC,20100205,32.2,32.2,28.7,28.9,2600
CSC,20100204,30.7,31.1,30.2,30.4,4600
CSC,20100203,30.7,30.7,30.2,30.3,19500
CSC,20100202,30.3,30.3,29.9,30.3,5900
CSC,20100201,30.2,30.2,29.5,29.9,3200
CSC,20100129,28.8,28.8,28.7,28.8,6400
CSC,20100128,28.3,28.7,27.1,27.2,41600
CSC,20100127,29.7,29.7,27.5,28.8,3200
CSC,20100126,29.7,29.7,28.7,29.2,10400
CSC,20100125,30.8,30.8,27.5,28,15900
CSC,20100122,31.2,31.2,27.9,29.3,9400
CSC,20100121,29.3,31.1,29.3,29.7,27300
CSC,20100120,31.4,31.4,31,31.2,1500
CSC,20100119,32,32,30.6,31.2,3900
CSC,20100118,32.5,32.5,30.1,30.6,1300
CSC,20100115,32,32,32,32,100
CSC,20100114,32,32,32,32,1600
CSC,20100113,31.6,33.8,31.6,32,6100
CSC,20100112,34.8,34.8,31.5,33.7,10400
CSC,20100111,33.2,33.2,31.5,32.8,13500
CSC,20100108,31.4,31.6,31.3,31.3,58800
CSC,20100107,34.5,34.5,33.3,33.4,1200
CSC,20100106,35.5,35.5,35.5,35.5,6100
CSC,20100105,37,37,35.2,36.8,28500
CSC,20100104,35.2,35.2,32.1,34.8,11200
CSC,20091231,35.2,35.2,33.4,33.9,4600
CSC,20091230,32.9,33.6,32.9,33.4,27100
CSC,20091229,31.5,33.2,31.3,31.7,29400
CSC,20091228,32.1,32.1,30.2,31.3,11000
CSC,20091225,32.2,32.4,31.2,32.1,18700
CSC,20091224,30.2,30.6,30.2,30.5,8600
CSC,20091223,31.1,31.1,29.2,29.4,23600
CSC,20091222,32.2,32.2,30.6,31.1,10300
CSC,20091221,31.4,31.4,29.5,30.8,10700
CSC,20091218,29.8,30.4,27,29.6,15400
CSC,20091217,28.7,28.7,28.7,28.7,15000
CSC,20091216,31,31,30.5,30.5,7900
CSC,20091215,32.5,34.5,32.5,32.5,17600
CSC,20091214,34.4,37.2,34.4,34.6,36300
CSC,20091211,36.7,36.7,36.7,36.7,8500
CSC,20091210,44,44,38.8,39.2,12600
CSC,20091209,41.7,41.7,39.6,41.4,1200
CSC,20091208,43.7,43.7,41.5,42.3,3300
CSC,20091207,42.1,42.1,42,42.1,1500
CSC,20091204,40.5,40.5,36.5,39.6,2200
CSC,20091203,38.5,40.9,38.5,38.6,14200
CSC,20091202,42.2,42.2,40.6,40.9,19600
CSC,20091201,44.1,44.2,42.2,43.4,28600
CSC,20091130,37.3,42.2,37.3,41.9,29600
CSC,20091127,39.3,42.5,39.3,39.8,56000
CSC,20091126,41.9,41.9,41.9,41.9,29900
CSC,20091125,47.5,47.5,44.6,44.8,31300
CSC,20091124,48.3,48.4,47.1,47.6,59000
CSC,20091123,51.4,52.8,47.4,50.3,38900
CSC,20091120,49.8,49.8,49.7,49.8,92000
CSC,20091119,46.8,46.8,46.8,46.8,18200
CSC,20091118,44.8,47.8,42.2,44,98400
CSC,20091117,45.2,47.9,44.5,45,96200
CSC,20091116,51.6,51.6,46.3,47.5,72400
CSC,20091113,47.2,52.5,46.7,49.5,104200
CSC,20091112,53.6,53.6,47.2,49.9,92700
CSC,20091111,50.4,50.4,50.4,50.4,16300
CSC,20091110,47.4,47.4,47.4,47.4,46600
CSC,20091109,44.5,44.5,44.5,44.5,67800
CSC,20091106,41.9,41.9,41.9,41.9,20900
CSC,20091105,39.5,39.5,39.5,39.5,25400
CSC,20091104,30.6,41.4,30.6,37.2,153600
