<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CSM,20100729,36,36.1,35,36,45130
CSM,20100728,37.1,37.1,36.1,36.1,21530
CSM,20100727,37,37.4,36.8,37,35850
CSM,20100726,37.2,37.9,37,37,64630
CSM,20100723,38,38.9,37.9,37.9,32020
CSM,20100722,38,38.3,38,38.1,31500
CSM,20100721,38.6,38.7,38,38.1,45320
CSM,20100720,39,39,38.7,38.7,38790
CSM,20100719,39.2,39.2,38.8,39,29760
CSM,20100716,39.4,39.4,39.2,39.2,51110
CSM,20100715,39.1,39.8,39.1,39.4,81450
CSM,20100714,40.2,40.2,39.8,39.9,156450
CSM,20100713,39,40,38.8,39.7,91620
CSM,20100712,38.9,38.9,38.4,38.7,29700
CSM,20100709,38.6,39,38.5,38.6,94720
CSM,20100708,39.2,39.2,38.6,38.6,44430
CSM,20100707,40.4,40.4,38.6,38.6,104220
CSM,20100706,39.3,40,39.3,39.4,163710
CSM,20100705,37.9,39.3,37.8,39.3,183710
CSM,20100702,38,38.3,37.4,37.5,67680
CSM,20100701,38,38.5,37.9,37.9,59510
CSM,20100630,37.1,38.6,37.1,38.6,100660
CSM,20100629,39,39,38.5,38.5,123010
CSM,20100628,39,39,38.8,38.8,34000
CSM,20100625,39.1,39.8,39,39,60220
CSM,20100624,40,40,39.7,39.8,63870
CSM,20100623,38.5,40,38.5,40,31310
CSM,20100622,40.5,40.5,39.9,40,81770
CSM,20100621,40.5,40.8,40.5,40.6,61030
CSM,20100618,40.8,40.8,40.3,40.7,40410
CSM,20100617,40,40.8,40,40.8,56010
CSM,20100616,40.5,40.5,40,40.5,61440
CSM,20100615,40.1,40.5,39.8,39.9,66990
CSM,20100614,41.3,41.8,40.5,40.5,73780
CSM,20100611,43,43,41.8,42,118550
CSM,20100610,40.4,41.2,40.4,41.2,124710
CSM,20100609,41.5,41.5,40.8,41.2,61960
CSM,20100608,41.5,41.9,41.2,41.5,107150
CSM,20100607,40.4,42.3,40.4,41.5,442130
CSM,20100604,41.2,41.5,40.4,40.4,99790
CSM,20100603,41.9,41.9,41.2,41.2,104230
CSM,20100602,41.2,41.5,41.2,41.5,107730
CSM,20100601,41.5,41.9,41.2,41.5,78850
CSM,20100531,41.5,42.7,41.5,42.3,103430
CSM,20100528,43.1,43.1,41.9,42.7,170560
CSM,20100527,40.8,41.5,40.4,41.2,98670
CSM,20100526,40.4,41.2,40,41.2,170760
CSM,20100525,39.2,39.6,38.8,39.2,115450
CSM,20100524,38.5,39.6,38.5,39.2,125900
CSM,20100521,39.2,40,39.2,39.2,209510
CSM,20100520,39.6,41.2,39.2,41.2,177740
CSM,20100519,41.5,41.9,41.2,41.2,305330
CSM,20100518,44.2,44.2,43.1,43.1,141290
CSM,20100517,45.4,45.4,43.8,44.2,118410
CSM,20100514,46.2,46.2,45.8,45.8,100710
CSM,20100513,46.2,47.3,45.8,45.8,155350
CSM,20100512,47.7,47.7,45.8,45.8,173280
CSM,20100511,46.5,47.7,46.5,47.7,307060
CSM,20100510,46.5,46.9,45.4,45.8,175770
CSM,20100507,48.1,48.5,46.5,46.9,299460
CSM,20100506,48.5,48.8,48.1,48.5,129680
CSM,20100505,49.2,49.2,48.5,48.5,162920
CSM,20100504,49.6,49.6,48.8,49.2,147090
CSM,20100429,49.6,50,48.8,49.2,265850
CSM,20100428,48.8,50,48.8,49.6,116450
CSM,20100427,49.6,50,49.2,49.2,126580
CSM,20100426,51,51,49.2,50,207870
CSM,20100422,49.6,51,49.6,51,583290
CSM,20100421,48.5,49.2,48.5,48.5,99040
CSM,20100420,49.2,49.2,48.1,48.8,228020
CSM,20100419,49.6,49.6,48.8,48.8,69300
CSM,20100416,50,50,49.6,49.6,164590
CSM,20100415,49.6,50,49.2,49.2,134750
CSM,20100414,49.2,49.6,48.8,49.6,114930
CSM,20100413,50,50.5,49.2,49.6,123710
CSM,20100412,51,51,50,50,209410
CSM,20100409,50,51,49.6,50,281030
CSM,20100408,50.5,50.5,49.2,49.6,229780
CSM,20100407,49.2,50.5,49.2,50,221800
