<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CTI,20100729,44.4,46.9,44.4,46.7,415140
CTI,20100728,43.8,45,43.4,45,306860
CTI,20100727,42.3,44.9,41.3,43.3,256570
CTI,20100726,43.4,43.6,43.3,43.3,100860
CTI,20100723,43.3,45.5,43.1,45.5,329210
CTI,20100722,43.3,45.3,43.1,45.3,428350
CTI,20100721,46,47.5,45.3,45.3,356680
CTI,20100720,47,49,46.7,47.6,311820
CTI,20100719,49,52.5,49,49,196190
CTI,20100716,51,51,51,51,227260
CTI,20100715,46.5,48.8,46.5,48.8,354430
CTI,20100714,47,50,46.1,46.5,743300
CTI,20100713,46.3,48.5,46.3,48.5,289830
CTI,20100712,44.9,46.3,44.4,46.3,134810
CTI,20100709,42,44.1,40.6,44.1,384540
CTI,20100708,44.8,44.8,42,42,424760
CTI,20100707,41.1,43.1,39.5,43.1,539310
CTI,20100706,44,44,41.1,41.1,396580
CTI,20100705,41,43,41,43,215710
CTI,20100702,39.1,41,38.8,41,254480
CTI,20100701,37.6,39.4,37.5,39.1,365910
CTI,20100630,35.8,37.6,35.7,37.6,375470
CTI,20100629,37,39,37,37.5,207030
CTI,20100628,34.9,37.5,34.9,37.5,357740
CTI,20100625,36.2,37.8,36,36,171600
CTI,20100624,37,38,36.2,37.8,242290
CTI,20100623,35.3,37,33.9,37,413330
CTI,20100622,35.3,35.3,35.3,35.3,382690
CTI,20100621,33.7,33.7,33.7,33.7,126770
CTI,20100618,32.1,32.1,31,32.1,666810
CTI,20100617,30.6,30.6,30.6,30.6,226630
CTI,20100616,29.2,29.2,29.2,29.2,375750
CTI,20100615,28.4,28.4,27.8,27.9,116080
CTI,20100614,28.2,28.2,27.9,27.9,23290
CTI,20100611,28.5,28.5,27.9,28,136460
CTI,20100610,27.3,28,27.3,27.8,84720
CTI,20100609,28,28,27.3,27.3,99420
CTI,20100608,27,28.4,27,27.2,118600
CTI,20100607,27.6,28.6,27.6,27.6,230160
CTI,20100604,29,29.1,28.5,29,69420
CTI,20100603,28.5,29.4,28,29,132990
CTI,20100602,28,28,26.8,28,135410
CTI,20100601,28.3,28.7,27.8,28,76510
CTI,20100531,28.8,29,28,28.3,106740
CTI,20100528,28.8,28.8,27.7,28.8,150670
CTI,20100527,27.5,27.9,27.1,27.5,86580
CTI,20100526,26.8,27.5,26.3,27.5,138640
CTI,20100525,26.5,26.8,25.5,26.2,46790
CTI,20100524,25.6,26.8,25.2,25.6,34550
CTI,20100521,25.9,26,25.9,25.9,171910
CTI,20100520,25.2,27.2,25.2,27.2,136190
CTI,20100519,27,28,26.5,26.5,139390
CTI,20100518,27,28.3,27,27.8,146730
CTI,20100517,30,30,27.8,27.9,100980
CTI,20100514,29,29.1,27.3,29.1,257130
CTI,20100513,28.7,29,28.7,28.7,471300
CTI,20100512,30.2,30.2,30.2,30.2,23420
CTI,20100511,33.3,33.3,31.7,31.7,100440
CTI,20100510,35,35,33.3,33.3,161870
CTI,20100507,34.3,35,34,35,345100
CTI,20100506,35.7,35.7,34.1,35.7,422880
CTI,20100505,31.5,34,31.5,34,263860
CTI,20100504,32.4,32.4,31.2,32.4,183080
CTI,20100429,30,30.9,29.2,30.9,291750
CTI,20100428,28.1,29.5,28,29.5,284810
CTI,20100427,30,30,28.9,29.3,106350
CTI,20100426,30.3,30.3,29.5,30.3,515370
CTI,20100422,28.9,28.9,28.9,28.9,110440
CTI,20100421,27,27.6,26.9,27.6,509740
CTI,20100420,26.9,26.9,25.9,26.3,249290
CTI,20100419,25.2,26.2,25.2,25.8,67600
CTI,20100416,26,26.4,25.9,26.1,217630
CTI,20100415,26,26.3,25.8,26.3,78710
CTI,20100414,25.8,25.9,25,25.9,60890
CTI,20100413,26.2,26.2,25.8,25.8,102620
CTI,20100412,26.8,26.8,26.1,26.2,128010
CTI,20100409,25.6,26.1,25.5,26,105310
CTI,20100408,26.2,26.2,25.6,25.6,51720
CTI,20100407,24.5,25.7,24.5,25.7,150190
CTI,20100406,26,26,24.5,24.5,63980
CTI,20100405,25.5,25.5,24.5,24.9,83270
CTI,20100402,26.5,26.9,25.5,25.5,97110
CTI,20100401,26.5,26.5,25.5,26.5,359730
CTI,20100331,25.3,25.3,25.3,25.3,31140
CTI,20100330,22.9,24.1,22.9,24.1,97630
CTI,20100329,24,24.5,23,23,96800
CTI,20100326,25.2,25.2,24.2,24.2,14800
CTI,20100325,24.4,25,24.4,24.4,40060
CTI,20100324,25.3,26.3,25.3,25.5,78590
CTI,20100323,28,28.2,26.4,26.4,349160
CTI,20100322,27.7,27.7,27.6,27.7,487370
CTI,20100319,26.4,26.4,26.4,26.4,66100
