<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CTM,20100729,45,45.5,44.9,45.3,18200
CTM,20100728,47,47.9,45,47.8,21100
CTM,20100727,47,47.5,45.7,47.1,27400
CTM,20100726,45.1,45.1,44,44.5,29300
CTM,20100723,47.5,47.6,47,47.1,7700
CTM,20100722,47.9,47.9,46.6,47.2,31800
CTM,20100721,47.5,47.5,47,47.2,25800
CTM,20100720,48,48.2,48,48.2,21300
CTM,20100719,49,49,48,48.2,7100
CTM,20100716,49.6,49.6,48,48.2,15500
CTM,20100715,48.3,48.8,48,48.3,10300
CTM,20100714,50.5,50.5,48.5,50.3,56100
CTM,20100713,50.1,50.2,50,50.1,12600
CTM,20100712,46.6,48,46,47,29600
CTM,20100709,47.8,48,45.2,46.6,24300
CTM,20100708,49.1,49.1,48.5,48.6,4600
CTM,20100707,51.9,51.9,49.2,50.8,24400
CTM,20100706,50,51.2,49.5,50.2,53700
CTM,20100705,52.4,52.5,50.8,51.3,28300
CTM,20100702,51.8,51.8,50.2,51.4,12700
CTM,20100701,48.1,50,48.1,49.4,29800
CTM,20100630,51.5,51.5,49.8,50.2,43500
CTM,20100629,52.9,53.6,51.6,52.5,25300
CTM,20100628,53.7,53.7,52.6,53.6,103600
CTM,20100625,54.2,54.3,52.9,53.7,61000
CTM,20100624,53.8,56,53,54.3,116500
CTM,20100623,52.8,56,52.8,53.8,92500
CTM,20100622,51,54.5,51,53,193900
CTM,20100621,50.1,52,50,51,32100
CTM,20100618,51.3,52.1,49.5,50.6,64500
CTM,20100617,52.5,52.5,49,50.9,44700
CTM,20100616,51.5,53,51.5,52.4,50500
CTM,20100615,55.4,55.4,50.5,51.5,86900
CTM,20100614,57.8,57.8,53,54.2,18500
CTM,20100611,55,56.6,55,55.9,111000
CTM,20100610,55.5,55.5,53.3,53.9,24600
CTM,20100609,53.4,56.3,53.1,55,171300
CTM,20100608,52.5,53.5,50.7,52.7,110300
CTM,20100607,51.1,54.8,51.1,53,148100
CTM,20100604,57,57,53.2,54.9,139100
CTM,20100603,55.5,58.2,55.5,57.2,129700
CTM,20100602,57,57,53,54.4,123500
CTM,20100601,56,60.5,55,56.6,331700
CTM,20100531,58,60.3,57.9,58.9,46700
CTM,20100528,59,59.1,57,58.6,292600
CTM,20100527,56,56,53,55.3,190600
CTM,20100526,53,53,50,52.4,431900
CTM,20100525,49.5,49.6,49.5,49.6,40100
CTM,20100524,46.3,46.4,46.3,46.4,13000
CTM,20100521,43.4,46,41,43.4,84100
CTM,20100520,40.2,46.1,40.1,43.4,106000
CTM,20100519,43.2,44,42.4,43.1,61100
CTM,20100518,47,47,44.9,45.5,100800
