<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DHA,20100729,27.1,27.6,27,27.5,7410
DHA,20100728,28.2,28.2,27.3,27.4,13590
DHA,20100727,28,28.2,27.8,27.8,20530
DHA,20100726,27,28.6,27,27.8,42550
DHA,20100723,28,28.3,27.8,27.8,36330
DHA,20100722,28.6,28.6,28,28,53580
DHA,20100721,29.5,30,28.9,29,33700
DHA,20100720,30.7,30.8,30,30.1,18500
DHA,20100719,30.6,31,30.3,30.6,40450
DHA,20100716,30,30.3,29.7,29.8,140240
DHA,20100715,29.9,30.3,29.8,29.8,89670
DHA,20100714,30.7,30.7,29.9,29.9,71070
DHA,20100713,30.7,30.7,30.5,30.7,54820
DHA,20100712,30.3,30.7,29.3,30.5,80750
DHA,20100709,31.3,31.3,29.9,30.3,159590
DHA,20100708,30.5,30.5,30.1,30.5,345410
DHA,20100707,29.5,29.5,29,29,2630
DHA,20100706,29.6,29.6,29.3,29.5,34830
DHA,20100705,29.3,29.6,29.3,29.6,10600
DHA,20100702,29.4,29.4,29.3,29.3,49640
DHA,20100701,29.4,30,29.3,29.4,34430
DHA,20100630,29.4,30,29.3,30,50840
DHA,20100629,29.5,30.2,29.5,30.2,65510
DHA,20100628,29.9,30,29.3,29.5,49400
DHA,20100625,29.6,30,29.6,29.7,13500
DHA,20100624,29.5,31.1,29.3,31.1,52240
DHA,20100623,29.6,29.6,29.1,29.5,21710
DHA,20100622,30,30,29.5,29.5,23640
DHA,20100621,29.7,30,29.7,29.7,23650
DHA,20100618,30,30,29.7,29.8,43040
DHA,20100617,30,30.1,29.3,30.1,12390
DHA,20100616,30,30.3,30,30,23130
DHA,20100615,29.1,30,28.9,30,8750
DHA,20100614,30.1,30.3,28.8,29.2,25900
DHA,20100611,29.3,29.3,29.3,29.3,48610
DHA,20100610,29.3,29.3,27.9,27.9,26290
DHA,20100609,29.8,29.8,28.9,29.3,10880
DHA,20100608,29.1,29.3,28.9,28.9,40240
DHA,20100607,29.7,29.7,28.7,29.1,45250
DHA,20100604,30.3,30.3,29.5,29.7,37650
DHA,20100603,30.5,30.5,29.7,29.7,22000
DHA,20100602,29.3,30.1,29.3,29.7,77380
DHA,20100601,30,30.3,29.7,30.3,16830
DHA,20100531,30,30.7,30,30.3,69450
DHA,20100528,31.3,31.3,30.1,30.7,50350
DHA,20100527,29,30,29,30,4230
DHA,20100526,28.7,29.9,28.7,29.4,43950
DHA,20100525,29.2,29.2,28.7,28.9,138370
DHA,20100524,29.1,30.2,28.7,29.3,129600
DHA,20100521,29.2,30.5,29.1,29.1,141840
DHA,20100520,28.7,30.7,28.7,30.7,33610
DHA,20100519,30.3,30.8,29.7,30,151350
DHA,20100518,30.7,31,30.5,31,67530
DHA,20100517,30.5,30.6,30.3,30.5,34610
DHA,20100514,30.7,31,30.5,30.5,58930
DHA,20100513,30.5,31.3,30.5,30.5,115600
DHA,20100512,32,32,30.5,30.5,80200
DHA,20100511,31.9,32.7,31.9,32,38320
DHA,20100510,32.3,32.7,31.7,31.9,63980
DHA,20100507,32.7,33.7,32.3,33,180600
DHA,20100506,34,34.7,34,34,134840
DHA,20100505,33.7,34.7,33.3,34.3,231430
DHA,20100504,34.7,34.7,33.7,34.3,69300
DHA,20100429,32,33.7,32,33.7,170980
DHA,20100428,33,33,31.6,32,65270
DHA,20100427,32.3,33.3,32,33.3,71760
DHA,20100426,33.3,33.3,32.7,33.3,150700
DHA,20100422,33.3,33.7,33.3,33.3,111350
DHA,20100421,31.7,33,31.7,33,233590
DHA,20100420,32.3,32.3,31.5,31.7,127960
DHA,20100419,32,32,31.7,32,123880
DHA,20100416,32.3,32.3,31.7,32,24780
DHA,20100415,31.8,31.8,31.3,31.7,64380
DHA,20100414,31,31.3,30.9,30.9,56000
DHA,20100413,31.4,31.9,31.4,31.7,64340
DHA,20100412,32.3,32.3,31.7,31.9,57570
DHA,20100409,33,33,32.3,32.3,49440
DHA,20100408,32.7,32.7,31.7,32.3,34230
DHA,20100407,31.5,32.7,31.5,32.3,175000
DHA,20100406,30.5,31.9,30.5,31.3,132560
DHA,20100405,30.7,30.9,30.5,30.5,63710
DHA,20100402,30.9,30.9,30.5,30.7,24090
DHA,20100401,30.7,30.7,30,30.7,37710
DHA,20100331,29.7,31.2,29.7,30,40320
DHA,20100330,31.1,31.1,30,30,61330
DHA,20100329,30.9,31.3,30.9,31.1,76020
DHA,20100326,31.3,31.4,30.9,31.3,39260
DHA,20100325,31.1,32.7,29.9,31.3,159970
DHA,20100324,32,32,30.7,31.2,41780
DHA,20100323,31.7,31.7,30.7,30.9,119210
DHA,20100322,32.7,33.3,31.6,31.6,74090
DHA,20100319,33.3,33.7,32.3,33.3,392960
DHA,20100318,30.7,32,30.7,32,136400
DHA,20100317,31,31,30.5,30.7,74330
DHA,20100316,30,31.1,30,30.6,112860
DHA,20100315,31.2,31.6,31.1,31.1,156750
DHA,20100312,31.7,31.7,30.7,31.2,104500
DHA,20100311,31.3,32,31,31.7,111330
DHA,20100310,29.5,30.9,29.5,30.9,142050
DHA,20100309,29.1,30.1,29.1,29.5,77520
DHA,20100308,28,28.9,28,28.9,113540
DHA,20100305,27.3,28.3,27.3,27.5,24420
DHA,20100304,28.3,28.7,27.3,28.3,27310
DHA,20100303,26.9,28,26.9,28,82200
DHA,20100302,26.6,27.2,26.5,26.9,63220
DHA,20100301,26.3,26.3,26.2,26.3,16040
DHA,20100226,26,26.3,25.7,26.3,10600
DHA,20100225,26,26,25.7,25.7,21180
DHA,20100224,25.3,25.5,25.3,25.5,20140
DHA,20100223,25.3,26,25.3,25.3,29520
DHA,20100222,26.3,26.3,26,26.1,34300
DHA,20100212,26.5,26.5,25.5,25.5,6950
