<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DIC,20100729,35,36,34.4,35.2,260700
DIC,20100728,35.8,37.5,34.4,34.4,536700
DIC,20100727,38.5,38.6,36.2,36.2,336780
DIC,20100726,39,39.5,38.1,38.1,472230
DIC,20100723,39.7,39.7,37.8,38.1,542260
DIC,20100722,41,41.3,39.7,39.7,497390
DIC,20100721,40.9,42.3,40.5,41.7,480610
DIC,20100720,39,40.9,38,40.9,504360
DIC,20100719,37.7,39.4,37.6,39,695640
DIC,20100716,36,37.6,35.8,37.6,1000130
DIC,20100715,35,35.9,34,35.9,185630
DIC,20100714,35.5,35.5,35,35,228980
DIC,20100713,35.7,35.7,35,35.5,351530
DIC,20100712,34,34,32.5,34,118840
DIC,20100709,33.3,34,32.9,33.9,276060
DIC,20100708,34.8,34.8,33.8,33.9,454770
DIC,20100707,35.9,35.9,33.5,33.6,436510
DIC,20100706,36.9,36.9,35.1,35.1,394370
DIC,20100705,36.9,37.3,36.1,36.9,480930
DIC,20100702,36.1,36.1,35.3,36,538370
DIC,20100701,36.4,36.5,35.6,36,422220
DIC,20100630,34.1,36.5,34,36.4,676480
DIC,20100629,37.5,37.8,35.1,35.1,614250
DIC,20100628,34,36.9,34,36.9,1138120
DIC,20100625,35.2,36,35.2,35.2,1068350
DIC,20100624,39,39,37,37,361370
DIC,20100623,36,37.3,35.6,37.3,491600
DIC,20100622,34.5,36.3,34.4,35.6,1288010
DIC,20100621,33.2,34.6,33,34.6,590900
DIC,20100618,33.9,33.9,31.9,33,358220
DIC,20100617,33.5,34.5,32.4,32.4,316090
DIC,20100616,34.1,34.1,32.6,34.1,566890
DIC,20100615,32.3,32.5,31,32.5,444530
DIC,20100614,31,31,31,31,175450
DIC,20100611,29.6,29.6,29.6,29.6,158640
DIC,20100610,27.2,28.2,27,28.2,919140
DIC,20100609,27.5,27.5,26.5,26.9,140570
DIC,20100608,26.9,27.5,26.7,26.7,205090
DIC,20100607,28.1,29,28.1,28.1,196880
DIC,20100604,27.2,29.5,27.2,29.5,499260
DIC,20100603,28.1,28.1,28,28.1,129150
DIC,20100602,26,26.8,25.6,26.8,203740
DIC,20100601,24.4,25.6,24.1,25.6,143140
DIC,20100531,25.5,25.6,24.3,24.4,205950
DIC,20100528,25.7,26.1,24.9,25.5,183580
DIC,20100527,25.3,25.3,24.8,25,49130
DIC,20100526,24,24.6,23.5,24.6,108250
DIC,20100525,22.4,23.5,21.5,23.5,184040
DIC,20100524,21.7,23,21.7,22.4,313970
DIC,20100521,22.8,22.8,22.8,22.8,44220
DIC,20100520,24,25,24,24,88360
DIC,20100519,25.5,25.5,25.2,25.2,67670
DIC,20100518,25.8,26.5,25.7,26.5,190330
DIC,20100517,27.9,27.9,26,27,252320
DIC,20100514,24.2,26.6,24.2,26.6,679460
DIC,20100513,25.4,25.4,25.4,25.4,98150
DIC,20100512,26.7,26.7,26.7,26.7,23700
DIC,20100511,28.1,28.1,28.1,28.1,140200
DIC,20100510,29.7,29.7,29.5,29.5,87510
DIC,20100507,30.9,32,30.7,31,436740
DIC,20100506,32,32.3,30.7,32.3,366710
DIC,20100505,29.4,30.8,28.8,30.8,931290
DIC,20100504,29.4,29.4,29.4,29.4,53520
DIC,20100429,28,28,27.9,28,249510
DIC,20100428,25.5,26.7,25,26.7,327980
DIC,20100427,23.4,25.5,23.3,25.5,1863980
DIC,20100426,24.3,24.3,24.3,24.3,527930
DIC,20100422,23.2,23.2,23.2,23.2,386930
DIC,20100421,22.1,22.1,22.1,22.1,294490
DIC,20100420,20.3,21.1,20.3,21.1,338080
DIC,20100419,20.5,20.5,19.9,20.1,231050
DIC,20100416,21.5,21.5,20.2,20.2,313430
DIC,20100415,19.8,20.7,19.8,20.7,348000
DIC,20100414,20.1,20.1,19.7,19.8,177140
