<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DPC,20100729,23.2,24.6,23.2,24.5,10100
DPC,20100728,24,24.7,23,23.2,28700
DPC,20100727,25.7,25.7,24.1,24.6,12500
DPC,20100726,25,25,24.5,24.7,14700
DPC,20100723,26,26,24.5,25.4,23900
DPC,20100722,25,25.5,24.2,24.8,35500
DPC,20100721,25.5,25.5,25.3,25.4,33800
DPC,20100720,28,28,27,27.1,54200
DPC,20100719,28.1,30,28.1,29,37200
DPC,20100716,28,28.1,27.9,28.1,101600
DPC,20100715,26.3,26.3,26,26.3,63600
DPC,20100714,23.5,24.7,23.5,24.6,85200
DPC,20100713,22.8,23.2,22.8,23.1,6400
DPC,20100712,22.4,22.5,22.4,22.4,2000
DPC,20100709,22.4,22.7,22.4,22.4,2800
DPC,20100708,22.4,22.7,22.4,22.5,2900
DPC,20100707,22,22.5,22,22.4,3600
DPC,20100706,21.1,23,21.1,22.4,12300
DPC,20100705,21.3,22.8,21.3,22.6,12200
DPC,20100702,20.1,22,20.1,21.6,15700
DPC,20100701,20.6,21.4,20.6,21.2,5700
DPC,20100630,20.5,21.5,20.5,21.3,13400
DPC,20100629,22,22.1,21.5,21.9,9200
DPC,20100628,22,22,22,22,200
DPC,20100625,22,22,21.6,22,15200
DPC,20100624,22.7,22.8,22.3,22.5,25500
DPC,20100623,22.5,22.5,22.5,22.5,600
DPC,20100622,22.7,22.7,22,22.2,13100
DPC,20100621,22.5,22.8,22.2,22.7,6400
DPC,20100618,22.5,22.5,22.2,22.4,1200
DPC,20100617,22.5,22.8,22.3,22.5,8700
DPC,20100616,22.3,22.8,22.2,22.3,8100
DPC,20100615,21.8,22.7,21.8,22.3,12800
DPC,20100614,22.8,22.8,22.2,22.7,13600
DPC,20100611,22.8,22.8,22.3,22.5,5600
DPC,20100610,22.3,22.5,22.2,22.3,20300
DPC,20100609,22.3,23,22.3,22.6,28400
DPC,20100608,21.6,22.5,21.5,21.8,6700
DPC,20100607,21.1,22.1,21.1,21.5,22600
DPC,20100604,22.3,22.8,22.3,22.7,12600
DPC,20100603,22.8,22.9,22.8,22.9,64100
DPC,20100602,20.4,21.7,20.4,21.4,19000
DPC,20100601,20.3,21.3,20.3,20.9,10500
DPC,20100531,20.8,20.9,19.8,20.3,9500
DPC,20100528,20.8,20.9,20.5,20.8,36400
DPC,20100527,20.3,20.4,18.8,19.5,12100
DPC,20100526,19.6,20.2,19.3,19.7,10300
DPC,20100525,18.9,19.4,18.8,19.2,14200
DPC,20100524,18.4,19.6,18.4,19.4,5700
DPC,20100521,18.8,18.8,18.1,18.3,19800
DPC,20100520,19.6,19.8,18.6,19.5,19500
DPC,20100519,20.3,20.3,19.1,19.6,11000
DPC,20100518,20.3,20.3,20.1,20.2,10900
DPC,20100517,21.4,21.4,20.8,21.3,5100
DPC,20100514,21.3,21.4,21.3,21.3,10500
DPC,20100513,22.3,22.3,21,21.3,15400
DPC,20100512,22.8,22.8,20.8,21.7,36900
DPC,20100511,22.8,22.9,21,21.9,27200
DPC,20100510,22.9,22.9,22.2,22.6,15000
DPC,20100507,23,24.8,23,23.3,32300
DPC,20100506,24.9,24.9,23.3,24.8,70900
DPC,20100505,24,24.8,22.7,23.2,56600
DPC,20100504,24.8,25.1,23.6,24.4,54300
DPC,20100429,24.5,26,23.5,25.1,62800
DPC,20100428,24.3,24.5,24.3,24.5,85700
DPC,20100427,22.4,22.9,22.4,22.9,89400
DPC,20100426,20.8,21.5,20.8,21.4,76500
DPC,20100422,20.3,20.4,19.1,20.1,22500
DPC,20100421,20.3,20.8,19.7,20.2,23600
DPC,20100420,19.3,20,19,19.7,40100
DPC,20100419,18.9,18.9,18.6,18.7,10400
DPC,20100416,20.1,20.1,18.9,19.2,4800
DPC,20100415,19.3,19.3,18.9,19.2,7900
DPC,20100414,19,19,18.4,18.7,9500
DPC,20100413,19.2,19.4,18.8,19,8200
DPC,20100412,19.4,19.4,18.9,19.2,12800
DPC,20100409,20.8,21,19.7,20.4,11700
DPC,20100408,18.8,20.2,18.8,19.7,34200
DPC,20100407,18.3,19.4,18.3,18.8,15300
DPC,20100406,19.3,19.3,18.3,18.3,8300
DPC,20100405,18.3,18.4,18.3,18.3,11400
DPC,20100402,18.8,18.8,18.1,18.3,9500
DPC,20100401,19.3,19.6,18.3,18.7,7900
DPC,20100331,19.8,19.8,18.8,19.5,9300
DPC,20100330,19.2,19.8,19.1,19.7,3600
