<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DPR,20100729,63,63.5,60,62,56670
DPR,20100728,61,63,61,63,99000
DPR,20100727,61,61,60,60,4100
DPR,20100726,60.5,61.5,59.5,61.5,21230
DPR,20100723,60,61,60,61,5900
DPR,20100722,61,61,60,60,39300
DPR,20100721,60,60.5,60,60.5,700
DPR,20100720,61,61,60,60,5600
DPR,20100719,61,61,60.5,61,13020
DPR,20100716,61,61,61,61,95950
DPR,20100714,61,61,61,61,33100
DPR,20100713,61,61,61,61,6430
DPR,20100712,57.5,61.5,57.5,60.5,7500
DPR,20100709,61.5,61.5,59,59.5,6530
DPR,20100708,62.5,62.5,62,62,11400
DPR,20100707,62.5,62.5,62,62,19500
DPR,20100706,63,63,62,62.5,18510
DPR,20100705,62.5,64,62.5,63,19610
DPR,20100702,62,63.5,62,62.5,17890
DPR,20100701,62,63,62,62,8300
DPR,20100630,61,63.5,61,63.5,85400
DPR,20100629,64.5,64.5,62,64,53770
DPR,20100628,62,65,61,65,42210
DPR,20100625,60,62,60,62,28000
DPR,20100624,60,60.5,60,60.5,38420
DPR,20100623,59.5,60,59.5,60,26870
DPR,20100622,58.5,60,58.5,59.5,15500
DPR,20100621,58.5,60,58.5,60,7230
DPR,20100618,58,58.5,57.5,58.5,23600
DPR,20100617,57,58,57,58,4200
DPR,20100616,57,58.5,57,57.5,29610
DPR,20100615,57,57,57,57,5830
DPR,20100614,57.5,57.5,57.5,57.5,6780
DPR,20100611,58,58.5,57.5,57.5,3350
DPR,20100610,58,58,58,58,3200
DPR,20100609,58,58,58,58,6830
DPR,20100608,57.5,58.5,57,58,13710
DPR,20100607,59.5,59.5,58,58.5,18000
DPR,20100604,60.5,61,60.5,61,2300
DPR,20100603,63,63,60.5,60.5,220
DPR,20100602,63,63,61,61.5,4130
DPR,20100601,61,61,61,61,2620
DPR,20100531,60,61,60,61,3370
DPR,20100528,64.5,64.5,63,63,3030
DPR,20100527,61,62,61,62,5430
DPR,20100526,62.5,63,62,63,11300
DPR,20100525,59.5,60.5,59.5,60.5,54520
DPR,20100524,58,58,57.5,58,24010
DPR,20100521,55.5,56.5,55.5,55.5,55230
DPR,20100520,55.5,57.5,55.5,57.5,13540
DPR,20100519,59.5,59.5,57.5,57.5,26790
DPR,20100518,58.5,59.5,58.5,59.5,17430
DPR,20100517,61.5,61.5,59.5,60,7100
DPR,20100514,61,62,61,61.5,23150
DPR,20100513,61.5,62.5,61,61,6470
DPR,20100512,63,63,61.5,61.5,78850
DPR,20100511,63,63.5,62.5,63,14280
DPR,20100510,63,63,62,62,31370
DPR,20100507,65,65,63,63,24160
DPR,20100506,65,66,65,65.5,21940
DPR,20100505,65.5,65.5,63.5,65.5,55430
DPR,20100504,66,66.5,65.5,65.5,34200
DPR,20100429,64.5,66,64.5,66,44330
DPR,20100428,66.5,66.5,66,66.5,57010
DPR,20100427,66.5,67.5,66.5,66.5,46500
DPR,20100426,65.5,67,65.5,66.5,54840
