<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DTC,20100728,83.2,86,83,85.8,3000
DTC,20100727,79,86,79,85.2,900
DTC,20100726,85,85,84.6,84.8,200
DTC,20100722,87,87,87,87,5000
DTC,20100720,87,87,87,87,3000
DTC,20100719,87,87,87,87,4300
DTC,20100715,86,86,86,86,400
DTC,20100714,89.9,89.9,89.9,89.9,100
DTC,20100713,86.9,86.9,86.9,86.9,100
DTC,20100712,87.9,87.9,85,85.1,2100
DTC,20100709,85,85,85,85,100
DTC,20100707,86.9,86.9,86.9,86.9,100
DTC,20100706,86.1,86.1,86,86,1100
DTC,20100705,87.5,92,86,89.9,2900
DTC,20100702,87.5,87.5,87.5,87.5,100
DTC,20100701,85,85,84,84.4,4100
DTC,20100630,85.1,85.1,85,85,300
DTC,20100629,87,87,85,86.6,600
DTC,20100628,87,87,87,87,100
DTC,20100625,87,87,87,87,100
DTC,20100624,87,87,87,87,100
DTC,20100623,88,88,87,87.1,2400
DTC,20100622,94,94,86.1,86.6,1900
DTC,20100621,92.5,92.5,92.5,92.5,100
DTC,20100617,90,90,88,89,200
DTC,20100616,86.5,86.5,86,86,1100
DTC,20100615,88.8,88.8,88.8,88.8,200
DTC,20100614,88.8,88.8,85,87.4,2400
DTC,20100610,87.6,87.6,87.6,87.6,100
DTC,20100609,87.6,87.6,87.6,87.6,100
DTC,20100608,83,83,83,83,1600
DTC,20100607,91.4,91.4,83,84.6,1100
DTC,20100604,85.5,85.5,85.5,85.5,1000
DTC,20100603,88.8,88.8,86,87.3,300
DTC,20100602,87,87,87,87,500
DTC,20100601,88.3,88.4,86.9,87.4,1400
DTC,20100531,92,92,86.3,87.1,2700
DTC,20100528,87.5,90,85,86.3,9000
DTC,20100527,80,87.7,80,85.7,800
DTC,20100526,88.3,88.3,84,85.8,300
DTC,20100525,84.9,84.9,79,83,6000
DTC,20100524,78,84.9,78,81.5,400
DTC,20100521,89.9,89.9,80.3,81.6,1700
DTC,20100520,86,86,86,86,1300
DTC,20100519,87.9,87.9,87.9,87.9,100
DTC,20100518,88,88,82.7,84,3800
DTC,20100514,88,88.9,88,88.9,4100
DTC,20100513,90.9,90.9,90.9,90.9,500
DTC,20100512,87,87,85,85.3,2900
DTC,20100511,90,90,87.3,88.9,4500
DTC,20100510,86,89,86,88.5,1200
DTC,20100507,89,90,89,89.3,1500
DTC,20100506,89,90,89,89.7,2600
DTC,20100505,90,90,89,89.5,2000
DTC,20100504,88,91,88,89.1,5800
DTC,20100429,88.1,88.1,87,88,3100
DTC,20100428,90,90,90,90,8700
DTC,20100427,88.5,88.5,88.5,88.5,300
DTC,20100426,89,89.8,89,89.3,1100
DTC,20100422,89.9,90,89.8,89.9,500
DTC,20100421,86,88,86,87.7,2000
DTC,20100420,86,86.8,86,86.4,1600
DTC,20100419,86,86.5,85,86.2,3000
DTC,20100416,88.5,88.5,87,88.2,900
DTC,20100415,88.5,88.5,88.5,88.5,9000
DTC,20100414,88,88.4,88,88.3,1500
DTC,20100413,86.1,86.1,82.4,82.7,18100
DTC,20100412,89.2,89.9,82.8,88.5,3600
DTC,20100409,88.8,89.1,88.8,89,600
DTC,20100408,91,91,88.8,90.1,1900
DTC,20100407,86.5,92,86.5,90.4,1200
DTC,20100406,94.5,94.5,90,91.1,2400
DTC,20100405,91,91,90,90.7,1600
DTC,20100402,88,88.2,88,88.1,300
DTC,20100401,88.3,88.3,85.4,85.6,3600
DTC,20100331,86.2,90.1,86.2,88.3,2100
DTC,20100330,90.5,90.5,89,90.1,1200
DTC,20100329,90.1,90.1,90.1,90.1,300
DTC,20100326,89,90,89,89.4,2800
DTC,20100325,91.1,92.3,91,91.5,7900
DTC,20100324,93.1,95,93.1,93.8,4100
DTC,20100323,93.2,96.9,93,93.1,3400
DTC,20100322,100.2,100.2,95,97.5,4400
DTC,20100319,92,94,92,93.7,12600
DTC,20100318,90.1,90.1,90,90,2000
DTC,20100317,89.1,95.3,86,90.2,8300
DTC,20100316,95,95,88,89.1,1700
DTC,20100315,86.5,92.5,85.4,90.7,19600
DTC,20100312,86.1,87,86.1,86.5,1000
DTC,20100311,86,87,85.5,86.1,6800
DTC,20100310,85.1,87,85.1,85.8,1700
DTC,20100309,87.5,87.5,86,86.3,2800
DTC,20100308,87.8,87.8,87.8,87.8,100
DTC,20100305,84,86,81.7,84.1,3800
DTC,20100304,86.4,86.4,82.5,82.9,1100
DTC,20100303,86,86,80,82.2,3700
DTC,20100302,85.2,86,85.2,85.5,1400
DTC,20100301,86,86,83,85.2,1700
DTC,20100225,85.1,86.1,85.1,86,2700
DTC,20100224,85,85.9,85,85.1,2400
DTC,20100223,85,85,85,85,2000
DTC,20100222,90,90,85.1,86.5,600
DTC,20100211,86.4,86.4,85.5,85.8,500
DTC,20100210,81,81,80.7,80.8,1000
DTC,20100209,82.5,82.5,80,80.4,5300
DTC,20100208,82.5,82.5,82.5,82.5,2900
DTC,20100205,82.1,87.9,82,82.5,1400
DTC,20100204,82,88.5,82,85,1200
DTC,20100203,85.5,85.5,82,82.8,1000
DTC,20100202,85.5,85.5,85.5,85.5,2100
DTC,20100201,89.5,89.5,89.5,89.5,300
DTC,20100129,91,91,88,89.1,1200
DTC,20100128,97.5,97.5,85.1,86.1,1900
DTC,20100127,91.4,91.4,91.4,91.4,100
DTC,20100126,88,88,84,87.1,14700
DTC,20100125,82.5,82.5,82,82.3,200
DTC,20100122,77.4,77.4,77.2,77.3,300
DTC,20100121,83,83,80,80.4,3700
DTC,20100120,79,86.4,79,82.7,600
DTC,20100119,81,84.6,81,82,700
DTC,20100118,81.1,81.1,81,81,1300
DTC,20100115,87,87,87,87,100
DTC,20100114,83,84,83,83.2,2600
DTC,20100113,88.4,88.4,86,86.6,400
DTC,20100112,84,84,83,83.3,800
DTC,20100108,88,92.5,88,89,6400
DTC,20100107,86,88,86,86.5,1300
DTC,20100106,86,86.1,85.9,86,3100
DTC,20100105,97,97,92,92.3,3500
DTC,20100104,90.3,92.8,90.3,91.3,4700
DTC,20091231,82.5,87.3,82.4,86.8,42500
DTC,20091230,84.9,84.9,80,81.6,3000
DTC,20091229,85.5,85.5,80,83.3,300
DTC,20091228,86.4,86.4,81.6,82.2,2500
DTC,20091225,80,85,80,81.6,9000
DTC,20091224,78,81,78,79.9,700
DTC,20091223,83.4,83.4,80,81.7,400
DTC,20091222,82.6,84.4,78.5,80.8,1100
DTC,20091221,85.9,85.9,77.1,82.6,2500
DTC,20091218,82,82,82,82,500
DTC,20091217,85.6,85.6,74.4,78.8,2600
DTC,20091216,79.9,80,79.9,80,1400
DTC,20091215,87.7,87.7,84,85.9,200
DTC,20091214,82.8,82.8,82.8,82.8,100
DTC,20091211,87.9,87.9,78.4,79.5,3100
DTC,20091210,84.8,84.8,83.5,84.2,200
DTC,20091209,80,80,79.1,79.4,700
DTC,20091208,84,85,84,84.7,1100
DTC,20091207,81.5,82.9,81.5,82,800
DTC,20091204,82.4,82.4,81,81.5,300
DTC,20091203,80,80,79.5,80,1100
DTC,20091202,90,90,79,83.6,2100
DTC,20091201,84.8,84.8,84.5,84.7,2300
DTC,20091130,77.9,79.1,77.9,79,3900
DTC,20091127,71.1,81.9,71.1,73.7,9700
DTC,20091126,77.2,77.2,76.6,76.7,10000
DTC,20091125,91.1,91.1,79.7,82.6,3600
DTC,20091124,86,86.1,86,86,1300
DTC,20091123,93.5,93.5,88.5,89.8,4500
DTC,20091120,94.1,94.1,92,93.5,1200
DTC,20091119,98.5,98.5,95,96.7,3700
DTC,20091118,95.9,96.1,92.5,95.2,11900
DTC,20091117,96,96,91,92.4,500
DTC,20091116,95.9,95.9,89.7,92.7,8800
DTC,20091113,91,91,89.3,89.4,2900
DTC,20091112,96,96,93,94.4,2200
DTC,20091111,90.8,96,89,93.9,3700
DTC,20091110,95.9,95.9,87.5,91.2,8100
DTC,20091109,90.6,90.6,90.1,90.1,4700
DTC,20091106,98,98,96,97.1,2400
DTC,20091105,93.5,96,93,94.9,15600
DTC,20091104,93,93,92.8,92.9,300
DTC,20091103,88.2,89,86.9,87.4,6400
