<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DTT,20100729,13.3,13.9,13.1,13.4,32070
DTT,20100728,13.9,13.9,13.4,13.5,31650
DTT,20100727,14.1,14.2,13.7,13.7,64420
DTT,20100726,14.5,14.8,14.2,14.2,37630
DTT,20100723,15,15,14.6,14.6,23310
DTT,20100722,15,15,14.5,14.6,42300
DTT,20100721,15.4,15.4,15,15,52640
DTT,20100720,15.4,15.4,15,15.2,120870
DTT,20100719,15.1,15.7,15.1,15.1,101950
DTT,20100716,14.8,15.5,14.7,15.5,183980
DTT,20100715,14.8,14.9,14.7,14.8,36400
DTT,20100714,15,15,14.7,14.8,93670
DTT,20100713,15,15.5,14.8,14.8,74270
DTT,20100712,14.9,15,14.2,15,44640
DTT,20100709,14.4,14.8,14.4,14.5,43740
DTT,20100708,15.2,15.2,14.6,14.7,64330
DTT,20100707,15.4,15.4,14.6,14.6,167320
DTT,20100706,15.3,15.6,15.2,15.2,221090
DTT,20100705,15.5,16.1,15.5,15.9,122970
DTT,20100702,16.3,16.4,15.5,15.6,223270
DTT,20100701,17,17.1,16.3,16.3,142630
DTT,20100630,15.9,17.3,15.9,17.1,351100
DTT,20100629,15.8,16.5,15.8,16.5,156720
DTT,20100628,16.7,16.7,15.8,15.8,628700
DTT,20100625,16.6,16.6,16.2,16.6,640650
DTT,20100624,15.9,15.9,15.9,15.9,120820
DTT,20100623,14.6,15.2,14.6,15.2,324200
DTT,20100622,14.5,14.5,14.1,14.5,794180
DTT,20100621,13.9,13.9,13.9,13.9,94040
DTT,20100618,12.9,13.3,12.7,13.3,203430
DTT,20100617,12.3,12.7,12.2,12.7,85130
DTT,20100616,12,12.5,12,12.2,59330
DTT,20100615,12.3,12.3,12,12.1,23450
DTT,20100614,12.4,12.4,12,12.2,12170
DTT,20100611,11.5,12,11.5,12,57040
DTT,20100610,11.3,11.6,11.3,11.5,39200
DTT,20100609,11.5,11.5,11.3,11.5,21640
DTT,20100608,11.5,11.6,11.4,11.5,8400
DTT,20100607,11.3,11.7,11.3,11.6,38140
DTT,20100604,12.1,12.1,11.7,11.8,25780
DTT,20100603,12.2,12.2,11.9,12,26750
DTT,20100602,11.9,12,11.6,11.9,25660
DTT,20100601,11.7,12.2,11.7,12,25820
DTT,20100531,12.1,12.4,11.9,11.9,32210
DTT,20100528,12.2,12.3,11.9,12.3,135330
DTT,20100527,11.6,12,11.5,11.8,23610
DTT,20100526,12.2,12.2,11.8,11.9,37570
DTT,20100525,12,12.1,11.7,11.8,30600
DTT,20100524,11.2,11.8,11.2,11.8,19220
DTT,20100521,11.3,11.3,11.3,11.3,33160
DTT,20100520,11.3,11.8,11.3,11.8,61880
DTT,20100519,12,12,11.8,11.8,20400
DTT,20100518,11.9,12.5,11.9,12.4,30390
DTT,20100517,12.4,12.9,11.8,12.5,105250
DTT,20100514,12.4,12.4,12.4,12.4,37000
DTT,20100513,13,13,13,13,8620
DTT,20100512,13.6,13.6,13.6,13.6,11240
DTT,20100511,15,15,14.3,14.3,54300
DTT,20100510,15.1,15.1,13.7,15,338840
DTT,20100507,14.4,14.4,14.4,14.4,280340
DTT,20100506,13.8,13.8,13.8,13.8,138230
DTT,20100505,12.9,13.2,12.8,13.2,189990
DTT,20100504,12.3,12.6,12.2,12.6,110140
DTT,20100429,11.8,12,11.7,12,50210
DTT,20100428,11.6,11.7,11.3,11.7,30150
DTT,20100427,11.5,12,11.4,11.4,42350
DTT,20100426,12,12,11.5,11.9,187690
DTT,20100422,11.5,11.5,11.5,11.5,8830
DTT,20100421,11,11,11,11,20990
DTT,20100420,10.5,10.5,10.4,10.5,14430
DTT,20100419,10.6,10.6,10.3,10.5,20840
