<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GMC,20100729,24,24.2,23.9,23.9,36500
GMC,20100728,24,24.3,23,23.8,43760
GMC,20100727,24.9,25,24,24,35370
GMC,20100726,24.5,24.9,24.3,24.5,14920
GMC,20100723,24.9,25,24.5,24.5,14650
GMC,20100722,25,25,24.6,24.8,8500
GMC,20100721,24.9,26,24.4,25.3,139420
GMC,20100720,25.1,25.1,24.6,24.8,39640
GMC,20100719,24.9,25.2,24.8,25,36110
GMC,20100716,25,25.1,24.8,24.9,29370
GMC,20100715,25.1,25.2,24.9,24.9,23780
GMC,20100714,25.8,25.8,24.8,25.1,152500
GMC,20100713,25.3,25.5,24.8,25.5,52140
GMC,20100712,24.1,24.5,24,24.5,20540
GMC,20100709,24.1,24.1,23.9,24.1,53540
GMC,20100708,23.9,24.1,23.9,23.9,44700
GMC,20100707,23.9,24,23.9,23.9,58160
GMC,20100706,24,24.1,23.9,23.9,41280
GMC,20100705,24.5,24.5,23.9,24,32390
GMC,20100702,24.2,24.2,23.9,24,16310
GMC,20100701,24.1,24.2,23.9,24.1,70400
GMC,20100630,24,24.2,24,24.1,64680
GMC,20100629,25,25.2,24,24.8,113460
GMC,20100628,24,24.8,24,24,46410
GMC,20100625,24.2,24.7,24.2,24.3,26900
GMC,20100624,24.6,24.8,24.6,24.7,26910
GMC,20100623,24.8,24.8,24.5,24.6,27990
GMC,20100622,25.2,25.4,24.6,24.6,36320
GMC,20100621,24.8,25.4,24.8,25.4,55320
GMC,20100618,24.7,25,24.6,24.8,44950
GMC,20100617,24.5,24.8,24.4,24.8,38020
GMC,20100616,24.9,24.9,24.5,24.6,98560
GMC,20100615,25,25,24.5,24.7,27850
GMC,20100614,24.2,25,24.2,24.9,25800
GMC,20100611,25.1,25.1,24.3,24.3,33260
GMC,20100610,24,24.4,24,24.4,20940
GMC,20100609,24.5,25,24.2,24.3,75760
GMC,20100608,23.8,25.5,23.8,24.5,9270
GMC,20100607,24.3,24.5,24.1,24.4,88950
GMC,20100604,25.1,25.3,25.1,25.3,51980
GMC,20100603,25,25.3,25,25.3,33340
GMC,20100602,25.1,25.3,24.8,25,61960
GMC,20100601,24.3,25.3,24.1,25.1,43820
GMC,20100531,25.7,25.7,25,25,31230
GMC,20100528,25.8,25.8,25,25.7,122750
GMC,20100527,24.5,24.7,24,24.7,69290
GMC,20100526,24.5,24.5,23.8,24.5,24030
GMC,20100525,24.1,24.5,23.5,23.9,77490
GMC,20100524,24.3,24.3,23.5,24.3,42750
GMC,20100521,23.8,24.8,23.8,23.8,260590
GMC,20100520,23.7,25,23.7,25,150640
GMC,20100519,25.2,25.2,24.5,24.6,188540
GMC,20100518,25,25.8,25,25.7,110310
GMC,20100517,26.9,26.9,25.6,25.6,272050
GMC,20100514,26.9,27,26.3,26.9,72090
GMC,20100513,27.6,27.7,26.3,26.6,277490
GMC,20100512,29,29,27.6,27.6,96140
GMC,20100511,29,29.5,28.9,29,161590
GMC,20100510,31.2,31.2,28.7,29.1,229040
GMC,20100507,29,29.9,28.5,29.9,921950
GMC,20100506,28.6,28.8,28,28.5,109610
GMC,20100505,28.7,28.9,28.5,28.7,184630
GMC,20100504,29,29,28.6,28.7,118250
GMC,20100429,28.3,28.6,28.2,28.6,106900
GMC,20100428,29.3,29.3,28.3,28.3,128380
GMC,20100427,28.5,28.7,28.2,28.6,95990
GMC,20100426,29.4,29.4,28.3,28.3,164590
GMC,20100422,28.9,29.9,28.6,29.4,229960
GMC,20100421,29,29.5,28.5,28.5,108910
GMC,20100420,30,30.1,28.5,29,129350
GMC,20100419,28.3,29.7,28.3,29.7,448450
GMC,20100416,27.6,28.5,27.6,28.3,170770
GMC,20100415,27.3,28,27.3,27.6,174110
GMC,20100414,27.9,28.3,27.2,27.3,99300
GMC,20100413,27.8,28.4,27.4,27.9,90280
GMC,20100412,29,29,28.1,28.1,100420
GMC,20100409,28,28.7,27.8,28.3,189830
GMC,20100408,27.8,28.2,27.8,27.9,135720
GMC,20100407,27.9,28.5,27.6,27.8,97390
GMC,20100406,28,28.5,27.6,27.6,79690
GMC,20100405,28.5,28.5,27.7,28,195500
GMC,20100402,26.8,27.6,26.8,27.5,93690
GMC,20100401,26.4,27.9,26.2,26.8,31820
GMC,20100331,27.8,27.9,26.6,26.8,37930
GMC,20100330,26.5,27.9,26.5,27.9,137060
GMC,20100329,27.3,27.3,26,26.6,52650
GMC,20100326,26.7,27,26.2,26.6,37010
GMC,20100325,27,27.5,26.4,26.5,239150
GMC,20100324,27.2,28,27.2,27.5,59100
GMC,20100323,27.6,28,27.2,27.2,39460
GMC,20100322,27.6,28.5,27.6,27.6,33420
GMC,20100319,28.4,28.4,27.8,28,73680
GMC,20100318,28.5,28.5,27,27.8,146110
GMC,20100317,28,29,27.5,27.5,57910
GMC,20100316,29.4,29.4,28.3,28.3,107010
GMC,20100315,30,30.2,29,29.7,150320
GMC,20100312,29,30,29,29.3,83970
GMC,20100311,29.5,29.9,28.6,28.8,143040
GMC,20100310,29.5,30.6,29.1,29.9,158450
GMC,20100309,29.4,30.2,29,30.1,441810
GMC,20100308,28.8,28.8,28.7,28.8,111490
GMC,20100305,25.9,27.5,25.9,27.5,214400
GMC,20100304,26,27,26,26.2,79400
GMC,20100303,25.6,25.8,25.2,25.8,53440
GMC,20100302,25.6,25.6,25,25.2,30080
GMC,20100301,25.4,25.6,25.3,25.5,45880
GMC,20100226,24.5,25.4,24.5,25.4,21740
GMC,20100225,25.5,25.5,24.5,24.8,29970
GMC,20100224,24.1,24.6,24.1,24.5,19370
GMC,20100223,25.5,25.5,24.6,24.6,21020
GMC,20100222,25.5,25.6,25.4,25.5,30640
GMC,20100212,25,25.6,24.9,25.2,19200
GMC,20100211,25,25,24.3,25,14720
GMC,20100210,25,25,24,24.7,23080
GMC,20100209,24.9,24.9,24.2,24.2,60190
GMC,20100208,24.9,25.4,24.8,24.9,28350
GMC,20100205,25.5,25.9,25,25.5,65630
GMC,20100204,24.4,25.5,24.4,25.5,128290
GMC,20100203,24.5,24.5,23.9,24.3,49490
GMC,20100202,24.5,24.6,24,24,33220
GMC,20100201,23.5,24.1,23.5,23.6,50920
GMC,20100129,23.5,24.4,23.5,23.5,61910
GMC,20100128,24,24.5,23.8,23.8,44310
GMC,20100127,25.4,25.5,24.8,24.8,35170
GMC,20100126,25.2,25.4,25.2,25.4,59220
GMC,20100125,24,24.8,23.6,24.2,29030
