<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GTA,20100729,11.4,11.7,11.4,11.7,21960
GTA,20100728,11.9,11.9,11.4,11.4,29580
GTA,20100727,11.9,12,11.6,11.7,44130
GTA,20100726,12,12,11.8,11.9,54880
GTA,20100723,12,12.1,11.9,11.9,9430
GTA,20100722,11.9,12.1,11.9,11.9,3120
GTA,20100721,12.2,12.2,11.9,12,33870
GTA,20100720,11.7,12.2,11.7,12.2,100860
GTA,20100719,11.9,11.9,11.7,11.7,25430
GTA,20100716,11.9,12,11.7,11.7,9510
GTA,20100715,11.8,12,11.8,11.9,9280
GTA,20100714,12.3,12.3,11.9,11.9,14470
GTA,20100713,12.1,12.1,11.9,12,49070
GTA,20100712,11.9,11.9,11.8,11.9,14180
GTA,20100709,11.8,11.8,11.8,11.8,11210
GTA,20100708,12,12,11.8,11.8,52540
GTA,20100707,12,12,11.7,11.7,50400
GTA,20100706,11.9,11.9,11.7,11.7,43420
GTA,20100705,12.2,12.2,11.9,12,26980
GTA,20100702,12,12.2,11.9,12.2,50530
GTA,20100701,11.7,12.2,11.7,12,37070
GTA,20100630,11.8,12.1,11.6,11.7,22190
GTA,20100629,12.8,12.8,12.1,12.1,41230
GTA,20100628,12.2,12.4,12.2,12.4,197460
GTA,20100625,11.7,12,11.7,11.9,61740
GTA,20100624,11.9,12,11.9,11.9,27520
GTA,20100623,11.7,12,11.7,11.8,36890
GTA,20100622,12.1,12.2,11.9,12,53230
GTA,20100621,11.9,12.4,11.8,12.3,98610
GTA,20100618,11.8,11.9,11.7,11.9,33250
GTA,20100617,11.7,12,11.6,11.9,39730
GTA,20100616,11.8,11.9,11.6,11.9,60060
GTA,20100615,11.7,11.7,11.5,11.6,22010
GTA,20100614,11.4,11.6,11.4,11.5,30060
GTA,20100611,11.8,11.8,11.5,11.5,5830
GTA,20100610,11.4,11.5,11.3,11.5,35650
GTA,20100609,11.5,11.5,11.2,11.2,20210
GTA,20100608,11.4,11.7,11.4,11.5,30300
GTA,20100607,11.4,11.8,11.4,11.7,19960
GTA,20100604,11.6,12,11.6,11.9,15030
GTA,20100603,12,12,11.6,11.6,26650
GTA,20100602,11.9,11.9,11.7,11.9,35590
GTA,20100601,11.6,11.9,11.6,11.9,10890
GTA,20100531,12.2,12.2,11.6,11.6,72720
GTA,20100528,12,12.3,12,12.2,41270
GTA,20100527,11.4,11.8,11.4,11.8,25720
GTA,20100526,11.6,11.8,11.5,11.8,17950
GTA,20100525,11.4,11.7,11,11.6,29160
GTA,20100524,11.4,11.4,11.2,11.4,20850
GTA,20100521,11.1,11.2,10.9,10.9,121800
GTA,20100520,11,11.5,11,11.4,29040
GTA,20100519,11.7,11.7,11.2,11.2,72640
GTA,20100518,11.6,12.2,11.6,11.7,50580
GTA,20100517,12.9,12.9,12,12,78500
GTA,20100514,13,13,12.5,12.6,22950
GTA,20100513,12.5,13,12.4,13,121280
GTA,20100512,13,13.1,13,13,41220
GTA,20100511,14.3,14.3,13.6,13.6,98640
GTA,20100510,14.4,14.4,13.3,14.3,286660
GTA,20100507,13.8,13.8,13.5,13.8,300110
GTA,20100506,12.7,13.2,12.7,13.2,209610
GTA,20100505,12.8,12.8,12.3,12.6,82100
GTA,20100504,12.5,12.8,12.4,12.8,164650
GTA,20100429,11.8,12.2,11.8,12.2,53960
GTA,20100428,12.2,12.2,11.6,11.8,22350
GTA,20100427,11.9,12.1,11.9,11.9,87730
GTA,20100426,11.7,12.3,11.7,12,35890
GTA,20100422,12.1,12.5,11.8,11.8,118310
GTA,20100421,11.9,12.3,11.9,12.1,60540
GTA,20100420,12.5,12.5,11.9,11.9,83140
GTA,20100419,13.1,13.1,12.3,12.4,97320
GTA,20100416,12.5,12.5,12.3,12.5,253560
GTA,20100415,11.9,11.9,11.8,11.9,150310
GTA,20100414,11.3,11.5,11.2,11.3,26630
GTA,20100413,11.5,11.7,11.4,11.4,31870
GTA,20100412,11.8,11.8,11.6,11.6,45680
GTA,20100409,12,12,11.5,11.7,65530
GTA,20100408,11.2,11.5,11.2,11.5,96890
GTA,20100407,11,11.2,11,11,11620
GTA,20100406,11.1,11.2,11.1,11.1,38500
GTA,20100405,11.3,11.3,11.1,11.1,17710
GTA,20100402,11.3,11.4,11.2,11.3,39990
GTA,20100401,10.9,11.3,10.9,11.3,9320
GTA,20100331,10.9,11.1,10.9,11.1,5090
GTA,20100330,11,11.2,10.8,11,29350
GTA,20100329,11.3,11.3,11,11,13120
GTA,20100326,11.2,11.2,10.9,11.2,12960
GTA,20100325,11.2,11.4,11,11,27790
GTA,20100324,11.4,11.4,11.2,11.4,8400
GTA,20100323,11.3,11.3,11.1,11.2,17970
GTA,20100322,11.6,11.6,11.2,11.3,10490
GTA,20100319,11.6,11.6,11.3,11.4,27260
GTA,20100318,11.2,11.5,11.1,11.5,40020
GTA,20100317,11.2,11.6,11.2,11.2,62220
GTA,20100316,11.5,11.9,11.5,11.6,40390
GTA,20100315,12.1,12.1,11.7,11.8,41460
GTA,20100312,12.1,12.1,11.8,12.1,26070
GTA,20100311,12.3,12.4,12.1,12.1,97270
GTA,20100310,11.4,11.9,11.3,11.9,140950
GTA,20100309,11.3,11.7,11.3,11.3,56270
GTA,20100308,11.3,11.6,11.3,11.4,44050
GTA,20100305,11.3,11.3,11,11.3,49950
GTA,20100304,11.1,11.6,11.1,11.3,32820
GTA,20100303,11.3,11.3,11.1,11.1,8910
GTA,20100302,11.3,11.3,11.1,11.1,14630
GTA,20100301,11,11.4,11,11.1,13410
GTA,20100226,10.9,11,10.9,11,13450
GTA,20100225,10.9,11,10.9,10.9,11930
GTA,20100224,10.8,11,10.8,11,5060
GTA,20100223,11,11.1,11,11,2580
GTA,20100222,11.9,11.9,11.5,11.5,10340
GTA,20100212,11.3,11.5,11.3,11.5,8720
GTA,20100211,11.1,11.3,10.9,11.3,2670
GTA,20100210,10.8,11.1,10.8,11.1,4220
GTA,20100209,10.9,11.3,10.8,10.8,10450
GTA,20100208,11.5,11.5,11.2,11.2,4940
GTA,20100205,11.4,11.9,11.2,11.5,149040
GTA,20100204,10.7,11.3,10.7,11.3,44690
GTA,20100203,10.8,10.8,10.6,10.8,10140
GTA,20100202,11.2,11.2,10.7,10.8,8590
GTA,20100201,10.8,10.8,10.6,10.7,17980
GTA,20100129,10.8,10.8,10.7,10.8,11040
GTA,20100128,10.8,11.2,10.8,10.8,15530
GTA,20100127,11,11.5,11,11,4440
GTA,20100126,11.2,11.4,11.2,11.4,13780
GTA,20100125,10.8,10.9,10.7,10.9,23920
GTA,20100122,10.7,11,10.7,10.8,21470
GTA,20100121,10.9,11.1,10.8,10.8,27040
GTA,20100120,11.9,11.9,11,11.1,45860
GTA,20100119,12.2,12.2,11.5,11.5,16280
GTA,20100118,11.2,11.9,11,11.9,61800
GTA,20100115,12,12,11.6,11.6,30780
GTA,20100114,12.4,12.4,11.9,12,114240
GTA,20100113,12.3,12.6,12,12,89560
GTA,20100112,12.7,12.9,12.6,12.6,29930
GTA,20100111,13,13.5,12.8,13.3,55280
GTA,20100108,13.5,13.5,13.5,13.5,102070
GTA,20100107,12.9,12.9,12.8,12.9,133120
GTA,20100106,12.3,12.5,12.1,12.3,36390
GTA,20100105,12.5,12.5,12.3,12.4,66430
GTA,20100104,11.3,11.9,11.3,11.9,20580
GTA,20091231,11.9,11.9,11.3,11.3,39190
GTA,20091230,11.9,11.9,11.5,11.7,17790
GTA,20091229,11.5,11.9,11.5,11.5,26130
GTA,20091228,11.8,12.5,11.8,11.9,20240
GTA,20091225,12.2,12.2,12.1,12.2,45250
GTA,20091224,11.5,11.6,11.1,11.6,30810
GTA,20091223,11.1,11.3,11,11.1,15430
GTA,20091222,11.1,11.4,11,11.1,52490
GTA,20091221,11.2,11.5,10.8,11.5,17810
GTA,20091218,11.2,11.3,10.9,11.1,40800
GTA,20091217,10.5,11.2,10.5,11,27490
GTA,20091216,11.2,11.3,11,11,48370
GTA,20091215,11.1,11.8,11.1,11.6,13520
GTA,20091214,11.8,11.8,11.3,11.5,26000
GTA,20091211,10.9,11.3,10.6,11.3,15320
GTA,20091210,11.3,12.3,11.1,11.1,38700
GTA,20091209,11.7,12.3,11.7,11.7,28870
GTA,20091208,12.8,12.8,12.1,12.3,11980
GTA,20091207,12.8,12.8,12.5,12.7,7100
GTA,20091204,12.3,12.7,12.3,12.7,7320
GTA,20091203,12.3,12.8,12,12.7,17830
GTA,20091202,12.8,13.1,12.6,12.6,32630
GTA,20091201,13,13.2,12.8,13,36060
GTA,20091130,12.5,13.1,12.5,12.6,53400
GTA,20091127,12,13.2,12,12.8,109310
GTA,20091126,12.6,12.6,12.6,12.6,11510
GTA,20091125,13.3,13.3,13.2,13.2,48860
GTA,20091124,13.3,13.9,13.1,13.9,50560
GTA,20091123,13.7,14.2,13.3,13.3,38210
GTA,20091120,14.3,14.4,13.8,13.8,28170
GTA,20091119,14.4,14.5,14,14.3,18920
GTA,20091118,14,14.4,13.9,14.4,49400
GTA,20091117,15.2,15.2,14.3,14.6,61010
GTA,20091116,14,14.5,13.8,14.5,109500
GTA,20091113,13.1,13.8,13.1,13.8,38400
GTA,20091112,13.8,14,13.6,13.6,32560
GTA,20091111,13,13.7,13,13.6,24620
GTA,20091110,13.8,13.8,13,13.1,12860
GTA,20091109,14.3,14.3,13.6,13.7,21510
GTA,20091106,15,15.1,14.3,14.3,75890
GTA,20091105,14.4,14.4,14.2,14.4,59330
GTA,20091104,12.6,13.8,12.6,13.7,77530
GTA,20091103,13.4,13.5,13.2,13.2,23150
GTA,20091102,13.9,14.2,13.9,13.9,22740
GTA,20091030,14.6,14.6,14.5,14.6,71260
GTA,20091029,14.3,14.3,13.9,13.9,102230
GTA,20091028,14.5,15,14.3,14.6,89190
GTA,20091027,15,15.1,14.7,14.7,129930
GTA,20091026,16.3,16.4,15.5,15.5,107520
GTA,20091023,16.8,17.1,16.3,16.3,108660
GTA,20091022,16.8,17.7,16.4,16.8,275600
GTA,20091021,17.3,17.9,16.4,17.3,291840
GTA,20091020,17.3,17.3,16.5,17.3,539110
GTA,20091019,16.5,16.5,16.5,16.5,63130
GTA,20091016,15.7,15.7,15.7,15.7,63650
GTA,20091015,15,15,14.7,15,280470
GTA,20091014,14,14.5,14,14.3,169020
GTA,20091013,14.3,14.3,13.7,14.3,209870
GTA,20091012,13.6,13.7,13.2,13.7,163950
GTA,20091009,12.7,13.1,12.7,13.1,107140
GTA,20091008,12.8,12.8,12.5,12.5,48290
GTA,20091007,12.4,12.8,12.4,12.8,50650
GTA,20091006,12.3,12.6,12.3,12.4,44520
GTA,20091005,12.7,12.7,12.3,12.3,26630
GTA,20091002,12.3,12.4,12.2,12.4,99000
GTA,20091001,13.1,13.1,12.8,12.8,34550
GTA,20090930,13.6,13.6,13.3,13.3,65650
GTA,20090929,13.3,13.7,13.3,13.6,89690
GTA,20090928,13.7,13.7,13.5,13.5,93000
GTA,20090925,13.3,13.5,13.2,13.5,60430
GTA,20090924,13.1,13.4,13.1,13.1,122720
GTA,20090923,14.3,14.3,13.6,13.7,162960
GTA,20090922,14.5,14.5,14.1,14.3,220220
GTA,20090921,13.9,14.1,13.6,14.1,258790
GTA,20090918,12.8,13.4,12.8,13.4,176370
GTA,20090917,13,13,12.8,12.8,60680
GTA,20090916,13.2,13.3,13,13,146062
GTA,20090915,13.3,13.3,12.8,13.2,77760
GTA,20090914,13,13.6,13,13.1,110540
GTA,20090911,13.5,13.5,13.1,13.3,119950
GTA,20090910,12.7,13.3,12.7,13.1,135790
GTA,20090909,12.4,13,12.4,13,133100
GTA,20090908,12.6,12.8,12.4,12.4,72670
GTA,20090907,12.8,12.9,12.5,12.6,100720
GTA,20090904,14,14.5,13.1,13.1,243410
GTA,20090903,13.2,13.8,13,13.8,270670
GTA,20090901,12.6,13.2,12.4,13.2,242700
GTA,20090831,12.6,12.6,12.4,12.6,153360
GTA,20090828,11.9,12.1,11.9,12.1,87160
GTA,20090827,11.8,12,11.6,11.9,73600
GTA,20090826,11.6,11.9,11.6,11.7,64620
GTA,20090825,11.6,11.7,11.5,11.6,123830
GTA,20090824,12.1,12.4,11.8,12.1,89430
GTA,20090821,12,12,11.5,12,301470
GTA,20090820,11.1,11.4,10.9,11.4,148420
GTA,20090819,10.4,10.9,10.4,10.9,87100
GTA,20090818,10.3,10.5,10.2,10.4,71310
GTA,20090817,10.6,10.6,10.3,10.4,57100
GTA,20090814,10.5,10.6,10.4,10.6,71430
GTA,20090813,10.8,10.8,10.6,10.7,108620
GTA,20090812,11,11,10.6,10.8,84110
GTA,20090811,11,11,10.6,10.9,63040
GTA,20090810,10.3,10.6,10.1,10.6,166940
GTA,20090807,10.2,10.3,10.1,10.1,47510
GTA,20090806,10.3,10.5,10.1,10.3,97440
GTA,20090805,10.2,10.3,9.9,10.3,47470
GTA,20090804,10.4,10.4,10,10.2,75150
GTA,20090803,10.3,10.3,9.9,9.9,50680
GTA,20090731,10.1,10.1,9.7,9.9,66790
GTA,20090730,9.7,9.8,9.6,9.8,47580
GTA,20090729,10,10.3,9.8,10,30970
GTA,20090728,10.3,10.8,10,10.1,54250
GTA,20090727,11,11,10.4,10.5,64680
GTA,20090724,10.5,10.5,10.5,10.5,94310
GTA,20090723,9.8,10.1,9.6,10,22180
GTA,20090722,10.1,10.1,9.9,10,15840
GTA,20090721,10.4,10.4,9.9,10.1,46020
GTA,20090720,9.9,10,9.8,9.9,9720
GTA,20090717,9.8,10.1,9.4,9.8,27470
GTA,20090716,10,10,9.6,9.8,31270
GTA,20090715,9.6,9.7,9.5,9.5,29670
GTA,20090714,9.5,9.6,9.4,9.5,21920
GTA,20090713,10.3,10.3,9.8,9.8,28790
GTA,20090710,10.3,10.3,10.2,10.3,10640
GTA,20090709,10.2,10.8,10.1,10.6,19400
GTA,20090708,10.5,10.8,10.5,10.5,7640
GTA,20090707,10.6,11.2,10.6,10.9,18410
