<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HBE,20100729,10.8,10.8,10.8,10.8,100
HBE,20100728,10.5,10.5,10.5,10.5,3900
HBE,20100727,11,11,10.5,10.7,8400
HBE,20100726,11,11.2,10.7,10.9,12500
HBE,20100723,11.3,11.3,11,11.1,10700
HBE,20100722,11.2,11.7,11.1,11.4,6000
HBE,20100721,11.6,11.6,11.2,11.4,6900
HBE,20100720,11.9,11.9,11,11.3,17900
HBE,20100719,11,11.7,11,11.3,27800
HBE,20100716,11,11.2,10.8,11,10700
HBE,20100715,11,11.2,11,11.1,10800
HBE,20100714,11,11,10.6,10.7,9000
HBE,20100713,11,11.3,11,11.2,7800
HBE,20100712,10.6,11.2,10.5,10.7,21600
HBE,20100709,10.5,10.7,10.4,10.5,15000
HBE,20100708,10.5,10.8,10.4,10.5,15200
HBE,20100707,11.2,11.5,10.9,11,24200
HBE,20100706,11.6,12,11.4,11.7,61200
HBE,20100705,11.9,11.9,11.9,11.9,54400
HBE,20100702,10.6,11.2,10.5,11.2,39800
HBE,20100701,10.3,10.9,10.3,10.5,15900
HBE,20100630,9.7,10.9,9.7,10.3,42100
HBE,20100629,10.4,10.4,10.1,10.2,7400
HBE,20100628,10.3,10.3,10.3,10.3,4200
HBE,20100625,10,10.2,9.8,10,9000
HBE,20100624,10.3,10.3,10.2,10.2,3700
HBE,20100623,10,10.5,10,10.4,20200
HBE,20100622,10.5,10.5,10.2,10.5,3900
HBE,20100621,9.8,10.3,9.8,10.2,17900
HBE,20100618,9.7,9.9,9.7,9.7,2900
HBE,20100617,9.5,10.2,9.5,9.6,4200
HBE,20100616,10.5,10.5,9.8,9.9,2200
HBE,20100615,10.4,10.4,10,10.1,1200
HBE,20100614,10.3,10.3,10.3,10.3,100
HBE,20100611,10.5,10.5,9.7,10.1,13100
HBE,20100610,9.9,9.9,9.9,9.9,100
HBE,20100609,9.3,9.3,9.3,9.3,500
HBE,20100608,9.2,9.5,9.2,9.4,400
HBE,20100607,9.5,9.5,9.4,9.4,10800
HBE,20100604,9.6,10.1,9.6,10.1,4100
