<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HNXINDEX,20100729,152.38,153.06,151.62,152.99,46306940
HNXINDEX,20100728,154.92,154.98,151.68,152.38,34490824
HNXINDEX,20100727,155.69,157.22,154.82,154.92,31170876
HNXINDEX,20100726,157.5,158.16,155.46,155.69,29031800
HNXINDEX,20100723,157.68,159.28,157.03,157.99,32803000
HNXINDEX,20100722,158.97,159.15,156.69,157.68,37930850
HNXINDEX,20100721,160.15,160.92,158.33,158.97,48656000
HNXINDEX,20100720,160.37,161.78,159.85,160.15,49786800
HNXINDEX,20100719,161.12,161.2,159.97,160.37,42395300
HNXINDEX,20100716,160.7,161.44,160.26,161.12,40735600
HNXINDEX,20100715,162.42,162.87,160.6,160.7,42113300
HNXINDEX,20100714,161.9,165.12,161.6,162.42,52271100
HNXINDEX,20100713,157.57,162.1,157.57,161.9,41468800
HNXINDEX,20100712,156.2,157.58,155.88,157.57,27172340
HNXINDEX,20100709,155.58,156.55,155.58,156.2,30417100
HNXINDEX,20100708,155.09,158.43,155.09,155.58,27121300
HNXINDEX,20100707,155.8,157.88,154.69,155.09,30015800
HNXINDEX,20100706,158.28,158.5,155.32,155.8,32768500
HNXINDEX,20100705,158.39,159.1,157.95,158.28,26909130
HNXINDEX,20100702,157.98,159.12,157.7,158.39,30694100
HNXINDEX,20100701,158.81,158.81,157.03,157.98,30371900
HNXINDEX,20100630,161.33,161.33,157.05,158.81,39968900
HNXINDEX,20100629,161.15,162.69,160.6,161.33,44394200
HNXINDEX,20100628,160.4,161.22,159.89,161.15,37298100
HNXINDEX,20100625,162.99,163.25,159.59,160.4,46764200
HNXINDEX,20100624,162.86,164.26,162.12,162.98,39637400
HNXINDEX,20100623,161.92,162.91,160.5,162.86,37860300
HNXINDEX,20100622,164.01,164.73,161.44,161.92,45833858
HNXINDEX,20100621,163.35,164.32,162.7,164.01,43202900
HNXINDEX,20100618,162.25,163.66,161.96,163.35,44061650
HNXINDEX,20100617,163.63,165.04,162.1,162.25,44898800
HNXINDEX,20100616,163.22,163.65,162.63,163.63,44687010
HNXINDEX,20100615,159.76,161.5,159.22,160.45,38979200
HNXINDEX,20100614,158.22,159.91,158.22,159.76,33388000
HNXINDEX,20100611,157.06,160.23,157.06,158.22,29576300
HNXINDEX,20100610,156.6,157.39,156.26,157.06,19417700
HNXINDEX,20100609,157.49,159.01,156.36,156.6,23320980
HNXINDEX,20100608,154.8,157.53,153.8,157.49,28989650
HNXINDEX,20100607,161.68,161.95,154.2,154.8,35970600
HNXINDEX,20100604,163.36,164.72,161.31,161.68,29672960
HNXINDEX,20100603,162.13,166.19,162.13,163.36,30261100
HNXINDEX,20100602,162.91,163.26,160.69,162.15,29927900
HNXINDEX,20100601,163.6,163.91,161.02,162.91,31645810
HNXINDEX,20100531,166.7,167.73,162.19,163.6,29947400
HNXINDEX,20100528,159.83,167.54,159.83,166.7,44889800
HNXINDEX,20100527,159.48,160.43,158.25,159.83,31244850
HNXINDEX,20100526,155.9,159.75,154.46,159.48,32054300
HNXINDEX,20100525,156.41,157.97,154.09,155.9,32432100
HNXINDEX,20100524,152.69,156.44,151.9,156.41,37153600
HNXINDEX,20100521,163.36,163.36,151.25,152.69,43415800
HNXINDEX,20100520,160.51,164.95,154.88,163.36,54519400
HNXINDEX,20100519,167.02,167.02,160.09,160.51,40300800
HNXINDEX,20100518,169.61,170.84,166.73,167.02,33800100
HNXINDEX,20100517,172.7,174.68,169.41,169.61,42285100
HNXINDEX,20100514,173.16,173.9,171.48,172.7,44382600
HNXINDEX,20100513,174.73,176.79,172.22,173.16,41207550
HNXINDEX,20100512,182.43,183.8,174.09,174.73,53299600
HNXINDEX,20100511,181.7,187.47,181.7,182.43,48689100
