<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HPB,20100729,35,36.8,35,36.1,104200
HPB,20100728,36.6,36.6,35,35.3,125600
HPB,20100727,37.7,38,36.6,37.1,111400
HPB,20100726,39,39,37.2,38,166700
HPB,20100723,40,40.5,38.6,39.1,92800
HPB,20100722,39,40.8,38.9,39.5,170400
HPB,20100721,39.3,39.6,38.3,38.9,241300
HPB,20100720,43.2,43.5,40.3,41.1,153000
HPB,20100719,40.7,43.5,40.7,43.1,180000
HPB,20100716,40,42,39.8,40.7,267300
HPB,20100715,43.9,43.9,39.9,40.7,323900
HPB,20100714,45,45,42,42.8,379500
HPB,20100713,45,45.9,43.7,44.6,222600
HPB,20100712,43.3,45.8,43.3,43.5,404800
HPB,20100709,49.6,49.6,46.3,46.5,94800
HPB,20100708,50.1,50.1,48,49.7,277100
HPB,20100707,47.1,47.1,45.9,46.9,310700
HPB,20100706,44.1,44.1,44,44.1,545300
HPB,20100705,39.5,41.8,39.5,41.3,493700
HPB,20100702,38.7,40,38,39.1,178500
HPB,20100701,36.5,39.2,36.5,38.5,217400
HPB,20100630,38,38,36,36.8,90300
HPB,20100629,38,39,38,38.4,89200
HPB,20100628,39.8,40,38.2,38.8,134000
HPB,20100625,40.5,42,39.4,40.7,151500
HPB,20100624,39.5,41.7,39.5,41.4,488500
HPB,20100623,39,39.3,38.3,39,131900
HPB,20100622,39.2,40.4,38.5,39.1,267900
HPB,20100621,39.2,39.5,38.5,39,194600
HPB,20100618,39.2,39.5,38.7,39.1,104800
HPB,20100617,40.6,41,38,39.3,118700
HPB,20100616,40.9,41.8,39.3,40.4,361300
HPB,20100615,38,41.1,37.5,39.3,625500
HPB,20100614,38,39,37.5,38.5,127800
HPB,20100611,39.5,40,37.5,38.8,151800
HPB,20100610,40.5,40.5,37.9,38.6,201500
HPB,20100609,38.8,38.8,38.5,38.8,629600
HPB,20100608,32.8,37.6,32.8,36.3,289800
HPB,20100607,36.5,36.5,34.9,35.2,55700
HPB,20100604,37.9,38.5,36.5,37.5,115000
HPB,20100603,39.4,39.4,36,37.9,99200
HPB,20100602,34.5,38,34.5,36.9,205500
HPB,20100601,38.1,38.1,35.5,35.6,188400
HPB,20100531,40,40,37.2,38.1,21500
HPB,20100528,38,40.3,37.5,40,312600
HPB,20100527,39.8,39.8,35.5,37.7,70300
HPB,20100526,38,38,37,38,137800
HPB,20100525,35.6,35.6,35.1,35.6,46200
HPB,20100524,30.1,34.1,29.7,33.3,89900
HPB,20100521,31.9,31.9,31.9,31.9,14100
HPB,20100520,33.2,37.9,33.1,34.3,112300
HPB,20100519,34.5,37,34.5,35.5,309200
HPB,20100518,37.1,37.1,37,37,40600
HPB,20100517,38.9,44.6,38.9,39.7,199700
HPB,20100514,41.8,48,41.8,41.8,89800
HPB,20100513,45.1,46,44.9,44.9,99600
HPB,20100512,49.9,49.9,46.5,48.2,102900
HPB,20100511,46.7,46.7,46.7,46.7,415900
HPB,20100510,43.7,43.7,43.7,43.7,181500
HPB,20100507,40.9,40.9,40.5,40.9,114200
HPB,20100506,38.3,38.3,38.3,38.3,93400
HPB,20100505,35,36,35,35.8,115500
HPB,20100504,40.8,40.8,35.6,35.8,83900
HPB,20100429,32,60,30,38.2,23700
