<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HSI,20100729,14.2,14.2,13.9,14,61840
HSI,20100728,14.5,14.5,13.9,13.9,88650
HSI,20100727,14.9,14.9,14.4,14.6,40640
HSI,20100726,14.9,15,14.7,14.9,39730
HSI,20100723,15.2,15.2,14.8,14.9,33590
HSI,20100722,15.1,15.2,15,15.2,39210
HSI,20100721,15.4,15.4,15.2,15.2,41810
HSI,20100720,15.5,15.5,15.3,15.3,93220
HSI,20100719,15.2,15.5,15.2,15.5,56680
HSI,20100716,15.4,15.5,15.4,15.5,80470
HSI,20100715,15.1,15.6,15.1,15.5,131500
HSI,20100714,15.7,15.7,15.1,15.1,64360
HSI,20100713,15.6,15.9,15.3,15.4,142800
HSI,20100712,15.4,15.4,14.9,15.4,38680
HSI,20100709,15,15.1,14.9,15,71780
HSI,20100708,15.3,15.3,14.9,15,54260
HSI,20100707,15.8,15.8,15,15,109120
HSI,20100706,15.8,15.8,15.1,15.3,76750
HSI,20100705,16.1,16.1,15.7,15.7,49840
HSI,20100702,15.9,16.2,15.7,15.8,67700
HSI,20100701,15.8,15.8,15.6,15.7,39100
HSI,20100630,15.8,16.3,15.8,16.3,82540
HSI,20100629,15.7,16.4,15.7,16.4,65100
HSI,20100628,16.1,16.3,15.9,16.3,61510
HSI,20100625,16.1,16.4,16,16,170830
HSI,20100624,16,16.8,16,16.8,434820
HSI,20100623,15.6,16.4,15.6,16,108020
HSI,20100622,16.5,16.8,15.9,16,162660
HSI,20100621,15.9,16.6,15.9,16.6,437290
HSI,20100618,15.7,16,15.5,15.9,122750
HSI,20100617,16.1,16.1,15.7,15.7,226100
HSI,20100616,17,17,16.3,16.3,171380
HSI,20100615,16.7,16.9,16,16.8,267520
HSI,20100614,16,16.1,15.9,16.1,367760
HSI,20100611,14.7,15.4,14.7,15.4,202070
HSI,20100610,14.8,15.3,14.7,14.7,148290
HSI,20100609,15.2,15.3,14.8,15.2,102210
HSI,20100608,14.7,15.5,14.5,15.2,192400
HSI,20100607,15.4,15.5,15.1,15.1,109570
HSI,20100604,15.7,16.4,15.7,15.8,193210
HSI,20100603,16.6,16.6,15.9,16.2,109520
HSI,20100602,16.3,16.4,15.9,16,82160
HSI,20100601,16,16.4,15.5,16.4,267630
HSI,20100531,16.5,16.5,15.7,15.7,71040
HSI,20100528,17.1,17.1,16.5,16.5,146430
HSI,20100527,16,16.4,15.5,16.4,118360
HSI,20100526,15.5,16,14.8,16,174880
HSI,20100525,14.6,16,14.6,15.5,34520
HSI,20100524,14.9,15.5,14.9,15.3,124120
HSI,20100521,15.2,15.3,15.2,15.2,66300
HSI,20100520,15.2,15.9,15.2,15.9,253650
HSI,20100519,17,17,15.9,15.9,134640
HSI,20100518,16.8,17.3,16.7,16.7,94640
HSI,20100517,17,17.5,16.8,17.3,102100
HSI,20100514,17.4,17.4,17.3,17.4,282810
HSI,20100513,16.2,16.9,16.2,16.6,120100
HSI,20100512,16.8,16.9,16.7,16.7,281060
HSI,20100511,18,18,17.1,17.5,383220
HSI,20100510,18.2,18.2,18,18,98110
HSI,20100507,19.9,19.9,18.7,18.9,667270
HSI,20100506,19.5,19.6,18.1,19.6,518900
HSI,20100505,18.7,18.7,18.7,18.7,230590
HSI,20100504,17.9,17.9,17.9,17.9,314970
HSI,20100429,17.1,17.1,16.8,17.1,726650
HSI,20100428,16,16.3,15.7,16.3,330430
HSI,20100427,14.7,15.6,14.7,15.6,183500
HSI,20100426,15.6,15.7,14.9,14.9,156250
HSI,20100422,16.9,16.9,15.5,15.6,278680
HSI,20100421,16.1,16.1,15.8,16.1,250820
HSI,20100420,15.2,15.4,14.9,15.4,340940
HSI,20100419,14.5,15,14.3,14.7,160090
HSI,20100416,13.9,14.3,13.9,14.3,248380
HSI,20100415,14,14,13.7,13.7,81260
HSI,20100414,13.3,13.9,13.3,13.9,85240
HSI,20100413,13.4,13.6,13.3,13.3,102140
HSI,20100412,13.9,14.1,13.5,13.9,115920
HSI,20100409,14,14.1,13.6,14.1,93600
HSI,20100408,13.6,14.5,13.3,14.1,156730
HSI,20100407,14.1,14.3,13.8,13.9,94490
HSI,20100406,14.4,14.4,14,14,201600
HSI,20100405,13.3,13.8,13,13.8,248850
HSI,20100402,13.5,13.8,13,13.2,139440
HSI,20100401,13.4,13.5,12.6,13.5,196560
HSI,20100331,12.5,13.3,12.2,13.3,131330
HSI,20100330,12.8,12.9,12.4,12.9,119410
HSI,20100329,12.8,12.8,12.6,12.8,140160
HSI,20100326,12.1,12.2,12.1,12.2,190460
HSI,20100325,12.2,12.2,11.7,11.7,49000
HSI,20100324,11.5,11.9,11.5,11.9,104610
HSI,20100323,11.3,11.9,11.3,11.3,35500
HSI,20100322,12,12,11.7,11.7,22560
HSI,20100319,11.8,12.2,11.8,11.9,37010
HSI,20100318,12,12.2,11.8,12.2,34680
HSI,20100317,11.9,12.3,11.9,12,42660
HSI,20100316,12.9,12.9,12.2,12.3,93790
HSI,20100315,12.9,12.9,12.8,12.9,285790
HSI,20100312,12.3,12.3,12.3,12.3,37180
HSI,20100311,11.8,11.8,11.8,11.8,18640
HSI,20100310,11.1,11.2,11,11.2,127120
