<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HST,20100729,10.8,11.2,10.8,11.2,5100
HST,20100728,10.7,11.5,10.7,10.7,28000
HST,20100727,11.5,11.8,11.3,11.4,7000
HST,20100726,11.3,11.4,11.3,11.3,4000
HST,20100723,12,12,11.7,11.9,10700
HST,20100722,12.1,12.1,12.1,12.1,3100
HST,20100721,13.1,13.1,13,13,1500
HST,20100720,12.6,12.7,12.1,12.5,12400
HST,20100719,11.6,12,11.6,11.9,18400
HST,20100716,11.8,11.9,11.2,11.3,30500
HST,20100715,12,12,12,12,100
HST,20100714,11.6,11.8,11.6,11.7,9000
HST,20100713,11,12.6,11,11.3,14800
HST,20100712,11.8,11.8,11.8,11.8,100
HST,20100709,13,13,12.1,12.1,46800
HST,20100708,13,13,13,13,700
HST,20100707,13.8,13.8,12,13,3300
HST,20100706,12.8,12.9,12.7,12.9,50700
HST,20100705,11.7,12.1,11.5,12.1,52900
HST,20100702,10.8,11.5,10.8,11.4,63900
HST,20100701,10.8,10.9,10.6,10.8,6500
HST,20100630,10.2,10.8,10.1,10.7,8900
HST,20100629,10.1,10.1,10.1,10.1,100
HST,20100628,9.5,9.5,9.5,9.5,100
HST,20100625,10,10,10,10,1000
HST,20100624,10.7,10.7,10.5,10.7,2600
HST,20100623,10.7,10.7,10.7,10.7,2600
HST,20100622,10.6,10.7,10.6,10.6,4200
HST,20100621,10.5,10.8,10.5,10.6,9600
HST,20100618,10.5,10.6,10.5,10.6,400
HST,20100617,10.5,10.6,10.5,10.6,8200
HST,20100616,10.5,10.9,10.5,10.6,1100
HST,20100615,10,10.7,10,10.5,1200
HST,20100614,11,11,10.2,10.6,500
HST,20100611,10.8,10.8,10.3,10.6,2600
HST,20100610,10.9,10.9,10.8,10.8,7600
HST,20100609,10.9,10.9,10.9,10.9,200
HST,20100608,10.3,11,10.3,10.5,4500
HST,20100607,10.4,10.4,10.3,10.3,6500
HST,20100604,11,11,10.5,11,6000
HST,20100603,11,11,11,11,500
HST,20100602,10.5,11.5,10.5,11.3,6400
HST,20100601,11.1,11.1,11.1,11.1,1300
HST,20100531,11.9,12,11.8,11.9,300
HST,20100528,11.9,11.9,10.5,11.3,700
HST,20100527,11.1,11.5,11.1,11.2,12000
HST,20100526,12.3,12.3,11.7,11.9,7400
HST,20100525,11.5,11.5,11.5,11.5,100
HST,20100524,10.8,11,10.8,10.9,3000
HST,20100520,10.4,10.4,10.4,10.4,1400
HST,20100519,10.4,10.4,10.2,10.4,1700
HST,20100518,10.1,10.8,10.1,10.1,2300
HST,20100517,10.8,10.8,10.8,10.8,100
HST,20100514,11.4,11.4,11.4,11.4,7600
HST,20100513,12.2,12.2,12.2,12.2,600
HST,20100512,13.5,13.5,12.2,13.1,12400
HST,20100511,12.7,12.7,12.7,12.7,14700
HST,20100510,11.9,11.9,11.7,11.9,6900
HST,20100507,11.1,11.6,10.9,11.2,12200
HST,20100506,10.9,10.9,10.9,10.9,7200
HST,20100505,10.2,10.2,10,10.2,13800
HST,20100504,9.5,9.7,9.5,9.6,8200
HST,20100428,9.1,9.1,9.1,9.1,100
HST,20100427,9.4,9.7,9.3,9.4,1600
HST,20100426,9.7,9.7,9.7,9.7,1000
HST,20100422,10.2,10.5,10.2,10.2,1600
HST,20100421,10.2,10.3,10,10.2,9500
HST,20100420,9.8,9.9,9.3,9.7,6700
HST,20100419,9.3,9.3,9.3,9.3,100
HST,20100416,9.3,9.3,9.3,9.3,1300
HST,20100415,9.3,9.3,9.3,9.3,100
HST,20100414,9,9.2,9,9.1,4100
HST,20100413,9.3,9.3,9.3,9.3,100
HST,20100412,9.2,9.2,9,9,1400
HST,20100409,9,9,9,9,1000
HST,20100408,9,9,9,9,2000
HST,20100407,9.4,9.4,9.1,9.3,200
HST,20100406,9.5,9.5,9.5,9.5,100
HST,20100405,9,9,9,9,300
HST,20100331,9,9,9,9,4000
HST,20100330,9.6,9.6,9.6,9.6,100
HST,20100329,10.2,10.2,10.2,10.2,100
HST,20100325,9.8,9.8,9.8,9.8,100
HST,20100324,9.2,9.6,9.2,9.2,1200
HST,20100323,10.3,10.3,9.5,9.6,700
HST,20100322,9.8,9.8,9.8,9.8,200
HST,20100319,9.8,9.8,9.8,9.8,100
HST,20100317,9.2,9.2,9.2,9.2,200
HST,20100316,9.6,9.6,9.6,9.6,1400
HST,20100315,10.1,10.1,10.1,10.1,200
HST,20100311,10.8,10.8,10.8,10.8,100
HST,20100310,10.8,10.8,10.8,10.8,500
HST,20100119,5.4,5.4,5.4,5.4,300
HST,20100105,5.6,5.6,5.6,5.6,1000
HST,20100104,6.1,6.1,6.1,6.1,400
HST,20091230,6.5,6.5,6.5,6.5,1000
HST,20091229,6.1,6.1,6.1,6.1,200
