<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HUT,20100729,27.8,28.7,27.8,28.5,256400
HUT,20100728,30.3,30.3,28,28.3,321600
HUT,20100727,30.5,30.5,29,29.4,90300
HUT,20100726,30.7,30.7,29.2,29.8,230200
HUT,20100723,31.5,31.5,29,29.8,201700
HUT,20100722,30.7,30.8,28.9,30.7,1538700
HUT,20100721,29.4,29.4,28.3,28.8,707800
HUT,20100720,30,30,29.2,29.4,104800
HUT,20100719,30.5,30.5,29.3,29.8,664000
HUT,20100716,30.3,31.2,29.1,30.2,240600
HUT,20100715,30.6,30.7,29.6,29.9,85000
HUT,20100714,32,32,30.2,30.8,88000
HUT,20100713,32,32,30.8,31.3,234900
HUT,20100712,29,30.4,29,30.2,394900
HUT,20100709,29.5,29.5,28,28.5,202900
HUT,20100708,30.2,30.9,29,29.6,121700
HUT,20100707,30.4,30.4,28.8,29.6,79300
HUT,20100706,30,30.4,29.3,29.5,84500
HUT,20100705,30.8,30.8,30,30.5,161900
HUT,20100702,29,30.5,29,30.3,115800
HUT,20100701,29.5,30,29.4,29.6,95400
HUT,20100630,29.5,30.5,29.5,30.1,104800
HUT,20100629,31.5,32.1,30.9,31.5,261100
HUT,20100628,32,32.5,31,31.4,148400
HUT,20100625,31,31.5,30.6,30.9,207600
HUT,20100624,32.5,32.6,31.6,31.9,210700
HUT,20100623,31,33,30.2,31.9,184700
HUT,20100622,32,32.3,30.8,31.4,206600
HUT,20100621,34.9,34.9,31,32.9,445900
HUT,20100618,32.7,32.7,32.1,32.7,795500
HUT,20100617,30.6,30.6,30.6,30.6,93600
HUT,20100616,28.6,28.6,28.6,28.6,3400
HUT,20100615,28,28,26.5,26.8,524200
HUT,20100614,27.5,27.5,26.3,26.7,294600
HUT,20100611,27.3,27.4,26.7,27,191900
HUT,20100610,26.6,27,26.2,26.6,235400
HUT,20100609,26.3,27,26.1,26.5,140300
HUT,20100608,25.8,26.8,25.8,26.2,203200
HUT,20100607,26.5,26.7,25.1,25.9,244700
HUT,20100604,26.1,27,26.1,26.5,218000
HUT,20100603,26.3,27.3,26,26.3,195600
HUT,20100602,25.9,26.2,25,25.9,184900
HUT,20100601,26.4,26.4,25.3,25.9,195200
HUT,20100531,25.8,27.3,25.8,26.4,114800
HUT,20100528,26.9,26.9,26.5,26.9,527400
HUT,20100527,25,25.9,25,25.5,288300
HUT,20100526,24,25.3,24,25,256400
HUT,20100525,24.5,24.5,23.6,24,211200
HUT,20100524,23.7,24.3,22.5,23.9,155500
HUT,20100521,24,24,23.7,23.7,293900
HUT,20100520,24.5,26.5,24.5,25.1,329800
HUT,20100519,26.1,26.3,25.9,26,169400
