<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IFS,20100729,11.5,11.5,11.3,11.3,5590
IFS,20100728,11.6,11.6,11.4,11.5,25840
IFS,20100727,11.9,11.9,11.3,11.9,7240
IFS,20100726,11.9,12,11.6,11.6,13000
IFS,20100723,11.7,12,11.5,11.9,3290
IFS,20100722,11.9,12,11.7,11.7,22010
IFS,20100721,12.2,12.2,11.9,12.1,65310
IFS,20100720,11.9,11.9,11.7,11.7,4610
IFS,20100719,11.9,11.9,11.6,11.6,1910
IFS,20100716,11.9,12,11.8,11.8,17370
IFS,20100715,11.5,11.9,11.5,11.8,7830
IFS,20100714,11.9,11.9,11.5,11.5,31360
IFS,20100713,12,12,11.9,12,38430
IFS,20100712,11.5,11.6,11.3,11.6,7050
IFS,20100709,12,12,11.4,11.4,2640
IFS,20100708,11.7,11.7,11.7,11.7,5600
IFS,20100707,11.6,11.9,11.2,11.2,15860
IFS,20100706,11.8,11.9,11.4,11.6,11020
IFS,20100705,12.2,12.2,11.9,11.9,1990
IFS,20100702,11.7,12.1,11.7,12,16660
IFS,20100701,12.1,12.1,11.8,11.8,4510
IFS,20100630,11.6,12,11.6,12,18470
IFS,20100629,12,12.3,12,12.2,16220
IFS,20100628,11.7,12.2,11.7,12,34320
IFS,20100625,12.4,12.4,11.8,11.8,73050
IFS,20100624,12.5,12.5,12.2,12.2,34330
IFS,20100623,12.6,12.6,12.2,12.3,6820
IFS,20100622,12.9,12.9,12.5,12.5,13500
IFS,20100621,12.5,12.9,12.4,12.9,116780
IFS,20100618,12.3,12.4,12.2,12.3,38590
IFS,20100617,12.3,12.3,12,12.3,42230
IFS,20100616,12.3,12.5,12.3,12.3,28720
IFS,20100615,12.5,12.5,12,12.3,53290
IFS,20100614,12.3,12.7,12.2,12.3,38370
IFS,20100611,12.6,12.6,12.1,12.3,40390
IFS,20100610,12.1,12.4,12,12,45270
IFS,20100609,12.8,12.9,12.3,12.3,113390
IFS,20100608,13.2,13.2,12.6,12.9,34900
IFS,20100607,12.6,13.4,12.6,13,77210
IFS,20100604,13,13.1,12.9,13.1,132990
IFS,20100603,12.5,12.6,12.3,12.5,64770
IFS,20100602,12.6,12.8,12,12,49700
IFS,20100601,12.2,12.6,11.5,12.6,100780
IFS,20100531,12.2,12.5,12.1,12.1,27920
IFS,20100528,12.3,12.8,12.3,12.7,50130
IFS,20100527,11.3,12.3,11.3,12.3,5790
IFS,20100526,10.9,11.8,10.9,11.8,106040
IFS,20100525,11.3,11.8,11.3,11.3,43190
IFS,20100524,12.2,12.2,11.8,11.8,86830
IFS,20100521,11.9,11.9,11.8,11.8,760
IFS,20100520,11.7,12.4,11.7,12.4,132250
IFS,20100519,12.5,12.5,11.9,12.3,10380
IFS,20100518,12,12.5,11.9,12.5,58410
IFS,20100517,13.1,13.1,12.5,12.5,93720
IFS,20100514,12.1,13.1,12.1,13.1,142370
IFS,20100513,12.5,13.1,12.5,12.5,43110
IFS,20100512,13.3,13.3,13.1,13.1,50470
IFS,20100511,13.7,13.7,13.4,13.7,158820
IFS,20100510,12,13.1,11.9,13.1,117380
IFS,20100507,12.2,12.7,11.6,12.5,100330
IFS,20100506,12.2,12.2,12.1,12.2,86660
IFS,20100505,11.7,11.7,11.7,11.7,64810
IFS,20100504,10.6,11.2,10.6,11.2,56150
IFS,20100429,10.5,10.8,10.5,10.7,41340
IFS,20100428,11.3,11.4,11,11,32780
IFS,20100427,11.3,11.7,11.3,11.5,60810
IFS,20100426,11.7,11.7,11.2,11.7,125210
IFS,20100422,11.6,11.6,11.1,11.6,208550
IFS,20100421,11.1,11.1,11.1,11.1,44160
IFS,20100420,10.6,10.6,10.6,10.6,26970
IFS,20100419,9.7,10.1,9.7,10.1,136240
IFS,20100416,9.7,9.7,9.7,9.7,87210
IFS,20100415,9,9.3,8.7,9.3,81980
IFS,20100414,8.7,8.9,8.7,8.9,6830
IFS,20100413,8.5,8.9,8.5,8.9,13750
IFS,20100412,8.7,8.9,8.7,8.7,7140
IFS,20100409,9,9,8.9,9,10380
IFS,20100408,8.7,8.9,8.6,8.7,6800
IFS,20100407,8.8,8.8,8.8,8.8,5290
IFS,20100406,8.7,8.9,8.7,8.8,15260
IFS,20100405,8.7,8.9,8.7,8.9,3190
IFS,20100402,8.8,9,8.7,8.7,11510
IFS,20100401,8.7,9.2,8.7,9.1,3160
IFS,20100331,9.4,9.4,8.7,8.9,18460
IFS,20100330,8.8,9.1,8.5,9.1,13740
IFS,20100329,8.9,8.9,8.8,8.8,21430
IFS,20100326,9.6,9.6,9.2,9.2,5010
IFS,20100325,9.4,9.6,9.4,9.6,8260
IFS,20100324,10,10,9.8,9.8,14380
IFS,20100323,10.3,10.3,9.9,9.9,88710
IFS,20100322,9.9,9.9,9.9,9.9,31710
IFS,20100319,8.8,9.5,8.8,9.5,48440
IFS,20100318,8.9,9.1,8.7,9.1,40560
IFS,20100317,8.8,8.8,8.4,8.7,5990
IFS,20100316,8.8,8.9,8.6,8.8,22180
IFS,20100315,8.7,8.8,8.5,8.8,25200
IFS,20100312,8.8,8.8,8.6,8.7,5080
IFS,20100311,8.7,9,8.7,8.7,8610
IFS,20100310,9.1,9.1,8.9,9,550
IFS,20100309,9.2,9.2,9,9,5260
IFS,20100308,9,9,9,9,29600
IFS,20100305,8.5,8.6,8.4,8.6,7130
IFS,20100304,8.5,8.6,8.5,8.6,2360
IFS,20100303,8.8,8.8,8.5,8.7,2190
IFS,20100302,8.7,8.7,8.6,8.7,4120
IFS,20100301,8.8,8.8,8.5,8.8,4300
IFS,20100226,8.8,8.8,8.4,8.4,9740
IFS,20100225,8.9,8.9,8.8,8.8,680
IFS,20100224,8.8,8.8,8.4,8.8,6820
IFS,20100223,8.9,8.9,8.4,8.8,850
IFS,20100222,9.2,9.2,8.6,8.6,2180
IFS,20100212,8.8,9.1,8.7,9,10470
IFS,20100211,8.6,8.7,8.6,8.7,2260
IFS,20100210,8.5,8.5,8.5,8.5,1270
IFS,20100209,8.2,8.5,8.2,8.3,7700
IFS,20100208,8.3,8.5,8.3,8.5,1740
IFS,20100205,8.9,8.9,8.5,8.5,3180
IFS,20100204,8.6,8.9,8.6,8.8,1490
IFS,20100203,8.9,8.9,8.8,8.9,4160
IFS,20100202,9.1,9.1,8.7,9,2780
IFS,20100201,8.8,9,8.8,9,650
IFS,20100129,8.8,9,8.8,8.8,8390
IFS,20100128,8.8,8.9,8.6,8.6,5000
IFS,20100127,8.8,9,8.8,9,11290
IFS,20100126,8.9,9.2,8.9,9.1,7920
IFS,20100125,9,9,8.6,8.9,1770
IFS,20100122,8.7,8.8,8.6,8.6,3210
IFS,20100121,8.9,9,8.7,9,3410
IFS,20100120,9.4,9.4,8.9,9,2780
IFS,20100119,9.4,9.4,9.2,9.2,870
IFS,20100118,9.1,9.5,9.1,9.1,14550
IFS,20100115,9.3,9.5,9,9.5,6550
IFS,20100114,9.5,9.5,9.3,9.4,440
IFS,20100113,9.5,9.5,9.1,9.4,4730
IFS,20100112,9.7,9.7,9.1,9.1,7520
IFS,20100111,9.9,9.9,9.5,9.5,2170
IFS,20100108,10,10.1,9.9,9.9,3820
IFS,20100107,9.7,10,9.7,10,16580
IFS,20100106,9.6,10,9.6,9.9,7750
IFS,20100105,10.2,10.2,9.9,10,16380
IFS,20100104,9.4,9.8,9.4,9.8,12900
IFS,20091231,9.1,9.5,9.1,9.4,5310
IFS,20091230,9.2,9.3,9.2,9.3,5820
IFS,20091229,8.9,9,8.8,8.9,5970
IFS,20091228,9.4,9.4,9,9.1,6180
IFS,20091225,9,9.2,9,9.2,13700
IFS,20091224,9,9,8.5,8.8,5700
IFS,20091223,9,9.2,8.9,8.9,11560
IFS,20091222,9.5,9.5,9.3,9.3,1030
IFS,20091221,9.3,9.3,9,9.3,6370
IFS,20091218,8.4,9,8.4,9,4030
IFS,20091217,8.9,9,8.7,8.7,7700
IFS,20091216,9.5,9.5,9.1,9.1,1920
IFS,20091215,9.9,9.9,9.5,9.5,5010
IFS,20091214,9.9,9.9,9.9,9.9,910
IFS,20091211,9.5,10,9.5,9.9,11580
IFS,20091210,9.9,9.9,9.8,9.9,2230
IFS,20091209,9.5,10,9.4,9.9,10020
IFS,20091208,9.8,10.5,9.8,9.8,3380
IFS,20091207,10.3,10.3,10.2,10.3,1790
IFS,20091204,10,10.1,9.9,10.1,2660
IFS,20091203,9.7,10,9.7,9.9,2190
IFS,20091202,10,10.3,10,10,6180
IFS,20091201,10.5,10.5,10.2,10.3,5570
IFS,20091130,10.4,10.4,10.1,10.1,19410
IFS,20091127,9.5,10.3,9.5,10.1,19410
IFS,20091126,10.4,10.4,9.9,9.9,9230
IFS,20091125,11,11,10.4,10.4,16350
IFS,20091124,11,11,10.8,10.9,5490
IFS,20091123,10.7,11.3,10.7,11.3,16250
IFS,20091120,11.4,11.5,11,11,11280
IFS,20091119,11.3,11.6,11.3,11.4,8080
IFS,20091118,11.2,11.7,11.2,11.7,18630
IFS,20091117,11.7,11.9,11.2,11.7,11960
IFS,20091116,11.5,11.8,11.5,11.7,15410
IFS,20091113,10.8,11.7,10.8,11.7,30070
IFS,20091112,11.3,11.3,10.9,11.2,11590
IFS,20091111,11,11.7,10.9,10.9,15610
IFS,20091110,11.4,12,11.4,11.4,15900
IFS,20091109,12,12,12,12,6340
IFS,20091106,12.9,12.9,12.5,12.6,34810
IFS,20091105,12.3,12.6,12,12.6,36940
IFS,20091104,12,12.2,11.4,12.2,22080
IFS,20091103,12.1,12.1,11.2,11.8,48470
IFS,20091102,11.7,11.9,11.7,11.7,57770
IFS,20091030,12.1,12.5,12.1,12.3,173830
IFS,20091029,12.7,12.7,12.7,12.7,8290
IFS,20091028,13.3,13.3,13.3,13.3,36140
IFS,20091027,14,14,14,14,25470
IFS,20091026,14.7,14.7,13.5,14.7,217380
IFS,20091023,14,14,13.8,14,270910
IFS,20091022,13.4,13.4,13.4,13.4,79920
IFS,20091021,12.8,12.8,12.8,12.8,165720
IFS,20091020,12,12.2,11.9,12.2,122830
IFS,20091019,11.8,11.8,11.4,11.7,50520
IFS,20091016,11.6,11.9,11.6,11.7,33030
IFS,20091015,12,12,11.8,11.9,122500
IFS,20091014,11.5,11.8,11.5,11.8,55720
IFS,20091013,11.5,11.7,11.5,11.5,26000
IFS,20091012,11.6,12,11.6,12,62500
IFS,20091009,11.4,11.9,11.2,11.9,77880
IFS,20091008,10.8,11.7,10.7,11.7,66230
IFS,20091007,10.7,11.2,10.6,11.2,75490
IFS,20091006,10.3,10.7,10.3,10.7,9130
IFS,20091005,10.3,10.7,10,10.7,49490
IFS,20091002,10.4,10.4,10.2,10.2,9680
IFS,20091001,10.6,10.7,10.6,10.6,9900
IFS,20090930,10.9,11,10.6,10.9,44150
IFS,20090929,10.6,10.8,10.4,10.8,38590
IFS,20090928,11,11,10.6,10.7,23300
IFS,20090925,10.9,10.9,10.7,10.9,11140
IFS,20090924,11.2,11.2,10.8,10.8,15820
IFS,20090923,10.6,11.2,10.6,11.2,89370
IFS,20090922,10.5,10.8,10.5,10.7,5580
IFS,20090921,10.5,10.9,10.5,10.9,33920
IFS,20090918,10.5,10.8,10.5,10.8,34030
IFS,20090917,10.5,10.7,10.4,10.7,23100
IFS,20090916,10.9,10.9,10.4,10.7,22160
IFS,20090915,11,11,10.6,10.9,16810
IFS,20090914,10.7,11,10.7,10.9,24720
IFS,20090911,10.9,10.9,10.7,10.7,20980
IFS,20090910,10.9,11,10.7,10.7,21430
IFS,20090909,11,11.1,10.8,10.9,30910
IFS,20090908,10.4,10.8,10.4,10.8,33020
IFS,20090907,10.4,10.7,10.3,10.4,26140
IFS,20090904,11,11.1,10.8,10.8,31750
IFS,20090903,11,11.2,10.8,11,26170
IFS,20090901,11.2,11.6,11.2,11.3,21620
IFS,20090831,11.6,11.6,11.3,11.6,50420
IFS,20090828,10.7,11.1,10.6,11.1,55630
IFS,20090827,10.7,10.7,10.6,10.6,22500
IFS,20090826,10.5,10.7,10.5,10.7,19410
IFS,20090825,10.7,10.8,10.6,10.7,19210
IFS,20090824,10.6,10.7,10.5,10.7,33690
IFS,20090821,10.5,10.7,10.4,10.6,64430
