<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IJC,20100729,26.2,26.7,25.7,26.7,30890
IJC,20100728,27,27,26.2,26.2,35520
IJC,20100727,27.1,27.4,27,27,52660
IJC,20100726,27.5,27.5,27,27.1,96320
IJC,20100723,27.9,27.9,27.1,27.1,82600
IJC,20100722,27.9,27.9,27.5,27.5,45420
IJC,20100721,27.8,27.8,27.6,27.6,51180
IJC,20100720,27.8,28,27.7,27.8,75040
IJC,20100719,27.5,27.9,27.5,27.8,89520
IJC,20100716,27.9,28.1,27.9,27.9,32520
IJC,20100715,28.4,28.4,28,28.1,42580
IJC,20100714,28.8,29.2,28.4,28.4,99220
IJC,20100713,28.9,28.9,28,28.8,115080
IJC,20100712,28,28,27.9,27.9,37410
IJC,20100709,28,28.2,28,28,48580
IJC,20100708,28.5,28.5,27.9,27.9,38620
IJC,20100707,28,28.2,27.9,28,66470
IJC,20100706,29,29,28,28,104400
IJC,20100705,29.3,29.4,29,29,101540
IJC,20100702,27.9,28.9,27.9,28.6,111260
IJC,20100701,28,28.1,27.5,27.9,87590
IJC,20100630,27.8,28.7,27.8,28,199370
IJC,20100629,30,30,28.8,28.8,80120
IJC,20100628,29.1,29.9,29.1,29.5,32780
IJC,20100625,29.4,30.5,29,29.4,218050
IJC,20100624,30.2,30.5,30,30,180830
IJC,20100623,29,30.9,28.8,30.2,294000
IJC,20100622,30.5,30.9,29.5,29.7,161880
IJC,20100621,30.5,31,30.3,31,198340
IJC,20100618,31.2,31.7,29.9,30.3,308170
IJC,20100617,30.7,31.2,30.1,31.2,488420
IJC,20100616,29.3,29.8,28.5,29.8,297320
IJC,20100615,28.3,28.6,28.1,28.4,201710
IJC,20100614,28,28.5,27.6,28.3,145650
IJC,20100611,28.4,28.4,27.6,27.6,89000
IJC,20100610,27.4,27.9,27,27.7,565720
IJC,20100609,27.8,28,26.6,26.6,110560
IJC,20100608,27.5,27.5,27,27.4,88120
IJC,20100607,27.6,28,27.5,27.5,243660
IJC,20100604,29.4,29.4,28.8,28.9,79800
IJC,20100603,30.4,30.4,28.8,29.4,373470
IJC,20100602,28.4,29.5,28,29.5,143970
IJC,20100601,28.2,29.2,28.2,29.2,127200
IJC,20100531,29.3,30.4,28.9,29,123800
IJC,20100528,30,30.4,29.9,30.4,233150
IJC,20100527,29.2,29.2,27.6,29,163030
IJC,20100526,27.9,28.3,27.5,28.3,136690
IJC,20100525,27.7,28,26.7,27,104480
IJC,20100524,28.8,28.8,27.4,27.7,175320
IJC,20100521,28.8,29.5,28.8,28.8,197810
IJC,20100520,27.5,30.3,27.5,30.3,1389210
IJC,20100519,29.1,29.1,28.9,28.9,207430
IJC,20100518,31,31.5,30.4,30.4,494880
IJC,20100517,33.5,34,31.7,32,114820
IJC,20100514,33,33.5,33,33.3,137940
IJC,20100513,33.9,35,33.3,33.3,209770
IJC,20100512,35,35,33.9,33.9,391360
IJC,20100511,36.6,37.4,35.3,35.7,478640
IJC,20100510,39.5,39.5,37.1,37.1,382950
IJC,20100507,39.1,39.1,38.5,39.1,625780
IJC,20100506,35.9,37.2,35,37.2,462570
IJC,20100505,33.9,35.4,33.6,35.4,1116140
IJC,20100504,36.4,36.4,34.5,35.4,285810
IJC,20100429,35,35,33.5,34.8,194170
IJC,20100428,33.5,35.5,33.5,33.5,168240
IJC,20100427,33.9,34.9,33.8,34.2,207120
IJC,20100426,35.6,35.6,35.6,35.6,68170
IJC,20100422,40,40,37.5,37.5,273260
IJC,20100421,38.1,38.1,38.1,38.1,105760
IJC,20100420,36.3,36.3,36.3,36.3,230000
IJC,20100419,34.5,34.5,34.5,34.5,764420
