<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KDC,20100729,52,53,52,53,209130
KDC,20100728,54.5,55,52.5,52.5,552230
KDC,20100727,54,56,54,55,619540
KDC,20100726,53,53.5,52.5,53.5,198770
KDC,20100723,52.5,53,52,53,343580
KDC,20100722,52,52.5,51.5,52,259600
KDC,20100721,52.5,52.5,52,52.5,338170
KDC,20100720,52,52.5,51.5,52.5,307760
KDC,20100719,51.5,52,51,52,241650
KDC,20100716,52,52,51,52,237420
KDC,20100715,52,52,51.5,52,290400
KDC,20100714,52,52.5,51.5,52.5,338750
KDC,20100713,52,52.5,51,52,228630
KDC,20100712,52,52,51,52,101960
KDC,20100709,52,52,51,52,95800
KDC,20100708,51,52,50.5,52,128390
KDC,20100707,52.5,53,51,51,97280
KDC,20100706,53,53,51,52,124610
KDC,20100705,52.5,52.5,52,52.5,188230
KDC,20100702,52,52,50.5,52,148870
KDC,20100701,52,52.5,51.5,52,185680
KDC,20100630,50.5,52.5,50.5,52.5,141950
KDC,20100629,52,52.5,51,52.5,91800
KDC,20100628,52,52,50.5,52,248730
KDC,20100625,52.5,53,52,52,116870
KDC,20100624,54,54,53,53,199100
KDC,20100623,53.5,53.5,52.5,53.5,177630
KDC,20100622,53,54,52.5,53.5,170340
KDC,20100621,54,54,53,54,149540
KDC,20100618,54,54.5,53,53.5,130100
KDC,20100617,54.5,54.5,53,54,640018
KDC,20100616,54,54.5,53.5,54,213470
KDC,20100615,54,54,53,54,283520
KDC,20100614,54,54,53,53.5,161880
KDC,20100611,54,54.5,53.5,54.5,261284
KDC,20100610,54,54,53,54,106960
KDC,20100609,54.5,54.5,53.5,53.5,243370
KDC,20100608,53,53.5,53,53.5,157300
KDC,20100607,52,54,52,53,311420
KDC,20100604,54,54.5,54,54,227930
KDC,20100603,54,54,53.5,54,147770
KDC,20100602,53.5,54,52.5,53.5,202780
KDC,20100601,53.5,54,53,53.5,165050
KDC,20100531,53.5,53.5,52.5,53.5,233660
KDC,20100528,53.5,54,53,54,311230
KDC,20100527,51.5,52,51,52,244310
KDC,20100526,51,51.5,50.5,51.5,200500
KDC,20100525,51.5,51.5,51,51,117450
KDC,20100524,50.5,51,50,51,201250
KDC,20100521,52,52,49.6,49.6,429170
KDC,20100520,49,52,49,52,193860
KDC,20100519,51.5,51.5,50,51,181880
KDC,20100518,52,52,50,52,278600
KDC,20100517,53.5,53.5,52,52,232150
KDC,20100514,52,53,51.5,53,544790
KDC,20100513,51.5,52.5,51,51,134950
KDC,20100512,51.5,51.5,50.5,51.5,146740
KDC,20100511,52,52.5,51,52,187670
KDC,20100510,53,53,50.5,51,180140
KDC,20100507,52.5,54,51.5,53,402040
KDC,20100506,54,54.5,53.5,53.5,252460
KDC,20100505,54.5,54.5,53,54.5,296670
KDC,20100504,54,55,53.5,54.5,338000
KDC,20100429,55,55,53,53,262900
KDC,20100428,54,54,53,54,866470
KDC,20100427,53,53,52.5,52.5,172890
KDC,20100426,53,53.5,52.5,52.5,199140
KDC,20100422,53,54.5,52.5,53,334500
KDC,20100421,51.5,52,51,52,168060
KDC,20100420,51,52,51,51,235150
KDC,20100419,52.5,52.5,51.5,52,106780
KDC,20100416,52.5,53,51.5,52.5,233560
KDC,20100415,52,52.5,51.5,52.5,192990
KDC,20100414,52,52,50.5,52,276820
KDC,20100413,53,53,52,52,147050
KDC,20100412,53,53,52,53,162770
KDC,20100409,52.5,53,51.5,53,190240
KDC,20100408,52.5,53,51.5,51.5,243220
KDC,20100407,53,53,51,52,250300
KDC,20100406,51.5,53,51,52,374300
KDC,20100405,52,52,51,51,194490
KDC,20100402,51,51.5,50.5,51,143760
KDC,20100401,51,51,50,51,255760
KDC,20100331,50.5,50.5,50,50.5,197470
KDC,20100330,51.5,52,50,50,238060
KDC,20100329,50,52,50,52,207890
KDC,20100326,50.5,51,49.6,49.6,365240
KDC,20100325,52,52,50.5,50.5,280380
KDC,20100324,53,53,51,52.5,183580
KDC,20100323,52,52.5,51,52,185870
KDC,20100322,53.5,53.5,52.5,52.5,274630
KDC,20100319,54,54,53,53.5,117140
KDC,20100318,52,54,51.5,54,261530
KDC,20100317,54,54,52,52,348970
KDC,20100316,55,55,53.5,53.5,305360
KDC,20100315,56,56,55,55.5,342260
KDC,20100312,55.5,55.5,54.5,55,435430
KDC,20100311,56,56.5,55,55,384250
KDC,20100310,57,57,55.5,56,486330
KDC,20100309,58.5,58.5,57,57,481360
KDC,20100308,59,59,56,57,362390
KDC,20100305,54.5,57,54.5,57,1284750
KDC,20100304,53,54.5,53,54.5,1045520
KDC,20100303,51.5,52,51,52,208980
KDC,20100302,51,51.5,50.5,51,357393
KDC,20100301,50.5,51,49.6,51,172470
KDC,20100226,50,50,49.2,49.6,156930
KDC,20100225,52,52,50,50,176720
KDC,20100224,50,51,50,51,114590
KDC,20100223,52.5,52.5,51,51,114890
KDC,20100222,52.5,53,51,52.5,170830
KDC,20100212,52.5,52.5,51.5,52.5,98160
KDC,20100211,52,52,51,51.5,72210
KDC,20100210,50.5,51.5,50.5,51,124400
KDC,20100209,52,52,51,51,112250
KDC,20100208,52,52,51,51.5,120300
KDC,20100205,52,53,51.5,52,240600
KDC,20100204,53,53.5,52.5,53,300350
KDC,20100203,53,53,51.5,53,175300
KDC,20100202,51.5,52.5,51,51.5,337820
KDC,20100201,49.6,51,48.8,51,146120
KDC,20100129,48.8,50,48.4,48.8,86460
KDC,20100128,51,51,49.2,49.2,61480
KDC,20100127,51.5,51.5,49.6,51,177320
KDC,20100126,52,53,51.5,52,311610
KDC,20100125,48.8,50.5,48.8,50.5,122500
KDC,20100122,50,50.5,48.4,48.8,153000
KDC,20100121,49.6,50.5,48,50,342970
KDC,20100120,53,53,50.5,50.5,206341
KDC,20100119,52,53,52,52,278300
KDC,20100118,52,52,50,52,266100
KDC,20100115,53,53,51,52.5,303380
KDC,20100114,54,54,52,53,194680
KDC,20100113,51,52.5,49.2,52.5,501090
KDC,20100112,53,53,51.5,51.5,924630
KDC,20100111,55,55,53,54,514190
KDC,20100108,59,59,55,55,883520
KDC,20100107,58,58,57,58,1030520
KDC,20100106,55,55.5,54.5,55.5,1278130
KDC,20100105,53,53,53,53,1702590
KDC,20100104,49.6,51,49.2,51,758010
KDC,20091231,49.6,50,48.4,48.4,983694
KDC,20091230,47.6,49.6,47.6,49.2,249450
KDC,20091229,47.2,48,46.4,48,189510
KDC,20091228,47.6,48,46,48,208870
KDC,20091225,46,47.6,45.6,47.6,179020
KDC,20091224,43.6,45.6,42.8,45.6,394330
KDC,20091223,44,45.6,43.6,44.8,128580
KDC,20091222,46,46.4,44,45.6,121650
KDC,20091221,45.6,45.6,44,45.6,171550
KDC,20091218,40.4,44,40.4,44,417490
KDC,20091217,42,43.2,42,42,131700
KDC,20091216,43.2,44.8,42.8,44,153840
KDC,20091215,44.8,44.8,44,44.8,103170
KDC,20091214,43.2,45.6,43.2,44.8,149940
KDC,20091211,44.8,44.8,43.2,44.4,146780
KDC,20091210,45.6,45.6,44,45.2,105790
KDC,20091209,45.6,45.6,43.6,45.6,201110
KDC,20091208,45.6,45.6,44.4,45.6,366990
KDC,20091207,42.8,43.6,42.4,43.6,129620
KDC,20091204,44.8,44.8,43.6,43.6,80580
KDC,20091203,43.2,44.4,43.2,44.4,76590
KDC,20091202,46,46,43.6,44.4,171960
KDC,20091201,44.4,45.2,44.4,45.2,265300
KDC,20091130,43.6,43.6,42.8,43.2,90590
KDC,20091127,39.4,43.6,39.4,43.2,229410
KDC,20091126,41.6,41.6,41.6,41.6,155060
KDC,20091125,45.6,45.6,43.6,43.6,234900
KDC,20091124,46.8,46.8,45.6,45.6,165310
KDC,20091123,48.4,48.4,46,46,159930
KDC,20091120,48.4,48.8,48,48.4,109240
KDC,20091119,49.6,49.6,47.6,48.8,144090
KDC,20091118,48,49.2,47.6,49.2,205260
KDC,20091117,48,48,46.8,48,188250
KDC,20091116,47.6,48,46.8,46.8,124360
KDC,20091113,47.2,48.4,47.2,47.6,123680
KDC,20091112,47.2,48.4,46.4,48.4,72350
KDC,20091111,46.8,46.8,45.6,46.4,74310
KDC,20091110,46.4,47.2,44.8,46.8,240870
KDC,20091109,48.4,48.8,47.2,47.2,183880
KDC,20091106,50.5,50.5,47.6,49.6,136700
KDC,20091105,48.4,50.5,48.4,50.5,132060
KDC,20091104,51,51,48.4,48.4,162030
KDC,20091103,49.6,51,46.8,51,367720
KDC,20091102,49.2,49.6,49.2,49.2,322890
KDC,20091030,52.5,52.5,51,51.5,138550
KDC,20091029,50.5,51.5,49.2,51.5,328810
KDC,20091028,52.5,53,51.5,51.5,210570
KDC,20091027,53.5,53.5,51.5,51.5,283360
KDC,20091026,54.5,54.5,52,53.5,232440
KDC,20091023,56.5,57,54.5,54.5,424320
KDC,20091022,58.5,58.5,56,57,322570
KDC,20091021,57.5,57.5,57,57.5,1216210
KDC,20091020,55.5,55.5,54.5,55,278140
KDC,20091019,54.5,55,53.5,54.5,342230
KDC,20091016,54.5,54.5,53.5,54,354950
KDC,20091015,55.5,55.5,53.5,54.5,280870
KDC,20091014,53.5,54.5,53.5,54.5,512640
KDC,20091013,53,53.5,52.5,53.5,427660
KDC,20091012,53.5,53.5,52.5,53,258250
KDC,20091009,53,53,52,52.5,288310
KDC,20091008,51.5,52.5,51,52,184170
KDC,20091007,50.5,52,50.5,51.5,352080
KDC,20091006,49.6,49.6,48.4,49.6,237020
KDC,20091005,49.6,49.6,48.4,48.4,404120
KDC,20091002,49.6,50.5,48.4,48.8,814640
KDC,20091001,51.5,51.5,50,51,523100
KDC,20090930,52.5,53,50,51,452080
KDC,20090929,55.5,55.5,52.5,52.5,259420
KDC,20090928,57,57,55,55,402890
KDC,20090925,56.5,57,56,57,1161731
KDC,20090924,51,54.5,50.5,54.5,505320
KDC,20090923,53,54.5,51.5,52,384040
KDC,20090922,52.5,54,51.5,53,479540
KDC,20090921,52,53.5,52,52.5,329360
KDC,20090918,49.2,51.5,49.2,51.5,551760
KDC,20090917,47.6,49.2,46.8,49.2,813780
KDC,20090916,47.6,48,46.8,46.8,477580
KDC,20090915,49.6,51,48,49.2,310210
KDC,20090914,49.2,49.6,47.6,49.6,670321
KDC,20090911,46.4,47.2,45.2,47.2,698470
KDC,20090910,46.4,47.6,45.2,45.2,407240
KDC,20090909,46.4,46.4,45.6,46.4,680730
KDC,20090908,44.4,44.4,44.4,44.4,198970
KDC,20090907,42.4,42.4,42.4,42.4,255580
KDC,20090904,40.4,40.4,39.7,40.4,299690
KDC,20090903,40.4,40.4,39.4,40,249890
KDC,20090901,39.4,40.4,38.9,40.4,296850
KDC,20090831,40.4,40.4,39.1,40,181650
KDC,20090828,39.7,40,39.4,40,136790
KDC,20090827,39.7,39.7,39.1,39.4,159760
KDC,20090826,39.7,40,38.9,39.4,216600
KDC,20090825,40.4,40.4,38.3,39.1,265240
KDC,20090824,40,41.2,39.4,40.4,394130
KDC,20090821,40,40.4,38.9,40,607140
KDC,20090820,39.4,40,37.7,39.7,560200
KDC,20090819,38.3,38.3,37.7,38.3,619120
KDC,20090818,36,36.6,36,36.6,600550
KDC,20090817,34.9,34.9,34.6,34.9,164200
KDC,20090814,31.7,33.4,31.4,33.4,392400
KDC,20090813,34,34,31.4,32,293720
KDC,20090812,33.7,33.7,32,32.9,322330
KDC,20090811,32.3,32.3,32.3,32.3,343240
KDC,20090810,30.9,30.9,30.9,30.9,457980
KDC,20090807,28.1,29.4,28.1,29.4,445280
KDC,20090806,28.3,28.6,28.1,28.1,198520
KDC,20090805,27.7,27.8,27.4,27.7,139270
KDC,20090804,27.1,27.7,27.1,27.7,188400
KDC,20090803,27.3,27.3,26.7,26.8,30370
KDC,20090731,27.4,27.4,26.9,26.9,49760
KDC,20090730,26.9,27.4,26.6,26.9,131960
KDC,20090729,28,28,27.4,27.9,113500
KDC,20090728,27,27.1,26.3,27.1,140240
KDC,20090727,27,27,26.1,27,186880
KDC,20090724,25.8,25.8,25.8,25.8,24120
KDC,20090723,24.6,24.6,24.3,24.6,104490
KDC,20090722,25.6,25.6,24.2,24.2,149580
KDC,20090721,24.9,25.4,23.4,25.4,110500
KDC,20090720,24.5,24.5,24.5,24.5,69740
KDC,20090717,25.9,25.9,25.4,25.7,33310
KDC,20090716,26.2,26.2,25.7,26.1,86920
KDC,20090715,25.7,25.7,25.1,25.7,50630
KDC,20090714,25.4,25.4,24.2,25.1,109850
KDC,20090713,26,26,24.7,25.4,87740
KDC,20090710,26.2,26.2,24.9,26,109190
KDC,20090709,26.3,26.3,26.2,26.2,60420
KDC,20090708,26.3,26.3,25.7,26.3,81600
KDC,20090707,26.3,26.3,25.4,26.3,42580
KDC,20090706,25.4,26.6,25.1,26.3,77180
KDC,20090703,24.9,25.4,24.3,25.4,42860
KDC,20090702,24.3,24.9,23.8,24.9,107350
KDC,20090701,23.8,24.9,23.8,23.8,75570
KDC,20090630,26.3,26.3,25,25,114060
KDC,20090629,26.9,26.9,25.8,26.3,56380
KDC,20090626,26.6,26.9,25.8,26.9,59330
KDC,20090625,27.1,27.1,25.7,26.6,64790
KDC,20090624,24.3,26.8,24.3,26.5,213500
KDC,20090623,25.5,25.5,25.5,25.5,5730
KDC,20090622,26.9,26.9,26.9,26.9,28330
KDC,20090619,28.2,28.2,27.2,28.2,91990
KDC,20090618,28,28,26.9,27.9,104160
KDC,20090617,24.3,26.8,24.3,26.8,261040
KDC,20090616,25.5,25.5,25.5,25.5,270090
KDC,20090615,26.9,27.9,26.9,26.9,341670
KDC,20090612,29.1,29.1,28.2,28.2,409770
KDC,20090611,28.3,29.7,28,29.7,613370
KDC,20090610,30.9,30.9,29.4,29.4,61750
KDC,20090609,30.6,30.9,29.7,30.9,172640
KDC,20090608,29.4,30,28.9,30,486050
KDC,20090605,28.6,28.9,28.6,28.6,636341
KDC,20090604,27.4,27.7,27.1,27.7,154810
KDC,20090603,27.1,27.7,26.9,27,110290
KDC,20090602,26.9,26.9,26.3,26.9,212750
KDC,20090601,26.2,26.7,25.6,25.6,235240
KDC,20090529,25.7,25.7,24.9,25.4,130200
KDC,20090528,24.3,25.4,24.3,24.9,212860
KDC,20090527,25.1,25.3,24.2,25.3,93700
KDC,20090526,25.4,25.4,24.9,25.1,234670
KDC,20090525,24,25.1,24,25.1,177190
KDC,20090522,22.9,24,22.8,23.9,217320
KDC,20090521,25.7,25.7,24,24,101490
KDC,20090520,23.4,24.9,23.4,24.9,170010
KDC,20090519,24.2,24.2,23.8,24.2,283650
KDC,20090518,23.1,23.4,22.6,23.1,112370
KDC,20090515,22.3,23.1,21.9,23.1,144340
KDC,20090514,19.9,22,19.9,22,278700
KDC,20090513,21.4,21.4,20.8,21,234820
KDC,20090512,20,21.1,20,21,169180
KDC,20090511,20.7,20.8,20.6,20.6,304890
KDC,20090508,20,20.3,19.7,19.8,199320
KDC,20090507,19.5,19.7,19.1,19.7,513830
KDC,20090506,18,19.5,18,18.8,128650
KDC,20090505,18.9,18.9,18.7,18.8,346340
KDC,20090504,18.1,18.1,18.1,18.1,117210
KDC,20090429,16.9,17.3,16.6,17.2,68120
KDC,20090428,17.7,17.7,16.9,16.9,117370
KDC,20090427,17.1,17.7,16.3,17.7,169230
KDC,20090424,15.7,17.1,15.7,17.1,253570
KDC,20090423,16.6,17.1,16.3,16.5,177710
KDC,20090422,15.7,17.1,15.7,17.1,510630
KDC,20090421,16.5,16.5,16.5,16.5,10430
KDC,20090420,17.4,17.4,17.4,17.4,18820
KDC,20090417,18.7,18.8,17.8,18.2,433940
KDC,20090416,19.2,19.2,17.4,18.7,251950
KDC,20090415,16.7,18.5,16.7,18.3,506630
KDC,20090414,17.6,17.6,17.4,17.6,293500
KDC,20090413,16.6,16.8,16.5,16.8,299880
KDC,20090410,16.1,16.1,15.9,16,440650
KDC,20090409,14.4,15.4,14.4,15.4,139760
KDC,20090408,14.4,15.4,14.4,14.9,210140
KDC,20090407,15.1,15.4,14.9,15.1,137430
KDC,20090403,14.6,14.9,14.3,14.9,255240
KDC,20090402,14.5,14.5,13.7,14.3,117200
KDC,20090401,14.1,14.1,13.7,14,109620
KDC,20090331,13.8,14,13.7,13.7,76590
KDC,20090330,13.7,14.6,13.7,14.3,100190
KDC,20090327,13.9,14.5,13.9,14.3,158770
KDC,20090326,13.9,13.9,13.6,13.8,98310
KDC,20090325,13.4,13.6,12.7,13.6,112270
KDC,20090324,13.4,13.4,12.9,13.1,88580
KDC,20090323,13.5,13.5,12.9,12.9,23630
KDC,20090320,12.9,13.5,12.8,13.5,115520
KDC,20090319,12.9,13.7,12.8,13.4,108190
KDC,20090318,13.4,13.4,13.1,13.4,85610
KDC,20090317,12.6,12.9,12.2,12.8,54440
KDC,20090316,12.1,12.3,12,12.3,65990
KDC,20090313,12.1,12.1,11.8,12.1,125890
KDC,20090312,11.6,12.1,11.5,12.1,105300
KDC,20090311,12.1,12.1,11.9,12.1,91810
KDC,20090310,11,11.5,10.9,11.5,131290
KDC,20090309,10.9,11,10.9,11,21150
KDC,20090306,10.8,11,10.8,11,21820
KDC,20090305,11.1,11.1,11,11,31960
KDC,20090304,10.8,11.1,10.8,11.1,84970
KDC,20090303,10.7,11.3,10.7,11.1,160700
KDC,20090302,11.4,11.4,11.1,11.1,1512380
KDC,20090227,10.9,11.4,10.9,11.4,46780
KDC,20090226,11.2,11.2,10.9,11,139270
KDC,20090225,11.4,11.7,11.4,11.4,148820
KDC,20090224,10.8,11.4,10.8,11.4,191520
KDC,20090223,10.5,11.2,10.5,11.1,199600
KDC,20090220,10.4,10.9,10.4,10.9,277780
KDC,20090219,10.6,11,10.6,10.6,279370
KDC,20090218,11,11,11,11,179520
KDC,20090217,11.6,11.7,11.5,11.5,81960
KDC,20090216,12.1,12.3,11.9,12.1,91740
KDC,20090213,12.6,12.7,12.6,12.6,117470
KDC,20090212,13.2,13.3,13.1,13.2,84950
KDC,20090211,11.9,13.2,11.9,13.2,203900
KDC,20090210,12.6,12.7,12.5,12.6,239920
KDC,20090209,13.1,13.1,12.4,12.7,144320
KDC,20090206,12.9,13.1,12.7,12.8,92090
KDC,20090205,14.1,14.1,13.4,13.4,97250
KDC,20090204,14.3,14.5,14.1,14.1,66140
KDC,20090203,14.4,15,14.3,14.3,56930
KDC,20090202,15.4,15.4,15,15,24600
KDC,20090123,15.7,15.7,15.5,15.7,26000
KDC,20090122,15.4,15.7,15.4,15.7,26860
KDC,20090121,15.7,15.7,15.4,15.4,43260
KDC,20090120,15.7,15.8,15.5,15.5,19720
KDC,20090119,15.7,15.8,15.7,15.8,27830
KDC,20090116,15.8,15.9,15.8,15.8,16280
KDC,20090115,15.8,16.3,15.8,15.8,322956
KDC,20090114,16.4,16.4,16,16.1,20060
KDC,20090113,16,16.2,15.9,15.9,32480
KDC,20090112,16.1,16.5,16.1,16.3,15350
KDC,20090109,16.5,16.5,16.2,16.3,21370
KDC,20090108,17,17,16.5,16.5,33150
KDC,20090107,16.8,17,16.7,17,57000
KDC,20090106,16,16.4,16,16.3,28500
KDC,20090105,16.3,16.3,16,16,49820
KDC,20090102,17.7,17.7,16.3,16.3,51790
KDC,20081231,17.3,17.3,17.1,17.2,353350
KDC,20081230,16.3,16.5,16,16.5,128310
KDC,20081229,15.7,15.8,15.6,15.8,35530
KDC,20081226,15.3,15.7,15.3,15.7,10600
KDC,20081225,15.7,15.8,15.6,15.7,27870
KDC,20081224,15.5,15.7,15.5,15.6,19670
KDC,20081223,15.5,15.7,15.2,15.5,36960
KDC,20081222,15.9,16.1,15.7,15.9,32920
KDC,20081219,15.4,15.8,15.4,15.5,85130
KDC,20081218,15.4,15.4,15.1,15.2,14340
KDC,20081217,15.4,15.4,15,15,73290
KDC,20081216,15.9,15.9,15.2,15.4,43420
KDC,20081215,15.9,15.9,15.1,15.9,65340
KDC,20081212,15.1,15.2,15,15.2,150030
KDC,20081211,14.5,14.7,14.5,14.5,52800
KDC,20081210,15.1,15.4,14.7,15.1,35150
KDC,20081209,15.4,15.8,15,15.5,61280
KDC,20081208,15.7,15.7,15.5,15.5,47970
KDC,20081205,16.2,16.3,15.6,16.3,45430
KDC,20081204,16.6,17.5,16.2,16.2,115180
KDC,20081203,16.5,17.1,16.5,17,68640
KDC,20081202,16.5,16.6,16.5,16.5,62660
KDC,20081201,17.4,17.7,16.2,17.4,46790
KDC,20081128,17,17,16.2,17,100000
KDC,20081127,16.5,16.7,16,16.5,46310
KDC,20081126,16.6,17,16.4,16.6,68190
KDC,20081125,16.6,16.6,16.1,16.6,52470
KDC,20081124,15.8,16.1,15.6,15.8,59040
KDC,20081124,15.8,16.1,15.6,15.8,59040
KDC,20081121,16.1,16.5,16,16.1,143240
KDC,20081120,17.1,17.1,16.3,16.7,72250
KDC,20081119,17.1,17.9,17.1,17.1,129900
KDC,20081118,17,17,16.6,17,94180
KDC,20081117,16.2,16.7,16.1,16.2,102550
KDC,20081114,15.9,16.5,15.7,15.9,216140
KDC,20081113,15.8,16.4,15.6,15.8,108000
KDC,20081112,16.5,16.5,16.5,16.5,25810
KDC,20081111,17.4,17.8,17.4,17.4,63750
KDC,20081110,18.3,18.8,18.2,18.3,117040
KDC,20081107,18.3,19,18.3,18.3,49300
KDC,20081106,19.3,19.6,19,19.3,92920
KDC,20081105,19.4,19.4,19.4,19.4,216120
KDC,20081104,18.4,19,18.4,18.4,156480
KDC,20081103,18.4,18.7,18.1,18.4,97670
KDC,20081031,18.4,19,17.8,18.4,110390
KDC,20081030,18.4,18.7,18,18.4,67090
KDC,20081029,18.9,18.9,17.8,18,115040
KDC,20081028,18,18.1,18,18,125940
KDC,20081027,19,19,19,19,145670
KDC,20081024,20,20.1,20,20,66160
KDC,20081023,21.1,21.4,20.7,21.1,292130
KDC,20081022,21.1,21.1,20.1,21.1,85150
KDC,20081021,20.1,20.1,20.1,20.1,79670
