<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KLS,20100729,17.4,17.7,17.2,17.5,1677000
KLS,20100728,18,18,17.2,17.4,1599200
KLS,20100727,17.8,18,17.4,17.7,2525300
KLS,20100726,17.9,18,17.4,17.5,1616500
KLS,20100723,18.5,18.5,17.7,17.8,1684900
KLS,20100722,17.5,18.1,17.2,17.7,2307800
KLS,20100721,18,18.2,17.4,17.6,5329000
KLS,20100720,18.7,18.7,18.1,18.3,2732900
KLS,20100719,18.7,18.7,18.2,18.4,3523800
KLS,20100716,19.1,19.2,18.7,18.9,2479400
KLS,20100715,19.9,19.9,18.9,19.2,3280700
KLS,20100714,19.5,19.5,19.1,19.5,9308900
KLS,20100713,17.9,18.7,17.7,18.3,4197400
KLS,20100712,17.4,17.8,17.3,17.5,1647240
KLS,20100709,18,18,17.5,17.7,1633500
KLS,20100708,18,18.3,17.6,17.9,1786800
KLS,20100707,17.3,18.2,17,17.7,2803400
KLS,20100706,18,18,17.1,17.3,3013500
KLS,20100705,18.2,18.2,17.8,18,2644850
KLS,20100702,18.2,18.4,17.9,18.1,2878700
KLS,20100701,18.5,18.6,18.1,18.3,2454300
KLS,20100630,19.2,19.2,18.3,18.6,2008300
KLS,20100629,19.3,19.4,19.1,19.2,1944300
KLS,20100628,19.4,19.5,19,19.2,1942200
KLS,20100625,19.8,19.8,19.2,19.4,2975600
KLS,20100624,20,20.3,19.8,19.9,2185400
KLS,20100623,20,20.2,19.7,19.9,2768800
KLS,20100622,20.4,20.4,19.9,20.1,3705700
KLS,20100621,20.5,20.7,20.3,20.4,2361600
KLS,20100618,20.7,20.8,20.3,20.5,2835100
KLS,20100617,21,21.5,20.6,20.9,2904600
KLS,20100616,20.5,21.6,20,20.8,7350800
KLS,20100615,20.3,20.4,20.1,20.2,1283500
KLS,20100614,20.4,20.7,20.1,20.3,1134100
KLS,20100611,20.4,20.8,20.2,20.4,1255500
KLS,20100610,20.4,20.4,20,20.2,930600
KLS,20100609,20.7,21,20.3,20.4,962200
KLS,20100608,20.1,20.7,20.1,20.4,1395800
KLS,20100607,20.7,20.7,20.2,20.4,1865800
KLS,20100604,21.5,21.6,20.9,21.2,1292900
KLS,20100603,22,22.2,21.3,21.6,1263900
KLS,20100602,21.2,21.5,21,21.3,1179100
