<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
L62,20100729,26.1,28.6,26.1,28.6,27000
L62,20100728,26.6,28.2,26.3,26.8,37200
L62,20100727,29.2,29.2,27.6,28.1,45200
L62,20100726,30.8,30.8,28.2,29.1,15200
L62,20100723,29.5,29.5,28.6,29.3,31000
L62,20100722,28.5,28.6,28,28.2,59700
L62,20100721,31.5,31.5,29.2,30.1,82300
L62,20100720,32.5,32.5,30.6,31.3,66300
L62,20100719,30.8,33.1,30.5,32.4,232600
L62,20100716,29.4,31.5,29.4,31,113600
L62,20100715,31.2,31.7,30.4,31.3,56400
L62,20100714,31,32.4,30.7,31.4,63200
L62,20100713,32,32.8,32,32.5,103400
L62,20100712,30.9,31.3,28.1,30.9,113300
L62,20100709,31,31,29.2,29.3,63200
L62,20100708,33,34,31,31.3,63900
L62,20100707,36.4,36.4,31.8,33.3,231300
L62,20100706,34,34.2,33,34.1,129400
L62,20100705,30.7,32.8,29.2,32,191000
L62,20100702,31.9,32.3,29.5,30.7,131800
L62,20100701,30.2,30.2,30.2,30.2,145500
L62,20100630,26,29.5,25.7,28.3,179500
L62,20100629,28,28,26.5,27.6,32400
L62,20100628,28,28,26.2,27.9,264100
L62,20100625,25,26.4,24.5,26.2,178900
L62,20100624,24,24.8,24,24.7,100300
L62,20100623,22,23.6,22,23.2,25100
L62,20100622,24,24,22.4,22.6,6600
L62,20100621,22.7,24.2,22.7,23.8,74700
L62,20100618,23,23.1,22.2,22.7,9000
L62,20100617,22.4,23.5,22.4,23,21800
L62,20100616,23,23.5,22.6,23.1,13100
L62,20100615,22.5,23,22.2,22.6,33100
L62,20100614,21.7,22.1,21.7,21.9,15300
L62,20100611,23.1,23.1,21.6,21.9,18300
L62,20100610,21.6,22,21.4,21.7,21600
L62,20100609,23.3,23.3,21.5,22.1,15400
L62,20100608,23.2,23.2,21.9,22,39000
L62,20100607,23,24.7,23,23.5,3100
L62,20100604,24.3,25.2,24.3,24.7,1400
L62,20100603,25.5,25.5,24.5,25.2,48900
L62,20100602,23.9,24.1,23,23.9,47300
L62,20100601,22.9,22.9,22.2,22.6,1100
L62,20100531,21.9,21.9,21.9,21.9,4400
L62,20100528,23.5,23.5,23.4,23.5,4800
L62,20100527,22.2,22.2,22,22.1,3900
L62,20100526,20.7,21,20.7,20.8,4600
L62,20100525,19.4,20.6,19.4,19.7,2100
L62,20100524,19,20.4,19,19.4,4100
L62,20100521,19.3,19.5,19.3,19.3,21000
L62,20100520,20.3,21.8,20.3,20.7,3700
L62,20100519,22.5,22.5,21.6,21.8,7900
