<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LGC,20100729,29.4,29.4,29.4,29.4,460
LGC,20100728,29.5,31,29.3,30.9,510
LGC,20100727,30.4,30.4,30.4,30.4,10
LGC,20100726,29.7,29.7,29.5,29.5,4860
LGC,20100723,31,31,31,31,10
LGC,20100722,31.7,31.8,30,30,2500
LGC,20100721,31.8,31.8,30,31.5,2600
LGC,20100720,30,31.4,30,31.4,6310
LGC,20100719,30,31.3,30,31.3,2110
LGC,20100716,30.1,30.1,30,30,1360
LGC,20100715,30.8,30.8,30.8,30.8,10
LGC,20100713,31.8,31.8,31.8,31.8,40
LGC,20100712,30.3,30.3,30.3,30.3,490
LGC,20100709,31.7,31.7,31.7,31.7,200
LGC,20100708,32.5,32.5,32.5,32.5,10
LGC,20100707,31.7,31.7,31.7,31.7,300
LGC,20100706,30.5,31.7,30.4,31.7,530
LGC,20100705,30.7,31.7,30.7,31.7,1160
LGC,20100702,30.4,31.7,30.4,31.7,20
LGC,20100630,31.7,31.7,31.7,31.7,10000
LGC,20100629,30.9,31.5,30.9,31.5,1110
LGC,20100628,31.7,31.7,31.7,31.7,100
LGC,20100625,31,31.7,31,31.7,6260
LGC,20100624,31,31.5,30.5,31.5,7560
LGC,20100623,30.9,31.4,30.1,31.4,9530
LGC,20100622,31.5,31.5,31,31,12430
LGC,20100621,31.1,31.3,31.1,31.3,8000
LGC,20100618,30.5,31.3,30.5,31.3,7360
LGC,20100617,31.5,31.5,30.8,31.3,8300
LGC,20100616,30.5,30.7,30.5,30.7,3110
LGC,20100615,29.5,30.7,29.5,30.5,14180
LGC,20100614,30.5,30.8,30.5,30.5,38580
LGC,20100611,29.1,30,29.1,30,1030
LGC,20100610,29.9,29.9,29.9,29.9,40
LGC,20100609,29.8,29.9,28.6,29.9,5600
LGC,20100608,28.9,29.5,28.9,29.5,370
LGC,20100607,29.5,29.5,29,29,16970
LGC,20100604,31,31,30.4,30.4,27150
LGC,20100603,30.9,31,30.8,31,8310
LGC,20100602,31,31,30,30.9,11480
LGC,20100601,30.6,32.5,30.4,31,7510
LGC,20100531,32,32,31,31,32900
LGC,20100528,31.8,32.1,30.8,32,94160
LGC,20100527,29.4,30.6,29.4,30.6,27890
LGC,20100526,28.7,29.2,28.7,29.2,29890
LGC,20100525,27,27.9,27,27.9,44480
LGC,20100524,27.1,28.6,26.6,26.6,20880
LGC,20100521,28,28,28,28,56100
LGC,20100520,28.1,29.5,28.1,29.4,13310
LGC,20100519,29.8,30.9,29.5,29.5,34500
LGC,20100518,30,31,30,31,1910
LGC,20100517,31,31,30.8,30.8,4100
LGC,20100514,32,32.4,31.8,32.2,9520
LGC,20100513,31.6,32.3,30.9,32.3,153440
LGC,20100512,32.3,32.4,32.3,32.3,49810
LGC,20100511,33.3,34.7,33.3,33.9,5430
LGC,20100510,35,35,32.2,33.6,27680
LGC,20100507,33.7,35,33.6,33.8,32330
LGC,20100506,36,36.8,34.2,35,271950
LGC,20100505,34.8,36,33.3,36,88830
LGC,20100504,34.9,35,34,35,75440
LGC,20100429,34.9,34.9,33.8,33.8,9580
LGC,20100428,34,35.2,34,34.9,67600
LGC,20100427,34.4,34.4,32.8,34,14530
LGC,20100426,32,33.6,32,33.6,78300
LGC,20100422,32,33.9,32,32,64590
LGC,20100421,32,34,32,32.3,28970
LGC,20100420,32.4,33,32.4,33,33100
LGC,20100419,32,32.4,32,32.4,10940
LGC,20100416,31.8,32.4,30.9,32.2,24430
LGC,20100415,32,32.4,30,32.4,163410
LGC,20100414,29.3,30.9,29,30.9,46540
LGC,20100413,29.5,29.9,29.5,29.5,12030
LGC,20100412,30,30.9,29.5,29.6,26970
LGC,20100409,31,31,29.5,30,24540
LGC,20100408,31,31,30,30,2260
LGC,20100407,30.3,30.9,30.2,30.9,7810
LGC,20100406,31,31.6,30.3,31.4,110270
LGC,20100405,29.3,30.1,28.8,30.1,71490
LGC,20100402,29.1,29.1,28.6,28.7,9500
LGC,20100401,29.3,29.3,28.6,28.9,11570
LGC,20100331,28.7,29.5,28.6,29.3,60550
LGC,20100330,30,30,29.5,29.5,18210
LGC,20100329,29.4,29.4,28.4,29.4,15550
LGC,20100326,28,29.1,28,28.9,17590
LGC,20100325,30,30,28.4,28.4,23100
LGC,20100324,29.6,29.7,29.2,29.7,36500
LGC,20100323,29.8,29.8,28.2,28.3,130880
LGC,20100322,29,30.5,29,29.2,108410
LGC,20100319,31.1,31.1,29.7,29.8,45730
LGC,20100318,31.2,31.2,29.8,31.1,139900
LGC,20100317,31.4,31.9,31.2,31.2,117000
LGC,20100316,31.7,32.3,31.2,31.6,50610
LGC,20100315,31,31,30.9,31,255320
LGC,20100312,29.2,29.5,28.6,29.5,16850
LGC,20100311,28,28.6,27.4,28.6,13240
LGC,20100310,28.1,28.7,27.8,28.7,10250
LGC,20100309,28.2,29.1,28.2,29,3260
LGC,20100308,29.2,29.2,28.2,29.1,12160
LGC,20100305,27.4,28.4,27.4,28.1,5790
LGC,20100304,29.4,29.4,27.2,27.8,7740
LGC,20100303,28.2,28.3,27.8,28.2,27530
LGC,20100302,27.6,28,27.5,27.7,19640
LGC,20100301,27.6,27.6,27.5,27.5,5590
LGC,20100226,27.9,28,27.4,27.5,6190
LGC,20100225,27.4,27.7,27,27.2,35370
LGC,20100224,26.2,26.9,26.2,26.9,65840
LGC,20100223,26.6,27.7,26.1,26.1,14600
LGC,20100222,27.6,27.7,27.2,27.2,2150
LGC,20100212,26.5,27.7,26.5,27.5,3020
LGC,20100211,27.3,27.3,27.3,27.3,1010
LGC,20100210,27.4,27.4,26.4,27.2,960
LGC,20100209,25.9,27.7,25.9,26.2,7260
LGC,20100208,28.3,28.3,27.3,27.3,9220
LGC,20100205,28.7,28.7,27.3,27.3,6650
LGC,20100204,28.8,29.6,28.7,28.7,6500
LGC,20100203,27.7,28.6,27.7,28.4,2310
LGC,20100202,27.3,28.2,27.3,28.2,4580
LGC,20100201,26.9,28.7,26.9,27.3,1980
LGC,20100129,28.2,28.2,27.3,27.3,6250
LGC,20100128,28.2,29.1,27.7,27.7,52760
LGC,20100127,30.4,30.5,28.9,29.1,6760
LGC,20100126,30,30.4,29.2,30.4,13480
LGC,20100125,28.1,29.1,28.1,29.1,21470
LGC,20100122,29.2,29.2,28.1,28.1,3060
LGC,20100121,29.7,29.7,28.1,28.1,4800
LGC,20100120,29.6,29.6,29.5,29.6,35500
LGC,20100119,29.7,29.7,28.2,28.2,2750
LGC,20100118,29.7,29.7,29.5,29.5,15650
LGC,20100115,30.4,31.9,30.1,31,9030
LGC,20100114,31.2,31.7,31.2,31.7,1430
LGC,20100113,29.7,31.2,28.7,31.2,53230
LGC,20100112,31.7,31.7,29.7,29.7,39030
LGC,20100111,30.3,31.7,30.3,31.2,18970
LGC,20100108,33.2,33.2,31.1,31.1,39210
