<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LHG,20100729,53.5,55,53.5,55,5520
LHG,20100728,53.5,55.5,53.5,55.5,900
LHG,20100727,55.5,55.5,55.5,55.5,1000
LHG,20100726,55.5,55.5,55.5,55.5,710
LHG,20100723,55.5,55.5,54.5,55.5,8450
LHG,20100722,56,56,55.5,55.5,10860
LHG,20100721,56,57,56,57,3820
LHG,20100720,55.5,56,55.5,56,4880
LHG,20100719,58,58,55.5,55.5,2120
LHG,20100716,58,58,57.5,57.5,11790
LHG,20100715,60,60,57.5,59,5350
LHG,20100714,57,57.5,56,57.5,46670
LHG,20100713,53.5,55,53.5,55,5340
LHG,20100712,51.5,54.5,51.5,54,830
LHG,20100709,56,56,53.5,53.5,410
LHG,20100708,53,55,53,55,8610
LHG,20100707,53.5,53.5,53.5,53.5,720
LHG,20100706,53,53.5,52.5,53.5,740
LHG,20100705,53,53,53,53,4680
LHG,20100702,54,54,53,53,2900
LHG,20100701,53,54,52.5,54,3510
LHG,20100630,53,54.5,53,54.5,600
LHG,20100629,55,55,55,55,100
LHG,20100628,56,56,54.5,54.5,1010
LHG,20100625,53,55,53,55,340
LHG,20100624,53,54,53,54,1320
LHG,20100623,54,54,54,54,3020
LHG,20100621,55,56,55,55,11090
LHG,20100618,54,56,54,56,820
LHG,20100616,55.5,56.5,55,56.5,13000
LHG,20100615,52,54,52,54,3700
LHG,20100614,55,55,54,54,5560
LHG,20100611,56,56,53.5,55,2030
LHG,20100610,55,55,55,55,310
LHG,20100609,54,54,53,53,960
LHG,20100608,55,55,53.5,55,4520
LHG,20100607,57,57,56,56,2000
LHG,20100603,57.5,57.5,55,57,3280
LHG,20100602,53,55,53,55,13090
LHG,20100601,55,56,52.5,52.5,6100
LHG,20100531,54.5,54.5,54,54,7000
LHG,20100528,56,56,55,55,3100
LHG,20100527,55,55.5,54,54,690
LHG,20100526,51,53.5,51,53.5,2320
LHG,20100525,54,54,51,51,20740
LHG,20100524,53,53.5,53,53.5,7200
LHG,20100521,55,55.5,55,55,63820
LHG,20100520,55,57.5,55,57.5,6080
LHG,20100519,57.5,57.5,56.5,56.5,34900
LHG,20100518,57.5,58.5,57,58.5,7510
LHG,20100517,58.5,59,58,58,26160
LHG,20100514,58.5,58.5,58.5,58.5,33350
LHG,20100513,58.5,58.5,58.5,58.5,16100
LHG,20100512,59,61,59,59,16790
LHG,20100511,60,61.5,59,61.5,15120
LHG,20100510,59,59,58.5,59,22280
LHG,20100507,60.5,60.5,59,59.5,41400
LHG,20100506,63.5,63.5,61.5,61.5,15880
LHG,20100505,65,65,64,64,24440
LHG,20100504,67,67,64,64,14760
LHG,20100429,63.5,65,63,65,68710
LHG,20100428,62,63,62,62.5,39790
LHG,20100427,64.5,64.5,62,63.5,12730
LHG,20100426,65.5,66,64,64,49350
LHG,20100422,64,67,64,65.5,30980
LHG,20100421,64,65,64,64,27960
LHG,20100420,64,64.5,64,64.5,31230
LHG,20100419,64,64.5,64,64.5,17960
LHG,20100416,66.5,66.5,64.5,65,18560
LHG,20100415,64,64.5,64,64.5,26670
LHG,20100414,62.5,64.5,62,63.5,19480
LHG,20100413,63.5,65.5,62,62,17580
LHG,20100412,65.5,67,64.5,64.5,35720
LHG,20100409,70,70,67,67,15080
LHG,20100408,69,69,67,69,27100
LHG,20100407,65,67.5,63,67.5,43570
LHG,20100406,65,65,64.5,64.5,70610
LHG,20100405,70,70,66,67.5,40680
LHG,20100402,67.5,69,67.5,69,50190
LHG,20100401,66,66,63.5,66,94580
LHG,20100331,63,63,62,63,126280
LHG,20100330,60,60,60,60,10
LHG,20100329,57.5,57.5,57.5,57.5,500
LHG,20100326,55,55,55,55,500
LHG,20100325,52.5,52.5,52.5,52.5,500
LHG,20100324,50,50,50,50,30500
LHG,20100323,48,48,48,48,1000
