<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LIG,20100729,33,33,31,32,107400
LIG,20100728,33.5,33.5,31.1,31.7,174200
LIG,20100727,32.4,33.5,32.4,32.9,239200
LIG,20100726,34.5,34.5,32.1,33,328500
LIG,20100723,35.5,35.5,34.2,34.5,86600
LIG,20100722,36.7,36.7,34.1,34.6,92100
LIG,20100721,36.5,39,35.1,36.6,189200
LIG,20100720,35,36.8,35,36.8,1427500
LIG,20100719,35,35,33.8,34.4,134100
LIG,20100716,35.5,35.6,34.2,34.7,136000
LIG,20100715,35,37.2,35,35.6,155300
LIG,20100714,36,36,34.1,35.2,126000
LIG,20100713,34,35.7,34,35.6,236000
LIG,20100712,32.6,34.4,32.1,33.4,117300
LIG,20100709,32,33.5,31,32.6,118500
LIG,20100708,32.3,32.9,31.2,32.2,154600
LIG,20100707,32.5,33.9,31.2,32.3,187100
LIG,20100706,32,32.5,31.5,31.8,139900
LIG,20100705,33.2,33.2,32,32.6,28100
LIG,20100702,32.7,34,32.7,33.2,73900
LIG,20100701,34.6,34.8,33,33.4,82300
LIG,20100630,34.5,36,34,34.7,100200
LIG,20100629,37.3,37.4,36,36.5,35100
LIG,20100628,36,37.5,36,36.7,65800
LIG,20100625,37.7,37.7,35.9,36.8,201700
LIG,20100624,35.3,37.7,35,37.2,499200
LIG,20100623,35.7,35.7,34.6,35.3,80700
LIG,20100622,36.5,37,35,35.7,147700
LIG,20100621,37.8,37.8,34.2,35.4,253100
LIG,20100618,35,38,34.1,36.6,214300
LIG,20100617,36.8,38.5,35,36,167400
LIG,20100616,36.8,36.8,36.5,36.8,280300
LIG,20100615,34.4,34.4,34,34.4,474200
LIG,20100614,30.5,32.7,30.5,32.2,196800
LIG,20100611,32,32,30.2,30.6,36900
LIG,20100610,29.3,31.1,29.3,30.3,51400
LIG,20100609,30.7,32.5,28.7,30.6,92300
LIG,20100608,31,31.8,29.6,30.7,39300
LIG,20100607,31.4,31.5,31.4,31.4,121700
LIG,20100604,32,34,32,33.7,222300
LIG,20100603,31.8,31.8,31.8,31.8,308500
LIG,20100602,29.5,30.3,26.9,29.8,163100
LIG,20100601,29,29,27.1,28.4,37700
LIG,20100531,31,31,28,28.3,19700
LIG,20100528,30,30.9,29,30.1,58600
LIG,20100527,28.5,29.1,27.5,29,97200
LIG,20100526,26.4,27.4,26.4,27.2,52800
LIG,20100525,26,26,25.5,25.7,24200
LIG,20100524,26.7,26.7,25.7,26,28900
LIG,20100521,25.5,26.8,25.1,25.8,66100
LIG,20100520,26.2,28.1,25.8,26.9,38900
LIG,20100519,28.5,29.2,27.4,27.7,91200
LIG,20100518,30,30.4,28.9,29.4,128000
LIG,20100517,31.5,31.5,29.6,30.2,62800
LIG,20100514,32.4,32.5,31.5,31.8,38500
LIG,20100513,33,33.5,31.2,32.2,81600
LIG,20100512,34.1,34.1,31,32.8,336800
LIG,20100511,29.7,33.7,29.7,31.9,217900
LIG,20100510,33.7,33.7,30.3,31.9,220600
LIG,20100507,33.7,33.7,31.3,31.8,155500
LIG,20100506,33,34.3,33,33.6,274300
LIG,20100505,38.1,38.1,33.3,33.7,145000
LIG,20100504,36,36.2,34.7,35.7,221900
LIG,20100429,33.9,33.9,33.7,33.9,554000
LIG,20100428,29.7,31.9,29.7,31.7,135200
LIG,20100427,30.3,30.7,29.8,29.9,169500
LIG,20100426,34.5,34.5,31.2,32,165400
LIG,20100422,29,39.7,29,33.5,585800
