<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LO5,20100729,17.8,18.8,17.4,18.1,21300
LO5,20100728,18.5,18.8,17.4,18.1,42500
LO5,20100727,18.2,18.2,17.4,17.6,57700
LO5,20100726,19.6,19.6,18.4,18.7,85700
LO5,20100723,19.9,20,19.1,19.7,51500
LO5,20100722,20,20.2,19.9,19.9,147300
LO5,20100721,21.7,21.8,20.2,21.3,149600
LO5,20100720,19.8,20.4,19.8,20.4,207300
LO5,20100719,19.1,19.3,17.1,19.1,249800
LO5,20100716,17.5,18.2,17.5,18.1,92600
LO5,20100715,17,17.4,16.9,17.1,89500
LO5,20100714,18,18,17.2,17.5,63600
LO5,20100713,17.9,18,17.7,17.9,56800
LO5,20100712,17.4,17.7,17.3,17.5,43600
LO5,20100709,17.3,17.7,17.3,17.5,87300
LO5,20100708,17,17.4,16.9,17.1,43300
LO5,20100707,17.5,17.8,16.9,17.3,41500
LO5,20100706,17.3,17.5,16.4,16.9,96800
LO5,20100705,17.9,17.9,16.9,17.2,23000
LO5,20100702,17,17.6,16.5,17.1,93900
LO5,20100701,17,17.6,17,17.5,118100
LO5,20100630,16.3,17.8,16.3,16.5,85000
LO5,20100629,18,18,17.4,17.5,32700
LO5,20100628,19.6,20,17.8,18.5,94200
LO5,20100625,18.9,19.3,18.2,19.1,279900
LO5,20100624,18,18.1,18,18.1,183300
LO5,20100623,16.5,17.5,16.3,17,54100
LO5,20100622,18,18.2,16.4,17.1,39300
LO5,20100621,17,17.3,17,17.3,119600
LO5,20100618,15.6,16.6,15.6,16.2,72200
LO5,20100617,15.3,16,15.1,15.6,20700
LO5,20100616,15.3,15.5,15,15.3,45200
LO5,20100615,15,15.3,15,15.2,32600
LO5,20100614,14.8,15,14.6,14.9,16700
LO5,20100611,14.8,15,14.2,14.6,41700
LO5,20100610,13.7,14.8,13.7,14.2,5100
LO5,20100609,14,14.6,14,14.1,3800
LO5,20100608,13.6,14.1,13.6,13.9,300
LO5,20100607,14,14.3,13.5,13.7,11800
LO5,20100604,14.5,14.6,14.5,14.5,4700
LO5,20100603,14.5,14.5,14.2,14.4,10900
LO5,20100602,14.7,14.7,13.7,14,1800
LO5,20100601,14.6,14.9,14.6,14.6,3400
LO5,20100531,14.7,14.7,14.6,14.7,12800
LO5,20100528,15.5,15.6,15.4,15.6,31900
LO5,20100527,14.5,14.9,14,14.6,26100
LO5,20100526,13.3,14.5,13.3,14.1,21800
LO5,20100525,13.9,14,13.8,13.9,18100
LO5,20100524,14,14,14,14,3000
LO5,20100521,13.3,13.7,13.3,13.3,24600
LO5,20100520,13.2,14.8,13.2,14.2,19800
LO5,20100519,14.1,14.2,14.1,14.1,29700
LO5,20100518,15,15.2,14.5,15.1,9300
LO5,20100517,16,16,14.8,15.2,18700
LO5,20100514,15.5,15.5,14.6,15.2,20900
LO5,20100513,15.2,15.9,15,15.5,24500
LO5,20100512,15,15.1,14.8,14.9,27000
LO5,20100511,17,17,15.4,15.9,26000
LO5,20100510,17.5,17.5,16.4,16.5,57700
LO5,20100507,18.1,18.1,16.7,17.6,132600
LO5,20100506,16.7,17.1,16.5,17,65800
LO5,20100505,15.4,16.2,15.4,16,65100
LO5,20100504,15.9,16.5,15.9,16.1,109300
LO5,20100429,15.8,15.8,14.6,15.5,99400
LO5,20100428,14,15,14,14.7,118700
LO5,20100427,14.2,14.4,13.8,14,36400
LO5,20100426,14.6,14.6,14,14.2,22600
LO5,20100422,15.2,15.2,13.3,14.6,38100
LO5,20100421,14.2,14.2,14,14.2,102700
LO5,20100420,12.9,13.6,12.8,13.2,63800
LO5,20100419,11.8,12.8,11.8,12.7,20000
LO5,20100416,12.8,12.8,12.5,12.7,19400
LO5,20100415,12.8,12.8,12.3,12.6,24900
LO5,20100414,12.8,12.8,11.8,11.9,24800
LO5,20100413,13.8,13.8,12.3,12.5,10300
LO5,20100412,13.3,13.5,12.8,13.3,15600
LO5,20100409,12,12.7,11.9,12.6,12500
LO5,20100408,12.8,12.8,12.3,12.8,22900
LO5,20100407,11.7,12,11.7,11.9,9100
LO5,20100406,10.9,12,10.9,11.2,4700
LO5,20100405,11.3,12.3,11.3,11.8,200
LO5,20100402,11.5,11.8,11.5,11.7,1100
LO5,20100401,11.3,11.5,11.3,11.4,1100
LO5,20100331,11,11.2,11,11.1,3200
LO5,20100330,12.3,12.3,11.6,11.6,14200
LO5,20100329,13.3,13.3,11.5,12.5,2300
LO5,20100326,13.7,13.7,12,12.4,1900
LO5,20100325,14.4,14.4,12.6,12.8,10800
LO5,20100324,13.5,13.6,13.5,13.6,50700
LO5,20100323,12.3,12.7,12.3,12.7,40100
