<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MCG,20100729,40.5,40.5,39.6,40.5,208330
MCG,20100728,40,41,39.5,39.6,234880
MCG,20100727,41.4,42.5,41,41,458420
MCG,20100726,41.6,41.7,41,41,137380
MCG,20100723,41.3,41.9,41,41.8,451550
MCG,20100722,42,42,41,41.1,248650
MCG,20100721,42.5,42.5,41.8,41.8,508000
MCG,20100720,43,43,42.1,42.6,509450
MCG,20100719,42.6,43,42.2,42.2,550440
MCG,20100716,43.1,43.7,43,43,511900
MCG,20100715,43.8,43.8,42.5,43.7,555880
MCG,20100714,43.8,45,43.3,43.8,803850
MCG,20100713,42.7,44.1,42.1,43.3,597040
MCG,20100712,42,42.5,41,42,367930
MCG,20100709,40.5,42,40.5,41.5,517440
MCG,20100708,42.5,42.5,40.3,40.3,344910
MCG,20100707,42.5,43,41.5,41.5,348680
MCG,20100706,44.1,44.1,42.5,42.5,261430
MCG,20100705,43.6,45.2,43.6,44.1,406770
MCG,20100702,44,44.1,43.4,44,469800
MCG,20100701,43.9,44.9,43.6,44,502650
MCG,20100630,42.3,43.9,41.7,43.9,779410
MCG,20100629,43.9,44.8,43.5,43.7,435100
MCG,20100628,43.7,45.4,43.7,43.9,809460
MCG,20100625,45,45.8,43.7,43.7,786390
MCG,20100624,47.8,48,45,45.7,1225980
MCG,20100623,45,45.8,44.3,45.8,1154220
MCG,20100622,42,43.7,41.6,43.7,1275080
MCG,20100621,42.6,42.6,41.6,41.7,425430
MCG,20100618,42,43,41.7,41.8,508220
MCG,20100617,43.5,43.5,42.7,43,460640
MCG,20100616,43.9,44.9,43.6,44,563560
MCG,20100615,43,43.6,42.1,43.4,687380
MCG,20100614,42.5,43.8,42,43.5,687950
MCG,20100611,41.3,42,40.8,42,554830
MCG,20100610,39.3,40.3,39.3,40.2,426710
MCG,20100609,40,40,39,39.3,443690
MCG,20100608,39.9,40.2,38.8,39.2,576840
MCG,20100607,39.9,40.9,39.9,39.9,653820
MCG,20100604,42.5,43,41.2,42,694990
MCG,20100603,44,44.1,43,43,497420
MCG,20100602,42,43.9,42,43.6,760470
MCG,20100601,41.5,44,41.5,42.3,552940
MCG,20100531,44,45.5,42.9,42.9,878110
MCG,20100528,44.2,44.2,43.5,44.2,725760
MCG,20100527,41.4,42.1,40.7,42.1,900290
MCG,20100526,40.1,40.1,40.1,40.1,455980
MCG,20100525,40,40.5,38.1,38.2,725650
MCG,20100524,40.1,40.5,39.4,39.4,813100
MCG,20100521,41.4,41.4,41.4,41.4,217040
MCG,20100520,40.1,43.5,40.1,43.5,1373250
MCG,20100519,42.2,43,42.2,42.2,622240
MCG,20100518,45.2,47.4,44.4,44.4,417780
MCG,20100517,48,48.6,46.5,46.5,841120
MCG,20100514,48,48.9,45.2,48.9,1671960
MCG,20100513,46.6,48.5,46.6,46.6,1403460
MCG,20100512,49,49,49,49,173060
MCG,20100511,53,54,51.5,51.5,915770
MCG,20100510,56.5,56.5,54,54,885560
MCG,20100507,58.5,59.5,56.5,56.5,1585070
MCG,20100506,57.5,59,57.5,59,1478640
MCG,20100505,56.5,58,56,56.5,757740
MCG,20100504,56.5,58,55.5,58,1330260
MCG,20100429,57,57,54.5,55.5,1172830
MCG,20100428,58,58,55.5,55.5,1169030
MCG,20100427,56.5,58,54.5,58,1448070
MCG,20100426,55,58,54.5,55.5,1084080
MCG,20100422,57.5,58,55.5,55.5,1221670
MCG,20100421,58,58,56.5,58,2633950
MCG,20100420,55.5,55.5,54.5,55.5,1434940
MCG,20100419,53,53,53,53,259970
MCG,20100416,50.5,50.5,49.5,50.5,1606670
MCG,20100415,48.5,48.5,48.5,48.5,364810
MCG,20100414,45.2,46.2,43.5,46.2,664480
MCG,20100413,43,45.7,43,44,987580
MCG,20100412,45.3,45.3,42.6,43.5,839530
MCG,20100409,46.9,46.9,44.6,44.6,907570
MCG,20100408,47.3,47.6,45.6,46.9,739650
MCG,20100407,45,45.7,44.5,45.7,1353740
MCG,20100406,45.8,45.8,43.5,43.5,1573100
MCG,20100405,43.4,43.6,42.6,43.6,770780
MCG,20100402,40,41.5,39.5,41.5,1324690
MCG,20100401,39.5,40.3,37.8,39.5,573630
MCG,20100331,40.8,40.8,39,39.2,570920
MCG,20100330,42.8,42.9,39,39,1345530
MCG,20100329,40.1,40.9,39.5,40.9,1184880
MCG,20100326,37.5,39,37.2,39,904670
MCG,20100325,38,38.2,37.1,37.2,535250
MCG,20100324,38,39,37.5,39,413380
MCG,20100323,37.3,38.1,37.2,37.2,467080
MCG,20100322,37.9,38.5,36.6,37.3,450280
MCG,20100319,39.5,39.7,38.5,38.5,344120
MCG,20100318,38,39.5,37,39.5,528810
MCG,20100317,40,40.5,37.6,37.7,526290
MCG,20100316,41.5,42.5,39.5,39.5,1132060
MCG,20100315,41.3,42.4,40.9,41.6,463140
MCG,20100312,39.7,40.9,39.7,40.9,841480
MCG,20100311,38.6,39.8,38.3,39,596290
MCG,20100310,37.5,39.9,37.3,39.5,966870
MCG,20100309,38.4,38.5,37.3,38,300070
MCG,20100308,38.5,38.5,38,38.4,553860
MCG,20100305,34.5,36.7,34.5,36.7,898630
MCG,20100304,35.5,36,34.7,35,335080
MCG,20100303,34.1,35.2,34,35.2,222740
MCG,20100302,34,35.5,33.5,34.1,308120
MCG,20100301,32.5,33.9,32.5,33.9,583730
MCG,20100226,32,32.3,31.5,32.3,57820
MCG,20100225,32,32.7,31.7,32,77110
MCG,20100224,31.1,31.7,31,31.7,38710
MCG,20100223,31.6,31.7,31.1,31.1,99080
MCG,20100222,32.4,32.6,32.1,32.1,50410
MCG,20100212,32.5,32.5,32,32.4,83050
MCG,20100211,32,32.5,32,32.5,47800
MCG,20100210,31.5,31.8,31,31.8,99370
MCG,20100209,30.7,32.7,30.7,30.7,165910
MCG,20100208,31.5,31.8,31.1,31.3,66410
MCG,20100205,32.3,33,32,32,108390
MCG,20100204,32.6,34,32.6,33.5,162550
MCG,20100203,32.2,33.3,32.2,33.2,98300
MCG,20100202,33.6,33.6,32.6,32.7,119160
MCG,20100201,32.3,33.2,31.7,33.2,170920
MCG,20100129,32,32.5,31.3,31.6,86880
MCG,20100128,33,33.5,32,32.2,179280
MCG,20100127,34.5,35,33.6,33.6,197790
MCG,20100126,35,35.3,34.5,35.3,423540
MCG,20100125,34.5,34.5,32.8,33.6,163940
MCG,20100122,32.4,33.5,31.5,33.5,215020
MCG,20100121,33.5,35.2,32,32.1,264380
MCG,20100120,36.5,36.5,33.5,33.5,265330
MCG,20100119,33.2,34.8,32.7,34.8,216750
MCG,20100118,34.9,34.9,33.2,33.2,267120
MCG,20100115,35.3,36.4,34.9,34.9,156820
MCG,20100114,37.5,37.8,36.2,36.7,213750
MCG,20100113,33.5,36.2,33,36.2,647220
MCG,20100112,35.5,37,34.7,34.7,307840
MCG,20100111,38,38.2,36.2,36.5,391410
MCG,20100108,41.7,41.7,38,38,566190
MCG,20100107,40,40,38.5,40,443660
MCG,20100106,36.5,38.1,36.4,38.1,420290
MCG,20100105,36.3,36.3,36.3,36.3,137390
MCG,20100104,34.3,34.6,34.2,34.6,97480
MCG,20091231,33,34.6,33,33,444350
MCG,20091230,33.7,33.7,33,33,870270
MCG,20091229,32.1,32.1,31.5,32.1,469800
MCG,20091228,30.6,30.6,30,30.6,392430
MCG,20091225,29,29.2,29,29.2,138280
MCG,20091224,26.5,27.8,25.6,27.8,297590
MCG,20091223,26,26.8,26,26.5,165210
MCG,20091222,27.3,28.3,26.3,26.3,200450
MCG,20091221,27.3,27.3,26.2,27.3,219110
MCG,20091218,25.9,26,25.1,26,279270
MCG,20091217,24.8,24.9,24.8,24.8,215300
MCG,20091216,26.1,26.5,26.1,26.1,113140
MCG,20091215,28.1,28.3,27.4,27.4,235050
MCG,20091214,30.1,30.1,27.4,28.8,592220
MCG,20091211,28.8,29.4,28.8,28.8,235210
MCG,20091210,30.4,31.4,30.3,30.3,236590
MCG,20091209,31.9,31.9,31.9,31.9,27470
MCG,20091208,35.5,35.5,33.6,33.6,156790
MCG,20091207,34.1,35.3,34.1,35.3,229770
MCG,20091204,35.3,35.7,34.5,34.8,145900
MCG,20091203,35.5,36.9,34.7,35.3,455520
MCG,20091202,38.4,38.7,36.5,36.5,272310
MCG,20091201,38,38.4,37.4,38.4,555990
MCG,20091130,38,38.5,36.5,36.6,401830
MCG,20091127,38,41.5,38,38,626630
MCG,20091126,40,40,40,40,238340
