<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MCP,20100729,13.5,13.6,13.4,13.5,13860
MCP,20100728,14.1,14.1,13.5,13.5,65260
MCP,20100727,14,14.1,13.8,13.8,48530
MCP,20100726,14.5,14.5,13.7,14,59960
MCP,20100723,14.7,14.7,14.2,14.4,30040
MCP,20100722,14.7,14.7,14.1,14.6,27850
MCP,20100721,14.5,14.7,14,14.7,180000
MCP,20100720,14,14.3,14,14,70170
MCP,20100719,14.2,14.2,13.8,14,24290
MCP,20100716,14,14.4,14,14.2,38160
MCP,20100715,14.7,14.7,14.2,14.2,39900
MCP,20100714,14.7,14.7,14.2,14.7,40960
MCP,20100713,15,15.1,14.5,14.7,107410
MCP,20100712,14,14.4,13.8,14.4,163710
MCP,20100709,13.4,14,13.4,13.8,77830
MCP,20100708,13.7,13.7,13.4,13.4,15310
MCP,20100707,13.5,13.8,13.4,13.5,42490
MCP,20100706,13.8,13.8,13.3,13.5,42020
MCP,20100705,13.9,13.9,13.3,13.7,16230
MCP,20100702,13.9,13.9,13.7,13.7,12650
MCP,20100701,13.9,13.9,13.3,13.7,17250
MCP,20100630,13.7,13.7,13.3,13.7,9480
MCP,20100629,14,14.2,13.4,13.4,40470
MCP,20100628,13.3,14,13.3,14,147800
MCP,20100625,13.1,13.6,13.1,13.4,26630
MCP,20100624,13.7,13.7,13.5,13.5,25170
MCP,20100623,13.3,13.5,13,13.5,17880
MCP,20100622,13.6,13.9,13.5,13.5,54030
MCP,20100621,13.2,13.5,12.8,13.5,80580
MCP,20100618,12.6,13.2,12.6,12.9,16710
MCP,20100617,12.9,13,12.8,12.8,29010
MCP,20100616,12.9,12.9,12.7,12.9,12310
MCP,20100615,12.8,12.8,12.6,12.7,15880
MCP,20100614,12.6,12.7,12.6,12.7,23280
MCP,20100611,12.9,12.9,12.6,12.6,20180
MCP,20100610,12.8,12.8,12.7,12.7,4890
MCP,20100609,12.6,12.8,12.6,12.8,960
MCP,20100608,12.5,12.9,12.4,12.6,14790
MCP,20100607,12.4,12.5,12.3,12.5,33100
MCP,20100604,12.7,12.8,12.6,12.7,12470
MCP,20100603,13,13,12.7,12.7,12730
MCP,20100602,12.6,12.7,12.4,12.7,16720
MCP,20100601,12.4,12.6,12.4,12.6,13790
MCP,20100531,12.6,12.7,12.4,12.4,23200
MCP,20100528,13.3,13.3,12.9,13,33970
