<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MHL,20100729,42,42,41.9,42,6400
MHL,20100728,40,40.8,38.3,39.5,46700
MHL,20100727,39,40.8,39,40.1,31400
MHL,20100726,39,40.4,39,40,12800
MHL,20100723,40,40.4,40,40.1,9700
MHL,20100722,39,40,39,39.5,20500
MHL,20100721,40,40.2,37.9,39.1,17400
MHL,20100720,40,40.7,40,40.4,8900
MHL,20100719,39,40.6,39,40.1,21500
MHL,20100716,39.4,40.2,39.4,39.9,49000
MHL,20100715,41.5,41.5,38.6,39.4,41200
MHL,20100714,42.4,42.5,39.5,40.1,28300
MHL,20100713,40.5,43.5,40.5,42.4,24900
MHL,20100712,43.8,43.8,42.5,43.1,33700
MHL,20100709,47.6,47.6,44.3,45.6,39900
MHL,20100708,46,49.2,46,47.6,76300
MHL,20100707,46,46,46,46,13100
MHL,20100706,43,43,43,43,14100
MHL,20100705,40,41,38.4,40.2,53600
MHL,20100702,36.7,39.2,35.5,38.4,67000
MHL,20100701,37.5,37.5,36.1,36.7,51600
MHL,20100630,35.4,39.3,35,37.7,64700
MHL,20100629,35.5,38,35.2,36.8,76700
MHL,20100628,33.8,35.5,33.8,35.4,45200
MHL,20100625,33.5,35.9,32,33.1,77200
MHL,20100624,34,34.5,32.7,33.5,61600
MHL,20100623,33.5,33.5,32.6,33.5,91900
MHL,20100622,31.2,31.2,31.1,31.2,20900
MHL,20100621,29,29.1,29,29.1,8400
MHL,20100618,28,29,26.5,27.1,54400
MHL,20100617,28,29.8,25.9,27.8,71400
MHL,20100616,29.7,30,27.5,27.9,76800
MHL,20100615,29.8,29.8,29.5,29.7,32300
MHL,20100614,30.5,30.6,28.3,29.7,90100
MHL,20100611,28.8,28.8,28.4,28.5,15000
MHL,20100610,28.5,28.7,27.5,28,44300
MHL,20100609,25.3,28,25.2,27.2,88700
MHL,20100608,24.2,26.7,24.2,26.1,67200
MHL,20100607,26.9,27,25,25.9,86800
MHL,20100604,25,28.2,24.8,27,86400
MHL,20100603,27.1,27.1,25.8,26.3,14200
MHL,20100602,24.5,27.5,24.4,25.3,66800
MHL,20100601,26.1,26.7,25.5,26.1,53900
MHL,20100531,26.1,28,24.7,26.3,104700
MHL,20100528,26.1,26.1,26.1,26.1,12900
MHL,20100527,25,25,23,24.3,92600
