<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MKV,20100729,60.7,60.7,60,60.5,39900
MKV,20100728,56.1,61.9,55.8,60.8,58700
MKV,20100727,56,61,56,60,398000
MKV,20100726,62,62,56.5,60.2,71300
MKV,20100723,61,61.3,58,60.7,21100
MKV,20100722,58.3,58.3,55,58,195600
MKV,20100721,54.7,54.8,47.8,54.5,253800
MKV,20100720,49,51.6,48.9,51.3,155900
MKV,20100719,48.8,48.8,45.7,48.3,135600
MKV,20100716,45.7,45.7,45.7,45.7,43300
MKV,20100715,37.9,43.5,37.9,42.8,111400
MKV,20100714,40.2,41.4,39.5,40.7,39400
MKV,20100713,41.8,41.8,39.5,41.4,63100
MKV,20100712,39,39.2,39,39.1,183900
MKV,20100709,34.7,37.3,33.7,36.7,98000
MKV,20100708,37,37,34.5,34.9,64500
MKV,20100707,34.7,34.7,34.2,34.6,211300
MKV,20100706,28.7,32.5,28.7,32.5,215900
MKV,20100705,30.4,30.4,30.4,30.4,216400
MKV,20100702,28.6,28.6,28,28.4,54700
MKV,20100701,26.6,27,25.8,26.7,44700
MKV,20100630,23.9,25.3,23.9,25.2,60800
MKV,20100629,25.6,25.8,25.6,25.7,47800
MKV,20100628,25.1,28.9,25.1,27.5,46000
MKV,20100625,27.2,27.2,25.7,27,90900
MKV,20100624,27.6,27.7,26,27.5,145900
MKV,20100623,25.3,28.2,25.3,27.6,10400
MKV,20100622,24.9,27.8,24.9,27.2,29100
MKV,20100621,25.8,26.9,25.8,26.7,87300
MKV,20100618,24.6,25.2,23.1,25.1,79900
MKV,20100617,20.8,23.8,20.8,23.7,89200
MKV,20100616,22.1,24,21.6,22.3,47100
MKV,20100615,23.9,24.2,22.5,23.2,173200
MKV,20100614,26.3,26.4,23,24.2,70200
MKV,20100611,24.8,24.8,22.8,24.7,228500
MKV,20100610,23,24.3,23,24,64000
MKV,20100609,23.1,23.5,22.1,22.9,55800
MKV,20100608,22.9,23.7,21.3,23.1,93700
MKV,20100607,21,24.2,21,22.9,165100
MKV,20100604,22.5,22.8,21.5,22.6,119400
MKV,20100603,21.5,21.5,21.2,21.3,98100
MKV,20100602,20.1,20.2,20.1,20.1,123100
MKV,20100601,18.8,19,17.7,18.9,240800
MKV,20100531,18.2,18.2,17,17.7,30900
MKV,20100528,16.6,17.1,15.9,17,51100
MKV,20100527,14.8,16.1,14.8,15.9,106600
MKV,20100526,14.5,15.2,14.3,15.1,124000
MKV,20100525,15.8,15.8,14.1,14.2,25300
MKV,20100524,13.6,15.1,13.6,14.7,118100
MKV,20100521,13.4,15,13.2,14.2,40000
MKV,20100520,12.5,14.3,12.5,14.1,78200
MKV,20100519,12.9,14,12.9,13.4,25700
MKV,20100518,14.2,14.2,13.9,13.9,10100
MKV,20100517,13.6,13.7,13.6,13.7,3500
MKV,20100514,14,14,13.8,14,6300
MKV,20100513,14.5,14.5,13.1,14,15900
MKV,20100512,14.5,14.5,13.6,14.1,30500
MKV,20100511,14.7,15,14.4,14.6,31400
MKV,20100510,15,15,13.7,14.5,30300
MKV,20100507,14.7,14.7,14.2,14.3,21800
MKV,20100506,14,14.4,13.6,14.2,60400
MKV,20100505,12.9,13.9,12.9,13.5,9900
MKV,20100504,12.8,14.2,12.5,13.8,5100
MKV,20100429,14,14,13,13.2,46000
MKV,20100428,12.9,13.7,12.9,13.6,16800
MKV,20100427,14.4,14.4,12.7,13.4,7500
MKV,20100426,13.1,13.9,13.1,13.5,15500
MKV,20100422,13.2,13.8,12.6,13.1,90900
MKV,20100421,13.2,13.6,13.2,13.4,8500
MKV,20100420,14.5,14.5,13.8,14.2,17000
MKV,20100419,13.6,14,13.1,13.8,108000
MKV,20100416,13,13,13,13,77800
MKV,20100415,12.1,12.2,12.1,12.2,21700
MKV,20100414,12.2,12.2,11.2,11.4,12700
MKV,20100413,12,12,11.9,11.9,38000
MKV,20100412,12.5,12.8,12.3,12.7,185800
MKV,20100409,12,12,12,12,62900
MKV,20100408,10.8,11.3,10.8,11.2,33800
MKV,20100407,10.6,10.6,10.6,10.6,3000
MKV,20100406,10.6,10.8,10.6,10.6,28600
MKV,20100405,10.5,10.8,10.5,10.6,6200
MKV,20100402,10.6,10.6,10.4,10.5,8400
MKV,20100401,10.6,10.7,10.6,10.6,600
MKV,20100331,10.4,10.8,10.4,10.8,3800
MKV,20100330,10.8,11.1,10.7,10.8,14100
MKV,20100329,11.2,11.3,11,11.2,11700
MKV,20100326,11.1,11.5,10.8,11.2,17800
MKV,20100325,12.3,12.3,10.8,11,28500
MKV,20100324,11.5,11.5,11.4,11.5,56700
MKV,20100323,10.8,10.8,10.8,10.8,42100
MKV,20100322,10.1,10.2,10,10.1,9000
MKV,20100319,10.1,10.2,10.1,10.1,10100
MKV,20100318,10,10.8,9.8,10.1,16000
MKV,20100317,10.3,10.3,10.1,10.3,9900
MKV,20100316,11,11,10.5,10.7,17500
MKV,20100315,10.9,11,10.8,11,53300
MKV,20100312,10.1,10.4,9.7,10.3,28700
MKV,20100311,9.8,9.8,9.6,9.7,21200
MKV,20100310,10.1,10.1,9.6,9.8,14600
MKV,20100309,10,10.5,10,10.2,8100
MKV,20100308,9.8,10.3,9.8,10,22900
MKV,20100305,9.7,9.8,9.3,9.6,18800
MKV,20100304,9.8,9.8,9.7,9.7,5700
MKV,20100303,9.7,9.7,9.6,9.7,10800
MKV,20100302,9.8,9.8,9.5,9.7,4000
MKV,20100301,9.7,9.7,9.7,9.7,1000
MKV,20100226,9.8,9.9,9.8,9.8,2300
MKV,20100225,10,10,10,10,100
MKV,20100224,9.4,9.4,9.4,9.4,1500
MKV,20100222,9.8,9.9,9.8,9.9,2400
MKV,20100212,9.8,9.8,9.5,9.7,1600
MKV,20100211,9.8,9.8,9.8,9.8,900
MKV,20100210,9.8,9.8,9.8,9.8,100
MKV,20100209,9.5,9.5,9.2,9.3,3500
MKV,20100208,9.5,9.5,9.4,9.5,1700
MKV,20100205,9.8,10.1,9.4,10,9500
MKV,20100204,9.7,9.8,9.6,9.7,4500
MKV,20100203,9.8,9.8,9.3,9.4,6700
MKV,20100202,9.5,10,9.4,9.4,22200
MKV,20100201,9.5,9.7,9.3,9.4,6100
MKV,20100129,9.8,10.1,9.7,9.9,1500
MKV,20100128,9.8,9.8,9.6,9.7,300
MKV,20100127,10.8,10.8,9.8,10.3,8600
MKV,20100126,9.8,10.7,9.8,10.4,12800
MKV,20100125,10,10,10,10,100
MKV,20100122,9.7,10.3,9.4,9.5,4700
MKV,20100121,10.4,10.7,9.4,9.8,16700
MKV,20100120,10.4,10.5,9.4,10,3100
MKV,20100119,9.5,10,9.5,9.8,3000
MKV,20100118,10.2,10.2,9.3,9.3,5300
MKV,20100115,10.6,10.6,9.6,9.8,11400
MKV,20100114,10,10.3,10,10.2,24600
MKV,20100113,9.9,10.3,9.2,9.6,36000
MKV,20100112,11.2,11.2,9.8,9.9,10300
MKV,20100111,10.6,10.8,10.6,10.6,27300
MKV,20100108,11.3,11.7,11.1,11.3,23200
MKV,20100107,12.6,12.6,11.1,12,18700
MKV,20100106,12,12,12,12,100
MKV,20100105,12,12,11.7,12,26400
MKV,20100104,11.4,11.4,10.8,11.2,39500
MKV,20091231,10.7,10.7,10.3,10.7,35400
MKV,20091230,10.5,10.5,9.8,10,8800
MKV,20091229,10.8,10.8,10.5,10.6,1500
MKV,20091228,10.4,10.9,10.1,10.7,7900
MKV,20091225,10.4,10.4,10.3,10.4,31900
MKV,20091224,9.3,10.3,9.2,9.7,37000
MKV,20091223,9.8,10.2,9.6,9.9,10000
MKV,20091222,10.6,10.6,10.2,10.3,1600
MKV,20091221,9.3,10,9.3,9.9,19300
MKV,20091218,8.8,9.6,8.3,9.3,19400
MKV,20091217,8.8,9.5,8.8,9,7200
MKV,20091216,10.5,10.5,9.4,9.4,8600
MKV,20091215,10.2,10.2,9.6,10.1,700
MKV,20091214,9.7,9.7,9.2,9.7,24100
MKV,20091211,9.3,9.4,8.9,9.1,28200
MKV,20091210,10.3,10.3,9.4,9.5,24300
MKV,20091209,10.1,10.1,10,10.1,23300
MKV,20091208,10.8,11.2,10.7,10.8,18900
MKV,20091207,10.8,10.8,10.5,10.8,45800
MKV,20091204,11.4,11.4,10.8,10.8,10700
MKV,20091203,10.8,11.7,10.7,10.9,3900
MKV,20091202,12.8,12.8,11.2,11.4,4300
MKV,20091201,12.1,12.1,12.1,12.1,15100
MKV,20091130,11.2,11.5,11.2,11.3,19700
MKV,20091127,10.2,11.7,10.2,10.8,33500
MKV,20091126,12.2,12.2,10.9,10.9,22900
MKV,20091125,11.8,11.9,11.8,11.8,55700
MKV,20091124,12.8,12.8,12.5,12.6,4400
MKV,20091123,13.6,13.6,12.3,13.5,11100
MKV,20091120,13.7,14,12.9,13.1,34600
MKV,20091119,14.2,14.2,13.3,13.9,56600
MKV,20091118,13.3,13.3,13.3,13.3,18200
MKV,20091117,12.5,12.5,11.7,12.5,52000
MKV,20091116,11.6,12.2,11.4,11.6,20600
MKV,20091113,12.5,12.6,11.7,12.3,28200
MKV,20091112,11.3,12.5,11.3,12.2,16700
MKV,20091111,12,13.5,12,12.1,40500
MKV,20091110,12.9,12.9,12.9,12.9,8000
MKV,20091109,13.9,13.9,13.9,13.9,3500
MKV,20091106,15.2,15.2,13.3,14.9,75300
MKV,20091105,13.1,15,13.1,14.2,95900
MKV,20091104,14.1,14.1,14.1,14.1,6900
MKV,20091103,15.1,15.1,15.1,15.1,4000
MKV,20091102,16.2,16.2,16.2,16.2,3000
MKV,20091030,18.1,19.2,16.9,17.3,81100
MKV,20091029,19.4,19.4,17,18.1,197800
MKV,20091028,18.2,18.2,18.2,18.2,145500
MKV,20091027,17,17,17,17,15500
MKV,20091026,15,15.9,14.5,15.8,90100
MKV,20091023,14.9,14.9,14.3,14.9,137500
MKV,20091022,14,14,13.9,14,49500
MKV,20091021,13,13,13,13,23000
MKV,20091020,11.7,12.3,11.6,12.2,50400
MKV,20091019,12.6,12.6,11.3,11.5,9500
MKV,20091016,12.5,12.5,11.8,12.2,5500
MKV,20091015,11.2,11.8,11.2,11.7,44000
MKV,20091014,10.8,11.3,10.8,11,2600
MKV,20091013,11.6,11.6,11,11.3,2000
MKV,20091012,11,11,10.9,11,9400
MKV,20091009,11,11.1,10.8,11,12900
MKV,20091008,10.6,10.6,10.3,10.4,1300
MKV,20091007,10.5,10.6,10.3,10.6,3800
MKV,20091006,10.6,10.6,10.4,10.5,1400
MKV,20091005,10.3,10.7,9.9,10.1,3500
MKV,20091002,10.8,10.8,10.5,10.6,13400
MKV,20091001,10.9,11,10.8,10.9,15800
MKV,20090930,11.2,11.2,10.8,11,1800
MKV,20090929,10.8,11.2,10.8,11.1,3800
MKV,20090928,11.4,11.4,11.4,11.4,100
MKV,20090925,10.6,11.4,10.6,10.8,1200
MKV,20090924,11.6,11.6,11,11,1300
MKV,20090923,10.9,11.1,10.9,11,5300
MKV,20090922,11.1,11.1,10.8,10.9,3800
MKV,20090921,11.5,11.5,10.8,10.9,5200
MKV,20090918,11.5,11.5,11.5,11.5,7400
MKV,20090917,10.8,10.9,10.5,10.8,7700
MKV,20090916,10.9,11.2,10.9,11.1,6700
MKV,20090915,13.1,13.1,11.5,11.6,18800
MKV,20090914,12.5,12.5,12.1,12.4,25300
MKV,20090911,11,11.9,10.9,11.6,39100
MKV,20090910,11.1,11.2,10.8,11.1,22700
MKV,20090909,10.3,10.6,10.3,10.5,5300
MKV,20090908,10.3,10.8,10.3,10.7,18100
MKV,20090907,10.1,10.1,10.1,10.1,200
MKV,20090904,10.3,10.4,10.3,10.3,4800
MKV,20090903,10.7,10.7,10.7,10.7,200
MKV,20090901,10.8,10.8,10.8,10.8,200
MKV,20090831,11.6,11.7,11.2,11.4,8500
MKV,20090828,11.2,11.2,11.1,11.2,800
MKV,20090827,10.8,11.1,10.8,11,5300
MKV,20090825,11.1,11.1,10.4,10.8,200
MKV,20090824,10.3,11.6,10.3,10.7,700
MKV,20090821,10.3,11,10.3,10.9,41400
MKV,20090820,10.3,10.4,10.3,10.3,5600
MKV,20090819,9.7,9.7,9.6,9.7,1100
MKV,20090817,9.9,9.9,9.8,9.8,800
MKV,20090814,9.9,9.9,9.9,9.9,800
MKV,20090813,9.9,10,9.9,9.9,1100
MKV,20090812,10.8,10.8,10.2,10.3,1500
MKV,20090811,10.9,10.9,10.9,10.9,200
MKV,20090810,10.8,10.8,10.8,10.8,1000
MKV,20090807,10.6,10.6,10,10.3,3500
MKV,20090805,10.6,10.6,10.6,10.6,200
MKV,20090804,10.1,10.1,9.7,9.9,2100
MKV,20090803,10.1,10.7,10.1,10.1,2200
MKV,20090731,10.1,10.3,10.1,10.1,1000
MKV,20090730,10,10,10,10,100
MKV,20090729,10.8,10.8,10.8,10.8,100
MKV,20090728,12,12,10.8,11,5500
MKV,20090727,11,11.5,11,11.5,1100
MKV,20090724,11.2,11.2,10.6,11,9300
MKV,20090723,10.5,10.5,10.5,10.5,5000
MKV,20090722,9.6,10.2,9,10,4600
MKV,20090720,9.7,9.7,9.6,9.6,2700
MKV,20090717,10.4,10.4,10.4,10.4,4200
MKV,20090716,11.1,11.1,11.1,11.1,100
MKV,20090715,10.7,10.7,10.7,10.7,200
MKV,20090714,9.5,10.7,9.5,10.1,200
MKV,20090713,10.2,10.2,10,10,7300
MKV,20090710,10.8,10.8,10.8,10.8,2100
MKV,20090708,11.2,11.6,11.2,11.6,22300
MKV,20090707,11.2,11.3,11.2,11.2,900
MKV,20090706,11,11,11,11,3500
MKV,20090703,9.7,10.5,9.7,10.3,2200
MKV,20090702,10.3,10.8,10.3,10.4,400
MKV,20090701,10,11.1,9.8,10.2,1700
MKV,20090630,10.8,10.8,10.2,10.6,8300
MKV,20090629,11,11,10.5,10.8,3100
MKV,20090626,10.5,11.7,10.5,11.6,11900
MKV,20090625,11.2,11.2,10.9,11,4600
MKV,20090624,11.6,11.8,11.6,11.8,700
MKV,20090623,12,12,10.5,11,15900
MKV,20090622,12.1,12.1,11.2,11.2,7000
MKV,20090619,13.9,13.9,12,12.1,36800
MKV,20090618,11.3,13,11.3,13,86700
MKV,20090617,10.8,12.5,10.8,12.2,61400
MKV,20090616,12,12,11.5,11.7,4100
MKV,20090615,12.3,13.3,12.3,12.4,11900
MKV,20090612,13.2,14,13.1,13.2,13500
MKV,20090611,13.5,14.4,13.5,14,13900
MKV,20090610,15.2,15.2,13.3,14.4,66200
MKV,20090609,14.2,14.2,12.6,14.2,185200
MKV,20090608,13.3,13.3,13.3,13.3,15600
MKV,20090605,12.5,12.5,12.5,12.5,62000
MKV,20090604,11.6,11.6,11.6,11.6,2600
MKV,20090603,10.8,10.8,10.8,10.8,6600
MKV,20090602,10.2,10.2,10.2,10.2,39400
MKV,20090601,9.6,9.7,9.1,9.5,70000
MKV,20090529,9,9.1,9,9.1,4800
MKV,20090528,9.7,9.7,9.5,9.6,6400
MKV,20090527,10.4,10.4,9.5,10.2,12600
MKV,20090526,9.8,9.8,9.6,9.7,36900
MKV,20090525,9.2,9.2,8.9,9.2,23600
MKV,20090522,8.3,8.8,8.3,8.7,21100
MKV,20090521,8,8.2,7.9,8.2,34400
MKV,20090520,7.4,7.7,7.4,7.6,20300
MKV,20090519,7.8,7.8,7,7.3,13700
MKV,20090518,7.6,7.6,7.3,7.4,600
MKV,20090515,7.1,7.5,7.1,7.5,12000
MKV,20090514,7.5,7.5,6.8,7,6700
MKV,20090513,7.6,7.6,7.1,7.3,1200
MKV,20090512,7.4,7.4,7.3,7.4,3500
MKV,20090511,7.5,7.5,7.5,7.5,1500
MKV,20090508,7.5,7.5,7.1,7.3,4700
MKV,20090507,7.3,7.5,7,7.3,18000
MKV,20090506,7.7,7.8,7,7.2,15500
MKV,20090505,7.5,7.5,7.5,7.5,32700
MKV,20090504,6.9,7,6.9,7,9800
MKV,20090429,6.1,6.5,6.1,6.5,19000
MKV,20090428,6.2,6.2,5.8,6,13200
MKV,20090427,5.8,5.8,5.8,5.8,3600
MKV,20090424,5.9,6.4,5.9,6.2,5000
MKV,20090423,6.3,6.3,5.8,6,300
MKV,20090422,5.8,5.8,5.8,5.8,1100
MKV,20090421,5.3,5.6,5.3,5.5,5300
MKV,20090420,5.3,5.4,5.2,5.2,12900
MKV,20090417,5.8,5.8,5.7,5.7,7800
MKV,20090416,6.2,6.2,5.8,6.1,6800
MKV,20090415,6.3,6.3,6.2,6.2,7400
MKV,20090414,6.5,6.7,6.5,6.7,6600
MKV,20090413,6,6.5,6,6.3,57000
MKV,20090410,6.1,6.1,5.8,6,3700
MKV,20090409,5.8,5.8,5.8,5.8,2400
MKV,20090408,6.3,6.3,5.6,5.8,9500
MKV,20090407,6,6.2,6,6,6500
MKV,20090403,5.8,6.1,5.8,5.9,8800
MKV,20090402,5.8,5.8,5.6,5.7,4300
MKV,20090401,5.8,5.8,5.7,5.7,4300
MKV,20090331,5.7,5.7,5.5,5.6,2000
MKV,20090330,5.7,5.7,5.7,5.7,1100
MKV,20090327,5.7,5.7,5.7,5.7,400
MKV,20090326,5.8,5.8,5.4,5.7,7600
MKV,20090325,5.7,5.7,5.1,5.5,6100
MKV,20090324,5.4,6.1,5.4,5.6,7500
MKV,20090323,6.3,6.3,5.8,5.8,1400
MKV,20090320,5.8,6,5.8,5.8,2700
MKV,20090319,6.2,6.2,6.2,6.2,600
MKV,20090318,6.7,6.7,6.5,6.6,1600
MKV,20090317,6.9,6.9,6.6,6.7,11300
MKV,20090316,7.2,7.2,7.2,7.2,7200
MKV,20090313,6.8,6.8,6.8,6.8,9200
MKV,20090312,6.4,7,6.4,6.5,9600
MKV,20090311,7,7,7,7,9100
MKV,20090310,6.7,6.7,6.7,6.7,300
MKV,20090309,6.7,6.7,6.3,6.4,800
MKV,20090306,6.2,6.3,6.2,6.2,800
MKV,20090305,6,6,5.8,5.8,2100
MKV,20090304,5.9,5.9,5.9,5.9,200
MKV,20090303,5.7,5.7,5.6,5.6,12300
MKV,20090302,6.3,6.5,5.7,6,400
MKV,20090227,6.1,6.3,5.9,6.1,3500
MKV,20090226,6.6,6.6,6.2,6.4,500
MKV,20090225,6,6.2,6,6.2,1800
MKV,20090224,6.6,6.6,5.7,5.8,2900
MKV,20090223,6.8,6.8,6,6.1,900
MKV,20090220,6.6,6.6,6.3,6.3,2800
MKV,20090219,7.6,7.6,6.8,6.9,5900
MKV,20090218,7.2,7.2,7.2,7.2,200
MKV,20090217,7.7,7.7,7.7,7.7,500
MKV,20090216,8.4,8.4,7.7,8.3,1000
MKV,20090213,8.1,8.1,7.5,7.8,400
MKV,20090212,7.5,7.5,7.5,7.5,100
MKV,20090211,7.3,7.3,7.3,7.3,2900
MKV,20090210,7.4,7.4,7.3,7.3,4400
MKV,20090206,7.7,7.7,7.3,7.4,1800
MKV,20090205,7.5,7.5,7.4,7.5,4600
MKV,20090204,7.9,7.9,7.9,7.9,100
MKV,20090203,7.7,7.7,7.7,7.7,200
MKV,20090202,7.6,7.6,7.6,7.6,2500
MKV,20090123,7.6,7.8,7.6,7.6,10100
MKV,20090122,8,8,8,8,100
MKV,20090121,7.8,7.8,7.8,7.8,2200
MKV,20090120,7.6,8,7.6,7.8,2500
MKV,20090119,7.6,7.7,7.6,7.7,2700
MKV,20090116,8.2,8.2,8.2,8.2,100
MKV,20090115,7.8,8.1,7.6,7.8,5500
MKV,20090114,7.8,7.8,7.8,7.8,200
MKV,20090113,7.6,7.7,7.5,7.7,1500
MKV,20090112,8,8,8,8,5500
MKV,20090109,8.2,8.2,8.1,8.2,3600
MKV,20090108,7.7,8.3,7.7,8.2,3600
MKV,20090107,8.3,8.3,8.2,8.2,10900
MKV,20090106,8.2,8.3,8.2,8.2,4400
MKV,20090105,8.2,8.2,8.2,8.2,3200
MKV,20090102,8.2,8.4,8.1,8.3,12900
MKV,20081231,8.4,8.4,8.2,8.3,15800
MKV,20081230,8.2,8.2,8.2,8.2,9500
