<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NVC,20100729,16.1,16.3,16.1,16.2,42400
NVC,20100728,17.5,17.5,17.2,17.3,8100
NVC,20100727,18.5,18.5,17.8,18.4,95100
NVC,20100726,16.8,17.3,16.8,17.3,42700
NVC,20100723,15.7,16.3,15.5,16.2,103500
NVC,20100722,15.6,15.6,15.3,15.3,118200
NVC,20100721,16.5,16.5,15,15.4,254300
NVC,20100720,15.8,16.2,15.5,15.9,28800
NVC,20100719,14.9,15.4,14.9,15.2,16700
NVC,20100716,15.2,15.6,15,15.1,23600
NVC,20100715,15,15.2,15,15.1,13100
NVC,20100714,15.2,15.3,15,15.2,11500
NVC,20100713,16,16,15,15.2,2800
NVC,20100712,14.8,15.1,14.8,15.1,5000
NVC,20100709,15.3,15.3,15,15.1,6000
NVC,20100708,15.7,15.7,15.2,15.3,600
NVC,20100707,15.2,15.3,15.1,15.1,43800
NVC,20100705,16.2,16.2,16.2,16.2,100
NVC,20100702,16,16,15.5,15.8,1800
NVC,20100701,15.9,15.9,14.7,15.3,1100
NVC,20100630,15.9,15.9,14.7,14.9,1500
NVC,20100629,15.1,15.1,15.1,15.1,300
NVC,20100628,15.5,15.5,15.4,15.5,8200
NVC,20100625,16.4,16.4,16.4,16.4,100
NVC,20100624,16.5,16.5,15.7,15.9,2900
NVC,20100623,17,17,15.4,15.6,11100
NVC,20100622,16.5,16.5,16.5,16.5,1600
NVC,20100621,16.4,16.4,16.4,16.4,4200
NVC,20100618,15.5,15.5,15.4,15.4,2600
NVC,20100617,16.8,17,16.5,16.5,2200
NVC,20100616,16.1,16.5,16,16.3,3600
NVC,20100615,15.8,15.9,15.8,15.9,1300
NVC,20100614,15.9,15.9,15.9,15.9,100
NVC,20100611,16.2,16.2,15.5,15.8,1500
NVC,20100610,16.2,16.2,15.5,15.9,500
NVC,20100609,16.2,16.2,15.5,15.5,4100
NVC,20100608,15.4,15.5,15.4,15.5,3900
NVC,20100607,15.3,15.6,15.3,15.5,4600
