<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ORS,20100729,12.1,12.2,11.9,12.1,212000
ORS,20100728,12.6,12.6,11.8,12,399700
ORS,20100727,12.3,12.8,12.3,12.6,368400
ORS,20100726,12.9,12.9,12.4,12.5,230600
ORS,20100723,13,13,12.7,12.8,239900
ORS,20100722,12.9,13.1,12.6,12.9,434000
ORS,20100721,12.6,13,12.4,12.7,1034700
ORS,20100720,13,13.2,12.6,12.9,480700
ORS,20100719,13,13.3,12.9,13.1,338500
ORS,20100716,13.7,13.7,13.1,13.2,686600
ORS,20100715,14.8,14.8,13.6,14,581300
ORS,20100714,13.5,14,13.5,14,971700
ORS,20100713,13.5,13.5,12.3,13.1,1131600
ORS,20100712,14.5,14.5,12.9,13.1,1577100
