<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PNC,20100729,12.9,12.9,12.6,12.8,67460
PNC,20100728,12.8,12.8,12.5,12.6,93500
PNC,20100727,13,13,12.7,12.7,51460
PNC,20100726,13.2,13.2,12.8,13,44510
PNC,20100723,13.2,13.2,12.9,13,34550
PNC,20100722,13.5,13.5,12.9,12.9,66690
PNC,20100721,13.7,13.7,13.3,13.5,188010
PNC,20100720,13.3,13.3,13.3,13.3,275980
PNC,20100719,12.8,12.8,12.7,12.7,86460
PNC,20100716,12.9,13,12.8,12.8,87620
PNC,20100715,12.9,13.3,12.9,13,156260
PNC,20100714,13.5,13.5,13.2,13.2,138270
PNC,20100713,13.4,13.5,13.1,13.3,453870
PNC,20100712,13.5,13.5,12.7,13.3,370530
PNC,20100709,12.7,13.2,12.7,13.2,86890
PNC,20100708,13.1,13.5,12.9,12.9,794870
PNC,20100707,13.4,13.5,13,13.1,486300
PNC,20100706,13.6,13.6,12.8,12.9,247170
PNC,20100705,13.8,13.8,12.9,13.2,133120
PNC,20100702,13.7,13.8,13.5,13.5,172900
PNC,20100701,13.8,13.8,13.3,13.6,235230
PNC,20100630,13.5,13.8,13.4,13.6,963150
PNC,20100629,14.5,14.6,13.8,13.9,527510
PNC,20100628,13.7,14.5,13.7,14.5,490610
PNC,20100625,14.7,14.7,13.7,14.4,474600
PNC,20100624,14.2,14.2,14,14.2,333940
PNC,20100623,13.1,13.6,13.1,13.6,780280
PNC,20100622,13,13,12.7,13,981120
PNC,20100621,12.4,12.4,12.4,12.4,198490
PNC,20100618,11.9,11.9,11.9,11.9,109040
PNC,20100617,11.4,11.4,11.4,11.4,255770
PNC,20100616,10.9,11.2,10.9,10.9,83540
PNC,20100615,11.2,11.2,10.8,10.9,44010
PNC,20100614,11.2,11.3,11.1,11.1,19700
PNC,20100611,11,11.2,11,11.2,87340
PNC,20100610,10.5,11,10.5,11,44230
PNC,20100609,11.1,11.1,10.7,10.7,15990
PNC,20100608,10.8,10.9,10.3,10.8,30950
PNC,20100607,10.8,11,10.8,10.8,75950
PNC,20100604,11.1,11.3,11,11.2,47190
PNC,20100603,11.6,11.6,11.1,11.1,99300
PNC,20100602,11.1,11.5,11.1,11.3,90830
PNC,20100601,11,11.3,11,11.1,234010
PNC,20100531,11.1,11.4,10.9,11.3,165890
PNC,20100528,11.2,11.4,11.1,11.4,131970
PNC,20100527,11,11.2,10.8,11.1,157650
PNC,20100526,10.5,10.8,10.2,10.8,365220
PNC,20100525,10.6,10.9,10.3,10.3,194670
PNC,20100524,10.8,11.1,10.6,10.7,43130
PNC,20100521,11,11.2,11,11,179520
PNC,20100520,10.6,11.5,10.5,11.5,217770
PNC,20100519,11.5,11.5,10.9,11,258730
PNC,20100518,11.7,11.7,11.3,11.4,100830
PNC,20100517,12.4,12.4,11.5,11.6,180280
PNC,20100514,11.7,11.9,11.6,11.9,723380
PNC,20100513,11.5,12.3,11.4,11.4,579370
PNC,20100512,12,12.1,12,12,676310
PNC,20100511,13.3,13.3,12.6,12.6,253770
PNC,20100510,13.3,13.3,13.2,13.2,335910
PNC,20100507,13.9,13.9,13.2,13.9,931320
PNC,20100506,13.1,13.3,13,13.3,1217680
PNC,20100505,12.2,12.7,12.1,12.7,846680
PNC,20100504,12.3,12.3,12.1,12.1,900170
PNC,20100429,11.8,12.1,11.7,12.1,136020
PNC,20100428,12,12,11.5,11.8,207000
PNC,20100427,12.2,12.2,11.9,12,40630
PNC,20100426,11.7,12.2,11.7,12,134190
PNC,20100422,12,12.2,11.7,11.7,95420
PNC,20100421,12.2,12.4,11.7,12,133780
PNC,20100420,12.5,12.5,11.8,12,669390
PNC,20100419,12.6,12.6,12.2,12.4,334680
PNC,20100416,12.2,12.3,11.7,12,243400
PNC,20100415,12.4,12.4,12.2,12.3,99430
PNC,20100414,12.2,12.7,12.2,12.3,118870
PNC,20100413,12.3,12.7,12.2,12.6,209710
PNC,20100412,12,12.5,12,12.3,263290
PNC,20100409,12.2,12.6,12.2,12.2,283490
PNC,20100408,12.6,13,12.1,12.3,242170
PNC,20100407,12.8,13.1,12.6,12.6,442710
PNC,20100406,13.3,13.3,12.7,13.2,589120
PNC,20100405,12.7,12.7,12.7,12.7,413980
PNC,20100402,11.4,12.1,11.4,12.1,364630
PNC,20100401,11.4,11.7,11.4,11.6,158380
PNC,20100331,11.3,11.7,11.2,11.4,184770
PNC,20100330,11.4,11.6,11.4,11.6,76240
PNC,20100329,11.7,11.7,11.2,11.2,60650
PNC,20100326,11.4,11.7,11.2,11.7,116300
PNC,20100325,11.2,11.6,11.2,11.6,80560
PNC,20100324,11.6,11.6,11.3,11.6,169010
PNC,20100323,11.1,11.3,11.1,11.2,248320
PNC,20100322,11,11.4,10.9,10.9,142180
PNC,20100319,10.9,11.2,10.8,11,148440
PNC,20100318,10.7,11.2,10.7,11.2,14700
PNC,20100317,11,11.4,10.9,10.9,76140
PNC,20100316,10.8,11.7,10.8,11.4,397750
PNC,20100315,10.6,11.2,10.6,11.2,209710
PNC,20100312,10.6,11,10.6,10.7,64670
PNC,20100311,10.7,10.9,10.6,10.9,107350
PNC,20100310,10.9,11.2,10.5,10.7,218740
PNC,20100309,11.1,11.1,10.8,11,58640
PNC,20100308,10.9,10.9,10.7,10.9,24980
PNC,20100305,10.3,10.7,10.3,10.6,17050
PNC,20100304,10.6,11,10.3,10.3,49250
PNC,20100303,10.6,10.7,10.3,10.6,58250
PNC,20100302,10.1,10.9,10.1,10.2,21940
PNC,20100301,9.8,10.5,9.8,10.5,41910
PNC,20100226,10,10.5,10,10,16360
PNC,20100225,10.9,11,10.2,10.3,10440
PNC,20100224,10.9,10.9,10.6,10.6,2010
PNC,20100223,10.5,10.9,10.5,10.5,52290
PNC,20100222,11.4,11.4,11,11,45550
PNC,20100212,10.6,11,10.6,11,11140
PNC,20100211,10.1,10.6,10.1,10.6,13160
PNC,20100210,10.5,10.7,10.1,10.1,67140
PNC,20100209,10.6,11,10.6,10.6,128270
PNC,20100208,11.1,11.5,11.1,11.1,6630
PNC,20100205,10.9,11.7,10.9,11.6,335770
PNC,20100204,10.9,11.5,10.9,11.4,255780
PNC,20100203,10.2,11.2,10.2,11.2,416610
PNC,20100202,10.5,10.8,10.2,10.7,166440
PNC,20100201,10.2,10.7,10.2,10.7,154010
PNC,20100129,10.2,10.7,9.8,10.7,267700
PNC,20100128,9.7,10.2,9.5,10.2,341290
PNC,20100127,9.3,9.7,9.3,9.7,86270
PNC,20100126,9.5,9.6,9.1,9.6,218290
PNC,20100125,8.9,9.2,8.7,9.2,136900
PNC,20100122,8.8,9,8.5,8.8,21320
PNC,20100121,8.9,9,8.5,8.8,17270
PNC,20100120,8.9,9,8.7,8.8,19670
PNC,20100119,9,9.3,8.9,8.9,13110
PNC,20100118,9.3,9.3,9.2,9.2,71120
PNC,20100115,9.3,9.6,9.2,9.6,20320
PNC,20100114,9.7,9.7,9.4,9.4,23240
PNC,20100113,9.7,9.7,9.2,9.6,20150
PNC,20100112,9.5,9.8,9.5,9.7,165600
PNC,20100111,9.4,9.7,9.2,9.5,29150
PNC,20100108,9.7,9.8,9.5,9.5,45000
PNC,20100107,9.7,9.8,9.7,9.7,38820
PNC,20100106,9.8,10.1,9.6,9.7,72260
PNC,20100105,10.1,10.1,9.7,9.9,63710
PNC,20100104,9.4,9.7,9.4,9.7,97060
PNC,20091231,9.2,9.5,9,9.3,44150
PNC,20091230,8.8,9.2,8.8,9.2,79100
PNC,20091229,8.9,9.1,8.8,8.8,42270
PNC,20091228,9,9.4,9,9.2,47980
PNC,20091225,9,9.3,8.9,9.2,92740
PNC,20091224,8.9,8.9,8.5,8.9,20100
PNC,20091223,8.7,9,8.4,8.8,27770
PNC,20091222,8.7,8.8,8.5,8.8,50190
PNC,20091221,8.7,8.7,8.4,8.7,54400
PNC,20091218,8,8.6,8,8.3,16060
PNC,20091217,8,8.2,8,8.2,12250
PNC,20091216,8.7,8.7,8.3,8.3,48710
PNC,20091215,8.8,8.8,8.3,8.7,38590
PNC,20091214,8.4,8.8,8.4,8.7,55300
PNC,20091211,8.7,8.7,8.3,8.4,36350
PNC,20091210,9.2,9.4,8.7,8.7,265110
PNC,20091209,9.1,9.1,9,9,72800
PNC,20091208,9.6,9.7,9.1,9.4,103440
PNC,20091207,9.5,9.5,9.4,9.5,15660
PNC,20091204,9.7,9.7,9.3,9.5,50490
PNC,20091203,9.4,9.7,9.2,9.7,122370
PNC,20091202,10,10.2,9.7,9.7,186310
PNC,20091201,10.5,10.5,9.7,10.2,91130
PNC,20091130,9.9,10.4,9.9,10.2,81270
PNC,20091127,9.2,10,9.2,9.9,95840
PNC,20091126,9.5,9.9,9.5,9.6,157140
PNC,20091125,10.3,10.5,10,10,176870
PNC,20091124,10.8,10.8,10.4,10.5,30080
PNC,20091123,10.8,11,10.5,10.5,111270
PNC,20091120,11.2,11.3,11,11,42430
PNC,20091119,10.6,11.1,10.6,11.1,163250
PNC,20091118,10.5,10.8,10.5,10.6,49100
PNC,20091117,10.8,10.8,10.5,10.7,41040
PNC,20091116,10.4,10.9,10.4,10.7,48210
PNC,20091113,11,11,10.7,10.9,18310
PNC,20091112,10.9,11.1,10.8,11.1,50300
PNC,20091111,10.2,10.6,10.1,10.6,71720
PNC,20091110,10.4,10.7,10.2,10.2,123180
PNC,20091109,10.8,11.1,10.7,10.7,104680
