<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PNJ,20100729,36,36.1,35.8,35.8,20320
PNJ,20100728,37,37,36,36,10760
PNJ,20100727,37.3,37.5,36.5,36.5,23580
PNJ,20100726,37.5,37.5,37.3,37.3,17300
PNJ,20100723,37.6,38,37.4,37.5,30650
PNJ,20100722,38,38,37.6,37.6,26430
PNJ,20100721,38.1,38.4,38,38,18610
PNJ,20100720,38.4,38.5,38.2,38.2,34970
PNJ,20100719,38.8,38.8,38.7,38.8,35820
PNJ,20100716,38.8,38.8,38.5,38.8,79350
PNJ,20100715,38.5,38.8,38.5,38.5,57360
PNJ,20100714,38.8,39,38.5,38.5,27180
PNJ,20100713,38.5,38.9,38.4,38.9,93900
PNJ,20100712,38.2,38.4,38,38.4,77390
PNJ,20100709,38.8,38.8,38.2,38.3,47760
PNJ,20100708,38.9,38.9,37.8,37.8,81210
PNJ,20100707,39,39,38.1,38.1,84290
PNJ,20100706,39.3,39.4,38.9,39.4,41050
PNJ,20100705,39,39.8,38.9,39.8,107250
PNJ,20100702,38.9,39.5,38.1,39.5,202530
PNJ,20100701,38.1,38.5,38,38.4,177140
PNJ,20100630,38.6,38.8,38.2,38.2,101720
PNJ,20100629,40,40,39,40,173630
PNJ,20100628,38,39.5,37.8,39.5,87200
PNJ,20100625,38.3,39,38,38,74000
PNJ,20100624,40,40,38.5,38.5,89740
PNJ,20100623,38.5,40.5,38.5,39.9,104180
PNJ,20100622,39.3,39.3,39,39.3,203240
PNJ,20100621,39,39.3,39,39.3,143830
PNJ,20100618,39.3,39.7,39.3,39.3,134640
PNJ,20100617,39,39.3,39,39.3,138390
PNJ,20100616,39.3,39.7,39,39.3,221590
PNJ,20100615,39,39.3,38.7,39.3,72430
PNJ,20100614,39.3,39.3,38.7,38.7,57720
PNJ,20100611,39.7,39.7,39.3,39.3,181460
PNJ,20100610,39.3,39.3,39,39.3,251470
PNJ,20100609,39.3,39.7,39,39.3,63070
PNJ,20100608,38.3,39.3,38.3,39,35560
PNJ,20100607,39.3,39.3,38.7,39,30300
