<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PRUBF1,20100729,4.9,5,4.8,5,22840
PRUBF1,20100728,4.9,4.9,4.8,4.9,46230
PRUBF1,20100727,5,5,4.9,4.9,142070
PRUBF1,20100726,5,5,4.8,4.9,65800
PRUBF1,20100723,5,5.1,4.9,4.9,43760
PRUBF1,20100722,5,5.1,5,5,32370
PRUBF1,20100721,5,5.1,5,5,57540
PRUBF1,20100720,5,5.1,5,5,192310
PRUBF1,20100719,5,5.1,5,5,6090
PRUBF1,20100716,5.1,5.1,5,5.1,13060
PRUBF1,20100715,5.1,5.1,5,5,19350
PRUBF1,20100714,5.1,5.2,5.1,5.1,72450
PRUBF1,20100713,5,5.1,5,5.1,83430
PRUBF1,20100712,5,5,4.9,5,3770
PRUBF1,20100709,4.9,5.1,4.9,5,22910
PRUBF1,20100708,5,5.1,4.9,5,33060
PRUBF1,20100707,5,5.1,4.9,4.9,48650
PRUBF1,20100706,5.1,5.1,5,5,28330
PRUBF1,20100705,5.1,5.1,5,5.1,62900
PRUBF1,20100702,5,5.1,5,5.1,64410
PRUBF1,20100701,5.1,5.2,5,5.1,94440
PRUBF1,20100630,5.1,5.2,5.1,5.1,143300
PRUBF1,20100629,5.2,5.2,5.1,5.2,44690
PRUBF1,20100628,5.2,5.2,5.1,5.2,30880
PRUBF1,20100625,5.2,5.3,5.2,5.2,46450
PRUBF1,20100624,5.2,5.3,5.2,5.2,39780
PRUBF1,20100623,5.2,5.3,5.2,5.2,58150
PRUBF1,20100622,5.3,5.3,5.2,5.3,28620
PRUBF1,20100621,5.3,5.3,5.2,5.3,39730
PRUBF1,20100618,5.2,5.3,5.2,5.3,31540
PRUBF1,20100617,5.2,5.3,5.2,5.2,30350
PRUBF1,20100616,5.2,5.3,5.2,5.2,46000
PRUBF1,20100615,5.2,5.3,5.2,5.2,33220
PRUBF1,20100614,5.2,5.3,5.2,5.2,14260
PRUBF1,20100611,5.3,5.3,5.2,5.3,41460
PRUBF1,20100610,5.2,5.3,5.1,5.3,114790
PRUBF1,20100609,5.4,5.4,5.3,5.3,23710
PRUBF1,20100608,5.2,5.4,5.2,5.4,12530
PRUBF1,20100607,5.3,5.3,5.2,5.2,83810
PRUBF1,20100604,5.4,5.4,5.3,5.4,27570
PRUBF1,20100603,5.4,5.5,5.3,5.4,43910
PRUBF1,20100602,5.3,5.4,5.2,5.4,26230
PRUBF1,20100601,5.4,5.4,5.3,5.3,25800
PRUBF1,20100531,5.5,5.5,5.4,5.4,23690
PRUBF1,20100528,5.4,5.5,5.3,5.5,36480
PRUBF1,20100527,5.3,5.4,5.2,5.3,38030
PRUBF1,20100526,5.3,5.4,5.2,5.3,22660
PRUBF1,20100525,5.2,5.3,5.2,5.3,80550
PRUBF1,20100524,5.2,5.4,5.2,5.3,728930
PRUBF1,20100521,5.3,5.4,5.3,5.4,81790
PRUBF1,20100520,5.5,5.5,5.4,5.5,19190
PRUBF1,20100519,5.6,5.6,5.4,5.5,167640
PRUBF1,20100518,5.6,5.7,5.6,5.6,48640
PRUBF1,20100517,5.7,5.7,5.6,5.7,74440
PRUBF1,20100514,5.7,5.8,5.6,5.7,38720
PRUBF1,20100513,5.8,5.8,5.6,5.7,77970
PRUBF1,20100512,5.7,5.8,5.7,5.7,69570
PRUBF1,20100511,5.8,5.9,5.8,5.8,71350
PRUBF1,20100510,5.8,5.9,5.7,5.9,91580
PRUBF1,20100507,5.8,5.9,5.8,5.9,75340
PRUBF1,20100506,5.9,5.9,5.8,5.9,181590
PRUBF1,20100505,5.9,5.9,5.8,5.9,113310
PRUBF1,20100504,5.8,5.9,5.7,5.9,263950
PRUBF1,20100429,5.8,5.8,5.7,5.7,42790
PRUBF1,20100428,5.8,5.8,5.7,5.8,103060
PRUBF1,20100427,5.8,5.8,5.7,5.8,70530
PRUBF1,20100426,5.7,5.8,5.7,5.8,58110
PRUBF1,20100422,5.8,5.8,5.7,5.7,126960
PRUBF1,20100421,5.7,5.8,5.7,5.7,83170
PRUBF1,20100420,5.7,5.8,5.7,5.7,68260
PRUBF1,20100419,5.7,5.8,5.7,5.8,104360
PRUBF1,20100416,5.7,5.8,5.7,5.8,70320
PRUBF1,20100415,5.7,5.8,5.7,5.8,42730
PRUBF1,20100414,5.7,5.8,5.7,5.8,118460
PRUBF1,20100413,5.7,5.8,5.7,5.8,42800
PRUBF1,20100412,5.7,5.8,5.7,5.8,47340
PRUBF1,20100409,5.7,5.7,5.6,5.7,68180
PRUBF1,20100408,5.7,5.7,5.6,5.6,131810
PRUBF1,20100407,5.7,5.8,5.6,5.7,46600
PRUBF1,20100406,5.8,5.8,5.6,5.6,78490
PRUBF1,20100405,5.7,5.7,5.6,5.7,127690
PRUBF1,20100402,5.7,5.7,5.7,5.7,100920
PRUBF1,20100401,5.7,5.7,5.6,5.7,38160
PRUBF1,20100331,5.7,5.7,5.6,5.6,60310
PRUBF1,20100330,5.7,5.8,5.7,5.7,34900
PRUBF1,20100329,5.7,5.8,5.6,5.7,162580
PRUBF1,20100326,5.9,5.9,5.7,5.8,98250
PRUBF1,20100325,5.8,5.9,5.8,5.9,36700
PRUBF1,20100324,5.9,6,5.8,5.9,168900
PRUBF1,20100323,5.9,6,5.9,5.9,35120
PRUBF1,20100322,5.9,6,5.8,5.9,45320
PRUBF1,20100319,5.9,6,5.8,6,33690
PRUBF1,20100318,6,6.1,6,6,86660
PRUBF1,20100317,5.9,6.1,5.9,6,97040
PRUBF1,20100316,5.9,6,5.8,5.9,71870
PRUBF1,20100315,6,6.1,6,6,107460
PRUBF1,20100312,5.9,6,5.9,6,38110
PRUBF1,20100311,5.9,6,5.9,6,192490
PRUBF1,20100310,5.9,6,5.9,6,64700
PRUBF1,20100309,5.9,6,5.8,5.9,87040
PRUBF1,20100308,5.8,6,5.8,5.9,124010
PRUBF1,20100305,5.9,6,5.9,5.9,142700
PRUBF1,20100304,6,6,5.8,5.9,90900
PRUBF1,20100303,5.8,5.9,5.8,5.9,53800
PRUBF1,20100302,5.9,6,5.8,5.8,152030
PRUBF1,20100301,5.8,5.9,5.8,5.9,42800
PRUBF1,20100226,6,6,5.9,5.9,50250
PRUBF1,20100225,5.8,6,5.8,6,171190
PRUBF1,20100224,5.8,5.9,5.8,5.9,274510
PRUBF1,20100223,5.8,5.8,5.7,5.7,137490
