<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PVS,20100729,30.1,30.3,30,30.3,125400
PVS,20100728,30.3,30.3,30.1,30.2,184000
PVS,20100727,30.5,30.5,30.3,30.4,87400
PVS,20100726,30.8,30.8,30.2,30.4,65000
PVS,20100723,30.8,31.2,30.4,30.5,125600
PVS,20100722,31,31,30.5,30.6,78100
PVS,20100721,30.9,30.9,30.7,30.8,66200
PVS,20100720,30.9,31.2,30.7,30.9,88300
PVS,20100719,30.8,31,30.8,30.9,82600
PVS,20100716,31,31.2,30.8,31,131500
PVS,20100715,31.6,31.6,31.1,31.3,48200
PVS,20100714,31.7,32.3,31.5,31.8,180100
PVS,20100713,31.1,31.8,31,31.5,78700
PVS,20100712,31.5,31.8,30.8,31,168600
PVS,20100709,30.9,31.1,30.8,31,167700
PVS,20100708,31.2,31.2,31,31.1,131400
PVS,20100707,31.5,31.5,30.9,31,220400
PVS,20100706,31,31.3,30.7,31.1,425500
PVS,20100705,30.9,31.5,30.9,31.3,164100
PVS,20100702,30.7,31.4,30.6,31.1,227000
PVS,20100701,31,31,30.5,30.9,184700
PVS,20100630,31.2,31.4,29.2,30.7,260300
PVS,20100629,31.1,31.4,31.1,31.2,278100
PVS,20100628,30.9,31.4,30.8,31,257300
PVS,20100625,31.2,31.5,30.9,31.1,222700
PVS,20100624,31.5,31.8,31.4,31.6,283600
PVS,20100623,31.1,31.6,31,31.4,142700
PVS,20100622,32,32,31.2,31.5,222800
PVS,20100621,32.2,32.4,31.6,31.9,282800
PVS,20100618,31.6,32,31.4,31.8,338200
PVS,20100617,31.5,31.8,31,31.6,323800
PVS,20100616,31.8,31.8,31.1,31.5,315000
PVS,20100615,31,31.4,30.7,31,301700
PVS,20100614,31.2,31.4,30.6,30.9,256100
PVS,20100611,30.9,31.5,30.9,31.1,156900
PVS,20100610,30.8,31,30.6,30.8,112700
PVS,20100609,31.8,31.8,30.7,30.9,230500
PVS,20100608,30.3,31.5,30.3,30.8,358400
PVS,20100607,30,31,29.9,30.6,471300
PVS,20100604,32.6,33,31.7,31.9,248600
PVS,20100603,32.5,33,31.8,32.1,200200
PVS,20100602,31.9,32.3,31.2,31.9,252100
PVS,20100601,32.4,32.8,31.5,31.9,195800
PVS,20100531,33.3,33.3,31.8,32.4,281500
PVS,20100528,32.3,33.9,32.3,33.3,467800
PVS,20100527,31.9,32,31.5,31.7,380200
PVS,20100526,30.5,32.4,30.5,31.9,357000
PVS,20100525,31.9,32,30.8,31.2,532900
PVS,20100524,31,31.6,30,31,431000
PVS,20100521,31.2,31.5,29.1,29.8,1035600
PVS,20100520,31,32.5,29.3,31.2,699500
PVS,20100519,32.7,32.7,30.6,31.1,749300
PVS,20100518,34,34,32.2,32.7,571700
PVS,20100517,34.1,36,33.7,34.4,624600
PVS,20100514,35.5,35.5,34,34.4,659900
PVS,20100513,34.8,37,34.8,35.7,411600
PVS,20100512,40.5,41.4,36.1,37.1,1315800
PVS,20100511,38.8,38.8,37,38.8,1520200
PVS,20100510,35,36.5,34.2,36.3,1865400
PVS,20100507,34.9,35,33.6,34.2,1098000
PVS,20100506,33.3,35,33.3,34,906900
PVS,20100505,34.5,34.5,33,33.4,404300
PVS,20100504,33.6,34.6,33.6,34,954600
PVS,20100429,32,33.2,31.9,32.8,541400
PVS,20100428,32.2,32.4,31.8,31.9,409500
PVS,20100427,32.1,32.7,32,32.4,345800
PVS,20100426,33.5,33.5,31.8,32.1,551200
PVS,20100422,33.5,34,32.8,33.1,700500
PVS,20100421,33.2,33.7,33,33.3,753300
PVS,20100420,35,35,32.5,33,592500
PVS,20100419,33,34.5,32.2,34.3,2032500
