<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PXS,20100729,21.9,22.1,21.7,21.9,285340
PXS,20100728,21.7,22.2,21.7,22,648870
PXS,20100727,21.8,22.1,21.7,21.8,331780
PXS,20100726,21.5,22.3,21.5,21.9,479780
PXS,20100723,20.8,21.3,20.8,21.3,513510
PXS,20100722,20.5,21.4,20.5,20.8,244850
PXS,20100721,21.2,21.4,20.9,20.9,223700
PXS,20100720,20.6,21.2,20.6,21.2,229000
PXS,20100719,20.7,21,20.7,20.7,87720
PXS,20100716,21.5,21.6,21,21,145680
PXS,20100715,21.7,21.8,21.4,21.6,134110
PXS,20100714,22.7,22.7,21.6,21.9,220270
PXS,20100713,21.4,21.8,21.1,21.8,247540
PXS,20100712,21.1,21.1,20.6,20.8,131650
PXS,20100709,20.4,21,20.3,20.5,261090
PXS,20100708,21.3,21.6,20.4,20.4,224990
PXS,20100707,21.4,21.8,21.2,21.3,130130
PXS,20100706,21.9,21.9,21,21.4,107120
PXS,20100705,22,22.1,21.9,21.9,117370
PXS,20100702,21.3,22,21.2,22,209660
PXS,20100701,21.3,21.6,20.9,21.3,97740
PXS,20100630,21.5,21.6,21.1,21.3,211810
PXS,20100629,22.9,22.9,22.1,22.1,237760
PXS,20100628,23.1,23.1,22.3,22.8,308930
PXS,20100625,22,22.7,22,22.1,123090
PXS,20100624,23.8,23.8,22.8,23,348690
PXS,20100623,21.8,22.8,21.8,22.8,535940
PXS,20100622,22.1,22.5,21.8,21.8,193210
PXS,20100621,23,23,22.3,22.3,104610
PXS,20100618,22.7,23,22.5,22.5,201580
PXS,20100617,22.8,22.9,22.4,22.7,187510
PXS,20100616,23.4,23.5,22.9,22.9,177150
PXS,20100615,23.2,23.3,22.5,23,203160
PXS,20100614,23.6,23.6,23.5,23.5,455630
PXS,20100611,22.5,22.5,22,22.5,294660
PXS,20100610,21.5,22.3,21.5,21.5,235910
PXS,20100609,23.6,23.6,22.5,22.5,268310
PXS,20100608,23.5,23.7,23.5,23.6,123920
PXS,20100607,24.7,24.9,24.7,24.7,108550
PXS,20100604,26.8,26.8,25.6,26,136280
PXS,20100603,24.4,26.8,24.4,26.8,1312280
PXS,20100602,25.6,25.6,25.6,25.6,61040
