<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
QNC,20100729,28.7,30,28.5,29.8,90900
QNC,20100728,30.4,30.4,29.7,30,127400
QNC,20100727,31.5,31.6,30.3,30.8,114200
QNC,20100726,31.5,31.5,30.7,31,57400
QNC,20100723,32,32,31.4,31.5,88900
QNC,20100722,31.3,31.7,31,31.4,86700
QNC,20100721,31.3,31.4,30.9,31.1,70000
QNC,20100720,31,31.5,31,31.2,81600
QNC,20100719,31.6,31.7,31,31.2,69600
QNC,20100716,31.6,31.8,31.3,31.5,44700
QNC,20100715,31.2,32.3,31.2,31.7,46100
QNC,20100714,33.5,33.6,32,32.3,214400
QNC,20100713,30.8,32.5,30.8,32,184700
QNC,20100712,29.5,30.6,29.5,30.4,71400
QNC,20100709,30,30.3,30,30.1,26000
QNC,20100708,30.5,30.5,29.9,30,86300
QNC,20100707,31,31,29.7,30,147800
QNC,20100706,30.1,30.3,30,30.1,96600
QNC,20100705,30.7,30.8,30.4,30.5,55400
QNC,20100702,31.4,31.4,30.1,30.6,63000
QNC,20100701,30.5,30.8,30.1,30.4,114300
QNC,20100630,31.5,31.5,30,30.6,76200
QNC,20100629,31.6,31.8,31.5,31.6,114400
QNC,20100628,31.7,31.8,31.3,31.6,100100
QNC,20100625,32.1,32.1,31.2,31.6,212600
QNC,20100624,32.9,32.9,31.8,32.2,178300
QNC,20100623,32.5,32.5,31.4,31.8,222200
QNC,20100622,33,33.4,32.2,32.6,191200
QNC,20100621,34.3,34.3,32.3,33.2,153300
QNC,20100618,35.9,35.9,32.4,33.4,98800
QNC,20100617,33.8,34.7,33,34.3,434200
QNC,20100616,31.9,32.7,31.4,32.5,477200
QNC,20100615,30.8,30.9,30.1,30.6,172900
QNC,20100614,30.4,31,29.6,30.6,142000
QNC,20100611,30.3,30.5,29.6,29.7,52600
QNC,20100610,29.3,29.5,29,29.3,123300
QNC,20100609,30.8,30.8,29,29.3,97900
QNC,20100608,29,29.7,29,29.2,138800
QNC,20100607,29.3,30.5,28.8,29.2,139100
QNC,20100604,31.5,31.5,30.6,30.8,76100
QNC,20100603,31.7,32.3,30.6,31.3,208400
QNC,20100602,30.6,30.8,30,30.4,109500
QNC,20100601,31.5,31.5,30.5,30.8,138200
QNC,20100531,31.5,32.6,31.3,31.7,71700
QNC,20100528,31.3,31.7,31.2,31.7,265100
QNC,20100527,29.5,30.2,29.2,29.7,183350
QNC,20100526,29.2,30.1,29,29.7,99500
QNC,20100525,29.5,30,28.9,29.1,110200
QNC,20100524,29,29.5,28.7,29,151700
QNC,20100521,30,30,28.2,28.7,633700
QNC,20100520,30.5,31.7,29,30.3,159000
QNC,20100519,32.5,32.5,30.4,31,259800
QNC,20100518,33,33.3,32.1,32.6,161900
QNC,20100517,34.2,34.5,32.8,33.5,130800
QNC,20100514,33.8,34.4,33.6,33.8,152200
QNC,20100513,34,34.6,33.3,33.7,140800
QNC,20100512,35,35,33.3,34.1,459600
QNC,20100511,35.3,36.4,35,35.4,421400
QNC,20100510,35.6,36.4,34,35.3,480600
QNC,20100507,37,37.9,35.1,36.1,331600
QNC,20100506,35.1,37,35,36,898600
QNC,20100505,35,35.2,34.1,34.6,289800
QNC,20100504,35,35.5,34.4,35.1,396900
QNC,20100429,34.5,35.6,34,34.4,202900
QNC,20100428,32.6,35.1,32.6,33.9,314000
QNC,20100427,33.5,34.4,32.8,33.3,329100
QNC,20100426,35,35,33.3,33.8,216100
QNC,20100422,35.6,37,34.8,35.7,327400
QNC,20100421,34.7,35.6,34.3,35.1,347200
QNC,20100420,36.2,36.2,33.2,34.7,272100
QNC,20100419,32.8,34.6,32.5,34.4,891400
QNC,20100416,32.5,32.8,31.5,32.4,340200
QNC,20100415,32.3,32.3,31.7,31.9,108300
QNC,20100414,32,32.1,31.3,31.7,147200
QNC,20100413,32,32.3,31,31.6,121000
QNC,20100412,33.3,33.6,31.8,32.4,108000
QNC,20100409,32.7,33.9,32.5,33.3,290000
QNC,20100408,31.9,32.7,31.6,32.2,155200
QNC,20100407,31.8,32.5,31.5,31.9,128700
QNC,20100406,31.8,32.2,31.1,31.7,247000
QNC,20100405,31,31.7,30.5,31.1,150800
QNC,20100402,30.6,31,30.1,30.5,113500
QNC,20100401,29.5,31,29.5,30,100900
QNC,20100331,30.3,30.3,29,29.6,71100
QNC,20100330,29.8,30,29.7,29.8,152800
QNC,20100329,30.4,30.4,29,29.8,120800
QNC,20100326,30.8,30.9,29.1,29.6,115100
QNC,20100325,30.8,30.8,29,29.4,110300
QNC,20100324,33,33,30.3,31.1,62400
QNC,20100323,29.2,31.3,29.2,31.2,363200
QNC,20100322,29,30,29,29.2,82900
