<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SAM,20100729,25.3,25.8,25.2,25.4,432660
SAM,20100728,26.3,26.3,25.8,25.8,246050
SAM,20100727,26.6,26.9,26.3,26.3,145540
SAM,20100726,26.9,27,26.6,26.6,126840
SAM,20100723,27,27.1,26.8,26.9,297070
SAM,20100722,27.3,27.3,26.9,26.9,253990
SAM,20100721,27.6,27.7,27.3,27.3,145730
SAM,20100720,27.8,27.8,27.4,27.4,348120
SAM,20100719,27.8,27.9,27.5,27.6,298690
SAM,20100716,27.9,28.1,27.6,27.6,315140
SAM,20100715,28.2,28.4,28,28,179240
SAM,20100714,29.3,29.3,28.5,28.5,194550
SAM,20100713,28,29.4,28,29,605220
SAM,20100712,27.6,28,27.4,28,246350
SAM,20100709,27.6,27.7,27.4,27.5,192960
SAM,20100708,27.6,27.8,27.5,27.5,142330
SAM,20100707,27.7,27.9,27.5,27.5,135830
SAM,20100706,27.7,27.7,27.5,27.6,214750
SAM,20100705,27.9,28.2,27.9,27.9,204180
SAM,20100702,27.8,28.1,27.8,27.9,176140
SAM,20100701,28.1,28.2,27.8,27.8,299160
SAM,20100630,27.9,28.2,27.8,27.8,370930
SAM,20100629,28.4,28.7,28.4,28.4,208070
SAM,20100628,28.6,28.8,28.4,28.4,157020
SAM,20100625,28.7,28.8,28.6,28.6,275100
SAM,20100624,28.9,29,28.8,28.9,272740
SAM,20100623,28.8,29,28.8,28.8,270090
SAM,20100622,29.1,29.3,28.9,28.9,296090
SAM,20100621,29,29.2,28.9,29.1,229380
SAM,20100618,28.9,29,28.8,28.8,316440
SAM,20100617,28.7,29.1,28.7,28.9,222840
SAM,20100616,29.1,29.2,28.8,28.9,272930
SAM,20100615,28.8,29.1,28.8,28.8,218990
SAM,20100614,29.3,29.3,28.8,29,363400
SAM,20100611,29.2,29.3,28.9,28.9,668451
SAM,20100610,28.5,28.9,28.3,28.5,251340
SAM,20100609,28.9,29,28.5,28.5,435090
SAM,20100608,28.4,28.8,28.3,28.6,407790
SAM,20100607,28.5,29.5,28.5,28.5,571780
SAM,20100604,29.7,30.6,29.7,29.8,659980
SAM,20100603,30,30,29.6,29.7,371860
SAM,20100602,29.4,29.7,29.3,29.6,374480
SAM,20100601,29,29.6,29,29.6,171970
SAM,20100531,29.9,30.1,29.2,29.2,411020
SAM,20100528,30,30.5,29.7,30.1,604400
SAM,20100527,28.4,30,28.3,29.5,620480
SAM,20100526,28.8,28.9,28.4,28.8,471270
SAM,20100525,28.2,29.1,28.2,28.4,672790
SAM,20100524,27.9,28.2,27,28.2,788390
SAM,20100521,27,27.4,26.9,26.9,971720
SAM,20100520,26,28.3,26,28.3,630840
SAM,20100519,28.1,28.2,27.2,27.2,828770
SAM,20100518,29,29,28.5,28.5,479950
SAM,20100517,29.9,29.9,29,29,748360
SAM,20100514,30,30.2,29.9,29.9,665350
SAM,20100513,30.3,30.7,30,30,857990
SAM,20100512,30.8,30.9,30,30,971080
SAM,20100511,31.4,31.4,31,31,708320
SAM,20100510,31,31.2,30.7,31,861690
SAM,20100507,31.4,31.4,30.8,31,768660
SAM,20100506,31.5,31.7,31.4,31.6,1201100
SAM,20100505,31.6,31.7,31.4,31.4,722660
SAM,20100504,31.6,31.9,31.5,31.7,867610
SAM,20100429,31.5,31.7,31.2,31.2,650190
SAM,20100428,31,31.6,31,31.4,1200410
SAM,20100427,31.5,31.6,31.3,31.3,945250
SAM,20100426,32,32,31.6,31.6,961820
SAM,20100422,31.7,32.6,31.6,32,1678600
SAM,20100421,31.3,31.3,31.1,31.1,1152940
SAM,20100420,31.2,31.3,31,31,1175680
SAM,20100419,31.3,31.3,30.9,31.1,1072410
SAM,20100416,31.7,31.7,31.1,31.2,1047380
SAM,20100415,31,31.5,30.9,31.5,1558930
SAM,20100414,30.7,30.7,30.5,30.6,857950
SAM,20100413,30.8,30.8,30.6,30.6,897200
SAM,20100412,30.8,31,30.6,30.6,1370050
SAM,20100409,30.8,30.9,30.6,30.6,1352250
SAM,20100408,30.8,30.9,30.5,30.7,1026050
SAM,20100407,30.8,31,30.5,30.6,1314800
SAM,20100406,31,31.2,30.8,30.8,1604290
SAM,20100405,31.3,31.4,31,31,1876650
SAM,20100402,30.9,31.2,30.7,30.9,919030
SAM,20100401,30.1,31.1,30.1,30.7,1698750
SAM,20100331,30.9,31,30.3,30.5,1880080
SAM,20100330,31.8,31.8,30.9,30.9,4818700
SAM,20100329,30.7,30.7,30.7,30.7,363760
SAM,20100326,29.8,29.8,29,29.2,1694780
SAM,20100325,30,30.3,29.4,29.5,1220620
SAM,20100324,30.8,30.8,30.2,30.7,1445640
SAM,20100323,30.8,31.2,30.3,30.3,1562260
SAM,20100322,30.4,31.7,30.3,31.4,4517490
SAM,20100319,29.9,30.8,29.8,30.2,1338800
SAM,20100318,30,30.2,29.4,30.1,1182600
SAM,20100317,29.6,30.2,29.3,29.3,1314460
SAM,20100316,30,30.4,29.3,29.4,1667670
SAM,20100315,31,31.3,30.4,30.4,1225410
SAM,20100312,30.7,31.3,30.4,31,1936460
SAM,20100311,30,30.5,29.8,30.5,1433650
SAM,20100310,30.3,30.7,29.8,30,1584580
SAM,20100309,30.3,30.8,29.8,30.6,1486020
SAM,20100308,30.3,30.7,29.8,30.5,1601030
SAM,20100305,28.6,30,28.6,29.8,2199640
SAM,20100304,28.8,29.4,28.7,28.8,1229700
SAM,20100303,27.8,28.2,27.7,28.2,959080
SAM,20100302,27.8,28.1,27.5,27.6,768140
SAM,20100301,27.2,27.9,27.2,27.7,674980
SAM,20100226,27.1,27.3,27,27.2,517650
SAM,20100225,27.7,27.8,27.2,27.2,498150
SAM,20100224,26.9,27.3,26.9,27.2,733450
SAM,20100223,27.5,27.7,27.2,27.2,776320
SAM,20100222,28.3,28.3,27.7,28.2,821580
SAM,20100212,27.7,28.2,27.6,27.7,487780
SAM,20100211,27.1,27.5,27,27.5,772400
SAM,20100210,26.8,27.6,26.8,27.1,358200
SAM,20100209,26.8,26.9,26.5,26.8,894720
SAM,20100208,27.1,27.3,26.9,26.9,605460
SAM,20100205,27.1,27.7,26.6,27.2,1073830
SAM,20100204,27.3,28.4,27.1,27.8,910920
SAM,20100203,27.1,27.3,26.8,27.3,1029420
SAM,20100202,27.2,27.2,26.8,26.8,495830
SAM,20100201,26.5,26.9,26.4,26.8,1072240
SAM,20100129,26.4,26.8,26.1,26.4,765150
SAM,20100128,27,27.1,26.4,26.4,626040
SAM,20100127,27.6,28.3,26.9,27,715060
SAM,20100126,27.1,27.9,27.1,27.9,1149350
SAM,20100125,26.6,26.9,26.3,26.6,681240
SAM,20100122,26.3,27,25.9,26.6,814120
SAM,20100121,27.3,28.2,26.9,26.9,1349230
SAM,20100120,29.4,29.4,28.3,28.3,1278730
SAM,20100119,29.3,29.7,28.8,29.3,726310
SAM,20100118,30.1,30.3,29.3,29.3,969360
SAM,20100115,31.7,31.7,30.7,30.9,2926690
SAM,20100114,30.6,30.6,30.4,30.6,2179810
SAM,20100113,27.4,29.1,26.3,29.1,1131180
SAM,20100112,28.9,29.3,27.7,27.7,1028030
SAM,20100111,29.8,29.8,28.5,29.2,1055610
SAM,20100108,30.3,30.3,29.4,29.4,1580010
SAM,20100107,29.8,30.3,29.3,29.5,839160
SAM,20100106,29.7,30.8,29.3,29.8,1060300
SAM,20100105,30.3,30.3,29.4,30.3,1247960
SAM,20100104,27.8,28.8,27.8,28.8,656990
SAM,20091231,27.8,28.3,27.4,27.4,1052520
SAM,20091230,27.2,28.3,26.8,27.4,1359040
SAM,20091229,27.3,28.1,27.3,27.3,860310
SAM,20091228,27.2,28.3,27,27.7,1187030
SAM,20091225,26.9,27.2,26.8,27.2,1045010
SAM,20091224,24.8,25.9,24.5,25.9,1654770
SAM,20091223,24.2,24.8,24.2,24.7,922470
SAM,20091222,24.1,25,23.8,24.4,1554080
SAM,20091221,23.4,23.8,23,23.8,647920
SAM,20091218,22.5,22.7,22,22.7,911900
SAM,20091217,21.3,21.6,20.5,21.6,482070
SAM,20091216,22.3,22.3,21.3,21.3,1711580
SAM,20091215,23.3,23.6,22.4,22.4,1037160
SAM,20091214,22.8,23.3,22.2,23.3,723390
SAM,20091211,22.6,22.9,22.2,22.2,944340
SAM,20091210,24.8,25.1,23.4,23.4,1230780
SAM,20091209,24.9,25.3,24.6,24.6,1583230
SAM,20091208,26.9,26.9,25.8,25.9,1333350
SAM,20091207,27.4,27.5,26.8,26.9,388570
SAM,20091204,27.8,27.8,27.3,27.4,659720
SAM,20091203,27.3,27.8,26.3,27.4,696170
SAM,20091202,28.3,28.9,27.3,27.3,994340
SAM,20091201,28.6,29.7,28.4,28.8,1083580
SAM,20091130,28.2,28.9,28.2,28.4,1081600
SAM,20091127,26.8,29.6,26.8,28.2,1564720
SAM,20091126,28.2,28.4,28.2,28.2,684060
SAM,20091125,30.3,30.8,29.7,29.7,1143170
SAM,20091124,32.3,32.3,31.3,31.3,753720
SAM,20091123,32.8,33.1,32,32,1120450
SAM,20091120,33.2,33.6,32.4,32.9,1036720
SAM,20091119,32.5,33.5,32.3,33.4,1545390
SAM,20091118,32,32.3,31.7,32.3,859730
SAM,20091117,32,32.8,31.9,32,951500
SAM,20091116,32.5,33,32,32,1064770
SAM,20091113,31.7,32.8,31.5,32.8,818540
SAM,20091112,31.8,33,31.7,32.2,1055280
SAM,20091111,31.1,31.8,30.5,31.8,1109150
SAM,20091110,31.8,31.8,30,30.6,1173050
SAM,20091109,32.8,32.9,31.6,31.6,1184150
SAM,20091106,34.8,34.8,33.3,33.3,1548440
SAM,20091105,33.7,34.8,33.2,34.3,1129990
SAM,20091104,33.8,34.4,32.8,33.2,1435360
SAM,20091103,34.7,34.8,33,33.3,1613830
SAM,20091102,34.3,34.4,33.7,34.3,2496750
SAM,20091030,35.4,35.5,34.4,35.5,2169540
SAM,20091029,34.1,34.4,33.5,33.8,2027000
SAM,20091028,35.8,36.1,35,35.3,1454090
SAM,20091027,35.8,36.2,34.9,35.1,2543480
SAM,20091026,38.3,39.2,36.6,36.7,2437200
SAM,20091023,41.9,41.9,38.3,38.3,4511180
SAM,20091022,39.9,39.9,39.9,39.9,1457300
SAM,20091021,37.8,38.7,37.5,38,2492200
SAM,20091020,37.7,38.3,37.3,37.5,2328660
SAM,20091019,37.9,39.5,37.3,37.3,2988410
SAM,20091016,38,38,37,38,4200840
SAM,20091015,36.1,36.1,35.2,36.1,3584700
SAM,20091014,32.7,34.3,32.7,34.3,2000830
SAM,20091013,32.9,33.3,32.5,32.6,1549620
SAM,20091012,33.4,33.8,32.9,33.2,1675230
SAM,20091009,32.4,32.6,32.1,32.4,1650420
SAM,20091008,31.6,31.7,31.3,31.6,874170
SAM,20091007,31.6,32.4,31.6,31.8,1241120
SAM,20091006,31.8,31.8,31,31.1,1117060
SAM,20091005,32.3,32.4,31.1,31.3,1007720
SAM,20091002,30.5,31.8,30.1,31.8,2361600
SAM,20091001,32.8,33,31.7,31.8,1459360
SAM,20090930,33.9,34.6,33.1,33.1,1726540
