<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SAV,20100729,28,28.9,27.9,28.9,7680
SAV,20100728,28.4,28.5,27.6,27.6,14150
SAV,20100727,29,29.6,28.6,28.6,9580
SAV,20100726,30.5,30.5,29.1,29.1,2460
SAV,20100723,29.9,30.5,28.6,29.8,2590
SAV,20100722,29.1,29.9,29.1,29.1,11920
SAV,20100721,29.1,30,29.1,29.1,10540
SAV,20100720,30,30,29.1,29.1,5020
SAV,20100719,29.2,30,29.2,30,7540
SAV,20100716,30,30.5,29.5,29.5,1300
SAV,20100715,30.1,30.9,29.5,30,1740
SAV,20100714,31.2,31.2,30.1,30.1,5150
SAV,20100713,31,31,29.5,31,2530
SAV,20100712,31,31,29.1,30.4,10030
SAV,20100709,30.5,30.5,30.5,30.5,20
SAV,20100708,30.5,30.5,29.8,30.5,12330
SAV,20100707,31.2,31.2,29.6,29.8,1600
SAV,20100706,30.2,30.6,30,30,2890
SAV,20100705,29.9,30.6,29.6,30.6,10350
SAV,20100702,31.4,31.4,30.3,30.3,10020
SAV,20100701,32,32,30.3,30.3,21990
SAV,20100630,31.7,31.7,30,31.7,20610
SAV,20100629,30.5,32.3,30.2,30.7,50450
SAV,20100628,32.6,32.6,31.4,31.6,15920
SAV,20100625,34,34,32.7,32.9,43000
SAV,20100624,36,36,34.3,34.4,96560
SAV,20100623,34,34.3,34,34.3,116500
SAV,20100622,32.6,32.7,32.4,32.7,107730
SAV,20100621,31.2,31.2,31,31.2,7820
SAV,20100618,32,32,29.8,29.8,10010
SAV,20100617,30.8,32,30.8,31,3520
SAV,20100616,32,32,32,32,20
SAV,20100615,32,32,30.5,30.8,6440
SAV,20100614,30.7,32.4,30.7,32,920
SAV,20100611,33,33,31.5,31.5,70
SAV,20100610,33,33,32,32,1490
SAV,20100609,33.4,33.4,32.8,33,5030
SAV,20100608,31.5,32.8,31.5,32.8,2310
SAV,20100607,30.6,33,30.5,33,11230
SAV,20100604,33.5,33.5,32,32,1200
SAV,20100603,33,33.9,32.9,33,1950
SAV,20100602,31.5,33,31.5,33,9360
SAV,20100601,32.9,33,32.9,33,9000
SAV,20100531,34.4,34.4,31.8,34,10220
SAV,20100528,33.5,33.5,33.4,33.4,10040
SAV,20100527,31.2,32,31.2,32,4590
SAV,20100526,30.3,32,30.3,32,17310
SAV,20100525,31.5,31.5,31.5,31.5,5020
SAV,20100524,28.7,30.4,28.2,30.4,3980
SAV,20100521,29.2,31,29.2,29.2,11110
SAV,20100520,29,30.9,29,30.7,8820
SAV,20100519,30.6,30.6,30.4,30.4,27400
SAV,20100518,31.5,32,30.9,32,2340
SAV,20100517,32.9,32.9,30.4,32.5,4190
SAV,20100514,31.2,32,31.2,32,360
SAV,20100513,31.1,32.4,31.1,32,2120
