<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SBC,20100729,43,44,43,44,5060
SBC,20100728,43,44,43,44,59260
SBC,20100727,44.8,44.8,43,43,22410
SBC,20100726,43.1,43.1,43,43,5930
SBC,20100723,44,44.2,43.1,43.1,26430
SBC,20100722,44.2,44.5,44,44,9010
SBC,20100721,45,45.2,44.6,45,29020
SBC,20100720,45,45.3,45,45,15040
SBC,20100719,44.5,45,44.3,45,4840
SBC,20100716,45,45.4,45,45,29000
SBC,20100715,45.5,45.5,45,45.4,10670
SBC,20100714,46.5,46.5,45.5,45.5,37720
SBC,20100713,46,46.3,44.7,46,80640
SBC,20100712,44.5,45,44.3,45,8380
SBC,20100709,45,45,44.9,44.9,8600
SBC,20100708,44,44,43.5,43.5,6900
SBC,20100707,44.6,44.6,43.5,43.5,12300
SBC,20100706,46,46,44.6,44.9,18900
SBC,20100705,45.4,46,45.4,45.5,14300
SBC,20100702,45,45.6,45,45.6,21270
SBC,20100701,45.5,46,45,45,36400
SBC,20100630,46.5,46.5,46,46,21830
SBC,20100629,46.6,47,46.5,46.5,41020
SBC,20100628,47,47,46.5,47,13110
SBC,20100625,47.2,48.7,47,47,63690
SBC,20100624,48.5,49.9,48.5,49.1,100310
SBC,20100623,45.4,48,45.4,48,95470
SBC,20100622,45,46.8,44.5,45.8,87640
SBC,20100621,45,46,43.1,45,55790
SBC,20100618,46.6,46.6,44.9,45,29370
SBC,20100617,47,47,45.4,45.6,59260
SBC,20100616,47.1,47.9,47,47,49160
SBC,20100615,47,48,46.2,47.2,47890
SBC,20100614,47.4,47.4,47.1,47.1,114250
SBC,20100611,45.2,45.2,45.2,45.2,208430
SBC,20100610,43.1,43.1,43.1,43.1,42870
SBC,20100609,41.1,41.1,41.1,41.1,2000
SBC,20100608,39.2,39.2,39.2,39.2,4250
SBC,20100607,37.4,37.4,37.4,37.4,3000
SBC,20100604,35.7,35.7,35.7,35.7,1000
SBC,20100603,34,34,34,34,209000
SBC,20100602,32.4,32.4,32.4,32.4,100
