<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SBS,20100729,37.5,37.5,36,37,100020
SBS,20100728,37.4,37.4,36.8,37.3,2935080
SBS,20100727,37,37.5,37,37,106220
SBS,20100726,38.4,38.4,37,37.4,242830
SBS,20100723,38.5,38.5,37,37.5,139310
SBS,20100722,38,38.1,36.7,37.4,126980
SBS,20100721,38.5,38.5,37.7,38,221750
SBS,20100720,40,40,38.5,38.5,1688730
SBS,20100719,40.3,40.3,38.8,40,219280
SBS,20100716,40.8,40.8,39.9,40.3,281340
SBS,20100715,40.9,41,40.1,40.5,215340
SBS,20100714,41.3,41.4,40.5,40.5,436400
SBS,20100713,40,42,39.5,41.3,1148060
SBS,20100712,40.1,40.2,38,40,413090
SBS,20100709,40.1,40.3,39.5,40,400660
SBS,20100708,40.1,40.2,39,40.1,415700
SBS,20100707,38,40,38,40,798970
SBS,20100706,41,41,39.9,39.9,828650
SBS,20100705,44,44,37.2,42,226820
