<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SCD,20100729,30,30,29.1,29.2,17580
SCD,20100728,29.3,29.3,29,29.1,4550
SCD,20100727,29,30.4,28.9,30.4,27330
SCD,20100726,31,31,29.4,29.4,2010
SCD,20100723,29.6,30.9,29.6,30.9,9710
SCD,20100722,30,30.9,29.1,30.9,6210
SCD,20100721,31.5,31.5,30.4,30.4,1105630
SCD,20100720,30,32,30,32,24020
SCD,20100719,33,33,30.2,31.5,78050
SCD,20100716,31.7,31.7,31.7,31.7,2250
SCD,20100715,30.2,30.2,30.2,30.2,14700
SCD,20100714,29.3,29.3,28.8,28.8,3100
SCD,20100713,30.1,30.3,30.1,30.3,2020
SCD,20100712,29,30.2,29,30.2,220
SCD,20100709,30.4,30.4,30.4,30.4,500
SCD,20100708,30.3,30.5,30.3,30.5,3110
SCD,20100707,29.9,30.3,29.9,30.3,840
SCD,20100706,28.5,30.4,28.5,30.4,2070
SCD,20100705,28.3,30,28.3,30,1880
SCD,20100702,29.6,29.7,29.3,29.7,3940
SCD,20100701,28.5,28.5,28.2,28.5,1310
SCD,20100630,28,29.7,27.2,27.2,1380
SCD,20100629,29,29,28.3,28.3,48600
SCD,20100628,29,32,29,29.5,20370
SCD,20100625,29.7,30.7,29.7,30.5,22360
SCD,20100624,30.4,30.7,30.3,30.3,14600
SCD,20100623,30,30.5,29.5,29.5,35110
SCD,20100622,30.1,31,30,31,25460
SCD,20100621,29.6,31.4,29.5,31,92310
SCD,20100618,31,31,29.7,31,30
SCD,20100617,29.6,31,29.6,30.1,28650
SCD,20100616,29.9,30.1,29.9,30.1,6000
SCD,20100615,29.1,30.2,28.4,30.1,10610
SCD,20100614,29.6,29.7,29,29.7,4220
SCD,20100611,29.7,29.8,29,29.7,2320
SCD,20100610,30.2,30.2,29,29,11600
SCD,20100609,29,30.3,29,29.3,12320
SCD,20100608,31,31,29,29.3,5550
SCD,20100607,31,31,28.9,30.3,17420
SCD,20100604,28.1,30.3,28.1,30.3,7940
SCD,20100603,30,31,29.3,29.3,31630
SCD,20100602,30.5,30.5,29.3,30.1,7870
SCD,20100601,31.8,31.8,30.8,30.8,8200
SCD,20100531,31,31,31,31,22240
SCD,20100528,32.5,32.7,31.1,32.6,18730
SCD,20100527,32.7,32.7,31.4,32.7,32930
SCD,20100526,30.7,31.9,29.8,31.9,34110
SCD,20100525,31.2,32.7,31.2,31.3,47400
SCD,20100524,31.6,32.7,31.6,32.7,13810
SCD,20100521,31.6,33.1,31.6,31.6,135640
SCD,20100520,31.9,33.2,30.5,33.2,35770
SCD,20100519,30.5,31.9,30.4,31.9,97170
SCD,20100518,31.9,31.9,31.9,31.9,15920
SCD,20100517,33,33.5,31.6,33.5,121790
SCD,20100514,32.9,33,32,33,122210
SCD,20100513,29.3,31.5,29.3,31.5,98330
SCD,20100512,27.6,30.4,27.6,30,133120
SCD,20100511,28.4,29,28.4,29,67730
SCD,20100510,29.1,29.1,27.7,27.7,39500
SCD,20100507,29.4,29.4,27.9,28.5,51320
SCD,20100506,28.3,29.1,28.3,29.1,45290
SCD,20100505,28.5,28.5,27.5,27.7,66630
SCD,20100504,26.6,28.3,26.6,28.3,89090
SCD,20100429,27.6,27.6,27,27,11190
SCD,20100428,27.6,28.5,27.6,27.6,65850
SCD,20100427,27.6,29,26.2,28.9,89250
SCD,20100426,29.7,29.7,27.5,27.6,74050
SCD,20100422,28.4,28.4,28.4,28.4,26420
SCD,20100421,27.1,27.1,27.1,27.1,3620
SCD,20100420,24.5,25.8,24.5,25.8,128520
SCD,20100419,23.5,24.6,23.5,24.6,46380
SCD,20100416,24.5,24.7,24.1,24.5,7760
SCD,20100415,24.5,24.5,24,24.5,6040
SCD,20100414,24.6,24.6,23.5,24.4,2660
SCD,20100413,22.9,24.1,22.9,24,152180
SCD,20100412,24.9,24.9,24.1,24.1,19600
SCD,20100409,24.5,24.6,24,24.6,20740
SCD,20100408,24.2,25.2,24.2,25.2,3370
SCD,20100407,23.8,24.2,23.8,24.2,1100
SCD,20100406,23.8,24.5,23.8,24.2,13270
