<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SCJ,20100729,30,30,28.8,29,7100
SCJ,20100728,29,29.5,28.8,29.1,6500
SCJ,20100727,29.6,29.8,29.4,29.5,3400
SCJ,20100726,30,30.1,29.5,29.9,4400
SCJ,20100723,30,30,29.6,29.9,3100
SCJ,20100722,30.1,30.1,29.4,29.8,6300
SCJ,20100721,30.2,30.2,30,30.1,4400
SCJ,20100720,30.2,30.8,30.2,30.3,23700
SCJ,20100719,30,30.5,29.9,30.2,46800
SCJ,20100716,30,30.1,29.7,30,15800
SCJ,20100715,30.5,30.5,30,30.1,7000
SCJ,20100714,31,31.1,30.3,30.8,35000
SCJ,20100713,30,31,29.6,30.6,46300
SCJ,20100712,30,30,29.5,29.9,10600
SCJ,20100709,29.6,29.8,29.3,29.5,26300
SCJ,20100708,30,30,29.7,29.8,18000
SCJ,20100707,30.2,30.2,29.6,29.8,32400
SCJ,20100706,30.2,30.3,29.6,30.1,31000
SCJ,20100705,30.5,30.9,30.1,30.2,20800
SCJ,20100702,30.8,31.3,30.3,30.8,27900
SCJ,20100701,30,30.7,29.5,30.2,20100
SCJ,20100630,30.6,30.6,30,30.3,37600
SCJ,20100629,30.2,31,30.2,30.7,45000
SCJ,20100628,30.1,30.4,30,30.1,37100
SCJ,20100625,30.7,31,30.1,30.5,17200
SCJ,20100624,31.5,31.5,31.1,31.2,10800
SCJ,20100623,31.4,31.4,30.6,31.1,19100
SCJ,20100622,31.6,31.6,31.1,31.4,19400
SCJ,20100621,31.3,31.9,31.1,31.5,161600
SCJ,20100618,31.4,31.4,30.3,30.9,60200
SCJ,20100617,31.7,31.7,31,31.2,24400
SCJ,20100616,31.9,31.9,31.4,31.7,45200
SCJ,20100615,31,31.6,31,31.4,16000
SCJ,20100614,32.7,32.7,31.2,31.5,29300
SCJ,20100611,31.5,32,31,31.4,23700
SCJ,20100610,30.4,30.8,30,30.4,16300
SCJ,20100609,30.7,31,30.1,30.3,43300
SCJ,20100608,29.5,31.5,29.5,30.1,153400
SCJ,20100607,31,32,29.1,29.6,26200
SCJ,20100604,32.1,32.1,30.8,31.1,11800
SCJ,20100603,33,33,31.7,32,40700
SCJ,20100602,31.6,32.5,31.5,32,97200
SCJ,20100601,32,32,31,31.6,59700
SCJ,20100531,32,32.8,31.3,32,27600
SCJ,20100528,32.7,32.8,32,32.8,121100
SCJ,20100527,30.5,31.2,30,30.7,59600
SCJ,20100526,29,31.3,29,30.7,52400
SCJ,20100525,30.1,30.5,29.2,29.9,39200
SCJ,20100524,29.8,30.1,28.5,29.6,54900
SCJ,20100521,29,29,28,28.2,164100
SCJ,20100520,29.6,32,28.5,30.1,122200
SCJ,20100519,32.1,32.1,30,30.5,92200
SCJ,20100518,32.7,32.7,31.5,32.1,40100
SCJ,20100517,34,34,31.5,32.7,77300
SCJ,20100514,33.3,34.3,33.3,33.7,78400
SCJ,20100513,33.9,34.1,32.9,33.5,85000
SCJ,20100512,34.5,35,32.9,33.7,128200
SCJ,20100511,35.6,36.5,34.7,35.3,191200
SCJ,20100510,36,36,34,34.9,49100
SCJ,20100507,36.6,36.6,35.5,36,113800
SCJ,20100506,35.9,37.2,35.6,36.7,177900
SCJ,20100505,37.5,37.5,36.2,36.4,149300
SCJ,20100504,37,37.9,36.9,37.3,101600
SCJ,20100429,36.6,37.2,36.5,36.8,132400
SCJ,20100428,37.2,37.2,36.3,36.5,172700
SCJ,20100427,36.9,37.8,36.7,37,56600
SCJ,20100426,37.2,37.5,36.7,36.9,152000
SCJ,20100422,38,38.5,37,37.4,224500
SCJ,20100421,38,38.9,37.5,37.9,195800
SCJ,20100420,37.5,38.2,37.5,37.9,211800
SCJ,20100419,38.3,39.1,37.1,37.6,181800
SCJ,20100416,39.5,40.4,38.8,39.2,319500
SCJ,20100415,38.6,39.8,38,39.1,328300
SCJ,20100414,37.4,38,36.6,37.2,119900
SCJ,20100413,37.9,39,36.5,37.5,216700
SCJ,20100412,38.5,39,38,38.2,291000
SCJ,20100409,43.3,43.5,39,40.8,400900
SCJ,20100408,40.9,40.9,39.5,40.8,282300
SCJ,20100407,38,38.4,36.5,38.3,523300
SCJ,20100406,34,36,33.9,35.9,511200
SCJ,20100405,33,34.2,33,33.7,99500
SCJ,20100402,33.3,33.5,32.6,32.9,65200
SCJ,20100401,32.5,33,32,32.5,94400
SCJ,20100331,33.6,33.6,31.5,32.5,139500
SCJ,20100330,34.5,34.5,33,33.6,226400
SCJ,20100329,34.8,36,34.6,34.9,130200
SCJ,20100326,36.4,36.4,34.2,34.7,42900
SCJ,20100325,35.3,36.5,35,36.4,284600
SCJ,20100324,33.5,34.8,33,34.2,248900
SCJ,20100323,34.2,34.4,33.6,34,27100
SCJ,20100322,34.5,34.6,33.9,34.3,23600
SCJ,20100319,37,37,34.6,35.1,32400
SCJ,20100318,35,36.1,34.7,35.6,28100
SCJ,20100317,35.5,36.2,34.6,35.6,17400
SCJ,20100316,37.5,37.5,35.5,36.2,23700
SCJ,20100315,38.5,38.5,37,37.6,24900
SCJ,20100312,36,38,36,36.7,72200
SCJ,20100311,35.8,36.5,35.8,36.1,10400
SCJ,20100310,36,36,35.2,35.8,25500
SCJ,20100309,36.5,36.5,36,36.4,37700
SCJ,20100308,37,37.3,36,36.3,44000
SCJ,20100305,35.6,37.3,35.6,36.1,14500
SCJ,20100304,34.8,36.5,34.8,36.3,48300
SCJ,20100303,34.1,35.4,33.6,34.2,140600
SCJ,20100302,34,34.3,33.8,34,12700
SCJ,20100301,33.8,34.2,33.6,33.9,10500
SCJ,20100226,33,33.7,33,33.5,8700
SCJ,20100225,34.1,34.1,33.3,33.7,5200
SCJ,20100224,34,34,34,34,7200
SCJ,20100223,34,34.5,34,34,15800
SCJ,20100222,34.4,35.2,34.4,34.5,2500
SCJ,20100212,34.4,34.5,34.4,34.5,2100
SCJ,20100211,33.2,34.5,33.1,33.8,12200
SCJ,20100210,33.5,33.6,33,33.2,4800
SCJ,20100209,33,33.2,32.6,32.9,4900
SCJ,20100208,33,33.6,33,33.1,1900
SCJ,20100205,34.1,34.1,32.5,33.1,11800
SCJ,20100204,34.1,34.6,34,34.1,11900
SCJ,20100203,34,34.1,34,34,45800
SCJ,20100202,34.2,34.2,34,34,10500
SCJ,20100201,34,34.2,33.7,34.1,14900
SCJ,20100129,33.5,34.5,33,34.1,18100
SCJ,20100128,36,36,33.8,34.4,14300
SCJ,20100127,38,38,34.5,34.7,20700
SCJ,20100126,37,37.1,36.8,37,45600
SCJ,20100125,33,35.1,33,34.7,41500
SCJ,20100122,32.6,33.2,32.6,33,14800
SCJ,20100121,32.5,34.1,32,32.3,29900
SCJ,20100120,34.3,34.3,34,34.1,7800
SCJ,20100119,34.9,35,34.6,34.8,9100
SCJ,20100118,34.5,35.5,33.6,34.4,24600
SCJ,20100115,37.5,37.5,35.3,35.5,13500
SCJ,20100114,37.8,37.9,36.3,37.3,13000
SCJ,20100113,36,37,34.6,35.5,138500
SCJ,20100112,37,37,35.1,35.8,50400
SCJ,20100111,38.5,38.5,37.1,37.7,18600
SCJ,20100108,40.1,41.5,37.5,39.6,39000
SCJ,20100107,41,41.9,40,40.3,77700
SCJ,20100106,37.5,41,37.5,40.1,128600
SCJ,20100105,40,40.1,39.3,40,127000
SCJ,20100104,37.4,37.5,37.1,37.5,57500
SCJ,20091231,35,35.3,34.3,35.1,75600
SCJ,20091230,33.7,33.8,32.5,33,58200
SCJ,20091229,34,34.2,33.3,33.7,28600
SCJ,20091228,36,36,33.2,35.3,28100
SCJ,20091225,34.5,35.6,34.5,35.4,81100
SCJ,20091224,32,34.2,32,33.3,98600
SCJ,20091223,33,33,32.5,32.5,88300
SCJ,20091222,32.5,33.8,31.9,32.6,23900
SCJ,20091221,31.4,31.9,31.4,31.8,46400
SCJ,20091218,29.5,30,29.3,29.9,45200
SCJ,20091217,28.6,29.1,27,28.1,12400
SCJ,20091216,29,29.5,28,28.7,47600
SCJ,20091215,30.5,30.5,29.3,29.7,26200
SCJ,20091214,29,30.9,26.9,29.3,85300
SCJ,20091211,30,30,28.8,28.9,59700
SCJ,20091210,32,32,30.6,30.9,51600
SCJ,20091209,33.5,33.5,32.8,32.9,103300
SCJ,20091208,36,36,34.6,35.2,19800
SCJ,20091207,36,36,35.9,36,23400
SCJ,20091204,36,36.1,35,35.8,48400
SCJ,20091203,36,36.6,34.5,35.4,104400
SCJ,20091202,38,38,35.5,36.8,61300
SCJ,20091201,37.5,38.5,37,37.7,70300
SCJ,20091130,37.3,37.5,35.5,36,58600
SCJ,20091127,34.6,37.5,34.6,35.5,114100
SCJ,20091126,37.5,37.5,37.2,37.2,45900
SCJ,20091125,40.1,42.5,39.7,39.9,46900
SCJ,20091124,43.5,44,41,42.6,33600
SCJ,20091123,45.9,45.9,42.5,43.5,69600
SCJ,20091120,43.4,43.5,42.5,43,121600
SCJ,20091119,44.3,44.5,43.1,43.8,103200
SCJ,20091118,43.8,44.5,43.4,44,86500
SCJ,20091117,46,46,44,44.4,64300
SCJ,20091116,45,46,44.8,45.5,41100
SCJ,20091113,43.5,45.6,43.3,44.8,169500
SCJ,20091112,44,44,42.5,43,86400
SCJ,20091111,41.3,42.9,40.3,41.8,81700
SCJ,20091110,41.5,42,40,40.6,66600
SCJ,20091109,42.3,42.3,41.1,41.4,25800
SCJ,20091106,43.8,45.1,43,43.7,122100
SCJ,20091105,42.5,43,42.3,42.7,34100
SCJ,20091104,41.3,42.3,40.8,41.5,44700
SCJ,20091103,41.5,42,39.9,40.8,88800
SCJ,20091102,43.5,43.5,41.7,41.7,117200
SCJ,20091030,45.8,45.8,43.5,44.3,96500
SCJ,20091029,45.3,45.3,42.6,43.5,89400
SCJ,20091028,46,46,44.5,45.3,61300
SCJ,20091027,45.6,46,44.3,44.9,95400
SCJ,20091026,46,48.5,45.3,46.8,172100
SCJ,20091023,48.1,48.8,45.2,47,87800
SCJ,20091022,47.7,48.5,47.7,48.1,106200
SCJ,20091021,47,48.5,47,47.7,56800
SCJ,20091020,47.8,48.3,47.4,47.6,99500
SCJ,20091019,48.3,48.3,46.8,47.4,99400
SCJ,20091016,51,51,47.5,48.3,167800
