<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SD9,20100729,33.6,34.2,31.9,32.8,120600
SD9,20100728,33.9,33.9,32.5,33.6,425400
SD9,20100727,31.4,32.1,31.3,31.7,347200
SD9,20100726,32.1,32.3,31.4,31.7,152300
SD9,20100723,32.6,33.2,31.7,32,169800
SD9,20100722,32.4,32.6,31.9,32.2,127400
SD9,20100721,33.2,33.2,32.1,32.5,109700
SD9,20100720,32.8,32.8,32.1,32.3,33500
SD9,20100719,32.5,32.6,32.4,32.5,88200
SD9,20100716,33,33,32.3,32.4,155400
SD9,20100715,32.6,32.9,32.5,32.7,75100
SD9,20100714,33.5,33.9,32.6,33.2,72000
SD9,20100713,32.7,33.4,32.6,33.1,177900
SD9,20100712,32,32.5,32,32.3,129900
SD9,20100709,32.1,32.1,31.9,32,61600
SD9,20100708,32.6,32.6,31.8,32.1,106500
SD9,20100707,32.2,32.4,31.7,32,106000
SD9,20100706,32.5,32.5,32.1,32.2,161300
SD9,20100705,32.2,32.3,32.2,32.2,66700
SD9,20100702,32.1,32.3,31.8,32.2,115600
SD9,20100701,31.8,32.1,31.4,31.7,257200
SD9,20100630,31.7,32.1,31.2,31.6,262600
SD9,20100629,32.2,32.5,31.9,32.2,125100
SD9,20100628,32.5,32.5,31.9,32.3,91600
SD9,20100625,32.4,32.4,31.9,32.2,196100
SD9,20100624,32.7,33.4,32.5,32.9,132400
SD9,20100623,32.5,33.4,32.4,32.9,114600
SD9,20100622,34.6,34.6,32.7,33.4,153500
SD9,20100621,34.3,34.7,34.3,34.6,111200
SD9,20100618,34.6,34.6,33.8,34.3,142600
SD9,20100617,35.3,35.3,34.2,34.6,251400
SD9,20100616,33.3,34.5,33.3,34.4,447800
SD9,20100615,32.2,32.9,32.1,32.5,171700
SD9,20100614,32.2,32.4,31.9,32.1,146900
SD9,20100611,31.8,32.4,31.7,31.9,120600
SD9,20100610,31.4,31.7,31.4,31.5,70800
SD9,20100609,32.1,32.1,31.2,31.6,65900
SD9,20100608,30.6,31.6,30.6,31.3,172700
SD9,20100607,32.2,32.2,30.8,31,138500
SD9,20100604,32.1,33.4,32.1,32.8,93100
SD9,20100603,33,33.3,32.2,32.8,122600
SD9,20100602,31.9,32.5,31.7,32.2,116300
SD9,20100601,32.2,32.7,31.7,32.4,86500
SD9,20100531,33.3,33.3,31.9,32.5,125400
SD9,20100528,32.2,33.3,32.2,33.2,294000
SD9,20100527,31.2,31.8,30.6,31.4,150500
SD9,20100526,30.1,31.6,30.1,31.1,120700
SD9,20100525,30.1,30.9,28.8,30.2,108400
SD9,20100524,29.8,30.8,29.5,30.3,163100
SD9,20100521,31.7,31.7,29.3,29.5,391300
SD9,20100520,31.2,32.7,29.8,31.2,239300
SD9,20100519,33.2,33.2,31.2,31.7,281900
SD9,20100518,33.5,33.5,33.1,33.3,211800
SD9,20100517,34.3,34.5,32.7,33.4,229100
SD9,20100514,34.5,34.7,33.9,34.4,113500
SD9,20100513,34.1,34.8,33.6,34,306800
SD9,20100512,34.4,34.4,33.1,33.5,310500
SD9,20100511,35.9,36.4,34.6,35.2,273200
SD9,20100510,36.4,36.6,34.1,34.7,328500
SD9,20100507,36.9,36.9,35.4,35.8,406900
SD9,20100506,35.4,37.5,35.2,37.2,335500
SD9,20100505,39,39,36.9,37.5,191400
SD9,20100504,39.5,39.6,38,38.5,415800
SD9,20100429,38.1,38.8,37.7,38.2,518900
SD9,20100428,37.8,38,36.2,37,490900
SD9,20100427,37.3,38.4,37.3,37.8,266600
SD9,20100426,39.6,39.6,36.8,37.3,302600
SD9,20100422,39.7,39.7,37.4,39.3,877000
SD9,20100421,35.9,37.9,35.9,37.4,970900
SD9,20100420,35.6,36.2,35.1,35.7,276300
SD9,20100419,35.5,36.5,35.1,35.8,370100
SD9,20100416,35.4,36.4,35.4,35.9,732200
SD9,20100415,34.3,34.9,34,34.6,282400
SD9,20100414,33.8,34.3,33.6,33.8,138300
SD9,20100413,34.6,34.6,33.4,33.8,212000
SD9,20100412,35.4,35.4,33.8,34.2,299300
SD9,20100409,35.4,36.9,34.8,35.8,193700
SD9,20100408,34.4,36.3,34.2,35.6,500600
SD9,20100407,33.8,34.6,33.8,34.2,229800
SD9,20100406,33.8,34.1,33.4,33.8,232400
SD9,20100405,32.9,33.7,32.9,33.3,122700
SD9,20100402,32.7,32.7,31.4,32.3,94300
SD9,20100401,31.6,33,31.4,32.2,120900
SD9,20100331,32.3,32.7,31.6,32.1,68900
SD9,20100330,33.2,33.3,31.7,32.5,109700
SD9,20100329,32.4,33,32.4,32.7,225300
SD9,20100326,32.5,33,32.1,32.4,157400
SD9,20100325,34.1,34.1,32.2,32.6,139700
SD9,20100324,33.9,34.3,33.6,33.8,225100
SD9,20100323,33.8,34.3,33.3,33.7,116500
SD9,20100322,33.3,34.7,33.3,34,55400
SD9,20100319,34.6,34.7,34.1,34.2,99300
SD9,20100318,34.1,34.7,33.4,34.2,152800
SD9,20100317,33.4,34.9,33.4,34.3,254500
SD9,20100316,35.5,36.1,34.1,34.8,258500
SD9,20100315,36.6,36.9,35.6,36.3,169000
SD9,20100312,35.9,36.4,34.8,36.2,162400
SD9,20100311,35.9,36.8,35.7,36.3,219700
SD9,20100310,35.4,36.4,35.1,35.8,179900
SD9,20100309,36.4,36.9,35.9,36.4,178700
SD9,20100308,36.2,37.9,35.9,37.3,247400
SD9,20100305,35.7,36.6,35.6,36.1,216600
SD9,20100304,35.9,37,35.2,36.4,165400
SD9,20100303,33.8,35.9,33.8,34.9,256000
SD9,20100302,33.8,34.4,33,33.9,264100
SD9,20100301,32.4,33.3,32.2,32.9,183000
SD9,20100226,32.3,32.3,31.7,32,38700
SD9,20100225,31.6,32.8,31.6,32,57400
SD9,20100224,31.4,32.2,31.2,31.6,64900
SD9,20100223,32.2,32.2,31.5,31.6,48000
SD9,20100222,33,33.8,32.6,33,43600
SD9,20100212,32.6,32.8,32.3,32.6,69200
SD9,20100211,31.8,32.6,31.2,31.9,84300
SD9,20100210,31.7,32.3,31.6,31.8,37900
SD9,20100209,32.2,32.2,31.2,31.6,73800
SD9,20100208,32.8,32.8,32,32.2,64800
SD9,20100205,33.3,33.5,32.1,32.8,126300
SD9,20100204,32.5,34.2,32.5,33.3,135800
SD9,20100203,31.7,32.8,31.7,32.4,113300
SD9,20100202,32.5,32.7,31.8,32.2,71200
SD9,20100201,32.2,32.9,31.7,32.3,73700
SD9,20100129,30.6,32.1,30.6,31.6,111600
SD9,20100128,33.3,33.3,31.5,31.9,136700
SD9,20100127,34.9,34.9,32.2,33.5,215500
SD9,20100126,31.9,33.1,31.9,32.9,91700
SD9,20100125,31.2,31.9,30.1,31.2,90900
SD9,20100122,30.1,32.7,30,30.9,168300
SD9,20100121,32.2,32.9,31.3,31.5,197500
SD9,20100120,35.2,35.2,32.5,33.4,131900
SD9,20100119,34.3,35.3,33.8,34.6,181300
SD9,20100118,36.4,36.5,34.6,34.8,162700
SD9,20100115,39.1,39.1,36.2,36.9,145300
SD9,20100114,37.1,37.1,36.7,37.1,295500
SD9,20100113,32.3,36.2,32.3,34.9,489200
SD9,20100112,36.2,36.2,33.7,34.1,250000
SD9,20100111,37.2,37.2,35.3,35.9,132600
SD9,20100108,36.9,38.6,34.6,36.9,424100
SD9,20100107,36.9,37.5,35.5,36.3,526400
SD9,20100106,37.7,39.6,36.5,37.8,434200
SD9,20100105,38.7,38.7,37.2,38.6,494900
SD9,20100104,34.8,36.6,34.8,36.5,135600
SD9,20091231,33.8,34.6,33.5,34.5,340000
SD9,20091230,31.3,33.2,30.6,32.6,359600
SD9,20091229,31.2,32.6,30.2,31.3,330800
SD9,20091228,31,31,29.6,30.9,493500
SD9,20091225,29.1,29.3,28.8,29.3,58100
SD9,20091224,27.2,28.1,26.5,27.6,242200
SD9,20091223,25.4,27.3,24.6,26.5,364400
SD9,20091222,25.8,25.9,24.8,25.8,433000
SD9,20091221,24.5,24.5,24.4,24.5,78900
SD9,20091218,22.7,23.3,22.5,23.2,182000
SD9,20091217,22.2,22.7,21.9,22,204400
SD9,20091216,24.6,24.6,23.2,23.2,116500
SD9,20091215,25.1,25.1,24.1,24.6,172000
SD9,20091214,22.6,25.4,22.6,24.6,190000
SD9,20091211,24.1,24.3,23.9,24,62200
SD9,20091210,25.4,26.7,25.2,25.4,183300
SD9,20091209,26.8,26.9,26.7,26.7,186700
SD9,20091208,29.8,29.8,28,28.4,193600
SD9,20091207,30.2,30.2,29.5,29.8,176700
SD9,20091204,29.7,30.6,29.3,29.7,134500
SD9,20091203,29.3,30.6,29.1,29.7,215700
SD9,20091202,32.2,32.2,30.1,30.9,218900
SD9,20091201,30.1,32.2,30.1,32,232800
SD9,20091130,30.4,31.1,29.8,30.3,233700
SD9,20091127,29.9,32.2,29.9,30.4,498600
SD9,20091126,31.8,31.9,31.8,31.8,171300
SD9,20091125,34.9,35,33.8,33.9,143100
SD9,20091124,37.5,37.7,35.2,36,451700
SD9,20091123,39.2,39.6,37,37.5,669200
SD9,20091120,39.9,40.9,38.5,39.5,243300
SD9,20091119,40.7,41.6,39.8,40.5,272500
SD9,20091118,40.9,41.7,39.3,40.7,177800
SD9,20091117,41.7,42,40.1,41.2,174900
SD9,20091116,41.7,42.2,40.7,41.3,177000
SD9,20091113,42.5,42.5,38.8,41.6,214200
SD9,20091112,36.9,41.3,36.9,41.2,248200
SD9,20091111,39.5,39.8,37.9,38.9,195000
SD9,20091110,40.9,41.6,38.4,38.7,323800
SD9,20091109,42.9,43.3,40.7,40.9,318000
SD9,20091106,41.7,45.4,41.4,43.5,530100
SD9,20091105,45.1,45.1,42.4,43.7,460000
SD9,20091104,42.5,42.5,41.7,42.4,509200
SD9,20091103,39.1,41.5,38,39.9,372800
SD9,20091102,39.1,41.7,38.8,39.1,195400
SD9,20091030,41.4,41.4,40.9,41.4,407100
SD9,20091029,39.6,41.1,38.1,39,355200
SD9,20091028,39.6,41.8,39.6,40.7,240600
SD9,20091027,39.8,40.6,39.2,39.6,360900
SD9,20091026,39.1,44.1,39,41.8,428100
SD9,20091023,42.2,44.6,39.4,41.6,789100
SD9,20091022,44.1,44.1,40.7,42.1,923200
SD9,20091021,42.1,42.1,40.1,41.7,903700
SD9,20091020,39.6,39.6,39.6,39.6,153900
SD9,20091019,34.3,37.5,34.3,37.3,842100
SD9,20091016,36.3,36.4,35.1,35.3,655600
SD9,20091015,38.7,38.7,35.4,37.4,476300
SD9,20091014,37.2,37.2,34.3,36.5,743300
SD9,20091013,35.1,35.1,34.4,35.1,971700
SD9,20091012,33.1,33.1,33.1,33.1,151900
SD9,20091009,31.2,31.2,30.9,31.2,487200
SD9,20091008,29.7,29.7,28.8,29.4,806000
SD9,20091007,27.4,28.1,27.4,28.1,556400
SD9,20091006,26.7,26.9,25.9,26.5,265200
SD9,20091005,25.6,26.4,25.2,25.9,212200
SD9,20091002,25.5,26.4,25.5,25.6,387200
SD9,20091001,28,28,26.2,27.1,269400
SD9,20090930,26.5,27.7,26.4,27.5,521300
SD9,20090929,26.4,27.5,25.8,26.2,420200
SD9,20090928,26.4,26.7,25.6,26.1,363900
SD9,20090925,24.9,26.4,24.7,25.6,439000
SD9,20090924,25.9,26.6,25.6,26.1,284100
SD9,20090923,27.2,27.3,25.9,27.3,676400
SD9,20090922,26.1,26.1,24.8,25.8,552700
SD9,20090921,23.8,24.8,23.8,24.7,610400
SD9,20090918,23.4,23.9,22.5,23.5,227300
SD9,20090917,24.6,24.6,23.2,23.5,209800
SD9,20090916,24.8,24.8,23.8,24.5,372700
SD9,20090915,23,23.5,23,23.5,791900
SD9,20090914,22.1,22.6,21.7,22.3,294500
SD9,20090911,22.2,22.2,21.6,21.8,196600
SD9,20090910,21.6,21.8,21.3,21.5,160500
SD9,20090909,21.9,22.2,21.4,21.6,92100
SD9,20090908,21.3,21.6,21.2,21.5,144000
SD9,20090907,21.2,21.4,20.3,20.7,144400
SD9,20090904,22,22.2,20.8,21.5,197500
SD9,20090903,22.1,22.7,21.8,22.1,175800
SD9,20090901,24.4,24.4,22.2,22.9,221300
SD9,20090831,22.9,23.2,22.1,23.1,403700
SD9,20090828,21.3,22.2,21.3,21.9,345100
SD9,20090827,21.2,21.3,20.9,21.2,184500
SD9,20090826,20.7,21.4,20.7,21.1,112500
SD9,20090825,21.7,21.7,21,21.3,104200
SD9,20090824,21.9,22.1,21.5,21.8,233100
SD9,20090821,20.9,21.7,20.6,21.5,511400
SD9,20090820,21.1,21.4,20.4,20.6,130400
SD9,20090819,20.6,20.9,20.2,20.5,185000
SD9,20090818,20.4,20.5,20.1,20.3,141700
SD9,20090817,19.6,20.9,19.6,20.4,109000
SD9,20090814,20.3,20.4,19.7,20.1,150300
SD9,20090813,21.7,21.7,20.5,20.8,149500
SD9,20090812,21.7,21.8,21.2,21.7,534100
SD9,20090811,20.6,20.8,20,20.6,306800
SD9,20090810,19.3,19.9,19.1,19.7,298000
SD9,20090807,18.8,19,18.8,18.8,64300
SD9,20090806,18.7,19.2,18.6,18.9,110100
SD9,20090805,18.8,18.8,18.3,18.7,76800
SD9,20090804,19.1,19.2,18.5,18.7,45500
SD9,20090803,18.8,18.8,18.3,18.6,57100
SD9,20090731,18.4,18.7,18.3,18.5,122100
SD9,20090730,17.9,18.1,17.2,17.8,71100
SD9,20090729,18,18.5,18,18.2,59400
SD9,20090728,18.5,19.1,18.2,18.4,72200
SD9,20090727,19.9,19.9,18.6,19.1,87000
SD9,20090724,18.3,18.8,18.3,18.8,120300
SD9,20090723,17.5,18.4,17.2,17.9,91100
SD9,20090722,17.5,17.7,17.3,17.5,24300
SD9,20090721,17.9,17.9,16.9,17.5,49800
SD9,20090720,17.6,17.6,17,17.2,82500
SD9,20090717,18,18.3,17.7,17.9,24400
SD9,20090716,18.8,18.8,18.2,18.3,24400
SD9,20090715,18.1,18.3,18,18.1,44100
SD9,20090714,18.5,18.8,17.7,18.1,61700
SD9,20090713,18.4,18.5,17.9,18.3,65700
SD9,20090710,18.8,18.8,18.3,18.5,35300
SD9,20090709,18.3,19.1,18.3,19,172600
SD9,20090708,18.2,18.3,17.8,18.1,35200
SD9,20090707,18.4,18.5,18,18.3,34600
SD9,20090706,18,18.5,18,18.4,111700
SD9,20090703,17.2,17.8,16.9,17.6,59600
SD9,20090702,17.3,18.1,16.9,17.6,112000
SD9,20090701,17.3,17.3,17.2,17.2,136200
SD9,20090630,18.7,18.8,17.7,18.2,77200
SD9,20090629,19.2,19.2,18.5,18.7,36100
SD9,20090626,19.4,19.4,18.9,19.1,40800
SD9,20090625,20.3,20.3,18.5,19.3,61100
SD9,20090624,18.3,19.3,18.3,19.2,39000
SD9,20090623,18.2,18.5,18.2,18.3,148400
SD9,20090622,19.7,19.7,19.2,19.3,107100
SD9,20090619,21,21.2,19.6,20.4,93700
SD9,20090618,20.3,20.4,19.6,20.4,181400
SD9,20090617,19.1,20.1,18.3,19.4,128900
SD9,20090616,19.8,19.8,19.4,19.4,222700
SD9,20090615,21.4,21.4,20.5,20.5,230200
SD9,20090612,22.2,22.8,20.6,21.7,260400
SD9,20090611,21.3,22.2,20.6,21.7,283100
SD9,20090610,22.1,22.1,21.3,21.3,373200
SD9,20090609,23.2,24.4,21.9,22.6,306500
SD9,20090608,23.1,23.2,22.7,23.2,302100
SD9,20090605,21.9,21.9,21.9,21.9,360200
SD9,20090604,20.1,21.4,20.1,20.8,274200
SD9,20090603,21.1,21.1,20.1,20.4,150500
SD9,20090602,21.4,21.4,20.4,21.1,234700
SD9,20090601,20.3,20.4,20.1,20.3,157800
SD9,20090529,19.8,19.9,18.8,19.4,128300
SD9,20090528,19,19.3,19,19.1,325400
SD9,20090527,20.9,21.9,20.1,20.1,494000
SD9,20090526,22.5,22.5,20.6,21.3,263200
SD9,20090525,21.4,21.4,21.2,21.4,210600
SD9,20090522,20.4,20.4,18.7,20.3,846700
SD9,20090521,18.5,19.6,18.3,19.3,338400
SD9,20090520,18.5,18.9,18.2,18.6,209600
SD9,20090519,19.3,19.5,18.7,18.9,226500
SD9,20090518,18.3,18.6,18.2,18.4,268600
SD9,20090515,18,18.3,18,18.3,314200
SD9,20090514,17.3,17.7,16.9,17.3,153800
SD9,20090513,18.5,18.5,17.3,17.6,227900
SD9,20090512,16.8,17.8,16.8,17.5,211700
SD9,20090511,18.2,18.5,17.2,17.6,221100
SD9,20090508,18.5,18.5,17.6,18.1,202800
SD9,20090507,18.5,18.5,17.6,18.4,339400
SD9,20090506,17.8,18.3,17.3,17.5,220400
SD9,20090505,18.4,18.4,17.9,18.3,366400
SD9,20090504,17.4,17.4,17.4,17.4,19600
SD9,20090429,16.2,16.7,15.9,16.5,207700
SD9,20090428,15.6,16.1,15.4,15.8,199800
SD9,20090427,15.2,15.5,15,15.2,95800
SD9,20090424,16.2,16.2,15.1,15.2,173600
SD9,20090423,16.2,16.4,15.4,15.9,123500
SD9,20090422,15.6,15.6,15.1,15.6,137200
SD9,20090421,14.7,15.2,14.7,14.8,249400
SD9,20090420,15.6,15.6,15.6,15.6,82400
SD9,20090417,17.5,17.5,16.3,16.5,252100
SD9,20090416,17.9,18.3,16.9,17.3,189600
SD9,20090415,18,18.3,17.8,17.9,281200
SD9,20090414,19.8,19.8,18.1,18.9,260300
SD9,20090413,18.8,18.9,18.8,18.9,245600
SD9,20090410,17.7,17.9,17.7,17.9,190300
SD9,20090409,17.4,17.9,16.6,17,223300
SD9,20090408,17.6,18.3,16.7,17.4,314000
SD9,20090407,17.2,17.8,16.7,17.5,212000
SD9,20090403,16.7,16.8,16.7,16.8,209000
SD9,20090402,15.9,16.1,15.6,15.9,132600
SD9,20090401,15.5,15.5,15.1,15.4,158400
SD9,20090331,14.3,15.1,14.3,14.7,87400
SD9,20090330,14.9,15.2,14.7,14.9,73900
SD9,20090327,15.8,15.9,15.1,15.5,128100
SD9,20090326,15.8,15.8,15.2,15.4,112300
SD9,20090325,14.9,15.5,14.6,15.2,132900
SD9,20090324,14.8,14.9,14.8,14.9,195900
SD9,20090323,14.4,14.6,14.1,14.2,135700
SD9,20090320,14.8,15.4,14.5,14.8,179700
SD9,20090319,15.4,15.4,14.1,15.1,318400
SD9,20090318,14.6,14.6,14.6,14.6,49000
SD9,20090317,13.2,13.9,13.2,13.9,151900
SD9,20090316,12.8,13.4,12.8,13.3,63700
SD9,20090313,13.4,13.4,13.1,13.2,69000
SD9,20090312,13.5,13.5,12.8,13.1,129500
SD9,20090311,13.5,13.5,13.2,13.5,180800
SD9,20090310,12.5,13.2,12.4,12.8,131400
SD9,20090309,12.4,12.6,12.4,12.5,50400
SD9,20090306,12.6,12.6,12.2,12.4,92300
SD9,20090305,12.5,12.8,12.5,12.6,90000
SD9,20090304,12.1,12.3,12.1,12.2,69100
SD9,20090303,12.2,12.3,11.9,12.1,74600
SD9,20090302,12.2,12.5,11.9,12.3,67800
SD9,20090227,12,12.6,11.9,12.4,76800
SD9,20090226,12.7,12.7,11.8,12.4,69500
SD9,20090225,11.9,12.1,11.9,12.1,109400
SD9,20090224,11.7,11.7,11.5,11.5,81600
SD9,20090223,12.4,12.5,12,12.1,63700
SD9,20090220,12.9,12.9,12.5,12.6,46400
SD9,20090219,12.8,13.2,12.6,12.8,32300
SD9,20090218,12.7,12.9,12.6,12.8,75400
SD9,20090217,13.5,13.5,13.2,13.2,54300
SD9,20090216,13.7,13.9,13.5,13.7,41900
SD9,20090213,13.9,13.9,13.8,13.8,14800
SD9,20090212,14.1,14.1,13.8,13.9,30700
SD9,20090211,13.7,14,13.6,13.8,33900
SD9,20090210,14.4,14.4,13.9,14.2,36900
SD9,20090209,14.3,14.7,14.2,14.5,78000
SD9,20090206,13.5,14.4,13.5,14,60400
SD9,20090205,14.3,14.4,13.8,13.9,94200
SD9,20090204,14.6,14.8,14.4,14.6,61000
SD9,20090203,15.1,15.1,14.5,14.6,55500
SD9,20090202,15.6,15.6,15.1,15.3,15500
SD9,20090123,15.1,15.6,15.1,15.5,37500
SD9,20090122,15.6,15.6,15.3,15.5,21400
SD9,20090121,15.6,15.6,15.2,15.2,10700
SD9,20090120,15.4,15.6,15.1,15.3,70800
SD9,20090119,15.9,15.9,15.7,15.8,18100
SD9,20090116,15.9,16.2,15.9,16.1,35200
SD9,20090115,16.2,16.2,15.9,15.9,34100
SD9,20090114,15.9,16.7,15.9,16.2,74400
SD9,20090113,16.2,16.2,15.9,16,58000
SD9,20090112,16.4,16.6,16.3,16.4,57300
SD9,20090109,16.3,16.7,16.2,16.5,68600
SD9,20090108,16.5,17.1,16.3,16.6,119800
SD9,20090107,17.1,17.1,16.4,16.9,240700
SD9,20090106,15.6,16.4,15.6,16.2,68700
SD9,20090105,16,16,15.4,15.6,32700
SD9,20090102,15.7,15.8,15.6,15.6,50000
SD9,20081231,16.4,16.4,15.8,15.9,47200
SD9,20081230,15.9,16.3,15.9,16.1,74100
SD9,20081229,15.9,16.1,15.7,16,39600
SD9,20081226,16,16.3,15.5,16,83900
SD9,20081225,15.9,16.4,15.8,16.1,46200
SD9,20081224,15.6,16.4,15.4,15.9,86400
SD9,20081223,17.2,17.2,15.9,16.1,110000
SD9,20081222,16.1,16.9,16.1,16.8,222800
SD9,20081219,15.5,16.3,15.5,16,105600
SD9,20081218,15.4,15.9,15.4,15.7,62500
SD9,20081217,14.9,15.6,14.9,15.4,93900
SD9,20081216,16.3,16.3,14.7,15.1,139600
SD9,20081215,15.5,15.5,15.4,15.5,171900
SD9,20081212,14.5,14.7,14.5,14.7,40400
SD9,20081211,13.5,14.3,13.5,13.9,46800
SD9,20081210,13.9,14.1,13.7,13.8,45200
SD9,20081209,14.9,15.1,14.1,14.5,53600
SD9,20081208,14.3,14.8,14.3,14.4,67800
SD9,20081205,15.7,15.7,14.9,15.2,43800
SD9,20081204,16.5,16.5,15.7,15.8,47500
SD9,20081203,16.3,16.3,15.6,15.6,40300
SD9,20081202,15.6,15.9,15.2,15.6,23500
SD9,20081201,16.5,16.5,15.4,15.9,68100
SD9,20081128,15.1,15.7,15.1,15.7,64700
SD9,20081127,15.1,15.6,14.7,14.9,89800
SD9,20081126,16.2,16.2,15.4,15.6,44200
SD9,20081125,16.7,16.7,15.9,16.2,59700
SD9,20081124,16.4,16.6,15.8,16.1,64800
SD9,20081124,16.4,16.6,15.8,16.1,64800
SD9,20081121,15.4,16.3,15.3,15.8,117100
SD9,20081120,16.7,16.7,16.2,16.2,139500
SD9,20081119,17.2,17.5,16.9,17.1,61800
SD9,20081118,16.9,17.6,16.7,17.2,63400
SD9,20081117,17.5,17.7,17.3,17.6,68000
SD9,20081114,17.9,17.9,17.2,17.7,132800
SD9,20081113,16.8,17.5,16.1,17,100100
