<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SDD,20100729,34.3,36.5,34,35.5,67900
SDD,20100728,35.7,35.7,33.9,34.3,103900
SDD,20100727,36,36.1,35.2,35.7,72400
SDD,20100726,35.5,36.9,35,35.4,124200
SDD,20100723,37.2,37.2,36,36.3,107700
SDD,20100722,36.1,36.8,35.5,36.1,150900
SDD,20100721,37,37,36.1,36.3,118100
SDD,20100720,37,37.3,36.5,36.8,155100
SDD,20100719,37,37.4,36.7,37.1,158700
SDD,20100716,38.2,38.2,36.8,37.2,96100
SDD,20100715,36,39,35.3,37.8,390200
SDD,20100714,37.3,37.9,36,36.5,164200
SDD,20100713,35.7,37.3,35.7,36.6,121900
SDD,20100712,35.2,36,35,35.5,87200
SDD,20100709,35,35.8,35,35.3,83000
SDD,20100708,36.9,37,34.9,35.6,104700
SDD,20100707,36.3,36.3,33.8,34.9,144000
SDD,20100706,36.3,36.3,35.1,35.6,165500
SDD,20100705,36.9,36.9,36,36.3,185600
SDD,20100702,38,38,35.7,36.4,124300
SDD,20100701,35.1,38.5,35,37.5,237300
SDD,20100630,34.5,37.9,34.4,36.7,302200
SDD,20100629,35.5,36.5,35.3,36.2,532600
SDD,20100628,33.4,34.6,33.4,34.2,97700
SDD,20100625,33.2,34,32.5,33,132600
SDD,20100624,34.5,34.9,33.8,34.2,85500
SDD,20100623,33.5,35,33.5,34.1,166800
SDD,20100622,35.8,35.8,34.5,34.9,134900
SDD,20100621,36,37,35,35.8,195100
SDD,20100618,34.1,35.4,34.1,34.9,140000
SDD,20100617,35,35.3,34,34.6,174500
SDD,20100616,34.9,36,34.9,35.3,143200
SDD,20100615,35,35.5,34,34.8,188400
SDD,20100614,33.5,35.6,33.5,34.9,286200
SDD,20100611,34,34,32.8,33.3,215100
SDD,20100610,33,33.5,32.6,33.2,90200
SDD,20100609,33,33.5,33,33.4,273600
SDD,20100608,30.5,32.4,30.2,31.4,231500
SDD,20100607,30.1,31,30.1,30.3,231700
SDD,20100604,32.1,33.5,31.7,32.3,76200
SDD,20100603,34,34,32.5,33,131900
SDD,20100602,30.5,33,30.5,32.2,121500
SDD,20100601,31.5,33.5,31.2,32,275700
SDD,20100531,35,35.9,32.7,33.5,235000
SDD,20100528,34.9,35,34.5,35,164000
SDD,20100527,33,33.4,31,32.8,230600
SDD,20100526,30,31.8,29.9,31.3,87300
SDD,20100525,28.3,30.2,28,29.8,306400
SDD,20100524,27.7,29.6,27.7,28.3,277300
SDD,20100521,29.7,31,29.7,29.7,113300
SDD,20100520,32,33.9,31.6,31.9,347500
SDD,20100519,35,35,33.8,33.9,197200
SDD,20100518,38.5,38.5,35.5,36.3,161500
SDD,20100517,35.8,38.1,35.8,37.5,513800
SDD,20100514,37,37,35.5,35.7,440900
SDD,20100513,38,40.6,36.9,38.1,411300
SDD,20100512,42.3,42.3,36.9,39.2,645100
SDD,20100511,39.6,39.6,39,39.6,283100
SDD,20100510,37.7,37.7,33,37.1,1782900
SDD,20100507,35.3,35.3,35.3,35.3,258600
SDD,20100506,33,33,33,33,112200
SDD,20100505,30.9,30.9,30,30.9,589000
SDD,20100504,28.5,28.9,28.5,28.9,104200
