<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SDE,20100729,24,24.8,21.8,23.2,1400
SDE,20100728,24.5,24.5,22.5,23.2,1600
SDE,20100727,24.5,24.5,23.7,24,3000
SDE,20100726,25.5,25.5,25,25.3,1000
SDE,20100723,25,25.1,25,25,13200
SDE,20100722,25.1,25.1,24.7,24.9,1200
SDE,20100721,25,25.4,24.7,25,6800
SDE,20100720,26.1,26.3,26,26.2,10000
SDE,20100719,26,26.3,26,26.1,9500
SDE,20100716,26,26.5,26,26.3,27000
SDE,20100715,24.9,25.7,24.8,25.6,72600
SDE,20100714,23.7,25.1,23.7,24.1,16700
SDE,20100713,23,24.1,23,23.7,7000
SDE,20100712,24.3,24.5,24.1,24.2,3600
SDE,20100709,24,24.7,24,24.6,500
SDE,20100708,23.6,23.6,23.5,23.6,200
SDE,20100707,23.1,23.1,23.1,23.1,100
SDE,20100706,23.8,23.8,22.8,23.1,7900
SDE,20100702,23.8,23.8,23.8,23.8,2100
SDE,20100701,23.9,23.9,23.7,23.8,4300
SDE,20100630,22.6,24.4,22.6,23.9,900
SDE,20100628,23.8,24,23.7,24,6700
SDE,20100625,23.5,24.2,23.5,23.7,2100
SDE,20100624,23.2,24,23.2,23.8,24400
SDE,20100623,23,23,22.8,22.9,3800
SDE,20100622,23,23.6,22.6,23,9200
SDE,20100621,23,23.9,23,23.7,15300
SDE,20100618,22.5,23,22.5,22.5,2700
SDE,20100617,23.9,23.9,22.6,23.4,1400
SDE,20100616,22.6,22.6,22.5,22.6,25000
SDE,20100615,21,21.4,21,21.2,3500
SDE,20100614,22,22.2,21,21.4,14100
SDE,20100611,22,22,22,22,2000
SDE,20100610,21.5,21.5,21.2,21.3,2300
SDE,20100609,23.1,23.1,22,22.7,7100
SDE,20100608,21.5,21.6,21.5,21.6,5300
SDE,20100607,20.1,20.2,20,20.2,5600
SDE,20100604,21.9,21.9,21.1,21.4,9500
SDE,20100603,22.7,22.7,21.7,21.9,7800
SDE,20100602,21.5,21.5,21,21.4,1500
SDE,20100601,20.2,21.2,20,20.3,13200
SDE,20100531,21.5,21.5,21.5,21.5,400
SDE,20100528,22.7,22.7,22.5,22.7,25100
SDE,20100527,22.6,22.6,21.1,21.3,8100
SDE,20100526,22.8,22.8,22.5,22.6,4400
SDE,20100525,21.5,21.5,21.2,21.4,11100
SDE,20100524,20.1,20.5,19.9,20.1,4100
SDE,20100521,21.3,21.3,21.1,21.2,5500
SDE,20100520,21.2,23.3,21.1,22.6,4300
SDE,20100519,22.7,22.7,22.6,22.6,5800
SDE,20100518,24.3,24.5,24,24.2,12000
SDE,20100517,25.8,25.8,25.8,25.8,11300
SDE,20100514,28,28,27,27.7,3000
SDE,20100513,26.1,27.7,26.1,27.4,29800
SDE,20100512,27.2,27.2,25.2,25.9,36500
SDE,20100511,27,27,25.1,25.5,17200
SDE,20100510,25.8,27.6,25.7,25.7,17500
SDE,20100507,28,28,27.5,27.6,800
SDE,20100506,27.5,29.2,27,27.8,1700
SDE,20100505,29.7,29.7,27.5,28.1,25400
SDE,20100504,29.7,29.7,29,29.5,45700
SDE,20100429,28.6,28.6,27,27.8,18600
SDE,20100428,27.4,27.4,26.5,26.8,13900
SDE,20100427,27.3,27.8,26,27.4,35300
SDE,20100426,28.6,28.6,26.7,27.3,12500
SDE,20100422,28.6,28.6,28,28.6,103200
SDE,20100421,26.5,27,26.4,26.8,39100
SDE,20100420,24.5,26.5,24.1,25.3,38100
SDE,20100419,24.5,24.9,24.4,24.8,14500
SDE,20100416,25.4,25.4,24,24.9,7100
SDE,20100415,24.1,25.1,24.1,25,20800
SDE,20100414,25,25,25,25,5200
SDE,20100413,24.9,25,24.5,24.9,6900
SDE,20100412,25,25.1,25,25,5500
SDE,20100409,24.4,26.1,24.4,25.6,53600
SDE,20100408,25,25,24,24.4,14500
SDE,20100407,23.1,24.7,23,24.1,8500
SDE,20100406,25.5,25.5,24,24.5,9000
SDE,20100405,25.5,25.5,24,24.7,15600
SDE,20100402,23.3,25.8,23.2,23.9,9600
SDE,20100401,23,25.5,23,24.2,4300
SDE,20100331,23.8,24,23.8,23.9,13100
SDE,20100330,25.7,25.7,25.5,25.5,12200
SDE,20100329,29,29,26.6,27.4,27000
SDE,20100326,26.8,29.9,26.7,28.5,3000
SDE,20100325,28.5,28.5,28.3,28.4,6300
SDE,20100324,30.9,30.9,29.5,30.4,11000
SDE,20100323,32,32,27.5,28.9,74300
