<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SDJ,20100729,18.5,19.5,18.5,19.5,42100
SDJ,20100728,19.9,19.9,18.7,19.2,34500
SDJ,20100727,20.2,20.5,19.6,20,36800
SDJ,20100726,21.9,21.9,20.2,20.8,45200
SDJ,20100723,21.4,21.4,20.1,20.6,71700
SDJ,20100722,22,22.2,21.3,21.4,69000
SDJ,20100721,24,24,22.7,22.9,119100
SDJ,20100720,23,24.5,23,24.4,184300
SDJ,20100719,22.9,23,22.1,22.9,213500
SDJ,20100716,21.3,21.5,21,21.5,88700
SDJ,20100715,19,20.3,19,20.1,155300
SDJ,20100714,19,19.3,18.8,19,15100
SDJ,20100713,18.7,19.3,18.6,19,29300
SDJ,20100712,18.7,18.7,18.4,18.6,18900
SDJ,20100709,18.6,18.8,18.4,18.6,30100
SDJ,20100708,18.5,18.6,18.5,18.5,3200
SDJ,20100707,18.8,18.8,18.2,18.5,12900
SDJ,20100706,18.8,18.8,18.5,18.6,19900
SDJ,20100705,19.3,19.4,18.4,18.8,12400
SDJ,20100702,18.2,18.5,18,18.3,11800
SDJ,20100701,18.1,18.5,18,18.2,25500
SDJ,20100630,18.4,18.5,18.3,18.4,19600
SDJ,20100629,18.9,19,18.7,18.8,12300
SDJ,20100628,19.5,19.5,18.7,18.9,14100
SDJ,20100625,19.4,19.4,18.6,18.8,33000
SDJ,20100624,19.3,19.6,19.2,19.4,21100
SDJ,20100623,19.8,19.8,18.8,19.3,22900
SDJ,20100622,19.7,20,19.6,19.7,49900
SDJ,20100621,19,20,18.9,19.7,96900
SDJ,20100618,18.4,19,18.4,18.7,11900
SDJ,20100617,19,19,18.8,19,26900
SDJ,20100616,19.3,19.6,19.2,19.4,23300
SDJ,20100615,19,19.9,18.9,19.3,26600
SDJ,20100614,18.5,19.4,18.2,18.9,73300
SDJ,20100611,18.3,18.4,18,18.2,31700
SDJ,20100610,18,18,17.7,17.9,11500
SDJ,20100609,18.4,18.4,17.7,17.8,8500
SDJ,20100608,17,17.8,17,17.5,34200
SDJ,20100607,18,18.1,17,17.5,17600
SDJ,20100604,18.4,18.5,17.9,18.2,23000
SDJ,20100603,18.7,18.7,18.4,18.5,18900
SDJ,20100602,18.5,18.8,18.1,18.5,10100
SDJ,20100601,18.1,19,18,18.5,7500
SDJ,20100531,19,19.2,18.8,19.1,4600
SDJ,20100528,20,20,19.7,20,25600
SDJ,20100527,17.8,18.9,17.8,18.7,15600
SDJ,20100526,18.6,19.2,18,18.5,42400
SDJ,20100525,18,18.5,17.6,18.1,15700
