<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SDT,20100729,58.8,58.8,57.5,58.5,35000
SDT,20100728,59,59.1,58,58.8,59000
SDT,20100727,59.3,59.8,59,59.3,114000
SDT,20100723,59.1,59.5,59,59.1,51000
SDT,20100722,59.2,59.6,59.2,59.4,42300
SDT,20100721,59.2,59.2,59,59.1,18900
SDT,20100720,59.5,59.5,59.2,59.3,16100
SDT,20100719,59.3,60.4,59.2,60,9300
SDT,20100716,59.3,59.9,59.2,59.3,41200
SDT,20100715,59.1,60,59,59.3,19800
SDT,20100714,59.5,59.5,59,59.1,7800
SDT,20100713,58.8,59.7,58.7,59.5,7100
SDT,20100712,58,59,58,58.4,22000
SDT,20100709,59,59,57.1,57.3,4200
SDT,20100708,58.5,58.5,58,58.3,25500
SDT,20100707,58,58.3,58,58.1,23000
SDT,20100706,58.2,58.2,58,58.2,33300
SDT,20100705,58,58.5,58,58.2,13700
SDT,20100702,59,59,58,58.9,21600
SDT,20100701,59,60.5,58.5,59.2,19300
SDT,20100630,56,61.7,56,59.5,150700
SDT,20100629,57.7,58.9,56.6,57.7,73700
SDT,20100628,57,58,56.5,57.3,63700
SDT,20100625,57,57,55,56.3,46800
SDT,20100624,59.4,59.4,57,57.7,29000
SDT,20100623,57.5,57.5,57,57.2,24800
SDT,20100622,57.1,58.5,57.1,57.7,8300
SDT,20100621,58.2,59.7,58,58.1,26000
SDT,20100618,57.7,58.7,57.6,58,19400
SDT,20100617,58.8,58.9,57,58.1,36300
SDT,20100616,60.9,60.9,58.5,58.8,29700
SDT,20100615,58,60.5,57.9,58.5,41200
SDT,20100614,57,57.9,57,57.4,33600
SDT,20100611,58,58,56.5,56.9,90500
SDT,20100610,53.9,56.5,53.9,55.7,16600
SDT,20100609,56.9,57,54.9,55.2,31100
SDT,20100608,54.8,56,53.8,54.9,35800
SDT,20100607,55.9,55.9,54,54.8,69500
SDT,20100604,57.3,57.6,57.1,57.4,71600
SDT,20100603,58,58.5,57.5,57.5,25300
SDT,20100602,57.5,57.8,57.3,57.5,28000
SDT,20100601,56.5,58,56.1,57,59100
SDT,20100531,60,60.4,57.7,59.2,3700
SDT,20100528,57.1,60.4,57.1,59.5,70500
SDT,20100527,55.6,57,55.5,56.5,25100
SDT,20100526,57,57.9,54.5,56.3,38100
SDT,20100525,55.5,56,54,55.6,86300
SDT,20100524,55.5,58.1,53,55.5,17200
SDT,20100521,56,56.5,54,54.6,179700
SDT,20100520,57.5,60,55.1,58,99400
SDT,20100519,59.5,60.6,57.5,58.8,192400
SDT,20100518,60,61.3,60,60.6,59600
SDT,20100517,61,62,60,60.7,57700
SDT,20100514,60.5,61,60.1,60.4,43900
SDT,20100513,60,61.9,58,60.1,83700
SDT,20100512,64,64,59.1,59.9,193200
SDT,20100511,66.5,66.9,62.5,63.5,109600
SDT,20100510,66,66,62.2,63.4,124300
SDT,20100507,64,68,63,66.8,228900
SDT,20100506,65.9,68,65.2,65.7,166100
SDT,20100505,67.6,67.6,65,65.7,170800
SDT,20100504,69,69.5,66.5,67.8,157400
SDT,20100429,69,70.9,68,69.4,189500
SDT,20100428,67,69,65,67.3,210500
SDT,20100427,67,67.5,66,67,153000
SDT,20100426,67.5,67.5,65.6,66.2,152800
SDT,20100422,69.1,72,66,69.5,255100
SDT,20100421,66,70.4,66,69.1,373300
SDT,20100420,66.9,67.2,64.1,65.7,123100
SDT,20100419,63,67.3,63,67,346900
SDT,20100416,60.6,64.9,60.6,62.8,315100
SDT,20100415,61,61.5,59.1,60.6,133000
SDT,20100414,59,59.7,58.2,59.2,34100
SDT,20100413,60,60.8,59,59.9,47300
SDT,20100412,60.5,62,60,61,78900
SDT,20100409,61.5,62,60.8,61,48600
SDT,20100408,60,62,60,61,72300
SDT,20100407,60.8,60.9,59,59.9,28500
SDT,20100406,60.5,61.8,60,60.8,62600
SDT,20100405,61.9,61.9,59.5,60.3,16000
SDT,20100402,59.5,59.9,58.1,59.4,91100
SDT,20100401,58,58.8,56.6,58.1,55200
SDT,20100331,58,58.7,56.1,57.6,59300
SDT,20100330,58,59,57.4,58,62600
SDT,20100329,54.1,59.4,54.1,58.5,26600
SDT,20100326,60.9,61.5,57.5,58.1,158000
SDT,20100325,58,59.9,56.6,57.9,62000
SDT,20100324,61.8,62.3,59.2,60,93600
SDT,20100323,59,60.5,57,59.1,72500
SDT,20100322,60,61.8,60,60.6,53200
SDT,20100319,61,62,59.7,60.9,63100
SDT,20100318,60,61.5,56.4,59.5,81600
SDT,20100317,61,61.5,56.4,57.9,72700
SDT,20100316,62.5,63,58.8,59.8,137600
SDT,20100315,63,64.5,62.4,63.3,231500
SDT,20100312,62,63,61,62.3,91500
SDT,20100311,60.3,61,59.3,60.6,90300
SDT,20100310,59,60,57.8,59.5,87200
SDT,20100309,59,60.8,59,59.9,56500
SDT,20100308,60.5,61.5,58.6,60.8,67800
SDT,20100305,58,59,57,58.4,59400
SDT,20100304,57.5,59.7,56.7,58.1,70200
SDT,20100303,56,58,55.5,56.7,97300
SDT,20100302,54,56,54,55.3,73700
SDT,20100301,53.6,54.5,53.5,53.8,36400
SDT,20100226,53,53.7,53,53.5,9300
SDT,20100225,56,56,53.9,54.1,18500
SDT,20100224,54,55.5,54,54.8,36000
SDT,20100223,54.6,54.9,52.2,54.4,50400
SDT,20100222,54.5,56,54.2,54.6,25700
SDT,20100212,53.4,54.5,53.4,54.1,20000
SDT,20100211,52.5,53.7,52,52.9,36600
SDT,20100210,53,53,52.5,52.8,20800
SDT,20100209,53,53,51.5,52,94000
SDT,20100208,53,53,52.2,52.7,15500
SDT,20100205,53,53.6,52.4,52.9,44000
SDT,20100204,53,54.5,53,53.7,36300
SDT,20100203,52,53.6,52,52.9,65000
SDT,20100202,53.1,53.1,52,52.2,40700
SDT,20100201,51.6,53.4,51.1,52.5,34900
SDT,20100129,50.5,51.9,49.5,50.6,60000
SDT,20100128,52.1,53,51,51.9,54300
SDT,20100127,56,56,51,52.8,52400
SDT,20100126,52.2,53.3,51.1,53.2,29200
SDT,20100125,48.5,50.7,47,49.7,70000
SDT,20100122,45.8,50,45,47.3,84900
SDT,20100121,49,51.3,47.6,48.1,195900
SDT,20100120,52.5,52.5,50.8,51.3,96600
SDT,20100119,51.5,55,51.2,51.9,57400
SDT,20100118,53.6,53.7,51.5,52.2,133700
SDT,20100115,57.5,58,53.1,55.3,63400
SDT,20100114,55.5,55.6,54.5,55.5,164800
SDT,20100113,49,55.1,47.8,51.9,149300
SDT,20100112,53.2,54.9,49.4,51.4,226900
SDT,20100111,55.5,56,52,53.2,167100
SDT,20100108,55.6,57.9,53,55.5,209800
SDT,20100107,55.2,57.5,54.8,55.6,160700
SDT,20100106,56,60,56,59,207300
SDT,20100105,60.5,60.5,57,59.7,209100
SDT,20100104,56,57,53.5,56.5,77500
SDT,20091231,52,53.9,51,53.2,198400
SDT,20091230,49.5,51.5,48.5,50.3,157000
SDT,20091229,50,51.9,48.8,49.9,84100
SDT,20091228,52,52.2,48,51,118200
SDT,20091225,48.5,48.8,48.5,48.7,76700
SDT,20091224,44,46.7,42.5,45.5,183300
SDT,20091223,43.1,45,42,43.6,106400
SDT,20091222,45.3,45.3,42.2,43.7,195200
SDT,20091221,42,43.1,42,43,128300
SDT,20091218,40,40.4,40,40.2,30900
SDT,20091217,37.8,41,37.1,37.7,110300
SDT,20091216,41,41,38.9,39.1,178200
SDT,20091215,42,42.5,41,41.9,113500
SDT,20091214,40.5,42.1,40,41.7,126800
SDT,20091211,40,40.1,39.2,39.3,271300
SDT,20091210,44.4,45.7,41.4,42.2,112900
SDT,20091209,45,45.3,44.4,44.5,157600
SDT,20091208,49.9,49.9,46.3,47.8,104500
SDT,20091207,49.7,50.9,49,49.8,66100
SDT,20091204,49,50.5,49,49.7,55400
SDT,20091203,49,50.8,47.2,48.5,107600
SDT,20091202,56,56,49.9,50.8,102400
SDT,20091201,53,54.3,52,53.8,163100
SDT,20091130,50,52,49.5,50.7,70200
SDT,20091127,48.5,54,48.3,49.4,315900
SDT,20091126,52.1,52.2,52,52,34300
SDT,20091125,58,58,55.2,56,111600
SDT,20091124,60,61.5,58.1,59.5,82000
SDT,20091123,65.1,65.2,60.6,62.1,103300
SDT,20091120,61.7,66.1,61.7,65.1,282800
SDT,20091119,61.5,63,60.5,61.7,178500
SDT,20091118,60,61.2,58.5,60.4,117800
SDT,20091117,62,62.5,59.5,59.8,52400
SDT,20091116,59.5,61.5,59,59.9,127800
SDT,20091113,57.5,59.9,57.5,58.3,147000
SDT,20091112,57.5,59.5,56,58.1,94100
SDT,20091111,56,58,54,55.7,136400
SDT,20091110,59,59,53.2,54.9,194000
SDT,20091109,59.3,59.3,56.9,57.3,158900
SDT,20091106,63,64.8,59,61.3,69000
SDT,20091105,59,61.9,57.8,60.7,124100
SDT,20091104,54.5,60.5,54.5,57.8,162600
SDT,20091103,60,61.2,57.2,57.9,150300
SDT,20091102,63,63,61.4,61.6,136500
SDT,20091030,65.5,67.9,64.6,66.1,187600
SDT,20091029,64.3,64.6,62.8,63.5,162800
SDT,20091028,64,68.9,64,67.6,116300
SDT,20091027,64,69,63.9,64.9,141500
SDT,20091026,67,71,65.2,68.8,251900
SDT,20091023,72,72,68,69.5,262300
SDT,20091022,71,72,70,71.4,189200
SDT,20091021,73,73,70.1,71.3,179900
SDT,20091020,74.6,74.8,72,73.1,213500
SDT,20091019,68,71,68,69.8,331800
SDT,20091016,75,75,70,70.2,206200
SDT,20091015,76.8,76.8,72.1,75.4,371200
SDT,20091014,70,73.5,69.2,71.7,366900
SDT,20091013,75.8,75.8,70,72.6,407900
SDT,20091012,69,71.1,69,70.8,440200
SDT,20091009,65.7,67.6,64.5,66.4,386200
SDT,20091008,64,64.8,61.4,63.2,166100
SDT,20091007,62,64.2,62,63.9,403300
SDT,20091006,60,61.4,59,59.9,182800
SDT,20091005,60.5,60.5,56.5,58.9,272700
SDT,20091002,61,61,57.4,57.8,234100
SDT,20091001,64,64,60.5,61.8,195100
SDT,20090930,63,64,61,62.6,197800
SDT,20090929,65,65,61.8,62.3,238800
SDT,20090928,61.6,64,61.5,62.7,213800
SDT,20090925,60,63.5,59.5,61.6,325400
SDT,20090924,64.5,65.2,62.4,62.8,333200
SDT,20090923,70,70.6,64.3,67.2,318400
SDT,20090922,71,71.2,66,69.1,182300
SDT,20090921,66.2,66.5,66,66.5,192700
SDT,20090918,57.1,63.6,57.1,62.1,441400
SDT,20090917,61,63,57.4,59.4,452000
SDT,20090916,61.5,61.5,58,61,792900
SDT,20090915,57.4,57.4,57.4,57.4,118900
SDT,20090914,52,53.9,51,53.6,595200
SDT,20090911,50,52.7,49.2,50.3,197200
SDT,20090910,50,50,48.4,49.3,143900
SDT,20090909,52.5,52.9,49,49.8,311000
SDT,20090908,49.2,49.7,47.5,49.4,334700
SDT,20090907,46.2,50,44.2,46.4,235500
SDT,20090904,49.5,49.6,45.9,47.1,314000
SDT,20090903,52,52,48,49.3,344500
SDT,20090901,52.2,52.2,49.2,51.7,858000
SDT,20090831,48.7,48.7,48.7,48.7,35200
SDT,20090828,45.4,45.4,45.4,45.4,76200
SDT,20090827,41,43.2,41,42.3,493000
SDT,20090826,39.7,41,39.7,40.3,209900
SDT,20090825,40.9,40.9,39,39.8,161200
SDT,20090824,41.6,43,40.5,41.1,160700
SDT,20090821,40.6,42.6,39.6,41.6,207300
SDT,20090820,40.8,40.8,39.2,39.7,144600
SDT,20090819,39,40,38.7,39.4,155000
SDT,20090818,36,39,36,37.9,188700
SDT,20090817,38,38,37,37.5,118100
SDT,20090814,36.1,38.5,36.1,37.6,109000
SDT,20090813,40.5,41,37.6,38.1,211800
SDT,20090812,41.3,41.6,39,40.5,172700
SDT,20090811,36.9,39.6,36.9,38.8,473900
SDT,20090810,37.2,37.5,36.2,36.9,149000
SDT,20090807,36,36.5,35.9,36.2,49600
SDT,20090806,35.6,36.6,35.5,36.1,278700
SDT,20090805,35.5,35.9,34.9,35.4,149700
SDT,20090804,36.3,37,35,35.3,188300
SDT,20090803,37.3,37.3,34,34.9,44400
SDT,20090731,35,35.2,34.4,34.8,52300
SDT,20090730,34.6,34.6,33.8,34.1,46200
SDT,20090729,34.5,35.5,33.5,34.5,89000
SDT,20090728,35.1,36.5,33.9,34.4,169100
SDT,20090727,37.6,37.6,35,36.6,109800
SDT,20090724,35,35.1,35,35.1,182200
SDT,20090723,30.6,33.7,30.6,32.7,124400
SDT,20090722,31.5,31.7,31.1,31.4,24100
SDT,20090721,32,32.5,30.8,31.4,36800
SDT,20090720,31.1,31.1,30.1,30.6,43600
SDT,20090717,32.5,33,32,32.4,56300
SDT,20090716,32.9,33.9,32.9,33.1,75900
SDT,20090715,31.6,32.8,31.5,31.9,36100
SDT,20090714,33,33,31.1,31.5,75900
SDT,20090713,33.5,33.5,31.5,31.9,87100
SDT,20090710,33.8,34.5,32.2,33.4,52000
SDT,20090709,32,34.7,32,34.3,136800
SDT,20090708,32.6,33.1,31.8,32.3,81600
SDT,20090707,33.2,34,32.6,33.1,37700
SDT,20090706,32,33.6,32,33.2,85400
SDT,20090703,30.9,32.1,28.7,31.3,29600
SDT,20090702,30.5,31.5,29.2,30.8,114400
SDT,20090701,31,31,29.8,30.1,180200
SDT,20090630,34.2,34.2,31.6,32.1,244900
SDT,20090629,35,35,33.6,34.1,70700
SDT,20090626,35.2,35.2,33.9,34.6,167100
SDT,20090625,38.6,38.6,35,35.9,140700
SDT,20090624,34,36.1,34,36,31400
SDT,20090623,33.2,35,33,33.7,262100
SDT,20090622,37.5,39,34.8,35.4,350000
SDT,20090619,39.5,39.5,36.6,37.5,342700
SDT,20090618,39.5,40.5,38,39.5,139000
SDT,20090617,34.1,39.5,34.1,37.9,305000
SDT,20090616,39,39,36.6,36.8,390400
SDT,20090615,42.8,42.9,37.2,39.5,523000
SDT,20090612,40,40,40,40,295600
SDT,20090611,37.3,37.3,37,37.3,119500
SDT,20090610,36.6,36.7,34.4,34.8,531100
SDT,20090609,39,39.1,34.4,37.1,371000
SDT,20090608,36.5,36.5,36.5,36.5,209800
SDT,20090605,33,34,33,34,198600
SDT,20090604,30.5,32.3,30.3,31.7,269300
SDT,20090603,31.7,32,30.8,31,232200
SDT,20090602,30.5,32.5,30.5,32.2,277600
SDT,20090601,28.7,30.5,28.7,30.3,115800
SDT,20090529,29,29.5,27.2,28.4,218600
SDT,20090528,28.6,29,28.6,28.6,265300
SDT,20090527,33.5,33.5,30.7,30.9,420400
SDT,20090526,35,35.3,31.7,33.1,279200
SDT,20090525,33.5,33.5,33,33.5,171400
SDT,20090522,31.3,31.3,29.4,31.2,733600
SDT,20090521,29.6,29.6,28,29.2,388000
SDT,20090520,29,29,26.5,27.6,307200
SDT,20090519,28.2,28.4,27.6,28.1,245700
SDT,20090518,26.6,27.2,26,26.5,183900
SDT,20090515,25.2,26.4,25.2,26,268600
SDT,20090514,23.8,25,23.8,24.6,217200
SDT,20090513,26.1,26.3,25.1,25.7,219300
SDT,20090512,25,26.9,24.8,26.1,196000
SDT,20090511,27.7,27.7,25.2,26.3,163700
SDT,20090508,26.3,27.5,25.7,26.6,241700
SDT,20090507,25,26.3,25,26.3,343600
SDT,20090506,25.1,25.5,23.4,24.5,313700
SDT,20090505,24.5,24.5,24,24.5,342100
SDT,20090504,22.8,22.8,22.8,22.8,3500
SDT,20090429,21.2,21.7,20.4,21.2,132900
