<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SEC,20100729,29.7,30.9,29.7,30.6,54490
SEC,20100728,31.1,31.9,30.1,30.1,57370
SEC,20100727,32.2,32.6,31.1,31.1,60110
SEC,20100726,32.8,32.8,31.8,32.3,32210
SEC,20100723,32,32.5,31.8,31.8,61760
SEC,20100722,32.7,32.7,32,32,57190
SEC,20100721,32.5,33.3,32.5,32.6,126180
SEC,20100720,33,33.6,32.6,32.9,70810
SEC,20100719,32.9,33.4,32.5,33.4,187270
SEC,20100716,32.1,32.9,31.8,31.9,85950
SEC,20100715,32,32.9,31.9,32.1,159410
SEC,20100714,33.3,33.9,32.4,33,124400
SEC,20100713,33.5,34,33,33.4,55410
SEC,20100712,33.1,33.1,32.5,33,18640
SEC,20100709,33,33.4,33,33.1,46710
SEC,20100708,34,34,33,33,145650
SEC,20100707,32.9,33,32.9,33,213500
SEC,20100706,33.1,33.1,31.5,31.5,67850
SEC,20100705,33.3,33.3,32.3,32.8,33780
SEC,20100702,32.3,33.2,32.3,32.3,29390
SEC,20100701,33.5,33.5,32.3,32.3,43600
SEC,20100630,32.2,33,32,33,140780
SEC,20100629,33.9,34,33.3,33.3,57820
SEC,20100628,33.5,34,33,33.4,74210
SEC,20100625,34.3,35.4,33.5,33.5,156700
SEC,20100624,33.8,34.9,33.8,34.9,236580
SEC,20100623,33.7,33.7,33,33.3,51580
SEC,20100622,34.4,34.4,33.2,33.2,120990
SEC,20100621,34.5,34.5,34,34.3,119690
SEC,20100618,34.5,34.5,33.8,34,104420
SEC,20100617,35,35,33.8,34,103770
SEC,20100616,35.2,35.4,34.4,35,139150
SEC,20100615,34,34.5,33.5,34.3,155900
SEC,20100614,33.8,34.5,33.8,34.3,161140
SEC,20100611,34.2,34.2,33.3,33.4,113430
SEC,20100610,31.8,32.7,31.2,32.7,97790
SEC,20100609,32.9,32.9,31.2,31.2,129760
SEC,20100608,32.2,32.9,31.7,31.9,231850
SEC,20100607,33.5,33.8,33.2,33.2,282800
SEC,20100604,34.7,34.9,34,34.9,158820
SEC,20100603,36.5,36.5,35,35,94830
SEC,20100602,35.1,35.9,34.6,35.5,136000
SEC,20100601,33.9,35.1,33.5,35.1,552460
SEC,20100531,34,35.2,33.5,33.5,212160
SEC,20100528,35.9,35.9,35.2,35.2,149700
SEC,20100527,33.9,34.3,33.2,34.3,336090
SEC,20100526,32,32.7,32,32.7,167950
SEC,20100525,31.5,32.6,31,31.2,348920
SEC,20100524,33.2,33.9,32.3,32.6,123170
SEC,20100521,33.8,34.4,33.8,33.8,112880
SEC,20100520,33,35.5,32.5,35.5,210830
SEC,20100519,35.1,35.5,34.2,34.2,159830
SEC,20100518,36.8,36.8,35.6,36,260630
SEC,20100517,36,36,35.1,36,462730
SEC,20100514,34.4,34.9,34.1,34.3,190480
SEC,20100513,35.5,36.5,34.3,34.3,279240
SEC,20100512,36.6,37.5,36.1,36.1,426720
SEC,20100511,39.5,39.5,37.7,38,232270
