<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SHN,20100729,36.4,39.8,36.4,39.2,533300
SHN,20100728,38.9,39.7,38.6,39.1,658600
SHN,20100727,39.8,39.8,38.5,38.8,547100
SHN,20100726,41,41,38.5,39.8,800700
SHN,20100723,37,39.1,36.6,38.4,1417200
SHN,20100722,37.5,37.6,36,36.6,551700
SHN,20100721,37.7,37.7,36,37.4,993700
SHN,20100720,34.1,36,33.7,35.3,1071200
SHN,20100719,34.2,34.2,32.9,33.7,401700
SHN,20100716,34.5,35,33.8,34.2,617100
SHN,20100715,32.5,35.4,32.1,34.1,1123600
SHN,20100714,35,35,32.6,33.2,594700
SHN,20100713,35,36.1,33.9,34.7,398700
SHN,20100712,32,34.2,30.2,33.9,708700
SHN,20100709,32.7,32.7,30.8,32,2084600
SHN,20100708,30.6,30.6,30.6,30.6,148300
SHN,20100707,28.6,28.6,28.6,28.6,14500
SHN,20100706,26.8,26.8,26.8,26.8,6800
SHN,20100705,25.1,25.1,25.1,25.1,4800
SHN,20100702,24,24,23.1,23.5,946200
SHN,20100701,24.1,24.1,23.4,23.6,442800
SHN,20100630,24.7,24.7,23.8,24,695300
SHN,20100629,25.5,25.6,24.7,25,633800
SHN,20100628,24.1,24.5,23.9,24.5,820100
SHN,20100625,23.6,23.6,23.2,23.4,513000
SHN,20100624,23.6,23.9,23.4,23.6,817100
SHN,20100623,23.3,23.9,23,23.5,397500
SHN,20100622,24.3,24.4,23.3,23.9,716100
SHN,20100621,24.4,24.9,24.1,24.4,742000
SHN,20100618,24.7,24.8,24,24.4,374200
SHN,20100617,24.8,24.8,24.1,24.7,987400
SHN,20100616,23.6,23.7,23.3,23.7,292000
SHN,20100615,22.3,23.1,22.2,22.7,1004300
SHN,20100614,22.4,22.8,21.8,22.3,416000
SHN,20100611,22.4,22.9,22.2,22.4,491100
SHN,20100610,22.2,22.7,21.7,22.1,555100
SHN,20100609,21.8,22,21.5,21.8,604700
SHN,20100608,20.5,21.6,20.5,21.2,451200
SHN,20100607,21.2,21.7,21.2,21.3,658700
SHN,20100604,22.3,22.6,22,22.2,306800
SHN,20100603,22.8,23.1,22.2,22.5,760800
SHN,20100602,21.7,22.5,21.4,22.1,543200
SHN,20100601,21.8,22.7,21.2,21.7,567900
SHN,20100531,22.8,22.8,21.7,21.8,592700
SHN,20100528,22.7,22.7,22,22.7,795100
SHN,20100527,21.4,22.2,20.9,21.8,632400
SHN,20100526,20.9,21.4,20.6,21.3,327100
SHN,20100525,19.6,20.5,19.6,20.5,582500
SHN,20100524,19.4,20.7,19.4,19.7,447100
SHN,20100521,20.3,20.6,20.3,20.3,547700
SHN,20100520,20.9,22.2,20.9,21.2,660300
SHN,20100519,22.2,22.2,21.9,21.9,647200
SHN,20100518,23.9,23.9,22.4,23,1058900
SHN,20100517,22.9,22.9,22.8,22.9,268200
SHN,20100514,21.7,22,21.3,21.9,318900
SHN,20100513,20.9,22.1,20.7,21,866900
SHN,20100512,22.2,22.2,21.7,21.7,334500
SHN,20100511,23.9,24.4,22.5,22.7,692800
SHN,20100510,24.2,24.8,23.5,23.7,827000
SHN,20100507,25.2,25.2,24.7,24.7,1148400
SHN,20100506,25.3,26.3,25.3,25.9,495400
SHN,20100505,26,26,25,25.3,857900
SHN,20100504,27.7,27.7,26,26.4,556500
SHN,20100429,26.2,26.6,26,26.6,1134100
SHN,20100428,24.9,25.6,24.5,25.4,824100
SHN,20100427,23.2,25.1,23,24.5,639300
SHN,20100426,24.9,24.9,24,24.1,543100
SHN,20100422,26.6,26.8,24.9,25.2,998100
SHN,20100421,26.3,26.3,25.1,26.2,1154400
SHN,20100420,25.1,25.1,24.9,25.1,174200
SHN,20100419,23.9,23.9,23.5,23.9,413600
SHN,20100416,22.8,22.9,22.8,22.9,290500
SHN,20100415,21.9,21.9,21.7,21.9,436700
SHN,20100414,20.3,21.1,20.3,21,670300
SHN,20100413,19.9,20.5,19.9,20.3,871000
SHN,20100412,19.5,20,19.4,19.8,642800
SHN,20100409,20,20,19.1,19.3,577300
SHN,20100408,19.6,20,19.3,19.6,608300
SHN,20100407,19,19.8,19,19.5,705100
SHN,20100406,19.4,19.4,18.7,19.1,1000800
SHN,20100405,18.5,18.7,18.4,18.7,389900
SHN,20100402,17.8,18.2,17.5,18,1188500
SHN,20100401,17.1,17.8,17.1,17.5,437000
SHN,20100331,17.9,18,17.3,17.4,640400
SHN,20100330,18.3,18.5,17.7,18.1,402100
SHN,20100329,17.7,18,17.3,17.9,837800
SHN,20100326,17.6,18.1,16.9,17.3,635500
SHN,20100325,17.6,17.7,17.5,17.5,859900
SHN,20100324,18.4,18.4,17.7,18.2,790000
SHN,20100323,18.1,18.2,17.1,17.7,587900
SHN,20100322,17.2,17.5,17.2,17.5,777100
SHN,20100319,15.7,16.9,15.7,16.9,842200
SHN,20100318,16.8,16.8,16.2,16.3,806800
SHN,20100317,17.1,17.3,16.6,16.8,711200
SHN,20100316,17.3,17.5,16.4,17.3,1293200
SHN,20100315,16.9,16.9,16.5,16.9,851100
SHN,20100312,16.3,16.3,16.3,16.3,430000
SHN,20100311,15.7,15.7,15.6,15.7,333700
SHN,20100310,15.2,15.2,14.5,15.2,661300
SHN,20100309,14,14.8,14,14.8,1131700
SHN,20100308,14.2,14.4,14.1,14.4,530100
SHN,20100305,13.5,14,13.5,14,280000
SHN,20100304,13.5,13.7,13.5,13.7,680700
SHN,20100303,13.4,13.6,13.2,13.4,241300
