<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SJ1,20100729,26.1,27.6,26.1,27.6,19200
SJ1,20100728,24.7,26,24.7,25.8,27400
SJ1,20100727,23.8,25.5,23.8,24.3,7500
SJ1,20100726,23.7,25.2,23.7,23.9,4700
SJ1,20100723,22.7,25.7,22.5,23.6,6400
SJ1,20100722,23.8,25,23.8,24.1,2900
SJ1,20100721,26,26,24.4,25.5,10100
SJ1,20100720,24.3,24.3,24.3,24.3,3500
SJ1,20100719,25.5,25.5,22.5,22.8,1100
SJ1,20100716,23.9,23.9,23.9,23.9,900
SJ1,20100715,24.1,26.5,24.1,24.7,4900
SJ1,20100714,24.8,24.8,24.8,24.8,100
SJ1,20100713,26,26,23.3,23.6,900
SJ1,20100712,25,25.3,22.6,24.3,300
SJ1,20100709,23.1,24,23.1,23.7,20300
SJ1,20100708,22.7,22.7,22.7,22.7,100
SJ1,20100706,24.1,24.3,24.1,24.2,200
SJ1,20100705,26.8,26.8,24.4,25.6,200
SJ1,20100702,25.3,25.3,25.3,25.3,100
SJ1,20100701,23.7,23.7,23.7,23.7,100
SJ1,20100630,24.5,24.5,24.5,24.5,100
SJ1,20100629,26,26,23.1,24.4,800
SJ1,20100628,24.8,24.8,24.8,24.8,100
SJ1,20100624,26.6,26.6,26.6,26.6,100
SJ1,20100623,26.7,26.7,24.9,26.6,1400
SJ1,20100622,26.1,26.1,25,25,30000
SJ1,20100621,26,27.8,26,26.6,600
SJ1,20100618,26,26,26,26,100
SJ1,20100615,27.9,28,27.9,27.9,2200
SJ1,20100614,30,30,30,30,100
SJ1,20100611,29.9,29.9,28,29,200
SJ1,20100610,28,28,28,28,1000
SJ1,20100609,33,33,29.3,30.1,1300
SJ1,20100608,31.2,31.5,31.2,31.4,700
SJ1,20100607,32.1,32.1,32.1,32.1,100
SJ1,20100604,31,31,31,31,200
SJ1,20100603,30.8,30.8,30.8,30.8,100
SJ1,20100602,29,29,29,29,600
SJ1,20100601,30.4,30.4,30.4,30.4,100
SJ1,20100531,28.5,28.5,28.5,28.5,200
SJ1,20100528,26.7,26.8,26.7,26.7,2100
SJ1,20100527,28.7,28.7,28.7,28.7,100
SJ1,20100526,27,27,27,27,700
SJ1,20100525,25.3,25.3,25.3,25.3,4500
SJ1,20100524,27.1,27.1,27.1,27.1,1200
SJ1,20100521,29.1,29.1,29.1,29.1,300
SJ1,20100520,31.2,31.2,31.2,31.2,300
SJ1,20100519,33.5,33.5,33.5,33.5,300
SJ1,20100513,36,36,36,36,100
