<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SME,20100729,24.4,25,24,24.8,183500
SME,20100728,24.6,24.6,23.7,24.3,53200
SME,20100727,24.2,25,23.4,24.3,234600
SME,20100726,24.4,24.4,23.4,23.6,34400
SME,20100723,23.3,23.9,23.2,23.5,131300
SME,20100722,23.5,23.5,23.1,23.3,71900
SME,20100721,23.9,23.9,23.3,23.5,27900
SME,20100720,24.4,24.4,23.8,23.9,52100
SME,20100719,24.5,24.5,23.7,23.9,163500
SME,20100716,24,24.1,23.6,23.9,107300
SME,20100715,24.3,24.4,23.6,23.9,117100
SME,20100714,25.9,26.3,23.1,25.3,267900
SME,20100713,23.2,24.7,23.2,24.6,208300
SME,20100712,22.8,23.4,22.7,23.1,90600
SME,20100709,23.1,23.4,22.7,23,26800
SME,20100708,23.2,23.9,23,23.1,61400
SME,20100707,23.1,23.6,22.4,22.7,72200
SME,20100706,23.1,23.1,22.2,22.4,64500
SME,20100705,24,24,23,23.2,21100
SME,20100702,23,23.5,23,23.1,65300
SME,20100701,23,23.8,22.2,22.7,126100
SME,20100630,23,23.9,23,23.5,128800
SME,20100629,24.4,25,24.3,24.6,107600
SME,20100628,25.1,25.1,23.7,24.1,42700
SME,20100625,24,25.3,23.7,25.1,460600
SME,20100624,22.9,23.7,22.9,23.7,332200
SME,20100623,21.3,22.8,21.3,22.2,664400
SME,20100622,21.5,22,21.5,21.8,45800
SME,20100621,21.4,22.9,21.4,22.4,68000
SME,20100618,22.7,22.7,21.8,22.1,346200
SME,20100617,23,23,22.2,22.5,62900
SME,20100616,22.5,23.1,22,22.9,449000
SME,20100615,21.4,22,21.2,21.6,101200
SME,20100614,22,22,21.3,21.8,34500
SME,20100611,22,22.1,21.7,21.8,184400
SME,20100610,21,21.7,21,21.3,44900
SME,20100609,22,22.8,21.5,21.7,77500
SME,20100608,21,22.4,21,21.8,63700
SME,20100607,22.5,22.5,21.6,21.8,140100
SME,20100604,24,24,22.6,23.2,155400
SME,20100603,24.3,24.6,23.3,23.8,95700
SME,20100602,22.8,23.8,22.5,23.1,150600
SME,20100601,22.2,23.8,22.1,23.1,188400
SME,20100531,23,24,22.6,22.9,94700
SME,20100528,23.9,24.4,23.6,24.2,320400
SME,20100527,22.6,23.2,21.8,22.8,439500
SME,20100526,20.5,21.8,20.4,21.7,123800
SME,20100525,20.5,20.5,19.6,20.4,157300
SME,20100524,19.1,19.2,18.6,19.2,318500
SME,20100521,18,19.3,18,18,543300
SME,20100520,18.5,21,18.5,19.3,672000
SME,20100519,21.6,21.6,19.8,19.9,200300
SME,20100518,23.5,23.5,20.8,21.3,146900
SME,20100517,22.6,23.6,22,22.1,338500
SME,20100514,24.1,24.2,22.9,23.6,247100
SME,20100513,25.4,26.1,23.6,24.1,284800
SME,20100512,26.8,28.8,25,25.4,409700
SME,20100511,27.4,27.4,26,26.9,366800
SME,20100510,24.6,26.1,24.4,25.6,641800
SME,20100507,26.1,26.5,23.6,24.4,383600
SME,20100506,23.9,25.6,23.4,25.4,402200
SME,20100505,25.7,25.7,23.9,23.9,315600
SME,20100504,25.5,26.4,24.8,25.7,398000
SME,20100429,26.1,26.1,24.4,24.7,280800
SME,20100428,26.3,26.3,24.7,26,862100
SME,20100427,24.6,24.6,24.6,24.6,167300
SME,20100426,23,23,23,23,125700
SME,20100422,21.1,21.6,20.9,21.5,322700
SME,20100421,19.1,20.5,19.1,20.2,344100
SME,20100420,19.5,19.6,18.9,19.2,578400
SME,20100419,19.9,20.6,19.1,19.6,337300
SME,20100416,19.1,20.2,19.1,20,465000
SME,20100415,18.6,19.3,18.5,18.9,251100
SME,20100414,18.6,19.4,18.2,18.7,103400
SME,20100413,20.6,21.1,18.9,19.3,405000
SME,20100412,21.2,21.4,19.4,20.3,398100
SME,20100409,20,20,19.8,20,416500
SME,20100408,18.8,18.8,18.1,18.7,190800
SME,20100407,21.5,21.5,16.6,17.6,941400
SME,20100329,17.1,17.5,16.1,17,184720
SME,20100326,16,16.2,15.1,15.9,61132
SME,20100325,15.6,16,15.5,15.6,92000
SME,20100324,15.6,15.9,15.2,15.5,86300
SME,20100323,13.6,15.2,13.6,15.1,36250
SME,20100322,14.1,15.1,13.6,14.1,12950
SME,20100319,15.7,15.8,14.1,14.5,33700
SME,20100318,16.1,16.1,15.5,15.7,35386
SME,20100317,14.6,15.6,14.6,15.3,20500
SME,20100316,17.6,17.6,14.4,14.8,31330
SME,20100315,15.6,16.6,15.6,16,61700
SME,20100312,15.1,15.8,15.1,15.3,40900
SME,20100311,14.6,15,13.7,14.5,37440
SME,20100310,13.6,13.6,13.6,13.6,14400
SME,20100309,13.6,13.8,13.6,13.7,5000
SME,20100308,13.6,13.6,13.5,13.6,13050
SME,20100305,13.6,13.6,13.6,13.6,680
SME,20100304,13.1,13.4,13,13.2,18620
SME,20100303,13.2,13.2,13.2,13.2,12000
SME,20100302,13.6,13.6,12.9,13.2,21500
SME,20100301,13.6,13.6,13.3,13.5,4000
SME,20100226,13.3,13.4,13.1,13.2,4200
SME,20100225,12.2,13.6,12.2,13.3,1620
SME,20100224,13.6,13.6,13.1,13.5,28340
SME,20100223,14.7,14.7,13.6,13.6,8010
SME,20100222,13.6,13.6,13.1,13.4,13600
SME,20100212,14.4,14.4,13.1,13.3,8480
SME,20100211,13.1,13.1,13.1,13.1,163000
SME,20100210,13.1,13.1,13.1,13.1,102000
SME,20100209,13.6,13.6,13.1,13.2,136100
SME,20100208,13.4,13.4,13.4,13.4,500
SME,20100205,13.6,13.6,13,13.1,5450
SME,20100204,13.6,14.1,13.6,13.6,8080
SME,20100203,13.6,13.7,13.1,13.5,200550
SME,20100202,13,13.1,13,13.1,1140
SME,20100201,12.6,12.6,12.6,12.6,2000
SME,20100129,12.6,13.1,12.6,12.9,4350
SME,20100128,12.6,13.1,12.5,12.8,22700
SME,20100127,13.9,13.9,13.9,13.9,10
SME,20100126,12.6,12.6,12.6,12.6,1000
SME,20100125,12.2,12.3,12.2,12.3,3730
SME,20100122,13.1,13.1,10.7,11.2,30700
SME,20100121,11.9,12,11.9,11.9,11000
SME,20100120,13.1,13.1,13,13.1,22900
SME,20100119,13.1,13.1,13.1,13.1,2020
SME,20100118,13.2,13.4,12.2,13,21730
SME,20100115,13.4,14,13.3,13.5,41980
SME,20100114,13.2,14,13.2,13.7,102900
SME,20100113,12.6,13.1,12.6,12.9,8040
SME,20100112,11.7,12.8,11.7,12.4,39330
SME,20100111,11.7,12.9,11.7,12.7,81800
SME,20100108,11.6,11.8,11.6,11.7,24036
SME,20100107,13.6,13.6,11.2,12.2,23690
SME,20100106,12.6,12.6,11.5,12.4,99196
SME,20100105,10.7,11.7,10.6,11.5,55125
SME,20100104,10.1,10.7,10.1,10.6,8630
SME,20091231,10.7,10.7,9.6,9.7,2610
SME,20091230,9.5,10,9.5,9.7,17700
SME,20091229,10.1,11.7,9.6,9.9,2420
SME,20091228,10.6,10.6,10.6,10.6,10
SME,20091225,10,10,9.6,9.6,1010
SME,20091224,9.1,10.4,9.1,9.1,73060
SME,20091223,9.8,9.8,9.4,9.5,150
SME,20091222,9.1,9.6,9.1,9.4,1600
SME,20091221,11,11,9.1,9.1,21040
SME,20091218,10,10.1,10,10,15000
SME,20091217,11,11,11,11,10
SME,20091216,12.2,12.2,10,10,2050
SME,20091215,11.1,11.1,11.1,11.1,260
SME,20091214,12.3,12.3,10.1,10.1,50010
SME,20091211,11.2,11.2,11.2,11.2,10
SME,20091210,12.4,12.4,10.2,10.2,1330
SME,20091209,13.7,13.7,11.3,11.3,1910
SME,20091208,12.5,12.5,12.5,12.5,10
SME,20091207,11.4,11.4,11.4,11.4,20
SME,20091204,11.8,11.8,10.3,10.4,6010
SME,20091203,11.7,11.7,10.8,10.8,1020
SME,20091201,12.2,12.2,10.6,10.6,3060
SME,20091130,11.1,11.1,11.1,11.1,10
SME,20091127,10,10.2,9.6,10.1,13950
SME,20091126,11.4,11.5,9.5,9.7,5021
SME,20091125,12.5,12.5,10.4,10.5,4120
SME,20091124,12.9,12.9,10.8,11.4,160
SME,20091123,12.9,12.9,11.7,11.7,4120
SME,20091120,11.6,12,11.6,11.7,16500
SME,20091118,12.3,12.3,11.6,11.6,1010
SME,20091117,12.4,12.4,11.1,11.2,1170
SME,20091116,11.2,11.5,11.2,11.3,4000
SME,20091113,11.2,11.2,11.1,11.1,4130
SME,20091112,11.6,11.7,11.2,11.4,11499
SME,20091111,12.5,12.5,11.6,11.7,90
SME,20091110,11.2,11.6,11.2,11.5,6330
SME,20091109,11.3,12.8,11.3,11.4,2010
SME,20091106,11.6,12.9,11.6,11.6,30760
SME,20091105,13,13,11.6,11.7,13060
SME,20091104,12.8,12.8,11.6,11.8,1200
SME,20091103,11.6,11.6,11.6,11.6,17000
SME,20091102,11.6,11.8,11.6,11.7,27920
