<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SSC,20100729,43.3,44.5,43.3,44.5,190
SSC,20100728,45,45,45,45,1000
SSC,20100727,44,45,44,45,2720
SSC,20100726,44.1,44.1,44,44,1430
SSC,20100723,44.5,45,44.4,44.6,1500
SSC,20100722,45,45,45,45,30
SSC,20100721,45,45,44.9,45,1430
SSC,20100720,45,45.6,45,45.6,10050
SSC,20100719,42.9,45,42.8,45,2500
SSC,20100716,45,45,45,45,500
SSC,20100715,44,45,44,45,220
SSC,20100714,46,46,46,46,1000
SSC,20100713,43.9,45.8,43.7,45,1860
SSC,20100708,45.9,45.9,45.9,45.9,50
SSC,20100707,44.8,44.8,44.8,44.8,50
SSC,20100706,42.9,42.9,42.9,42.9,50
SSC,20100705,44.2,44.2,42.9,42.9,600
SSC,20100702,44.7,44.7,44.7,44.7,20
SSC,20100701,45.2,45.2,45.2,45.2,410
SSC,20100630,45.1,45.2,44.2,45.2,10500
SSC,20100629,45.2,45.2,45.2,45.2,500
SSC,20100628,45.2,45.2,45.2,45.2,5500
SSC,20100625,45.1,45.1,45.1,45.1,4000
SSC,20100624,44.6,45.1,44.6,45.1,2030
SSC,20100623,44.7,44.7,44.7,44.7,470
SSC,20100622,44.7,44.7,44.7,44.7,1000
SSC,20100621,43.2,44.6,42.6,44.6,2980
SSC,20100618,45.2,45.2,44.2,44.2,2900
SSC,20100617,44.2,45.2,44.2,45.2,2180
SSC,20100615,45.2,45.2,45.2,45.2,3000
SSC,20100614,43.1,45.2,43.1,45.2,160
SSC,20100611,45.2,45.2,45.2,45.2,20
SSC,20100610,44.7,45.2,43.5,45.2,1260
SSC,20100608,45.2,45.6,45.2,45.6,3500
SSC,20100607,44.3,45.7,44.3,45.7,2220
SSC,20100604,45.8,45.8,45.8,45.8,11260
SSC,20100603,46.1,46.1,45.9,46,2500
SSC,20100602,45.2,46.1,45.2,46.1,3240
SSC,20100601,45.7,45.7,45.7,45.7,2000
SSC,20100531,45.4,46.2,45.2,46.2,8000
SSC,20100528,46.2,46.2,46.2,46.2,3000
SSC,20100527,45.2,45.2,44.7,45.2,11900
SSC,20100526,42.2,44.1,42.1,44.1,11990
SSC,20100525,42.1,42.1,42.1,42.1,3130
SSC,20100524,41,41,40.2,40.2,6100
SSC,20100521,39.2,41,39.2,41,15570
SSC,20100520,40.6,41.2,40.6,41.2,12650
SSC,20100519,44.2,44.2,42.7,42.7,49350
SSC,20100518,44.9,44.9,44.9,44.9,120
SSC,20100517,45.2,45.2,45.2,45.2,620
SSC,20100514,46.7,46.7,46.7,46.7,300
SSC,20100513,48.2,48.2,48.2,48.2,6850
SSC,20100512,46.9,46.9,46.2,46.2,410
SSC,20100511,49.2,49.2,46.9,46.9,1480
SSC,20100510,47.3,49.2,47.3,49.2,2340
SSC,20100507,46.7,49.7,46.2,49.7,12150
SSC,20100506,49.2,49.2,47.9,47.9,2210
SSC,20100505,48.2,49.2,47.2,49.2,5760
SSC,20100504,50.5,50.5,49.2,49.7,2900
SSC,20100429,48.6,50.5,48.6,50.5,24950
SSC,20100428,47.4,48.6,47.4,48.6,5140
SSC,20100427,47.8,48.2,47.8,48.2,23050
SSC,20100426,48.2,48.2,47.2,48.2,10800
SSC,20100422,47.7,48.2,47.7,48.2,4150
SSC,20100421,48.2,48.2,47.2,47.7,5220
SSC,20100420,46.3,47.2,46.2,47.2,7930
SSC,20100419,46.2,47.1,46.2,47.1,4230
SSC,20100416,47.4,49.1,47.4,48.2,19150
SSC,20100415,47.1,47.7,47,47.6,24300
SSC,20100414,47,47,46.9,46.9,3470
SSC,20100413,47.1,47.2,46.7,47.1,16830
SSC,20100412,47.1,47.1,46.2,46.9,10380
SSC,20100409,45.4,46.5,45.4,46.5,27940
SSC,20100408,45.4,46.2,45.4,45.8,2930
SSC,20100407,45.2,46.2,45.2,46,26520
SSC,20100406,46.5,46.5,43.8,45.2,1520
SSC,20100405,45.1,45.7,44.2,45.7,7880
SSC,20100402,43.9,45.2,43.8,43.8,270
SSC,20100401,45.1,45.2,45.1,45.2,3020
SSC,20100331,43.1,45.2,43.1,45.2,8110
SSC,20100330,45.2,45.6,44.7,45.2,13760
SSC,20100329,45.2,45.7,45,45.2,12450
SSC,20100326,45.2,45.2,44.2,45.2,6220
SSC,20100325,43.8,44.4,43.8,44.1,8500
SSC,20100324,43.3,45.5,43.3,45.2,7370
SSC,20100323,44.2,44.2,43.2,43.3,6390
SSC,20100322,43.2,44.2,42.8,43.2,8700
SSC,20100319,45.6,45.6,44.2,44.2,11110
SSC,20100318,44.7,44.7,43.9,44.6,5660
SSC,20100317,44,44.7,43.8,43.8,17520
SSC,20100316,45.4,46.1,44.7,44.7,60400
SSC,20100315,46.6,46.6,46.2,46.5,23440
SSC,20100312,44.2,45.2,44.2,45.1,25240
SSC,20100311,42.2,44.2,42.2,44.2,117110
SSC,20100310,40.2,42.1,40.2,42.1,19460
SSC,20100309,40.2,40.5,40.1,40.2,12900
SSC,20100308,39.7,40.2,39.3,39.3,28960
SSC,20100305,39.3,40.1,39.3,39.5,8240
