<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SZL,20100729,31,31.7,30.7,30.7,108290
SZL,20100728,33,33,31.4,31.4,112210
SZL,20100727,33.3,33.8,33,33,26220
SZL,20100726,34,34,33.3,33.3,74310
SZL,20100723,33.5,34,33,34,35830
SZL,20100722,33.5,33.7,33.3,33.3,107880
SZL,20100721,34.5,34.5,33.7,33.7,73250
SZL,20100720,34.1,34.4,34,34,104270
SZL,20100719,34,34.5,33.9,34.2,37400
SZL,20100716,34.1,34.5,34,34,125650
SZL,20100715,35,35,33.5,34.5,129370
SZL,20100714,35.8,35.8,34.9,34.9,104780
SZL,20100713,36,36,35.2,35.5,103470
SZL,20100712,35,35.2,34.1,35.2,65780
SZL,20100709,34.4,35,34.4,35,108360
SZL,20100708,35.5,35.5,34.5,34.5,97880
SZL,20100707,36,36,34.7,34.7,179730
SZL,20100706,34.8,35.5,34,35,188870
SZL,20100705,34.6,34.9,34,34.3,80260
SZL,20100702,34.9,34.9,34,34.8,51750
SZL,20100701,34.5,35,34,34.4,186310
SZL,20100630,34.4,35,34,35,107640
SZL,20100629,35.4,36.3,35.2,35.5,178690
SZL,20100628,36,36.4,35.1,35.4,130330
SZL,20100625,36,37.5,35.5,35.5,205570
SZL,20100624,34.6,36.1,34.4,36.1,468090
SZL,20100623,34,34.9,34,34.4,39870
SZL,20100622,34.9,35.2,34.3,34.3,99020
SZL,20100621,35,35.4,34.9,34.9,101430
SZL,20100618,34.8,35.1,34.8,34.9,127100
SZL,20100617,35,35.4,35,35.2,31250
SZL,20100616,35,35.8,35,35.5,144720
SZL,20100615,35.3,35.5,34.7,35,59910
SZL,20100614,34.7,35.5,34.7,35.3,92340
SZL,20100611,35.4,35.4,34.7,34.7,109140
SZL,20100610,33.5,34.8,33.5,34.7,66740
SZL,20100609,34.8,35.5,34.5,34.5,88210
SZL,20100608,35,35,34.4,34.5,120490
SZL,20100607,34.5,36,34.4,34.4,77340
SZL,20100604,36.4,36.5,35.5,36.1,98400
SZL,20100603,36.5,37,36.4,36.4,101010
SZL,20100602,35.6,36.4,35.6,36.4,156430
SZL,20100601,36,36.4,35.8,36.2,73220
SZL,20100531,37,37,36.3,36.3,83850
SZL,20100528,37,37.2,36.5,37.2,209430
SZL,20100527,35.6,35.6,34.3,35.5,137750
SZL,20100526,34.4,34.6,34,34.6,119760
SZL,20100525,33,34,33,33,136600
SZL,20100524,34.4,35,32.7,34,157080
SZL,20100521,34.5,35.5,34.4,34.4,214250
SZL,20100520,34.3,36.2,34.3,36.2,303570
SZL,20100519,37.3,37.3,36.1,36.1,263870
SZL,20100518,38.4,38.4,37.5,37.9,170740
SZL,20100517,39.3,39.3,37.9,38.4,192330
SZL,20100514,40.1,40.1,39,39.3,278680
SZL,20100513,39.5,40,38.7,39,214260
SZL,20100512,40,40.1,39,39,293540
SZL,20100511,42,42.1,40.1,40.1,261250
SZL,20100510,41,42.2,39.8,41,405030
SZL,20100507,43.1,43.1,41.8,41.8,594710
SZL,20100506,46,46,43,44,415390
SZL,20100505,46.6,46.7,44.3,44.3,789930
SZL,20100504,45,46.6,44.7,46.6,513020
SZL,20100429,44.4,44.4,44,44.4,512150
