<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TAC,20100729,28.8,29,28,28.2,41020
TAC,20100728,29.1,29.6,28.5,28.8,51640
TAC,20100727,30.6,30.6,29.6,29.6,62220
TAC,20100726,30.3,30.5,29.6,29.6,34130
TAC,20100723,31,31,30.6,30.6,47700
TAC,20100722,30.6,30.8,30.6,30.7,48090
TAC,20100721,31.2,31.2,30.6,30.6,60920
TAC,20100720,31,31.4,31,31.1,30500
TAC,20100719,30.7,31.5,30.7,31.5,76170
TAC,20100716,31.4,31.4,31,31,69580
TAC,20100715,31.8,31.8,31.3,31.3,89300
TAC,20100714,31.5,32.2,31.2,31.2,98150
TAC,20100713,31.5,31.7,31,31.2,96400
TAC,20100712,30.2,30.3,30.2,30.3,36330
TAC,20100709,30.1,30.4,30.1,30.1,66180
TAC,20100708,31,31,30,30.3,54570
TAC,20100707,30.9,31,30,30,39540
TAC,20100706,30.6,31.5,30.6,30.7,85390
TAC,20100705,31.4,31.4,31,31,25270
TAC,20100702,31,31.8,31,31.2,32160
TAC,20100701,30.6,31.2,30.6,31.1,62350
TAC,20100630,30.7,31.4,30.7,31,63490
TAC,20100629,31.6,32.2,31.5,31.5,45530
TAC,20100628,32,32,30.1,31.9,97170
TAC,20100625,31.8,32.1,31.5,31.5,66770
TAC,20100624,32,32.6,32,32.2,67590
TAC,20100623,31.7,33,31.7,31.8,53060
TAC,20100622,33.1,33.4,32.5,32.5,160820
TAC,20100621,32.7,33.5,32.7,33.5,80430
TAC,20100618,32.4,33,32.4,32.7,114770
TAC,20100617,32,33.5,32,32.6,101360
TAC,20100616,31.4,32.5,31.4,32.5,219310
TAC,20100615,31.5,31.5,30.7,31,110730
TAC,20100614,31.5,32.1,31.3,31.5,31600
TAC,20100611,31.8,31.9,31.2,31.5,56180
TAC,20100610,30.5,31.5,30.2,30.8,82640
TAC,20100609,31.8,31.8,30.1,30.5,155380
TAC,20100608,31.9,32,31.2,31.4,55250
TAC,20100607,32.1,32.5,31.9,31.9,127000
TAC,20100604,34.7,34.7,33.2,33.5,69610
TAC,20100603,34.5,34.7,33.5,34.7,442610
TAC,20100602,32,33.6,31.8,33.1,111070
TAC,20100601,32.5,33,31.2,32.8,87590
TAC,20100531,33,33,32,32.5,70070
TAC,20100528,32.5,33,32.3,33,119200
TAC,20100527,31,31.5,30.1,31.5,112050
TAC,20100526,30,30.4,29.7,30.4,201780
TAC,20100525,30,30,29,29,100420
TAC,20100524,29.8,31,29,30,149330
TAC,20100521,30.5,30.5,30.5,30.5,58570
TAC,20100520,30.5,32.1,30.4,32.1,141620
TAC,20100519,33,33,31.9,31.9,107710
TAC,20100518,32.8,33.5,32.7,33.5,77900
TAC,20100517,35,35,33.1,33.5,102980
TAC,20100514,34,35,34,34.3,50610
TAC,20100513,35.6,35.6,33.5,34.6,76380
TAC,20100512,35.2,36,34.2,34.6,132950
TAC,20100511,36.5,36.5,35.6,36,135140
TAC,20100510,36.6,36.6,35.5,35.6,86670
TAC,20100507,36.5,36.5,35.7,36.2,124300
TAC,20100506,37.4,37.4,36.8,37.3,240880
TAC,20100505,37,37.3,36.8,36.8,193020
TAC,20100504,37,37,36.6,37,138480
TAC,20100429,36.8,36.9,36.5,36.5,208440
TAC,20100428,37,37.1,36.6,37,51180
TAC,20100427,36.7,37.5,36.7,37,135890
TAC,20100426,37.3,37.8,36.5,36.7,235180
TAC,20100422,38.9,38.9,37.8,38,199810
TAC,20100421,37.5,38.8,37.5,38,90970
TAC,20100420,38.3,38.6,37.5,37.5,122030
TAC,20100419,38.9,38.9,38,38.3,98280
TAC,20100416,39.5,40,39,39,229110
TAC,20100415,38.1,39.1,37.5,39.1,214490
TAC,20100414,37.2,38.2,37.2,37.3,201700
TAC,20100413,37.9,38.5,37.3,37.3,162420
TAC,20100412,38.4,38.5,37.6,37.9,197120
TAC,20100409,39.6,39.6,38.3,38.3,121260
TAC,20100408,40,40.5,39,39.1,176300
TAC,20100407,40,41.3,39.5,40,230980
TAC,20100406,38,40.3,38,39.7,707050
TAC,20100405,39.3,39.3,38,38.4,243450
TAC,20100402,37,38,36.2,38,306070
TAC,20100401,36,37.3,35.6,36.2,126570
TAC,20100331,37.3,38,36.3,36.3,313240
TAC,20100330,38.9,39.5,37.2,37.6,201420
TAC,20100329,38.8,40,38.6,39,269130
TAC,20100326,40.5,40.6,38.5,39,213740
TAC,20100325,38.8,40.7,38,40.5,752810
TAC,20100324,37.8,38.8,37.7,38.8,270670
TAC,20100323,36.2,38.1,36,37,310270
TAC,20100322,35.1,36.3,34.8,36.3,241320
TAC,20100319,35.8,36,35,35.1,235290
TAC,20100318,36.3,36.3,34.6,35.7,131090
TAC,20100317,35.5,35.5,33.8,35.1,341320
TAC,20100316,35.4,35.6,33.8,33.8,663350
