<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TKU,20100729,19,19.6,19,19.6,7800
TKU,20100728,20.1,20.1,19.2,19.5,20500
TKU,20100727,19.8,20,18.9,19.6,60700
TKU,20100726,18.9,19,18.9,18.9,6700
TKU,20100723,19.8,19.8,19.2,19.3,6500
TKU,20100722,20,20,19.5,19.6,16400
TKU,20100721,20,20.1,19.9,20,15400
TKU,20100720,19.7,19.9,19.4,19.6,58400
TKU,20100719,19.1,19.5,19.1,19.3,21900
TKU,20100716,19.3,19.7,19.3,19.6,40800
TKU,20100715,19.8,20.3,19.5,19.6,21500
TKU,20100714,20,20.1,19.7,19.9,48000
TKU,20100713,19.3,19.5,18.8,19,45700
TKU,20100712,19.1,19.2,18.7,19,22500
TKU,20100709,19.3,19.4,19,19.1,30600
TKU,20100708,20,20,19.3,19.6,21900
TKU,20100707,19.9,19.9,19.1,19.3,32800
TKU,20100706,20.6,20.9,19.6,19.9,109100
TKU,20100705,19.7,19.7,19.7,19.7,177200
TKU,20100702,18,18.5,18,18.3,9400
TKU,20100701,18.2,18.3,17.5,17.9,28900
TKU,20100630,17,18.2,17,17.3,24200
TKU,20100629,19.2,19.2,18.1,18.3,28900
TKU,20100628,20.2,20.2,17.7,19.5,7200
TKU,20100625,20.4,20.4,18.3,19.1,69600
TKU,20100624,19.1,19.4,18.7,19.3,81800
TKU,20100623,17.4,18.2,17.2,18.1,105400
TKU,20100622,17.1,17.1,16.8,17,14200
TKU,20100621,17.2,17.3,16.7,16.9,11900
TKU,20100618,16.9,16.9,16.6,16.7,43900
TKU,20100617,17.1,17.1,16.3,16.9,55100
TKU,20100616,17.6,17.7,17.1,17.5,8400
TKU,20100615,17.4,17.4,16.8,16.9,4000
TKU,20100614,17.6,17.6,16.8,17.1,15400
TKU,20100611,16.6,17.2,16.5,16.8,28800
TKU,20100610,16.7,16.8,16.1,16.5,2800
TKU,20100609,16.9,17,15.7,16.3,4200
TKU,20100608,16.6,16.6,15.5,16.2,19100
TKU,20100607,17.2,17.2,16.6,16.6,38400
TKU,20100604,19,19,17.7,17.9,5800
TKU,20100603,19.6,19.7,18.4,19,7100
TKU,20100602,18.3,18.4,18.3,18.3,7000
TKU,20100601,16.6,17.8,16.5,17.2,10300
TKU,20100531,18.3,18.3,17.7,17.8,8600
TKU,20100528,19.1,19.1,19,19.1,19500
TKU,20100527,19.9,19.9,17.4,17.8,20100
TKU,20100526,18.5,18.7,18.5,18.6,5900
TKU,20100525,16.7,17.7,16.7,17.5,11800
TKU,20100524,17,17,16.5,16.6,4700
TKU,20100521,18.3,18.3,17,17,15400
TKU,20100520,17.6,18.9,17.6,18.3,57100
TKU,20100519,19.1,19.9,18.8,18.9,7500
TKU,20100518,22.2,22.2,19.2,20.3,6100
TKU,20100517,20.1,21.5,20.1,20.7,2300
TKU,20100514,20,20.2,20,20.1,33400
TKU,20100513,20.4,21.7,20,20.5,13700
TKU,20100512,21.7,21.7,20.4,20.7,40100
TKU,20100511,22.6,23.5,21.7,22,43400
TKU,20100510,23.4,23.4,23.4,23.4,23500
TKU,20100507,25,26.1,23.9,25.1,26700
TKU,20100506,25.2,25.4,24.8,25.1,15500
