<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TRI,20100729,8.2,8.2,8.2,8.2,3700
TRI,20100728,7.9,7.9,7.9,7.9,19570
TRI,20100727,8,8,8,8,37190
TRI,20100726,8.4,8.4,8.4,8.4,12590
TRI,20100723,8.7,8.7,8.7,8.7,15950
TRI,20100722,9,9,9,9,24930
TRI,20100721,9.4,9.4,9.4,9.4,22760
TRI,20100720,9.4,9.4,9.4,9.4,42970
TRI,20100719,9,9,9,9,29280
TRI,20100716,9.3,9.3,9.3,9.3,16990
TRI,20100715,9.7,9.7,9.7,9.7,59630
TRI,20100714,9.3,9.3,9.3,9.3,70220
TRI,20100713,8.9,8.9,8.9,8.9,103810
TRI,20100712,9.3,9.3,9.3,9.3,2190
TRI,20100709,9.7,9.7,9.7,9.7,10490
TRI,20100708,10.2,10.2,10.2,10.2,36210
TRI,20100707,10.7,10.7,10.7,10.7,121670
TRI,20100706,10.2,10.2,10.2,10.2,67490
TRI,20100702,9.4,9.4,9.4,9.4,26320
TRI,20100701,9,9,9,9,19690
TRI,20100630,8.6,8.6,8.6,8.6,70400
TRI,20100629,8.2,8.2,8.2,8.2,27740
TRI,20100628,7.9,7.9,7.9,7.9,23960
TRI,20100625,7.6,7.6,7.6,7.6,2110
TRI,20100624,7.3,7.3,7.3,7.3,16080
TRI,20100623,7,7,7,7,2850
TRI,20100622,6.7,6.7,6.7,6.7,920
TRI,20100324,6.4,6.4,6.4,6.4,48260
TRI,20100323,6.7,6.7,6.7,6.7,38170
TRI,20100322,7,7,7,7,55670
TRI,20100319,7.3,7.3,7.3,7.3,14680
TRI,20100318,7.6,7.6,7.6,7.6,28470
TRI,20100317,8,8,8,8,19950
TRI,20100316,8.4,8.4,8.4,8.4,55880
TRI,20100315,8.1,8.1,8.1,8.1,23580
TRI,20100312,7.8,7.8,7.8,7.8,18530
TRI,20100311,7.5,7.5,7.5,7.5,61350
TRI,20100310,7.2,7.2,7.2,7.2,95280
TRI,20100309,6.9,6.9,6.9,6.9,33920
TRI,20100308,6.6,6.6,6.6,6.6,26490
TRI,20100305,6.3,6.3,6.3,6.3,29610
